timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
16384.0,7.791070938110352,77.0,23.0,5.324999809265137,0.0,249.0,104.925,2.0
32768.0,15.525784015655518,133.0,25.0,2.5250000953674316,0.0,454.0,154.05,32.0
49152.0,23.286234140396118,197.0,34.0,5.349999904632568,0.0,671.0,235.3,38.0
65536.0,31.034966468811035,270.0,40.0,6.550000190734863,0.0,1007.0,305.025,14.0
81920.0,38.81448268890381,346.0,40.0,5.625,0.0,1149.0,279.575,26.0
98304.0,46.553184509277344,428.0,40.0,3.9749999046325684,0.0,997.0,205.625,4.0
114688.0,54.31953144073486,502.0,15.0,2.825000047683716,0.0,697.0,225.825,3.0
131072.0,62.0244779586792,578.0,15.0,2.299999952316284,0.0,883.0,198.425,13.0
147456.0,69.79300713539124,652.0,40.0,3.575000047683716,0.0,1139.0,205.0,17.0
163840.0,77.57005882263184,724.0,21.0,2.9749999046325684,0.0,865.0,179.7,7.0
180224.0,85.3491861820221,791.0,41.0,4.974999904632568,0.0,932.0,222.425,28.0
196608.0,93.11119151115417,854.0,40.0,5.5,0.0,1345.0,220.725,7.0
212992.0,100.84235525131226,916.0,18.0,3.450000047683716,0.0,1330.0,245.7,47.0
229376.0,108.63642430305481,979.0,40.0,3.674999952316284,0.0,798.0,231.175,40.0
245760.0,116.3881733417511,1037.0,40.0,9.675000190734863,0.0,1695.0,347.125,3.0
262144.0,124.18426585197449,1097.0,40.0,4.5,0.0,1395.0,252.55,9.0
278528.0,131.9386031627655,1150.0,16.0,4.150000095367432,0.0,688.0,245.325,41.0
294912.0,139.71481013298035,1211.0,40.0,8.350000381469727,0.0,1365.0,329.3,32.0
311296.0,147.47394037246704,1282.0,40.0,7.199999809265137,0.0,1815.0,357.5,15.0
327680.0,155.25091791152954,1353.0,40.0,4.25,0.0,1858.0,283.4,13.0
344064.0,163.01120138168335,1419.0,40.0,5.025000095367432,0.0,1150.0,269.275,7.0
360448.0,170.80689644813538,1471.0,40.0,4.675000190734863,0.0,1780.0,331.375,12.0
376832.0,178.55288219451904,1532.0,40.0,3.5999999046325684,0.0,1058.0,202.875,11.0
393216.0,186.29826521873474,1598.0,40.0,4.425000190734863,0.0,929.0,249.3,33.0
409600.0,193.97780060768127,1663.0,40.0,7.025000095367432,0.0,2121.0,363.525,23.0
425984.0,201.73109579086304,1743.0,40.0,3.924999952316284,0.0,1068.0,229.4,2.0
442368.0,209.53367590904236,1803.0,40.0,3.125,0.0,842.0,198.6,15.0
458752.0,217.31367683410645,1869.0,40.0,4.349999904632568,0.0,1190.0,229.375,11.0
475136.0,225.06813788414001,1925.0,40.0,3.5250000953674316,0.0,1545.0,235.425,17.0
491520.0,232.83410787582397,2005.0,40.0,3.1500000953674316,0.0,1622.0,232.975,16.0
507904.0,240.57444095611572,2080.0,40.0,4.199999809265137,0.0,1387.0,232.55,25.0
524288.0,248.34251022338867,2141.0,21.0,4.375,0.0,1291.0,293.65,38.0
540672.0,256.0812530517578,2193.0,20.0,3.174999952316284,0.0,597.0,201.075,13.0
557056.0,263.8570411205292,2256.0,40.0,8.350000381469727,0.0,1219.0,376.0,9.0
573440.0,271.60634899139404,2303.0,40.0,7.125,0.0,1104.0,332.975,12.0
589824.0,279.3833155632019,2370.0,18.0,4.5,0.0,694.0,263.35,43.0
606208.0,287.132666349411,2433.0,18.0,3.674999952316284,0.0,696.0,229.4,28.0
622592.0,294.89031982421875,2485.0,40.0,4.775000095367432,0.0,902.0,260.375,14.0
638976.0,302.6652863025665,2553.0,40.0,5.300000190734863,0.0,1370.0,275.075,14.0
655360.0,310.4178590774536,2606.0,40.0,4.650000095367432,0.0,1065.0,225.95,37.0
671744.0,318.19059228897095,2665.0,40.0,4.824999809265137,0.0,1745.0,277.65,31.0
688128.0,325.9469304084778,2735.0,40.0,5.099999904632568,0.0,895.0,256.95,13.0
704512.0,333.72619104385376,2786.0,40.0,6.025000095367432,0.0,1871.0,347.575,42.0
720896.0,341.4683458805084,2853.0,40.0,5.849999904632568,0.0,1161.0,291.35,11.0
737280.0,349.2509653568268,2907.0,40.0,4.974999904632568,0.0,745.0,248.575,41.0
753664.0,357.00269889831543,2977.0,40.0,5.525000095367432,0.0,1150.0,266.925,27.0
770048.0,364.7678077220917,3043.0,40.0,5.800000190734863,0.0,942.0,264.475,32.0
786432.0,372.51163816452026,3098.0,40.0,7.150000095367432,0.0,1050.0,297.525,36.0
802816.0,380.3145773410797,3161.0,23.0,4.599999904632568,0.0,1275.0,294.75,34.0
819200.0,388.05485224723816,3219.0,26.0,5.599999904632568,0.0,1035.0,287.85,4.0
835584.0,395.8290014266968,3267.0,40.0,6.275000095367432,0.0,1105.0,288.725,36.0
851968.0,403.59205174446106,3327.0,40.0,4.400000095367432,0.0,931.0,245.425,33.0
868352.0,411.3473403453827,3399.0,40.0,4.974999904632568,0.0,1169.0,249.225,2.0
884736.0,419.081561088562,3451.0,40.0,4.925000190734863,0.0,1124.0,272.75,20.0
901120.0,426.8625113964081,3495.0,16.0,3.0,0.0,805.0,208.05,16.0
917504.0,434.61003494262695,3548.0,41.0,8.425000190734863,0.0,1158.0,363.325,36.0
933888.0,442.42075061798096,3604.0,40.0,5.900000095367432,0.0,986.0,293.7,9.0
950272.0,450.1669464111328,3649.0,40.0,6.675000190734863,0.0,1202.0,333.525,13.0
966656.0,457.94264936447144,3699.0,40.0,7.324999809265137,0.0,1556.0,407.3,50.0
983040.0,465.70292568206787,3748.0,40.0,7.550000190734863,0.0,1281.0,342.275,4.0
999424.0,473.4825646877289,3792.0,40.0,6.474999904632568,0.0,3106.0,358.425,8.0
1015808.0,481.2180850505829,3837.0,40.0,5.474999904632568,0.0,1119.0,304.15,33.0
1032192.0,489.0087003707886,3891.0,40.0,6.525000095367432,0.0,1744.0,348.15,16.0
1048576.0,496.7885277271271,3938.0,40.0,6.925000190734863,0.0,1313.0,340.725,18.0
1064960.0,504.561514377594,3987.0,40.0,6.449999809265137,0.0,1645.0,341.1,28.0
1081344.0,512.3431100845337,4033.0,40.0,8.824999809265137,0.0,1838.0,395.875,18.0
1097728.0,520.1105315685272,4094.0,40.0,8.024999618530273,0.0,1480.0,360.0,2.0
1114112.0,527.8617453575134,4160.0,40.0,5.449999809265137,0.0,957.0,278.35,31.0
1130496.0,535.6096875667572,4219.0,40.0,3.9749999046325684,0.0,1228.0,234.975,58.0
1146880.0,543.3877279758453,4284.0,40.0,7.550000190734863,0.0,1004.0,366.3,7.0
1163264.0,551.1227521896362,4339.0,29.0,4.574999809265137,0.0,1132.0,239.425,5.0
1179648.0,558.8893022537231,4389.0,15.0,3.7249999046325684,0.0,858.0,233.5,46.0
1196032.0,566.659884929657,4457.0,41.0,4.650000095367432,0.0,1173.0,251.625,8.0
1212416.0,574.443629026413,4507.0,40.0,7.425000190734863,0.0,4337.0,379.425,26.0
1228800.0,582.2070705890656,4568.0,40.0,6.625,0.0,1204.0,298.725,33.0
1245184.0,589.9865691661835,4630.0,23.0,2.375,0.0,853.0,164.275,3.0
1261568.0,597.7257525920868,4677.0,40.0,6.800000190734863,0.0,1203.0,348.5,30.0
1277952.0,605.511476278305,4738.0,40.0,7.074999809265137,0.0,1673.0,370.2,33.0
1294336.0,613.2461178302765,4803.0,21.0,3.0250000953674316,0.0,968.0,208.05,18.0
1310720.0,621.0172445774078,4862.0,40.0,6.875,0.0,1050.0,308.375,40.0
1327104.0,628.7742593288422,4919.0,40.0,5.324999809265137,0.0,1093.0,265.575,10.0
1343488.0,636.5500273704529,4975.0,40.0,5.175000190734863,0.0,1117.0,271.9,25.0
1359872.0,644.315660238266,5029.0,40.0,7.224999904632568,0.0,1188.0,343.925,46.0
1376256.0,652.1075572967529,5074.0,40.0,5.900000095367432,0.0,1022.0,271.85,13.0
1392640.0,659.8670041561127,5127.0,40.0,4.0,0.0,976.0,257.85,29.0
1409024.0,667.6580622196198,5171.0,40.0,6.849999904632568,0.0,1231.0,369.325,21.0
1425408.0,675.423330783844,5225.0,40.0,7.474999904632568,0.0,1324.0,365.275,13.0
1441792.0,683.1935677528381,5277.0,40.0,5.650000095367432,0.0,1296.0,316.225,8.0
1458176.0,690.9270918369293,5324.0,40.0,7.25,0.0,1198.0,355.425,19.0
1474560.0,698.6978898048401,5390.0,40.0,5.449999809265137,0.0,1064.0,289.225,23.0
1490944.0,706.4423096179962,5433.0,40.0,5.574999809265137,0.0,1021.0,279.85,51.0
1507328.0,714.2048366069794,5480.0,40.0,6.525000095367432,0.0,1256.0,329.6,44.0
1523712.0,722.0184094905853,5534.0,40.0,7.125,0.0,1317.0,342.9,51.0
1540096.0,729.7646553516388,5578.0,40.0,5.75,0.0,1087.0,282.7,29.0
1556480.0,737.5491921901703,5634.0,26.0,5.300000190734863,0.0,1460.0,350.225,28.0
1572864.0,745.2985570430756,5675.0,40.0,4.925000190734863,0.0,1403.0,321.4,37.0
1589248.0,753.1000483036041,5718.0,40.0,6.625,0.0,1306.0,344.175,9.0
1605632.0,760.8516364097595,5779.0,40.0,7.349999904632568,0.0,1766.0,398.85,13.0
