timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
16384.0,8.083467483520508,173.0,10.0,9.75,0.0,150.0,55.525,1.0
32768.0,16.575679779052734,353.0,10.0,8.75,0.0,482.0,98.775,18.0
49152.0,25.1309757232666,552.0,10.0,9.0,0.0,649.0,112.625,19.0
65536.0,33.60549736022949,771.0,10.0,9.75,0.0,270.0,67.55,19.0
81920.0,42.005109548568726,952.0,10.0,9.0,0.0,380.0,114.475,20.0
98304.0,50.541719913482666,1133.0,10.0,9.5,0.0,1000.0,89.0,19.0
114688.0,59.0515034198761,1304.0,10.0,9.25,0.0,478.0,91.0,19.0
131072.0,67.24098801612854,1484.0,10.0,9.75,0.0,266.0,84.925,20.0
147456.0,75.61789917945862,1649.0,10.0,8.75,0.0,1000.0,99.55,19.0
163840.0,84.14130663871765,1816.0,10.0,9.5,0.0,404.0,100.8,20.0
180224.0,92.53019714355469,1992.0,10.0,9.25,0.0,1000.0,114.15,20.0
196608.0,100.6075131893158,2159.0,10.0,8.75,0.0,1000.0,93.725,19.0
212992.0,108.69529891014099,2326.0,10.0,8.5,0.0,581.0,73.5,19.0
229376.0,117.2633593082428,2488.0,10.0,9.0,0.0,1000.0,125.2,20.0
245760.0,125.72096586227417,2626.0,10.0,8.5,0.0,338.0,83.85,20.0
262144.0,134.15109848976135,2773.0,10.0,9.0,0.0,1000.0,113.7,20.0
278528.0,142.63742351531982,2886.0,10.0,8.5,0.0,1000.0,130.625,19.0
294912.0,151.08722925186157,2999.0,10.0,9.0,0.0,1000.0,113.55,21.0
311296.0,159.4085259437561,3104.0,10.0,9.0,0.0,1000.0,138.3,20.0
327680.0,167.4264087677002,3202.0,10.0,8.5,0.0,1000.0,168.975,19.0
344064.0,175.75550317764282,3334.0,10.0,9.5,0.0,1000.0,102.225,19.0
360448.0,184.18088030815125,3478.0,10.0,8.25,0.0,1000.0,180.9,19.0
376832.0,192.52348446846008,3639.0,10.0,8.25,0.0,1000.0,148.85,19.0
393216.0,200.91522979736328,3753.0,10.0,8.25,0.0,1000.0,148.6,19.0
409600.0,209.36450147628784,3842.0,10.0,9.25,0.0,1000.0,128.05,19.0
425984.0,217.9272792339325,3966.0,10.0,9.0,0.0,919.0,144.1,19.0
442368.0,226.3943214416504,4100.0,10.0,9.0,0.0,1000.0,95.55,18.0
458752.0,234.79988026618958,4252.0,10.0,8.75,0.0,1000.0,181.375,19.0
475136.0,243.0587911605835,4375.0,10.0,9.5,0.0,713.0,79.9,19.0
491520.0,251.29732513427734,4498.0,10.0,8.25,0.0,1000.0,163.75,20.0
507904.0,259.63073778152466,4636.0,10.0,8.5,0.0,1000.0,114.825,19.0
524288.0,268.00030422210693,4766.0,10.0,8.75,0.0,1000.0,115.65,19.0
540672.0,276.45531606674194,4916.0,10.0,8.5,0.0,1000.0,98.0,19.0
557056.0,284.8395149707794,5047.0,10.0,9.25,0.0,605.0,112.975,18.0
573440.0,292.8582479953766,5175.0,10.0,9.25,0.0,1000.0,121.6,20.0
589824.0,301.1373805999756,5312.0,10.0,9.0,0.0,1000.0,146.725,18.0
606208.0,309.621954202652,5465.0,10.0,9.25,0.0,1000.0,100.025,19.0
622592.0,318.0199122428894,5638.0,10.0,8.75,0.0,1000.0,129.5,20.0
638976.0,326.45958948135376,5803.0,10.0,9.25,0.0,1000.0,93.725,20.0
655360.0,334.8989634513855,5979.0,10.0,9.75,0.0,477.0,94.175,19.0
671744.0,343.3039970397949,6150.0,10.0,8.5,0.0,1000.0,163.675,18.0
688128.0,351.74638271331787,6318.0,10.0,9.75,0.0,313.0,75.275,21.0
704512.0,360.3434388637543,6448.0,10.0,9.5,0.0,1000.0,110.625,20.0
720896.0,368.80662512779236,6576.0,10.0,9.0,0.0,425.0,104.0,20.0
737280.0,377.0737814903259,6712.0,10.0,8.25,0.0,1000.0,200.675,19.0
753664.0,385.0042314529419,6874.0,10.0,9.0,0.0,725.0,105.85,19.0
770048.0,393.48444628715515,7023.0,10.0,9.75,0.0,238.0,73.65,20.0
786432.0,401.73271656036377,7165.0,10.0,9.0,0.0,1000.0,142.725,19.0
802816.0,410.23091888427734,7318.0,10.0,9.25,0.0,1000.0,114.825,19.0
819200.0,418.62899374961853,7448.0,10.0,9.0,0.0,1000.0,110.35,21.0
835584.0,427.2357485294342,7595.0,10.0,9.5,0.0,615.0,95.7,19.0
851968.0,435.57432317733765,7769.0,10.0,9.0,0.0,1000.0,139.25,21.0
868352.0,444.0202181339264,7943.0,10.0,9.25,0.0,1000.0,116.875,19.0
884736.0,452.22747802734375,8090.0,10.0,8.75,0.0,359.0,92.825,19.0
901120.0,460.46052527427673,8249.0,10.0,9.0,0.0,1000.0,105.5,19.0
917504.0,468.49011158943176,8414.0,10.0,9.5,0.0,334.0,79.075,19.0
933888.0,477.0222542285919,8556.0,10.0,9.5,0.0,276.0,75.2,19.0
950272.0,485.06316089630127,8692.0,10.0,9.0,0.0,530.0,92.2,19.0
966656.0,493.6315746307373,8845.0,10.0,9.75,0.0,311.0,76.25,19.0
983040.0,501.64604902267456,8979.0,10.0,9.5,0.0,692.0,86.925,19.0
999424.0,509.6838159561157,9101.0,10.0,7.5,0.0,1000.0,117.65,20.0
1015808.0,518.1184823513031,9244.0,10.0,9.25,0.0,890.0,128.05,18.0
1032192.0,526.3195598125458,9372.0,10.0,9.0,0.0,376.0,103.325,21.0
1048576.0,534.5374400615692,9509.0,10.0,9.0,0.0,930.0,128.65,19.0
1064960.0,542.6817865371704,9658.0,10.0,8.0,0.0,1000.0,142.15,19.0
1081344.0,550.7799093723297,9794.0,10.0,9.0,0.0,1000.0,107.55,19.0
1097728.0,559.3690073490143,9943.0,10.0,9.5,0.0,244.0,96.35,19.0
1114112.0,567.7462453842163,10089.0,10.0,8.5,0.0,1000.0,102.75,19.0
1130496.0,576.3507378101349,10255.0,10.0,9.5,0.0,1000.0,105.3,19.0
1146880.0,584.9985570907593,10386.0,10.0,9.5,0.0,226.0,79.325,19.0
1163264.0,593.5350606441498,10521.0,10.0,9.5,0.0,642.0,103.525,19.0
1179648.0,602.0331892967224,10645.0,10.0,8.75,0.0,1000.0,124.525,20.0
1196032.0,610.0981721878052,10780.0,10.0,8.75,0.0,1000.0,150.275,20.0
1212416.0,618.4437818527222,10927.0,10.0,9.25,0.0,1000.0,127.225,20.0
1228800.0,626.5929102897644,11056.0,10.0,9.25,0.0,1000.0,110.575,19.0
1245184.0,634.813648223877,11179.0,10.0,8.25,0.0,1000.0,106.5,19.0
1261568.0,642.9295308589935,11312.0,10.0,8.5,0.0,1000.0,116.375,19.0
1277952.0,650.9770176410675,11452.0,10.0,8.5,0.0,1000.0,130.925,20.0
1294336.0,659.2936098575592,11600.0,10.0,8.25,0.0,1000.0,136.125,20.0
1310720.0,667.4333925247192,11735.0,10.0,8.25,0.0,1000.0,134.075,20.0
1327104.0,675.5338690280914,11854.0,10.0,9.5,0.0,1000.0,133.25,20.0
1343488.0,684.0646078586578,11947.0,10.0,8.5,0.0,1000.0,150.825,18.0
1359872.0,692.1649203300476,12076.0,10.0,8.0,0.0,1000.0,180.1,19.0
1376256.0,700.2610065937042,12221.0,10.0,8.5,0.0,1000.0,80.975,19.0
1392640.0,708.2646198272705,12358.0,10.0,8.5,0.0,1000.0,116.625,20.0
1409024.0,716.6778120994568,12458.0,10.0,9.25,0.0,288.0,90.675,19.0
1425408.0,725.070060968399,12562.0,10.0,8.75,0.0,1000.0,135.2,19.0
1441792.0,733.5227904319763,12690.0,10.0,8.5,0.0,1000.0,150.825,19.0
1458176.0,741.5080246925354,12820.0,10.0,9.25,0.0,543.0,85.4,19.0
1474560.0,749.4750142097473,12967.0,10.0,9.0,0.0,1000.0,163.15,19.0
1490944.0,758.0298981666565,13093.0,10.0,8.75,0.0,1000.0,110.65,19.0
1507328.0,766.275319814682,13222.0,10.0,8.25,0.0,1000.0,225.225,21.0
1523712.0,774.3567202091217,13367.0,10.0,9.25,0.0,448.0,83.875,19.0
1540096.0,782.4464745521545,13547.0,10.0,8.75,0.0,1000.0,96.1,19.0
1556480.0,790.7792680263519,13704.0,10.0,9.0,0.0,624.0,100.6,18.0
1572864.0,799.0824933052063,13863.0,10.0,9.25,0.0,355.0,102.75,19.0
1589248.0,807.4563677310944,14005.0,10.0,9.25,0.0,1000.0,106.9,18.0
1605632.0,815.5759983062744,14136.0,10.0,9.25,0.0,211.0,73.025,19.0
1622016.0,823.7305064201355,14254.0,10.0,9.25,0.0,1000.0,165.0,20.0
1638400.0,832.0251574516296,14378.0,10.0,8.5,0.0,1000.0,98.6,19.0
1654784.0,840.3256332874298,14494.0,10.0,9.0,0.0,1000.0,144.375,19.0
1671168.0,848.8165466785431,14649.0,10.0,9.0,0.0,1000.0,107.3,19.0
1687552.0,856.8874566555023,14818.0,10.0,8.5,0.0,1000.0,146.875,18.0
1703936.0,864.8575613498688,14956.0,10.0,8.0,0.0,1000.0,128.325,20.0
1720320.0,873.2769091129303,15103.0,10.0,8.75,0.0,518.0,82.725,18.0
1736704.0,881.2964789867401,15219.0,10.0,9.25,0.0,204.0,70.6,19.0
1753088.0,889.4831202030182,15360.0,10.0,8.5,0.0,1000.0,125.65,19.0
1769472.0,897.8840386867523,15491.0,10.0,8.5,0.0,1000.0,113.725,20.0
1785856.0,906.0043034553528,15666.0,10.0,8.5,0.0,1000.0,158.05,18.0
1802240.0,914.5124552249908,15844.0,10.0,9.25,0.0,1000.0,117.225,18.0
1818624.0,922.5416789054871,16012.0,10.0,9.75,0.0,213.0,67.1,19.0
1835008.0,930.5513010025024,16164.0,10.0,9.5,0.0,410.0,86.375,19.0
1851392.0,938.9988865852356,16278.0,10.0,9.5,0.0,956.0,114.775,19.0
1867776.0,946.8998582363129,16406.0,10.0,9.25,0.0,1000.0,112.875,19.0
1884160.0,954.9003236293793,16579.0,10.0,8.5,0.0,1000.0,136.575,20.0
1900544.0,962.9486141204834,16754.0,10.0,9.25,0.0,1000.0,97.5,19.0
1916928.0,970.9077308177948,16944.0,10.0,9.5,0.0,579.0,92.6,20.0
1933312.0,979.0665123462677,17082.0,10.0,9.25,0.0,367.0,92.55,19.0
1949696.0,987.4487736225128,17191.0,10.0,8.25,0.0,1000.0,195.375,20.0
1966080.0,995.798835515976,17294.0,10.0,8.5,0.0,565.0,86.2,19.0
1982464.0,1004.171612739563,17411.0,10.0,8.25,0.0,1000.0,160.975,20.0
1998848.0,1012.2912669181824,17570.0,10.0,9.25,0.0,1000.0,140.625,19.0
2015232.0,1020.5101728439331,17726.0,10.0,9.5,0.0,1000.0,95.6,20.0
2031616.0,1029.06547665596,17893.0,10.0,9.5,0.0,591.0,87.2,19.0
2048000.0,1037.5571656227112,18068.0,10.0,9.25,0.0,263.0,77.525,19.0
2064384.0,1046.012365102768,18216.0,10.0,9.5,0.0,588.0,68.5,19.0
2080768.0,1054.1722996234894,18364.0,10.0,8.75,0.0,1000.0,134.225,18.0
2097152.0,1062.7353301048279,18461.0,10.0,9.25,0.0,1000.0,90.0,19.0
2113536.0,1070.783077955246,18565.0,10.0,8.75,0.0,1000.0,152.775,19.0
2129920.0,1078.8708801269531,18704.0,10.0,8.0,0.0,1000.0,158.3,19.0
2146304.0,1087.407509803772,18854.0,10.0,7.25,0.0,1000.0,152.575,19.0
2162688.0,1095.931864976883,19002.0,10.0,8.75,0.0,1000.0,144.65,19.0
2179072.0,1104.4698565006256,19139.0,10.0,8.5,0.0,1000.0,138.4,21.0
2195456.0,1113.0276010036469,19272.0,10.0,8.5,0.0,618.0,77.6,20.0
2211840.0,1121.0766065120697,19424.0,10.0,8.75,0.0,1000.0,134.875,20.0
2228224.0,1129.1756792068481,19539.0,10.0,9.25,0.0,314.0,84.55,20.0
2244608.0,1137.253643989563,19651.0,10.0,9.25,0.0,668.0,114.05,19.0
2260992.0,1145.427874326706,19785.0,10.0,8.75,0.0,401.0,99.925,20.0
2277376.0,1153.5569972991943,19923.0,10.0,7.25,0.0,1000.0,156.125,21.0
2293760.0,1161.6671648025513,20067.0,10.0,8.5,0.0,1000.0,115.45,20.0
2310144.0,1169.5627784729004,20220.0,10.0,9.5,0.0,473.0,89.1,19.0
2326528.0,1177.8518941402435,20368.0,10.0,9.25,0.0,1000.0,101.15,19.0
2342912.0,1186.1796522140503,20514.0,10.0,9.0,0.0,1000.0,116.225,18.0
2359296.0,1194.2737805843353,20646.0,10.0,8.75,0.0,1000.0,106.9,19.0
2375680.0,1202.3277564048767,20781.0,10.0,9.0,0.0,1000.0,96.6,20.0
2392064.0,1210.3934864997864,20939.0,10.0,8.25,0.0,1000.0,125.15,19.0
2408448.0,1218.4756920337677,21072.0,10.0,9.25,0.0,221.0,73.0,20.0
2424832.0,1227.023845911026,21205.0,10.0,9.5,0.0,1000.0,118.125,19.0
2441216.0,1235.4632444381714,21334.0,10.0,9.25,0.0,1000.0,137.725,19.0
2457600.0,1243.7675387859344,21445.0,10.0,9.25,0.0,694.0,77.95,19.0
2473984.0,1252.2700860500336,21543.0,10.0,9.25,0.0,1000.0,151.675,19.0
2490368.0,1260.6995453834534,21665.0,10.0,8.25,0.0,1000.0,206.8,19.0
2506752.0,1268.9649271965027,21794.0,10.0,9.5,0.0,1000.0,113.425,19.0
2523136.0,1277.3336160182953,21932.0,10.0,8.75,0.0,1000.0,141.475,19.0
2539520.0,1285.860958814621,22077.0,10.0,9.25,0.0,589.0,96.075,19.0
2555904.0,1294.3552117347717,22195.0,10.0,8.75,0.0,1000.0,114.775,19.0
2572288.0,1302.4234330654144,22339.0,10.0,9.0,0.0,1000.0,150.175,20.0
2588672.0,1310.4314594268799,22473.0,10.0,9.75,0.0,246.0,71.55,19.0
2605056.0,1318.9007017612457,22613.0,10.0,8.75,0.0,1000.0,186.625,21.0
2621440.0,1327.371824979782,22744.0,10.0,9.0,0.0,1000.0,115.175,19.0
2637824.0,1335.4777309894562,22868.0,10.0,9.0,0.0,1000.0,137.95,19.0
2654208.0,1343.4792876243591,22993.0,10.0,9.0,0.0,449.0,81.125,19.0
2670592.0,1351.3553166389465,23124.0,10.0,8.75,0.0,1000.0,132.525,20.0
2686976.0,1359.6072041988373,23267.0,10.0,9.0,0.0,1000.0,116.475,19.0
2703360.0,1367.953052997589,23436.0,10.0,9.0,0.0,1000.0,123.45,19.0
2719744.0,1376.0361366271973,23606.0,10.0,8.5,0.0,266.0,73.325,20.0
2736128.0,1384.0639111995697,23771.0,10.0,9.0,0.0,1000.0,114.825,19.0
2752512.0,1392.0605673789978,23951.0,10.0,9.5,0.0,524.0,85.875,19.0
2768896.0,1400.142282485962,24119.0,10.0,8.25,0.0,1000.0,97.925,19.0
2785280.0,1408.096997976303,24297.0,10.0,9.0,0.0,1000.0,113.15,19.0
2801664.0,1416.4915144443512,24470.0,10.0,9.25,0.0,1000.0,119.55,20.0
2818048.0,1424.790755033493,24639.0,10.0,9.5,0.0,312.0,63.125,21.0
2834432.0,1433.199015378952,24824.0,10.0,9.0,0.0,1000.0,95.025,19.0
2850816.0,1441.234718799591,24982.0,10.0,9.0,0.0,1000.0,93.025,19.0
2867200.0,1449.444031715393,25125.0,10.0,9.5,0.0,312.0,76.175,20.0
2883584.0,1457.493685245514,25265.0,10.0,9.75,0.0,288.0,89.075,20.0
2899968.0,1465.9628205299377,25401.0,10.0,9.0,0.0,1000.0,105.65,20.0
2916352.0,1474.042546749115,25540.0,10.0,8.0,0.0,1000.0,203.375,19.0
2932736.0,1482.3837807178497,25665.0,10.0,9.0,0.0,1000.0,104.975,19.0
2949120.0,1490.8991394042969,25793.0,10.0,9.25,0.0,1000.0,152.0,19.0
2965504.0,1499.3574135303497,25922.0,10.0,8.25,0.0,1000.0,165.675,20.0
2981888.0,1507.4158556461334,26047.0,10.0,9.5,0.0,1000.0,118.95,19.0
2998272.0,1515.4536883831024,26187.0,10.0,8.75,0.0,509.0,128.55,19.0
3014656.0,1523.9179496765137,26349.0,10.0,9.25,0.0,1000.0,91.1,18.0
3031040.0,1531.9152081012726,26459.0,10.0,8.5,0.0,1000.0,154.2,20.0
3047424.0,1539.900152683258,26608.0,10.0,8.5,0.0,1000.0,107.075,19.0
3063808.0,1547.843414068222,26734.0,10.0,9.75,0.0,667.0,117.175,20.0
3080192.0,1556.343576669693,26866.0,10.0,8.5,0.0,1000.0,113.45,20.0
3096576.0,1564.6183450222015,26996.0,10.0,9.5,0.0,1000.0,89.1,19.0
3112960.0,1572.6344566345215,27103.0,10.0,8.75,0.0,1000.0,123.4,20.0
3129344.0,1581.1670956611633,27227.0,10.0,9.0,0.0,1000.0,126.7,19.0
3145728.0,1589.5306379795074,27329.0,10.0,8.5,0.0,1000.0,156.775,20.0
