timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
16384.0,8.495620012283325,240.0,10.0,8.25,0.0,157.0,55.475,14.0
32768.0,16.891504526138306,491.0,10.0,9.25,0.0,196.0,63.9,20.0
49152.0,25.371426343917847,716.0,10.0,9.0,0.0,135.0,67.0,19.0
65536.0,33.73923921585083,936.0,10.0,9.75,0.0,599.0,88.65,20.0
81920.0,42.236703395843506,1138.0,10.0,9.25,0.0,227.0,72.325,20.0
98304.0,50.737576961517334,1366.0,10.0,8.5,0.0,250.0,69.6,18.0
114688.0,59.21165609359741,1583.0,10.0,9.0,0.0,203.0,79.275,20.0
131072.0,67.52184295654297,1779.0,10.0,8.75,0.0,232.0,75.8,19.0
147456.0,75.66590619087219,1993.0,10.0,8.75,0.0,254.0,70.1,20.0
163840.0,83.71200180053711,2186.0,10.0,9.5,0.0,266.0,80.275,19.0
180224.0,91.76547360420227,2431.0,10.0,9.0,0.0,165.0,62.925,19.0
196608.0,99.8519434928894,2661.0,10.0,9.0,0.0,235.0,66.875,20.0
212992.0,107.97507190704346,2884.0,10.0,9.25,0.0,193.0,77.05,19.0
229376.0,116.33552050590515,3092.0,10.0,9.5,0.0,278.0,80.975,20.0
245760.0,124.78090596199036,3313.0,10.0,8.5,0.0,223.0,61.7,19.0
262144.0,133.26787686347961,3520.0,10.0,8.0,0.0,158.0,59.65,20.0
278528.0,141.4065818786621,3748.0,10.0,8.25,0.0,224.0,72.325,20.0
294912.0,149.7626338005066,3968.0,10.0,8.75,0.0,279.0,64.525,20.0
311296.0,158.2140929698944,4181.0,10.0,9.75,0.0,165.0,69.225,20.0
327680.0,166.25693774223328,4393.0,10.0,9.25,0.0,210.0,73.0,20.0
344064.0,174.31237936019897,4613.0,10.0,8.25,0.0,263.0,73.1,20.0
360448.0,182.5575828552246,4812.0,10.0,8.5,0.0,219.0,68.3,20.0
376832.0,190.59727334976196,5026.0,10.0,8.5,0.0,328.0,84.35,20.0
393216.0,199.19107508659363,5242.0,10.0,8.75,0.0,528.0,87.75,20.0
409600.0,207.29087376594543,5454.0,10.0,8.5,0.0,235.0,69.725,20.0
425984.0,215.63325476646423,5648.0,10.0,8.5,0.0,234.0,63.35,20.0
442368.0,223.97099709510803,5829.0,10.0,9.25,0.0,343.0,86.1,20.0
458752.0,232.44825959205627,6027.0,10.0,8.5,0.0,233.0,79.55,19.0
475136.0,240.71834564208984,6214.0,10.0,8.5,0.0,317.0,93.3,19.0
491520.0,249.36847567558289,6404.0,10.0,9.5,0.0,366.0,102.05,20.0
507904.0,257.81493377685547,6599.0,10.0,8.0,0.0,571.0,93.45,20.0
