timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
16384.0,8.091315984725952,212.0,10.0,10.0,10.0,180.0,45.65,2.0
32768.0,16.32738971710205,384.0,10.0,9.5,0.0,320.0,87.05,20.0
49152.0,24.890435934066772,542.0,10.0,9.5,0.0,127.0,54.7,19.0
65536.0,33.08772659301758,695.0,10.0,9.75,0.0,247.0,81.875,18.0
81920.0,41.38830542564392,842.0,10.0,8.75,0.0,1000.0,145.4,20.0
98304.0,49.60562777519226,1005.0,10.0,9.75,0.0,243.0,82.775,21.0
114688.0,57.79907846450806,1150.0,10.0,9.25,0.0,1000.0,89.15,18.0
131072.0,66.36572527885437,1265.0,10.0,10.0,10.0,492.0,106.55,21.0
147456.0,74.54637742042542,1391.0,10.0,9.25,0.0,603.0,99.3,20.0
163840.0,82.71774959564209,1536.0,10.0,9.25,0.0,1000.0,119.9,20.0
180224.0,90.88286209106445,1702.0,10.0,9.25,0.0,1000.0,115.6,19.0
196608.0,98.99876546859741,1863.0,10.0,9.5,0.0,910.0,102.225,19.0
212992.0,107.03078389167786,2048.0,10.0,8.5,0.0,1000.0,157.875,19.0
229376.0,115.46440625190735,2230.0,10.0,9.0,0.0,269.0,73.125,18.0
245760.0,123.73003268241882,2393.0,10.0,9.5,0.0,230.0,63.85,20.0
262144.0,132.00419735908508,2547.0,10.0,9.0,0.0,835.0,101.9,20.0
278528.0,140.41652369499207,2695.0,10.0,9.75,0.0,1000.0,95.325,18.0
294912.0,148.59582018852234,2862.0,10.0,9.25,0.0,1000.0,133.275,19.0
311296.0,156.97779178619385,3020.0,10.0,9.5,0.0,420.0,68.625,18.0
327680.0,164.9850013256073,3211.0,10.0,8.5,0.0,1000.0,109.125,20.0
344064.0,172.94149899482727,3398.0,10.0,10.0,10.0,529.0,90.375,19.0
360448.0,181.0167031288147,3583.0,10.0,9.0,0.0,1000.0,87.15,18.0
376832.0,189.52240705490112,3764.0,10.0,9.5,0.0,286.0,75.925,18.0
393216.0,197.97185969352722,3942.0,10.0,9.75,0.0,231.0,61.25,19.0
409600.0,206.1989459991455,4110.0,10.0,8.75,0.0,1000.0,107.925,19.0
425984.0,214.6287760734558,4298.0,10.0,9.0,0.0,1000.0,82.75,19.0
442368.0,222.84831476211548,4494.0,10.0,9.5,0.0,309.0,74.2,18.0
458752.0,230.82960987091064,4684.0,10.0,8.25,0.0,210.0,78.5,19.0
475136.0,238.7813708782196,4881.0,10.0,9.0,0.0,411.0,68.75,19.0
491520.0,247.167133808136,5073.0,10.0,9.0,0.0,759.0,97.9,19.0
507904.0,255.31637120246887,5285.0,10.0,9.0,0.0,202.0,73.175,19.0
524288.0,263.69571328163147,5469.0,10.0,8.5,0.0,158.0,64.15,18.0
540672.0,272.01333594322205,5677.0,10.0,8.25,0.0,231.0,77.1,19.0
557056.0,280.2461783885956,5850.0,10.0,9.5,0.0,344.0,78.05,19.0
573440.0,288.3534219264984,5996.0,10.0,9.75,0.0,257.0,68.425,19.0
589824.0,296.58963322639465,6168.0,10.0,9.75,0.0,387.0,86.75,19.0
606208.0,304.7283842563629,6347.0,10.0,9.0,0.0,1000.0,85.0,19.0
