timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
16384.0,8.037583351135254,271.0,10.0,8.0,0.0,109.0,53.125,13.0
32768.0,16.488388061523438,536.0,10.0,9.0,0.0,152.0,46.7,19.0
49152.0,24.391905069351196,821.0,10.0,8.75,0.0,430.0,79.1,20.0
65536.0,32.34987664222717,1094.0,10.0,9.0,0.0,158.0,52.85,19.0
81920.0,40.22614645957947,1372.0,10.0,8.75,0.0,164.0,73.05,19.0
98304.0,48.13005471229553,1648.0,10.0,9.25,0.0,223.0,52.975,19.0
114688.0,56.06479740142822,1880.0,10.0,9.5,0.0,189.0,76.025,19.0
131072.0,64.40507888793945,2153.0,10.0,7.75,0.0,214.0,53.05,19.0
147456.0,72.41348934173584,2380.0,10.0,9.25,0.0,225.0,67.775,19.0
163840.0,80.45777463912964,2607.0,10.0,9.25,0.0,272.0,65.05,19.0
180224.0,88.80416417121887,2836.0,10.0,9.25,0.0,302.0,72.25,19.0
196608.0,97.20248556137085,3053.0,10.0,8.5,0.0,275.0,73.9,20.0
212992.0,105.49608969688416,3306.0,10.0,8.75,0.0,287.0,51.375,19.0
229376.0,113.79988026618958,3539.0,10.0,9.75,0.0,253.0,65.45,20.0
245760.0,122.1336395740509,3765.0,10.0,9.75,0.0,222.0,60.425,19.0
262144.0,130.15226697921753,3970.0,10.0,8.25,0.0,307.0,93.325,22.0
278528.0,138.65866923332214,4184.0,10.0,8.75,0.0,588.0,97.25,20.0
294912.0,147.08811974525452,4395.0,10.0,9.0,0.0,230.0,82.75,20.0
311296.0,155.52674317359924,4590.0,10.0,8.5,0.0,342.0,74.25,20.0
327680.0,163.95448279380798,4763.0,10.0,9.25,0.0,242.0,74.4,19.0
344064.0,172.1289417743683,4953.0,10.0,8.25,0.0,1000.0,107.975,21.0
360448.0,180.12833976745605,5125.0,10.0,8.0,0.0,1000.0,115.375,20.0
376832.0,188.06035375595093,5301.0,10.0,8.75,0.0,1000.0,119.5,19.0
393216.0,195.97407126426697,5492.0,10.0,9.25,0.0,701.0,91.6,18.0
409600.0,204.26023411750793,5704.0,10.0,7.75,0.0,218.0,60.9,18.0
425984.0,212.77054858207703,5889.0,10.0,8.0,0.0,323.0,73.7,21.0
442368.0,220.87795639038086,6115.0,10.0,8.5,0.0,519.0,78.55,20.0
458752.0,228.9127585887909,6303.0,10.0,9.25,0.0,215.0,70.625,20.0
475136.0,236.86499738693237,6536.0,10.0,9.25,0.0,334.0,65.5,20.0
491520.0,245.139075756073,6758.0,10.0,9.0,0.0,638.0,87.825,20.0
507904.0,253.43653202056885,6994.0,10.0,8.25,0.0,406.0,78.875,20.0
524288.0,261.66986083984375,7194.0,10.0,8.75,0.0,242.0,68.825,20.0
540672.0,269.64012002944946,7388.0,10.0,8.5,0.0,471.0,62.525,19.0
557056.0,278.04025506973267,7585.0,10.0,8.5,0.0,1000.0,111.725,20.0
