timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
16384.0,7.984050750732422,288.0,10.0,7.5,0.0,114.0,46.125,1.0
32768.0,16.08559012413025,580.0,10.0,9.25,0.0,152.0,50.275,22.0
49152.0,24.449019193649292,883.0,10.0,8.0,0.0,133.0,60.0,21.0
65536.0,32.853399991989136,1158.0,10.0,9.25,0.0,140.0,49.55,22.0
81920.0,40.76155233383179,1458.0,10.0,9.25,0.0,159.0,48.5,21.0
98304.0,49.08603262901306,1737.0,10.0,9.5,0.0,172.0,59.6,22.0
114688.0,57.37015104293823,2040.0,10.0,8.5,0.0,157.0,55.475,22.0
131072.0,65.6928482055664,2340.0,10.0,8.25,0.0,116.0,50.8,21.0
147456.0,74.07998609542847,2631.0,10.0,9.25,0.0,160.0,55.85,21.0
163840.0,82.27191877365112,2914.0,10.0,8.5,0.0,187.0,53.025,22.0
180224.0,90.58598160743713,3183.0,10.0,9.75,0.0,141.0,57.825,22.0
196608.0,99.04503297805786,3464.0,10.0,9.0,0.0,175.0,52.55,21.0
212992.0,107.52062726020813,3746.0,10.0,8.5,0.0,179.0,50.075,21.0
229376.0,115.4976282119751,4048.0,10.0,9.75,0.0,149.0,42.575,22.0
245760.0,123.77640151977539,4341.0,10.0,9.5,0.0,227.0,64.075,22.0
262144.0,132.1822214126587,4624.0,10.0,9.25,0.0,186.0,60.75,22.0
278528.0,140.66194486618042,4905.0,10.0,9.25,0.0,119.0,52.8,21.0
294912.0,148.72012543678284,5185.0,10.0,9.25,0.0,179.0,59.775,22.0
311296.0,156.8442702293396,5462.0,10.0,9.0,0.0,159.0,58.9,21.0
327680.0,164.77274227142334,5739.0,10.0,9.25,0.0,157.0,58.25,21.0
344064.0,172.99223136901855,6020.0,10.0,10.0,10.0,161.0,62.125,22.0
360448.0,180.96546292304993,6301.0,10.0,8.25,0.0,227.0,54.525,21.0
376832.0,188.97646141052246,6571.0,10.0,8.25,0.0,197.0,57.3,22.0
393216.0,196.84927105903625,6833.0,10.0,8.75,0.0,191.0,67.95,22.0
409600.0,204.87414145469666,7104.0,10.0,7.75,0.0,193.0,64.1,22.0
425984.0,213.2459897994995,7377.0,10.0,8.5,0.0,168.0,60.675,22.0
442368.0,221.68226647377014,7645.0,10.0,8.75,0.0,354.0,65.025,21.0
458752.0,229.71670055389404,7895.0,10.0,8.5,0.0,252.0,80.925,23.0
475136.0,237.682386636734,8143.0,10.0,9.5,0.0,211.0,63.55,22.0
491520.0,246.05699181556702,8370.0,10.0,9.25,0.0,326.0,73.1,21.0
507904.0,254.39757800102234,8622.0,10.0,9.0,0.0,189.0,60.85,22.0
524288.0,262.791787147522,8872.0,10.0,9.75,0.0,230.0,71.325,22.0
540672.0,271.1648299694061,9128.0,10.0,9.0,0.0,287.0,64.15,22.0
557056.0,279.13765478134155,9384.0,10.0,9.5,0.0,183.0,59.85,22.0
573440.0,287.36038041114807,9622.0,10.0,9.25,0.0,196.0,66.725,23.0
589824.0,295.6860547065735,9856.0,10.0,9.0,0.0,177.0,76.675,24.0
606208.0,303.89240741729736,10105.0,10.0,8.5,0.0,816.0,75.475,23.0
622592.0,312.1789388656616,10353.0,10.0,9.25,0.0,149.0,55.9,24.0
638976.0,320.55796790122986,10589.0,10.0,9.25,0.0,193.0,67.975,22.0
655360.0,328.8887085914612,10846.0,10.0,9.25,0.0,220.0,67.85,22.0
