timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
16384.0,8.087315082550049,13.0,10.0,3.076923131942749,0.0,177.0,105.6923076923077,17.0
32768.0,16.082560777664185,24.0,10.0,3.3333332538604736,0.0,510.0,225.91666666666666,17.0
49152.0,24.200416803359985,43.0,10.0,3.0,0.0,765.0,421.025,6.0
65536.0,32.253419399261475,81.0,10.0,2.5,0.0,1000.0,707.0,7.0
81920.0,40.2995240688324,106.0,10.0,4.5,0.0,1000.0,596.825,15.0
98304.0,48.39519143104553,121.0,10.0,5.5,0.0,1000.0,565.725,2.0
114688.0,56.42178463935852,137.0,10.0,4.75,0.0,1000.0,650.55,2.0
131072.0,64.50802612304688,164.0,10.0,2.0,0.0,1000.0,858.575,2.0
147456.0,72.35877227783203,185.0,10.0,1.75,0.0,1000.0,866.475,2.0
163840.0,80.41310429573059,200.0,10.0,2.5,0.0,1000.0,812.325,15.0
180224.0,88.14456796646118,216.0,10.0,3.25,0.0,1000.0,766.35,15.0
196608.0,96.19196009635925,244.0,10.0,2.75,0.0,1000.0,826.875,15.0
212992.0,104.18555474281311,270.0,10.0,2.75,0.0,1000.0,767.275,13.0
229376.0,112.19708275794983,288.0,10.0,3.25,0.0,1000.0,735.7,24.0
245760.0,120.2197847366333,303.0,10.0,3.5,0.0,1000.0,725.8,10.0
262144.0,128.27498054504395,326.0,10.0,2.0,0.0,1000.0,861.75,10.0
278528.0,136.31303906440735,348.0,10.0,1.75,0.0,1000.0,867.875,15.0
294912.0,144.38301396369934,368.0,10.0,2.5,0.0,1000.0,821.525,15.0
311296.0,152.458331823349,387.0,10.0,3.5,0.0,1000.0,799.725,42.0
327680.0,160.47587060928345,412.0,10.0,3.75,0.0,1000.0,793.875,7.0
344064.0,168.5131597518921,433.0,10.0,4.5,0.0,1000.0,720.825,7.0
360448.0,176.56172394752502,457.0,10.0,4.5,0.0,1000.0,699.725,2.0
376832.0,184.61524200439453,477.0,10.0,4.0,0.0,1000.0,754.95,2.0
393216.0,192.6616792678833,497.0,10.0,3.25,0.0,1000.0,762.75,27.0
409600.0,200.70122981071472,522.0,10.0,3.75,0.0,1000.0,702.575,27.0
425984.0,208.74746537208557,541.0,10.0,2.75,0.0,1000.0,804.85,57.0
442368.0,216.7879855632782,564.0,10.0,3.5,0.0,1000.0,787.95,6.0
458752.0,224.797523021698,583.0,10.0,3.75,0.0,1000.0,747.675,6.0
475136.0,232.80496430397034,606.0,10.0,3.25,0.0,1000.0,759.175,19.0
491520.0,240.82523703575134,625.0,10.0,2.75,0.0,1000.0,793.2,18.0
507904.0,248.94370317459106,649.0,10.0,3.5,0.0,1000.0,739.725,18.0
524288.0,256.96009135246277,669.0,10.0,3.5,0.0,1000.0,770.25,29.0
540672.0,265.01140308380127,689.0,10.0,2.75,0.0,1000.0,812.45,9.0
557056.0,273.06224393844604,707.0,10.0,3.0,0.0,1000.0,780.625,1.0
573440.0,281.12068271636963,735.0,10.0,4.25,0.0,1000.0,715.825,1.0
589824.0,289.15113949775696,764.0,10.0,5.0,0.0,1000.0,664.725,1.0
606208.0,297.19021248817444,785.0,10.0,4.25,0.0,1000.0,721.55,10.0
622592.0,305.23163771629333,798.0,10.0,4.0,0.0,1000.0,722.8,10.0
638976.0,313.28377413749695,823.0,10.0,3.5,0.0,1000.0,777.725,2.0
655360.0,321.3348321914673,841.0,10.0,2.75,0.0,1000.0,859.45,17.0
671744.0,329.3975327014923,870.0,10.0,3.0,0.0,1000.0,818.425,4.0
688128.0,337.43809175491333,886.0,10.0,4.0,0.0,1000.0,740.0,4.0
704512.0,345.3995144367218,906.0,10.0,4.25,0.0,1000.0,720.325,13.0
720896.0,353.22521781921387,930.0,10.0,4.25,0.0,1000.0,713.65,1.0
737280.0,361.2079846858978,954.0,10.0,3.25,0.0,1000.0,791.2,4.0
753664.0,369.14430046081543,972.0,10.0,3.5,0.0,1000.0,778.55,46.0
770048.0,377.171098947525,988.0,10.0,3.25,0.0,1000.0,780.275,3.0
786432.0,385.1606433391571,1011.0,10.0,2.5,0.0,1000.0,829.225,3.0
802816.0,393.1766211986542,1037.0,10.0,3.5,0.0,1000.0,746.925,6.0
819200.0,401.179062128067,1059.0,10.0,3.5,0.0,1000.0,728.225,6.0
