timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
16384.0,8.090919733047485,28.0,30.0,14.392857551574707,0.0,253.0,119.21428571428571,1.0
32768.0,16.163726568222046,87.0,54.0,27.450000762939453,0.0,512.0,271.125,40.0
49152.0,24.264436721801758,124.0,77.0,30.325000762939453,3.0,577.0,330.45,77.0
65536.0,32.33111333847046,166.0,76.0,43.54999923706055,5.0,577.0,428.9,95.0
81920.0,40.42874550819397,208.0,67.0,39.04999923706055,0.0,577.0,400.5,42.0
98304.0,48.53802156448364,245.0,72.0,37.17499923706055,0.0,577.0,372.525,42.0
114688.0,56.623764753341675,296.0,78.0,38.724998474121094,1.0,577.0,394.85,43.0
131072.0,64.68532395362854,353.0,75.0,33.275001525878906,1.0,577.0,342.725,76.0
147456.0,72.79904174804688,397.0,68.0,28.899999618530273,0.0,577.0,313.225,66.0
163840.0,80.87066745758057,443.0,74.0,32.125,0.0,577.0,347.075,37.0
180224.0,88.97204065322876,494.0,68.0,31.950000762939453,2.0,577.0,327.25,57.0
196608.0,97.04909896850586,552.0,65.0,26.600000381469727,0.0,577.0,287.775,20.0
212992.0,105.13782453536987,598.0,64.0,29.049999237060547,0.0,577.0,318.7,64.0
229376.0,113.1613380908966,648.0,74.0,33.42499923706055,3.0,577.0,348.725,65.0
245760.0,121.22976636886597,695.0,63.0,27.899999618530273,0.0,577.0,306.3,41.0
262144.0,129.31279158592224,747.0,64.0,27.950000762939453,0.0,577.0,306.425,42.0
278528.0,137.39594435691833,794.0,76.0,35.79999923706055,2.0,577.0,373.3,52.0
294912.0,145.519775390625,837.0,72.0,38.125,7.0,577.0,394.75,117.0
311296.0,153.57354426383972,888.0,61.0,30.774999618530273,4.0,577.0,336.8,89.0
327680.0,161.6634542942047,934.0,75.0,30.875,3.0,577.0,332.925,62.0
344064.0,169.74872970581055,980.0,81.0,35.724998474121094,1.0,577.0,370.975,77.0
360448.0,177.85705184936523,1030.0,69.0,35.900001525878906,1.0,577.0,370.975,34.0
376832.0,185.93550658226013,1064.0,69.0,35.525001525878906,2.0,577.0,372.15,65.0
393216.0,194.04686284065247,1102.0,78.0,44.20000076293945,2.0,577.0,432.475,42.0
409600.0,202.1144998073578,1152.0,79.0,43.42499923706055,3.0,577.0,414.9,62.0
425984.0,210.2219626903534,1182.0,72.0,35.349998474121094,6.0,577.0,353.225,62.0
442368.0,218.30250763893127,1228.0,76.0,47.07500076293945,10.0,577.0,466.425,124.0
458752.0,226.3359613418579,1266.0,77.0,37.75,0.0,577.0,359.45,65.0
475136.0,234.35099744796753,1311.0,76.0,42.775001525878906,8.0,577.0,423.65,100.0
491520.0,242.45765495300293,1355.0,69.0,38.775001525878906,5.0,577.0,394.675,75.0
507904.0,250.2238414287567,1396.0,77.0,36.849998474121094,3.0,577.0,380.375,44.0
524288.0,258.30870294570923,1439.0,70.0,36.75,1.0,577.0,366.6,42.0
540672.0,266.31951379776,1482.0,73.0,36.599998474121094,2.0,577.0,386.75,50.0
557056.0,274.4254686832428,1519.0,73.0,40.17499923706055,2.0,577.0,392.9,81.0
573440.0,282.49157786369324,1573.0,67.0,29.649999618530273,2.0,576.0,316.475,77.0
589824.0,290.59201097488403,1620.0,68.0,36.04999923706055,0.0,577.0,364.35,82.0
606208.0,298.6584413051605,1660.0,74.0,37.42499923706055,2.0,577.0,381.6,114.0
622592.0,306.75512862205505,1706.0,77.0,36.400001525878906,0.0,577.0,370.7,44.0
638976.0,314.823055267334,1742.0,72.0,35.07500076293945,0.0,577.0,355.525,34.0
655360.0,322.9122292995453,1797.0,83.0,38.275001525878906,2.0,577.0,377.775,90.0
671744.0,330.97710847854614,1832.0,69.0,35.849998474121094,1.0,571.0,364.125,86.0
688128.0,339.0752868652344,1884.0,75.0,32.75,2.0,577.0,351.6,73.0
704512.0,347.1773545742035,1928.0,71.0,34.900001525878906,2.0,577.0,364.45,45.0
720896.0,355.2861359119415,1973.0,77.0,37.04999923706055,3.0,577.0,365.725,53.0
737280.0,363.37451791763306,2030.0,72.0,29.5,4.0,577.0,316.975,67.0
753664.0,371.4381511211395,2088.0,71.0,27.225000381469727,3.0,577.0,292.475,59.0
770048.0,379.53026962280273,2137.0,69.0,26.424999237060547,0.0,577.0,293.25,45.0
786432.0,387.61582827568054,2191.0,73.0,28.600000381469727,3.0,576.0,311.025,75.0
802816.0,395.72328186035156,2255.0,71.0,28.625,3.0,577.0,302.55,75.0
819200.0,403.8060920238495,2299.0,71.0,28.325000762939453,5.0,577.0,308.375,95.0
835584.0,411.90328192710876,2350.0,76.0,29.5,4.0,577.0,316.15,91.0
851968.0,419.9837968349457,2405.0,73.0,29.899999618530273,1.0,576.0,311.05,50.0
868352.0,428.0871629714966,2456.0,67.0,31.299999237060547,5.0,577.0,334.725,87.0
884736.0,436.165913105011,2505.0,77.0,26.975000381469727,0.0,576.0,292.3,51.0
901120.0,444.27062368392944,2551.0,77.0,32.20000076293945,1.0,577.0,330.35,63.0
917504.0,452.333398103714,2605.0,73.0,34.04999923706055,5.0,577.0,359.375,90.0
933888.0,460.40971279144287,2670.0,61.0,19.5,1.0,576.0,234.625,63.0
