timesteps ,wall_time         ,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len  ,min_episode_len
16384.0   ,11.123491764068604,12.0        ,10.0               ,4.166666507720947   ,0.0                ,255.0          ,165.16666666666666,64.0
32768.0   ,19.423103094100952,33.0        ,10.0               ,5.151515007019043   ,0.0                ,494.0          ,291.6060606060606 ,64.0
49152.0   ,27.5039222240448  ,62.0        ,10.0               ,4.25                ,0.0                ,721.0          ,383.475           ,79.0
65536.0   ,35.46168899536133 ,110.0       ,10.0               ,1.75                ,0.0                ,1000.0         ,634.15            ,57.0
81920.0   ,43.56284761428833 ,146.0       ,10.0               ,3.75                ,0.0                ,1000.0         ,456.375           ,44.0
98304.0   ,51.895005226135254,192.0       ,10.0               ,3.25                ,0.0                ,1000.0         ,321.675           ,35.0
114688.0  ,60.30949926376343 ,262.0       ,10.0               ,4.75                ,0.0                ,1000.0         ,315.85            ,50.0
131072.0  ,68.71517324447632 ,345.0       ,10.0               ,5.75                ,0.0                ,1000.0         ,283.75            ,38.0
147456.0  ,77.0332145690918  ,437.0       ,10.0               ,4.25                ,0.0                ,603.0          ,184.175           ,19.0
163840.0  ,85.30537223815918 ,592.0       ,10.0               ,4.0                 ,0.0                ,406.0          ,119.8             ,32.0
180224.0  ,93.46213793754578 ,752.0       ,10.0               ,6.25                ,0.0                ,464.0          ,107.1             ,34.0
196608.0  ,101.81698441505432,897.0       ,10.0               ,4.5                 ,0.0                ,262.0          ,103.825           ,22.0
212992.0  ,110.05421257019043,1073.0      ,10.0               ,5.0                 ,0.0                ,195.0          ,88.25             ,29.0
229376.0  ,118.44412851333618,1264.0      ,10.0               ,7.0                 ,0.0                ,193.0          ,80.2              ,34.0
245760.0  ,126.84083414077759,1451.0      ,10.0               ,5.5                 ,0.0                ,262.0          ,81.15             ,22.0
262144.0  ,135.10932850837708,1658.0      ,10.0               ,6.5                 ,0.0                ,339.0          ,85.525            ,26.0
278528.0  ,143.27680611610413,1884.0      ,10.0               ,6.25                ,0.0                ,176.0          ,77.8              ,22.0
294912.0  ,151.5276288986206 ,2103.0      ,10.0               ,5.75                ,0.0                ,240.0          ,71.15             ,29.0
311296.0  ,159.79029369354248,2334.0      ,10.0               ,5.75                ,0.0                ,222.0          ,78.125            ,32.0
327680.0  ,168.17462420463562,2565.0      ,10.0               ,6.75                ,0.0                ,196.0          ,75.275            ,21.0
344064.0  ,176.51596450805664,2802.0      ,10.0               ,7.25                ,0.0                ,145.0          ,64.025            ,17.0
360448.0  ,184.84890174865723,3046.0      ,10.0               ,6.75                ,0.0                ,224.0          ,66.8              ,18.0
376832.0  ,193.10212182998657,3300.0      ,10.0               ,6.5                 ,0.0                ,143.0          ,65.375            ,18.0
393216.0  ,201.3880581855774 ,3556.0      ,10.0               ,6.75                ,0.0                ,137.0          ,65.025            ,19.0
409600.0  ,209.72846007347107,3802.0      ,10.0               ,5.5                 ,0.0                ,179.0          ,54.8              ,17.0
425984.0  ,218.04047298431396,4067.0      ,10.0               ,4.25                ,0.0                ,171.0          ,60.975            ,19.0
442368.0  ,226.30226397514343,4322.0      ,10.0               ,7.0                 ,0.0                ,152.0          ,56.2              ,19.0
458752.0  ,234.53559827804565,4575.0      ,10.0               ,6.25                ,0.0                ,165.0          ,59.775            ,20.0
475136.0  ,242.79831457138062,4846.0      ,10.0               ,5.5                 ,0.0                ,196.0          ,68.275            ,19.0
491520.0  ,251.1926760673523 ,5104.0      ,10.0               ,6.75                ,0.0                ,141.0          ,51.75             ,16.0
507904.0  ,259.55883979797363,5369.0      ,10.0               ,4.5                 ,0.0                ,168.0          ,66.325            ,17.0
524288.0  ,267.93086290359497,5655.0      ,10.0               ,7.5                 ,0.0                ,215.0          ,60.725            ,20.0
540672.0  ,276.3004951477051 ,5920.0      ,10.0               ,5.75                ,0.0                ,190.0          ,69.175            ,22.0
557056.0  ,284.7071795463562 ,6188.0      ,10.0               ,5.5                 ,0.0                ,183.0          ,58.4              ,20.0
573440.0  ,293.0081446170807 ,6444.0      ,10.0               ,6.0                 ,0.0                ,148.0          ,60.725            ,19.0
589824.0  ,301.44556760787964,6693.0      ,10.0               ,6.5                 ,0.0                ,154.0          ,56.825            ,20.0
606208.0  ,309.6413245201111 ,6966.0      ,10.0               ,6.0                 ,0.0                ,166.0          ,62.275            ,20.0
622592.0  ,317.98834896087646,7214.0      ,10.0               ,5.75                ,0.0                ,195.0          ,64.55             ,17.0
638976.0  ,326.3614134788513 ,7466.0      ,10.0               ,4.0                 ,0.0                ,131.0          ,62.45             ,20.0
655360.0  ,334.6042821407318 ,7723.0      ,10.0               ,8.25                ,0.0                ,194.0          ,73.65             ,21.0
671744.0  ,342.85255122184753,7983.0      ,10.0               ,6.75                ,0.0                ,164.0          ,60.65             ,20.0
688128.0  ,351.0854914188385 ,8237.0      ,10.0               ,7.5                 ,0.0                ,186.0          ,63.625            ,20.0
704512.0  ,359.3966956138611 ,8503.0      ,10.0               ,7.25                ,0.0                ,267.0          ,68.525            ,20.0
720896.0  ,367.6924834251404 ,8791.0      ,10.0               ,6.5                 ,0.0                ,181.0          ,61.75             ,20.0
737280.0  ,375.9740891456604 ,9063.0      ,10.0               ,6.75                ,0.0                ,134.0          ,55.425            ,18.0
753664.0  ,384.20689725875854,9307.0      ,10.0               ,6.5                 ,0.0                ,196.0          ,66.275            ,23.0
770048.0  ,392.4592761993408 ,9574.0      ,10.0               ,6.25                ,0.0                ,224.0          ,63.3              ,20.0
786432.0  ,400.73380970954895,9855.0      ,10.0               ,7.0                 ,0.0                ,216.0          ,60.175            ,20.0
802816.0  ,409.07717418670654,10128.0     ,10.0               ,6.5                 ,0.0                ,212.0          ,74.35             ,20.0
819200.0  ,417.410897731781  ,10387.0     ,10.0               ,6.75                ,0.0                ,201.0          ,61.625            ,19.0
835584.0  ,425.8096785545349 ,10643.0     ,10.0               ,6.75                ,0.0                ,229.0          ,70.0              ,22.0
851968.0  ,434.18664932250977,10905.0     ,10.0               ,7.25                ,0.0                ,179.0          ,58.725            ,19.0
868352.0  ,442.57945466041565,11153.0     ,10.0               ,7.25                ,0.0                ,195.0          ,74.95             ,20.0
884736.0  ,450.91823077201843,11391.0     ,10.0               ,7.75                ,0.0                ,144.0          ,58.525            ,21.0
901120.0  ,459.33407068252563,11640.0     ,10.0               ,7.25                ,0.0                ,244.0          ,72.7              ,20.0
917504.0  ,467.8318827152252 ,11890.0     ,10.0               ,7.0                 ,0.0                ,186.0          ,70.775            ,19.0
933888.0  ,476.2031593322754 ,12123.0     ,10.0               ,8.0                 ,0.0                ,219.0          ,75.8              ,20.0
950272.0  ,484.57105326652527,12364.0     ,10.0               ,7.75                ,0.0                ,261.0          ,80.475            ,21.0
966656.0  ,493.00313425064087,12615.0     ,10.0               ,8.5                 ,0.0                ,268.0          ,82.225            ,20.0
983040.0  ,501.3564088344574 ,12887.0     ,10.0               ,8.75                ,0.0                ,143.0          ,55.95             ,20.0
999424.0  ,509.62973737716675,13132.0     ,10.0               ,7.75                ,0.0                ,133.0          ,64.475            ,20.0
1015808.0 ,518.0852913856506 ,13377.0     ,10.0               ,7.25                ,0.0                ,190.0          ,65.3              ,20.0
1032192.0 ,526.432374715805  ,13612.0     ,10.0               ,7.5                 ,0.0                ,217.0          ,79.05             ,22.0
1048576.0 ,534.772543668747  ,13876.0     ,10.0               ,8.25                ,0.0                ,166.0          ,64.0              ,19.0
1064960.0 ,543.1388540267944 ,14126.0     ,10.0               ,7.25                ,0.0                ,213.0          ,68.525            ,19.0
1081344.0 ,551.4693222045898 ,14368.0     ,10.0               ,7.25                ,0.0                ,201.0          ,66.725            ,19.0
