timesteps ,wall_time         ,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
16384.0   ,17.77454137802124 ,10.0        ,10.0               ,3.0                 ,0.0                ,206.0          ,115.2           ,27.0
32768.0   ,32.37135338783264 ,41.0        ,10.0               ,4.5                 ,0.0                ,502.0          ,287.725         ,27.0
49152.0   ,46.9065957069397  ,81.0        ,10.0               ,5.0                 ,0.0                ,740.0          ,398.375         ,64.0
65536.0   ,61.363874673843384,155.0       ,10.0               ,3.75                ,0.0                ,1000.0         ,405.35          ,29.0
81920.0   ,75.86152291297913 ,251.0       ,10.0               ,5.5                 ,0.0                ,708.0          ,165.625         ,40.0
98304.0   ,90.3938558101654  ,395.0       ,10.0               ,5.5                 ,0.0                ,271.0          ,129.15          ,40.0
114688.0  ,104.88847732543945,537.0       ,10.0               ,5.75                ,0.0                ,868.0          ,126.025         ,27.0
131072.0  ,119.44952487945557,712.0       ,10.0               ,4.0                 ,0.0                ,389.0          ,101.3           ,30.0
147456.0  ,134.0279026031494 ,896.0       ,10.0               ,7.75                ,0.0                ,172.0          ,79.45           ,33.0
163840.0  ,148.63073635101318,1112.0      ,10.0               ,5.75                ,0.0                ,219.0          ,74.05           ,20.0
180224.0  ,163.18650484085083,1306.0      ,10.0               ,5.25                ,0.0                ,153.0          ,71.825          ,18.0
196608.0  ,177.7937355041504 ,1517.0      ,10.0               ,5.5                 ,0.0                ,210.0          ,82.4            ,34.0
212992.0  ,192.43126320838928,1734.0      ,10.0               ,6.25                ,0.0                ,163.0          ,74.125          ,23.0
229376.0  ,207.0737144947052 ,1934.0      ,10.0               ,5.75                ,0.0                ,164.0          ,75.825          ,26.0
245760.0  ,221.7383770942688 ,2158.0      ,10.0               ,5.5                 ,0.0                ,244.0          ,82.275          ,23.0
262144.0  ,236.30182123184204,2383.0      ,10.0               ,6.5                 ,0.0                ,128.0          ,70.8            ,22.0
278528.0  ,250.9865951538086 ,2613.0      ,10.0               ,5.75                ,0.0                ,183.0          ,67.45           ,18.0
294912.0  ,265.5451707839966 ,2839.0      ,10.0               ,6.5                 ,0.0                ,197.0          ,74.8            ,20.0
311296.0  ,280.1999170780182 ,3080.0      ,10.0               ,6.5                 ,0.0                ,215.0          ,71.925          ,28.0
327680.0  ,294.7753760814667 ,3331.0      ,10.0               ,7.0                 ,0.0                ,232.0          ,76.225          ,25.0
344064.0  ,309.35849046707153,3574.0      ,10.0               ,6.0                 ,0.0                ,137.0          ,58.9            ,20.0
360448.0  ,323.9545228481293 ,3821.0      ,10.0               ,7.0                 ,0.0                ,212.0          ,68.125          ,17.0
376832.0  ,338.6481318473816 ,4072.0      ,10.0               ,6.0                 ,0.0                ,159.0          ,62.725          ,18.0
393216.0  ,353.2488603591919 ,4334.0      ,10.0               ,6.0                 ,0.0                ,151.0          ,57.875          ,19.0
409600.0  ,367.8836524486542 ,4600.0      ,10.0               ,6.25                ,0.0                ,136.0          ,57.975          ,20.0
425984.0  ,382.46228861808777,4854.0      ,10.0               ,6.25                ,0.0                ,142.0          ,60.3            ,17.0
442368.0  ,397.0884139537811 ,5107.0      ,10.0               ,6.0                 ,0.0                ,171.0          ,59.1            ,21.0
458752.0  ,411.69538283348083,5376.0      ,10.0               ,6.75                ,0.0                ,181.0          ,65.35           ,21.0
475136.0  ,426.272846698761  ,5643.0      ,10.0               ,6.5                 ,0.0                ,130.0          ,62.025          ,17.0
491520.0  ,440.81389570236206,5919.0      ,10.0               ,6.75                ,0.0                ,173.0          ,59.375          ,18.0
507904.0  ,455.45120453834534,6201.0      ,10.0               ,7.0                 ,0.0                ,171.0          ,55.65           ,17.0
524288.0  ,470.1070046424866 ,6464.0      ,10.0               ,6.75                ,0.0                ,171.0          ,63.9            ,17.0
540672.0  ,484.75335121154785,6754.0      ,10.0               ,5.25                ,0.0                ,128.0          ,56.425          ,22.0
557056.0  ,499.38643884658813,7021.0      ,10.0               ,7.25                ,0.0                ,156.0          ,62.0            ,21.0
573440.0  ,514.1240427494049 ,7305.0      ,10.0               ,7.75                ,0.0                ,160.0          ,60.075          ,18.0
589824.0  ,528.7785696983337 ,7562.0      ,10.0               ,7.0                 ,0.0                ,181.0          ,66.225          ,21.0
606208.0  ,543.0656599998474 ,7830.0      ,10.0               ,6.5                 ,0.0                ,134.0          ,58.95           ,20.0
622592.0  ,557.3578953742981 ,8093.0      ,10.0               ,6.5                 ,0.0                ,174.0          ,61.45           ,19.0
638976.0  ,571.8062117099762 ,8353.0      ,10.0               ,7.5                 ,0.0                ,138.0          ,63.975          ,17.0
655360.0  ,586.0049486160278 ,8634.0      ,10.0               ,7.5                 ,0.0                ,172.0          ,63.925          ,19.0
671744.0  ,600.1918215751648 ,8904.0      ,10.0               ,6.5                 ,0.0                ,186.0          ,62.05           ,19.0
688128.0  ,614.7466883659363 ,9180.0      ,10.0               ,6.75                ,0.0                ,150.0          ,58.8            ,20.0
704512.0  ,629.2800176143646 ,9451.0      ,10.0               ,7.5                 ,0.0                ,177.0          ,74.075          ,22.0
720896.0  ,643.4713773727417 ,9739.0      ,10.0               ,7.75                ,0.0                ,163.0          ,56.575          ,22.0
737280.0  ,657.8610026836395 ,10020.0     ,10.0               ,7.5                 ,0.0                ,185.0          ,62.675          ,18.0
753664.0  ,672.4687285423279 ,10292.0     ,10.0               ,7.5                 ,0.0                ,193.0          ,62.1            ,19.0
770048.0  ,686.7738311290741 ,10560.0     ,10.0               ,6.0                 ,0.0                ,153.0          ,59.125          ,16.0
786432.0  ,701.3465015888214 ,10839.0     ,10.0               ,6.25                ,0.0                ,120.0          ,53.725          ,17.0
802816.0  ,715.9136426448822 ,11125.0     ,10.0               ,6.75                ,0.0                ,87.0           ,45.15           ,19.0
819200.0  ,730.5500085353851 ,11412.0     ,10.0               ,7.25                ,0.0                ,123.0          ,59.525          ,19.0
835584.0  ,745.1301374435425 ,11690.0     ,10.0               ,7.0                 ,0.0                ,134.0          ,54.275          ,16.0
851968.0  ,759.690511226654  ,11978.0     ,10.0               ,7.5                 ,0.0                ,130.0          ,57.325          ,16.0
868352.0  ,774.2201037406921 ,12276.0     ,10.0               ,8.25                ,0.0                ,114.0          ,47.15           ,18.0
884736.0  ,788.7870779037476 ,12586.0     ,10.0               ,7.0                 ,0.0                ,112.0          ,47.275          ,18.0
901120.0  ,803.3248226642609 ,12877.0     ,10.0               ,7.75                ,0.0                ,136.0          ,55.975          ,19.0
917504.0  ,817.8927652835846 ,13168.0     ,10.0               ,7.0                 ,0.0                ,144.0          ,57.625          ,18.0
