timesteps ,wall_time         ,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len ,min_episode_len
16384.0   ,11.444379329681396,8.0         ,10.0               ,3.75                ,0.0                ,247.0          ,159.625          ,98.0
32768.0   ,19.968982219696045,31.0        ,10.0               ,3.8709676265716553  ,0.0                ,511.0          ,272.8709677419355,55.0
49152.0   ,28.39638090133667 ,70.0        ,10.0               ,6.0                 ,0.0                ,756.0          ,457.9            ,58.0
65536.0   ,36.76714539527893 ,146.0       ,10.0               ,3.25                ,0.0                ,1000.0         ,351.75           ,50.0
81920.0   ,45.137662172317505,211.0       ,10.0               ,6.5                 ,0.0                ,632.0          ,200.025          ,50.0
98304.0   ,53.461973428726196,312.0       ,10.0               ,4.5                 ,0.0                ,1000.0         ,205.925          ,24.0
114688.0  ,61.75487422943115 ,413.0       ,10.0               ,5.25                ,0.0                ,415.0          ,139.925          ,28.0
131072.0  ,70.20150375366211 ,530.0       ,10.0               ,6.25                ,0.0                ,964.0          ,151.85           ,19.0
147456.0  ,78.31813716888428 ,660.0       ,10.0               ,5.25                ,0.0                ,397.0          ,139.95           ,34.0
163840.0  ,86.64965677261353 ,799.0       ,10.0               ,6.25                ,0.0                ,492.0          ,116.85           ,36.0
180224.0  ,94.99209117889404 ,961.0       ,10.0               ,7.0                 ,0.0                ,423.0          ,110.7            ,33.0
196608.0  ,103.08812093734741,1151.0      ,10.0               ,5.5                 ,0.0                ,447.0          ,88.025           ,26.0
212992.0  ,111.4958906173706 ,1355.0      ,10.0               ,6.25                ,0.0                ,197.0          ,83.55            ,28.0
229376.0  ,119.78103160858154,1559.0      ,10.0               ,5.75                ,0.0                ,253.0          ,83.0             ,18.0
245760.0  ,127.8724524974823 ,1767.0      ,10.0               ,6.5                 ,0.0                ,269.0          ,73.975           ,32.0
262144.0  ,136.22698640823364,1968.0      ,10.0               ,7.25                ,0.0                ,201.0          ,79.55            ,23.0
278528.0  ,144.5693874359131 ,2176.0      ,10.0               ,6.5                 ,0.0                ,267.0          ,73.5             ,33.0
294912.0  ,152.85736513137817,2388.0      ,10.0               ,6.0                 ,0.0                ,190.0          ,79.45            ,19.0
311296.0  ,161.14077472686768,2614.0      ,10.0               ,7.25                ,0.0                ,454.0          ,77.125           ,18.0
327680.0  ,169.48071193695068,2858.0      ,10.0               ,6.0                 ,0.0                ,167.0          ,65.125           ,17.0
344064.0  ,177.79333877563477,3110.0      ,10.0               ,7.25                ,0.0                ,143.0          ,55.525           ,23.0
360448.0  ,186.20424270629883,3341.0      ,10.0               ,7.0                 ,0.0                ,164.0          ,56.2             ,19.0
376832.0  ,194.6236126422882 ,3577.0      ,10.0               ,6.25                ,0.0                ,199.0          ,63.975           ,22.0
393216.0  ,202.92389941215515,3830.0      ,10.0               ,6.25                ,0.0                ,175.0          ,65.475           ,21.0
409600.0  ,211.25276041030884,4076.0      ,10.0               ,8.25                ,0.0                ,181.0          ,69.55            ,22.0
425984.0  ,219.64210081100464,4325.0      ,10.0               ,6.25                ,0.0                ,181.0          ,68.925           ,22.0
442368.0  ,228.13552403450012,4587.0      ,10.0               ,7.5                 ,0.0                ,171.0          ,60.975           ,20.0
458752.0  ,236.57195854187012,4834.0      ,10.0               ,7.0                 ,0.0                ,196.0          ,70.75            ,20.0
475136.0  ,244.97752499580383,5087.0      ,10.0               ,6.75                ,0.0                ,174.0          ,65.15            ,19.0
491520.0  ,253.38323855400085,5329.0      ,10.0               ,7.25                ,0.0                ,241.0          ,69.875           ,21.0
507904.0  ,261.71383690834045,5571.0      ,10.0               ,7.0                 ,0.0                ,189.0          ,54.675           ,19.0
524288.0  ,269.77941489219666,5779.0      ,10.0               ,7.75                ,0.0                ,257.0          ,64.875           ,20.0
540672.0  ,278.2139251232147 ,6006.0      ,10.0               ,6.0                 ,0.0                ,316.0          ,93.5             ,20.0
557056.0  ,286.62432956695557,6241.0      ,10.0               ,8.0                 ,0.0                ,335.0          ,80.0             ,20.0
573440.0  ,295.017484664917  ,6459.0      ,10.0               ,7.0                 ,0.0                ,355.0          ,72.75            ,20.0
589824.0  ,303.38107562065125,6670.0      ,10.0               ,6.75                ,0.0                ,162.0          ,67.15            ,16.0
606208.0  ,311.89250326156616,6889.0      ,10.0               ,7.0                 ,0.0                ,357.0          ,74.625           ,20.0
622592.0  ,320.27894496917725,7114.0      ,10.0               ,7.0                 ,0.0                ,229.0          ,73.625           ,22.0
638976.0  ,328.67165994644165,7373.0      ,10.0               ,7.0                 ,0.0                ,234.0          ,71.825           ,19.0
655360.0  ,337.00640654563904,7593.0      ,10.0               ,6.75                ,0.0                ,240.0          ,70.975           ,20.0
671744.0  ,345.3856418132782 ,7836.0      ,10.0               ,8.0                 ,0.0                ,228.0          ,65.8             ,19.0
688128.0  ,353.77360701560974,8100.0      ,10.0               ,7.75                ,0.0                ,193.0          ,63.975           ,19.0
704512.0  ,362.30934500694275,8343.0      ,10.0               ,6.75                ,0.0                ,206.0          ,63.8             ,20.0
720896.0  ,370.68989658355713,8607.0      ,10.0               ,7.0                 ,0.0                ,223.0          ,65.225           ,20.0
737280.0  ,379.05900955200195,8871.0      ,10.0               ,6.5                 ,0.0                ,163.0          ,63.175           ,17.0
753664.0  ,387.3615393638611 ,9135.0      ,10.0               ,7.5                 ,0.0                ,172.0          ,66.55            ,21.0
770048.0  ,395.7557592391968 ,9398.0      ,10.0               ,7.75                ,0.0                ,212.0          ,66.625           ,20.0
786432.0  ,404.10873794555664,9677.0      ,10.0               ,7.25                ,0.0                ,187.0          ,68.125           ,19.0
802816.0  ,412.44946479797363,9942.0      ,10.0               ,7.75                ,0.0                ,144.0          ,55.55            ,17.0
819200.0  ,420.93167901039124,10216.0     ,10.0               ,7.0                 ,0.0                ,138.0          ,60.125           ,20.0
835584.0  ,428.98310899734497,10471.0     ,10.0               ,8.25                ,0.0                ,238.0          ,57.7             ,19.0
851968.0  ,436.96388816833496,10739.0     ,10.0               ,7.25                ,0.0                ,202.0          ,58.85            ,18.0
868352.0  ,445.2931299209595 ,10980.0     ,10.0               ,7.75                ,0.0                ,209.0          ,72.95            ,20.0
884736.0  ,453.74654507637024,11261.0     ,10.0               ,7.25                ,0.0                ,231.0          ,64.0             ,20.0
901120.0  ,461.80442214012146,11511.0     ,10.0               ,8.25                ,0.0                ,210.0          ,67.55            ,18.0
917504.0  ,470.0052287578583 ,11770.0     ,10.0               ,8.25                ,0.0                ,264.0          ,79.975           ,19.0
933888.0  ,478.36435437202454,12013.0     ,10.0               ,7.0                 ,0.0                ,207.0          ,71.15            ,19.0
950272.0  ,486.46116042137146,12278.0     ,10.0               ,8.0                 ,0.0                ,264.0          ,64.9             ,20.0
966656.0  ,494.8021080493927 ,12543.0     ,10.0               ,9.25                ,0.0                ,254.0          ,60.525           ,19.0
983040.0  ,503.2800147533417 ,12828.0     ,10.0               ,8.0                 ,0.0                ,154.0          ,58.2             ,20.0
999424.0  ,511.56895875930786,13110.0     ,10.0               ,8.75                ,0.0                ,174.0          ,62.075           ,20.0
1015808.0 ,519.828898191452  ,13371.0     ,10.0               ,7.75                ,0.0                ,173.0          ,59.775           ,15.0
1032192.0 ,528.2019379138947 ,13638.0     ,10.0               ,8.5                 ,0.0                ,140.0          ,52.8             ,20.0
1048576.0 ,536.5810418128967 ,13909.0     ,10.0               ,7.75                ,0.0                ,171.0          ,53.575           ,18.0
