timesteps ,wall_time         ,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len  ,min_episode_len
16384.0   ,11.512160539627075,5.0         ,10.0               ,2.0                 ,0.0                ,244.0          ,127.8             ,36.0
32768.0   ,19.891456365585327,28.0        ,10.0               ,3.2142856121063232  ,0.0                ,493.0          ,311.64285714285717,36.0
49152.0   ,28.2236750125885  ,56.0        ,10.0               ,3.75                ,0.0                ,756.0          ,385.275           ,68.0
65536.0   ,36.58408069610596 ,117.0       ,10.0               ,5.25                ,0.0                ,1000.0         ,594.05            ,76.0
81920.0   ,44.71912121772766 ,178.0       ,10.0               ,4.0                 ,0.0                ,1000.0         ,235.45            ,33.0
98304.0   ,53.03368592262268 ,264.0       ,10.0               ,4.75                ,0.0                ,1000.0         ,261.7             ,38.0
114688.0  ,61.17316436767578 ,373.0       ,10.0               ,5.5                 ,0.0                ,1000.0         ,226.7             ,53.0
131072.0  ,69.48085308074951 ,490.0       ,10.0               ,4.75                ,0.0                ,409.0          ,126.35            ,33.0
147456.0  ,77.77806091308594 ,634.0       ,10.0               ,4.25                ,0.0                ,406.0          ,145.125           ,32.0
163840.0  ,86.01236081123352 ,787.0       ,10.0               ,6.75                ,0.0                ,258.0          ,96.775            ,23.0
180224.0  ,94.31136512756348 ,960.0       ,10.0               ,6.0                 ,0.0                ,240.0          ,104.0             ,34.0
196608.0  ,102.59349846839905,1147.0      ,10.0               ,5.25                ,0.0                ,247.0          ,84.15             ,18.0
212992.0  ,110.93658590316772,1357.0      ,10.0               ,6.0                 ,0.0                ,287.0          ,80.15             ,21.0
229376.0  ,119.32680678367615,1559.0      ,10.0               ,6.25                ,0.0                ,187.0          ,74.675            ,22.0
245760.0  ,127.31176137924194,1794.0      ,10.0               ,6.0                 ,0.0                ,199.0          ,64.9              ,21.0
262144.0  ,135.61251497268677,2030.0      ,10.0               ,5.25                ,0.0                ,238.0          ,67.375            ,20.0
278528.0  ,143.74054312705994,2256.0      ,10.0               ,5.5                 ,0.0                ,174.0          ,67.1              ,18.0
294912.0  ,151.86938977241516,2510.0      ,10.0               ,6.0                 ,0.0                ,233.0          ,56.7              ,20.0
311296.0  ,160.1577410697937 ,2757.0      ,10.0               ,6.0                 ,0.0                ,140.0          ,66.575            ,21.0
327680.0  ,168.5713050365448 ,3005.0      ,10.0               ,6.75                ,0.0                ,124.0          ,56.2              ,21.0
344064.0  ,176.91454887390137,3260.0      ,10.0               ,7.75                ,0.0                ,292.0          ,80.925            ,21.0
360448.0  ,185.20726871490479,3540.0      ,10.0               ,6.75                ,0.0                ,176.0          ,60.75             ,21.0
376832.0  ,193.59444403648376,3832.0      ,10.0               ,5.75                ,0.0                ,176.0          ,60.975            ,19.0
393216.0  ,201.89625930786133,4095.0      ,10.0               ,7.0                 ,0.0                ,164.0          ,62.375            ,21.0
409600.0  ,210.32314348220825,4368.0      ,10.0               ,6.0                 ,0.0                ,191.0          ,63.825            ,20.0
425984.0  ,218.73501801490784,4628.0      ,10.0               ,5.5                 ,0.0                ,154.0          ,63.125            ,20.0
442368.0  ,227.13291931152344,4870.0      ,10.0               ,6.25                ,0.0                ,222.0          ,78.775            ,21.0
458752.0  ,235.435791015625  ,5153.0      ,10.0               ,6.0                 ,0.0                ,204.0          ,66.025            ,19.0
475136.0  ,243.8940498828888 ,5403.0      ,10.0               ,6.75                ,0.0                ,247.0          ,76.6              ,21.0
491520.0  ,252.34665632247925,5653.0      ,10.0               ,5.75                ,0.0                ,200.0          ,61.6              ,16.0
507904.0  ,260.4101212024689 ,5898.0      ,10.0               ,5.75                ,0.0                ,223.0          ,68.725            ,19.0
524288.0  ,268.83386731147766,6138.0      ,10.0               ,6.5                 ,0.0                ,302.0          ,71.55             ,20.0
540672.0  ,276.8616120815277 ,6361.0      ,10.0               ,7.25                ,0.0                ,288.0          ,75.725            ,21.0
557056.0  ,285.264200925827  ,6571.0      ,10.0               ,6.5                 ,0.0                ,242.0          ,60.125            ,19.0
573440.0  ,293.7325110435486 ,6816.0      ,10.0               ,5.75                ,0.0                ,235.0          ,74.025            ,21.0
589824.0  ,302.2381067276001 ,7052.0      ,10.0               ,6.25                ,0.0                ,221.0          ,73.45             ,19.0
606208.0  ,310.7393753528595 ,7288.0      ,10.0               ,8.75                ,0.0                ,251.0          ,70.7              ,20.0
622592.0  ,319.3683087825775 ,7515.0      ,10.0               ,6.5                 ,0.0                ,272.0          ,73.275            ,20.0
638976.0  ,327.57108974456787,7726.0      ,10.0               ,7.0                 ,0.0                ,288.0          ,77.475            ,20.0
655360.0  ,336.01286244392395,7955.0      ,10.0               ,7.75                ,0.0                ,240.0          ,64.975            ,21.0
671744.0  ,344.50413632392883,8215.0      ,10.0               ,7.0                 ,0.0                ,178.0          ,69.4              ,19.0
688128.0  ,352.825567483902  ,8440.0      ,10.0               ,6.75                ,0.0                ,473.0          ,86.25             ,20.0
704512.0  ,361.3277621269226 ,8673.0      ,10.0               ,6.75                ,0.0                ,202.0          ,70.825            ,21.0
720896.0  ,369.7861349582672 ,8921.0      ,10.0               ,6.75                ,0.0                ,179.0          ,63.05             ,21.0
737280.0  ,378.31753969192505,9170.0      ,10.0               ,7.25                ,0.0                ,216.0          ,63.725            ,21.0
753664.0  ,386.8674054145813 ,9415.0      ,10.0               ,6.5                 ,0.0                ,343.0          ,74.925            ,19.0
770048.0  ,395.2672829627991 ,9666.0      ,10.0               ,6.5                 ,0.0                ,281.0          ,66.6              ,19.0
786432.0  ,403.57825660705566,9934.0      ,10.0               ,7.25                ,0.0                ,232.0          ,61.25             ,19.0
802816.0  ,412.011634349823  ,10194.0     ,10.0               ,6.75                ,0.0                ,232.0          ,68.625            ,18.0
819200.0  ,420.473845243454  ,10474.0     ,10.0               ,7.5                 ,0.0                ,231.0          ,58.9              ,20.0
835584.0  ,428.8634660243988 ,10746.0     ,10.0               ,7.5                 ,0.0                ,213.0          ,62.575            ,19.0
851968.0  ,437.2587535381317 ,11017.0     ,10.0               ,6.0                 ,0.0                ,151.0          ,61.125            ,20.0
868352.0  ,445.55670952796936,11262.0     ,10.0               ,7.25                ,0.0                ,168.0          ,65.2              ,21.0
884736.0  ,453.8617494106293 ,11544.0     ,10.0               ,8.25                ,0.0                ,189.0          ,60.75             ,17.0
901120.0  ,462.18915033340454,11799.0     ,10.0               ,6.75                ,0.0                ,152.0          ,65.275            ,22.0
917504.0  ,470.54979634284973,12072.0     ,10.0               ,6.25                ,0.0                ,306.0          ,64.35             ,19.0
933888.0  ,478.8851191997528 ,12325.0     ,10.0               ,8.0                 ,0.0                ,178.0          ,60.6              ,20.0
950272.0  ,487.23673391342163,12574.0     ,10.0               ,8.25                ,0.0                ,174.0          ,63.5              ,19.0
966656.0  ,495.62902760505676,12819.0     ,10.0               ,7.5                 ,0.0                ,201.0          ,66.0              ,19.0
983040.0  ,504.07171416282654,13078.0     ,10.0               ,6.75                ,0.0                ,267.0          ,73.375            ,21.0
999424.0  ,512.5880305767059 ,13315.0     ,10.0               ,8.0                 ,0.0                ,288.0          ,73.225            ,20.0
1015808.0 ,521.1262817382812 ,13563.0     ,10.0               ,8.0                 ,0.0                ,402.0          ,69.0              ,19.0
1032192.0 ,529.466420173645  ,13809.0     ,10.0               ,8.5                 ,0.0                ,166.0          ,60.6              ,20.0
1048576.0 ,537.8580548763275 ,14045.0     ,10.0               ,8.5                 ,0.0                ,227.0          ,63.475            ,19.0
1064960.0 ,546.2232322692871 ,14294.0     ,10.0               ,8.5                 ,0.0                ,273.0          ,74.1              ,19.0
1081344.0 ,554.6167457103729 ,14539.0     ,10.0               ,8.5                 ,0.0                ,254.0          ,73.55             ,22.0
1097728.0 ,563.1658418178558 ,14753.0     ,10.0               ,6.75                ,0.0                ,214.0          ,64.35             ,20.0
1114112.0 ,571.5714657306671 ,15008.0     ,10.0               ,7.25                ,0.0                ,260.0          ,80.825            ,20.0
1130496.0 ,579.995135307312  ,15244.0     ,10.0               ,8.25                ,0.0                ,206.0          ,65.075            ,20.0
1146880.0 ,588.3826818466187 ,15478.0     ,10.0               ,9.0                 ,0.0                ,268.0          ,80.95             ,19.0
1163264.0 ,596.7313423156738 ,15721.0     ,10.0               ,9.0                 ,0.0                ,227.0          ,76.225            ,20.0
1179648.0 ,605.1266849040985 ,15937.0     ,10.0               ,6.5                 ,0.0                ,379.0          ,70.35             ,19.0
1196032.0 ,613.6067259311676 ,16190.0     ,10.0               ,8.0                 ,0.0                ,214.0          ,74.65             ,20.0
1212416.0 ,622.0273070335388 ,16434.0     ,10.0               ,8.0                 ,0.0                ,211.0          ,61.8              ,20.0
1228800.0 ,630.3981251716614 ,16688.0     ,10.0               ,8.75                ,0.0                ,154.0          ,49.425            ,18.0
1245184.0 ,638.7499248981476 ,16940.0     ,10.0               ,8.25                ,0.0                ,234.0          ,72.075            ,20.0
1261568.0 ,646.7116312980652 ,17169.0     ,10.0               ,8.75                ,0.0                ,138.0          ,61.275            ,18.0
1277952.0 ,655.070601940155  ,17420.0     ,10.0               ,8.5                 ,0.0                ,221.0          ,68.8              ,19.0
1294336.0 ,663.3118352890015 ,17662.0     ,10.0               ,8.75                ,0.0                ,213.0          ,67.65             ,21.0
1310720.0 ,671.4663999080658 ,17907.0     ,10.0               ,8.25                ,0.0                ,158.0          ,63.225            ,22.0
1327104.0 ,679.96586561203   ,18147.0     ,10.0               ,7.25                ,0.0                ,286.0          ,73.725            ,16.0
1343488.0 ,688.4168853759766 ,18398.0     ,10.0               ,7.0                 ,0.0                ,167.0          ,63.025            ,20.0
1359872.0 ,696.7997252941132 ,18634.0     ,10.0               ,7.75                ,0.0                ,235.0          ,70.425            ,17.0
1376256.0 ,705.079409122467  ,18913.0     ,10.0               ,8.0                 ,0.0                ,229.0          ,62.2              ,16.0
1392640.0 ,713.2224547863007 ,19158.0     ,10.0               ,7.0                 ,0.0                ,232.0          ,67.625            ,21.0
1409024.0 ,721.5968542098999 ,19398.0     ,10.0               ,6.75                ,0.0                ,318.0          ,66.275            ,19.0
1425408.0 ,729.8041837215424 ,19667.0     ,10.0               ,8.5                 ,0.0                ,257.0          ,77.525            ,20.0
1441792.0 ,738.1501095294952 ,19915.0     ,10.0               ,8.25                ,0.0                ,222.0          ,71.45             ,20.0
1458176.0 ,746.5567843914032 ,20174.0     ,10.0               ,8.75                ,0.0                ,199.0          ,62.975            ,20.0
1474560.0 ,754.9238708019257 ,20419.0     ,10.0               ,8.0                 ,0.0                ,242.0          ,73.725            ,20.0
1490944.0 ,763.2743282318115 ,20664.0     ,10.0               ,8.75                ,0.0                ,205.0          ,54.875            ,20.0
1507328.0 ,771.6359262466431 ,20907.0     ,10.0               ,8.5                 ,0.0                ,563.0          ,84.725            ,21.0
1523712.0 ,780.1323854923248 ,21150.0     ,10.0               ,8.75                ,0.0                ,274.0          ,64.6              ,18.0
1540096.0 ,788.5516834259033 ,21379.0     ,10.0               ,8.25                ,0.0                ,313.0          ,66.525            ,16.0
1556480.0 ,796.9673552513123 ,21629.0     ,10.0               ,7.5                 ,0.0                ,169.0          ,70.925            ,17.0
1572864.0 ,805.3574497699738 ,21889.0     ,10.0               ,8.25                ,0.0                ,240.0          ,65.325            ,20.0
1589248.0 ,813.7091519832611 ,22155.0     ,10.0               ,9.25                ,0.0                ,362.0          ,70.5              ,19.0
1605632.0 ,822.0694773197174 ,22397.0     ,10.0               ,8.0                 ,0.0                ,222.0          ,52.175            ,20.0
1622016.0 ,830.4673595428467 ,22634.0     ,10.0               ,8.25                ,0.0                ,261.0          ,70.5              ,20.0
1638400.0 ,838.7007284164429 ,22858.0     ,10.0               ,7.5                 ,0.0                ,295.0          ,82.45             ,19.0
1654784.0 ,847.0820560455322 ,23097.0     ,10.0               ,8.75                ,0.0                ,328.0          ,75.4              ,19.0
1671168.0 ,855.4862475395203 ,23312.0     ,10.0               ,8.0                 ,0.0                ,353.0          ,80.075            ,20.0
1687552.0 ,863.883659362793  ,23557.0     ,10.0               ,8.75                ,0.0                ,188.0          ,55.475            ,18.0
1703936.0 ,872.2565610408783 ,23794.0     ,10.0               ,8.75                ,0.0                ,188.0          ,59.975            ,21.0
1720320.0 ,880.5601952075958 ,24033.0     ,10.0               ,7.25                ,0.0                ,440.0          ,99.525            ,20.0
1736704.0 ,889.0715346336365 ,24253.0     ,10.0               ,9.25                ,0.0                ,174.0          ,71.75             ,20.0
1753088.0 ,897.0216763019562 ,24484.0     ,10.0               ,8.0                 ,0.0                ,415.0          ,90.075            ,20.0
1769472.0 ,905.4906482696533 ,24729.0     ,10.0               ,8.75                ,0.0                ,225.0          ,64.975            ,21.0
1785856.0 ,913.8446431159973 ,24962.0     ,10.0               ,7.25                ,0.0                ,275.0          ,75.4              ,19.0
1802240.0 ,922.240647315979  ,25198.0     ,10.0               ,7.5                 ,0.0                ,336.0          ,80.25             ,20.0
1818624.0 ,930.6621842384338 ,25452.0     ,10.0               ,7.5                 ,0.0                ,168.0          ,62.425            ,15.0
1835008.0 ,939.1704082489014 ,25711.0     ,10.0               ,9.5                 ,0.0                ,425.0          ,70.85             ,20.0
1851392.0 ,947.5580930709839 ,25951.0     ,10.0               ,9.0                 ,0.0                ,289.0          ,63.2              ,18.0
1867776.0 ,955.9161059856415 ,26194.0     ,10.0               ,8.5                 ,0.0                ,202.0          ,69.9              ,18.0
1884160.0 ,964.347151517868  ,26424.0     ,10.0               ,8.75                ,0.0                ,230.0          ,59.275            ,19.0
1900544.0 ,972.8332176208496 ,26644.0     ,10.0               ,8.5                 ,0.0                ,334.0          ,66.55             ,21.0
1916928.0 ,981.3036992549896 ,26865.0     ,10.0               ,8.5                 ,0.0                ,351.0          ,81.6              ,21.0
1933312.0 ,989.3264653682709 ,27090.0     ,10.0               ,9.5                 ,0.0                ,582.0          ,77.4              ,20.0
1949696.0 ,997.4458703994751 ,27317.0     ,10.0               ,8.75                ,0.0                ,494.0          ,87.65             ,21.0
1966080.0 ,1005.6440477371216,27574.0     ,10.0               ,9.0                 ,0.0                ,461.0          ,84.5              ,20.0
1982464.0 ,1014.0178673267365,27825.0     ,10.0               ,8.75                ,0.0                ,206.0          ,61.6              ,21.0
1998848.0 ,1022.5109100341797,28047.0     ,10.0               ,7.75                ,0.0                ,210.0          ,67.1              ,18.0
2015232.0 ,1030.8611688613892,28311.0     ,10.0               ,9.75                ,0.0                ,287.0          ,70.45             ,20.0
2031616.0 ,1039.2324163913727,28537.0     ,10.0               ,8.75                ,0.0                ,297.0          ,86.15             ,21.0
2048000.0 ,1047.728236913681 ,28773.0     ,10.0               ,8.5                 ,0.0                ,205.0          ,60.975            ,20.0
2064384.0 ,1056.0893504619598,29015.0     ,10.0               ,9.25                ,0.0                ,286.0          ,71.05             ,20.0
2080768.0 ,1064.4064404964447,29246.0     ,10.0               ,9.0                 ,0.0                ,235.0          ,71.0              ,19.0
2097152.0 ,1072.9074845314026,29498.0     ,10.0               ,9.25                ,0.0                ,212.0          ,66.3              ,16.0
2113536.0 ,1081.328367948532 ,29756.0     ,10.0               ,9.5                 ,0.0                ,153.0          ,65.625            ,22.0
2129920.0 ,1089.7369837760925,30021.0     ,10.0               ,8.25                ,0.0                ,180.0          ,62.225            ,20.0
2146304.0 ,1098.2595558166504,30283.0     ,10.0               ,8.5                 ,0.0                ,170.0          ,56.55             ,15.0
2162688.0 ,1106.743870973587 ,30526.0     ,10.0               ,8.75                ,0.0                ,265.0          ,71.95             ,16.0
2179072.0 ,1115.2243311405182,30788.0     ,10.0               ,9.0                 ,0.0                ,260.0          ,63.425            ,20.0
2195456.0 ,1123.5582313537598,31058.0     ,10.0               ,8.5                 ,0.0                ,260.0          ,66.175            ,19.0
2211840.0 ,1131.8964066505432,31306.0     ,10.0               ,8.5                 ,0.0                ,149.0          ,60.975            ,17.0
2228224.0 ,1140.2737390995026,31578.0     ,10.0               ,9.75                ,0.0                ,211.0          ,55.725            ,21.0
2244608.0 ,1148.669438123703 ,31845.0     ,10.0               ,8.75                ,0.0                ,197.0          ,59.9              ,19.0
2260992.0 ,1156.6940124034882,32083.0     ,10.0               ,8.0                 ,0.0                ,161.0          ,52.725            ,19.0
2277376.0 ,1165.0740559101105,32330.0     ,10.0               ,9.5                 ,0.0                ,199.0          ,65.525            ,20.0
2293760.0 ,1173.5035541057587,32562.0     ,10.0               ,8.75                ,0.0                ,365.0          ,82.875            ,20.0
2310144.0 ,1181.950123310089 ,32814.0     ,10.0               ,8.5                 ,0.0                ,142.0          ,66.325            ,18.0
2326528.0 ,1190.3279435634613,33074.0     ,10.0               ,9.5                 ,0.0                ,225.0          ,58.5              ,21.0
2342912.0 ,1198.7433660030365,33326.0     ,10.0               ,9.0                 ,0.0                ,312.0          ,62.25             ,22.0
2359296.0 ,1207.2414135932922,33573.0     ,10.0               ,9.0                 ,0.0                ,262.0          ,79.05             ,20.0
2375680.0 ,1215.6213021278381,33804.0     ,10.0               ,8.25                ,0.0                ,201.0          ,71.775            ,22.0
2392064.0 ,1223.7069523334503,34024.0     ,10.0               ,8.75                ,0.0                ,255.0          ,64.55             ,22.0
2408448.0 ,1231.9453644752502,34283.0     ,10.0               ,8.5                 ,0.0                ,234.0          ,57.55             ,20.0
2424832.0 ,1240.35369348526  ,34514.0     ,10.0               ,8.25                ,0.0                ,1000.0         ,100.625           ,20.0
2441216.0 ,1248.6271901130676,34768.0     ,10.0               ,10.0                ,10.0               ,350.0          ,66.825            ,22.0
2457600.0 ,1256.9933931827545,34999.0     ,10.0               ,9.75                ,0.0                ,184.0          ,59.15             ,21.0
2473984.0 ,1265.3912572860718,35240.0     ,10.0               ,8.5                 ,0.0                ,395.0          ,74.4              ,20.0
2490368.0 ,1273.8078725337982,35465.0     ,10.0               ,8.5                 ,0.0                ,201.0          ,67.375            ,19.0
2506752.0 ,1282.2515773773193,35700.0     ,10.0               ,9.5                 ,0.0                ,280.0          ,70.575            ,20.0
2523136.0 ,1290.7523629665375,35943.0     ,10.0               ,8.5                 ,0.0                ,253.0          ,70.45             ,21.0
2539520.0 ,1299.1979503631592,36195.0     ,10.0               ,8.0                 ,0.0                ,515.0          ,89.625            ,22.0
2555904.0 ,1307.6637017726898,36431.0     ,10.0               ,9.75                ,0.0                ,205.0          ,79.8              ,23.0
2572288.0 ,1316.0628407001495,36662.0     ,10.0               ,9.5                 ,0.0                ,222.0          ,66.9              ,16.0
2588672.0 ,1324.4269359111786,36942.0     ,10.0               ,8.75                ,0.0                ,219.0          ,58.2              ,20.0
2605056.0 ,1332.7965376377106,37212.0     ,10.0               ,9.25                ,0.0                ,230.0          ,50.05             ,21.0
2621440.0 ,1341.2264020442963,37456.0     ,10.0               ,9.0                 ,0.0                ,249.0          ,65.95             ,20.0
