timesteps ,wall_time         ,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len  ,min_episode_len
16384.0   ,17.2796471118927  ,12.0        ,10.0               ,10.0                ,10.0               ,251.0          ,65.75             ,2.0
32768.0   ,31.649423599243164,17.0        ,10.0               ,10.0                ,10.0               ,490.0          ,161.11764705882354,2.0
49152.0   ,45.99670362472534 ,20.0        ,10.0               ,10.0                ,10.0               ,589.0          ,219.3             ,2.0
65536.0   ,60.408549547195435,75.0        ,10.0               ,0.75                ,0.0                ,1000.0         ,949.6             ,4.0
81920.0   ,74.8567247390747  ,84.0        ,10.0               ,1.75                ,0.0                ,1000.0         ,893.475           ,4.0
98304.0   ,89.32547426223755 ,94.0        ,10.0               ,3.0                 ,0.0                ,1000.0         ,803.475           ,4.0
114688.0  ,103.74562978744507,105.0       ,10.0               ,5.25                ,0.0                ,1000.0         ,709.95            ,37.0
131072.0  ,118.18768978118896,151.0       ,10.0               ,1.25                ,0.0                ,1000.0         ,943.45            ,12.0
147456.0  ,132.63066935539246,164.0       ,10.0               ,2.5                 ,0.0                ,1000.0         ,787.775           ,3.0
163840.0  ,147.0854046344757 ,177.0       ,10.0               ,3.75                ,0.0                ,1000.0         ,723.35            ,3.0
180224.0  ,161.4982771873474 ,191.0       ,10.0               ,5.25                ,0.0                ,1000.0         ,633.8             ,3.0
196608.0  ,175.95619130134583,232.0       ,10.0               ,2.5                 ,0.0                ,1000.0         ,815.175           ,6.0
212992.0  ,190.369402885437  ,250.0       ,10.0               ,3.75                ,0.0                ,1000.0         ,758.425           ,37.0
229376.0  ,204.81615662574768,268.0       ,10.0               ,5.0                 ,0.0                ,1000.0         ,692.05            ,37.0
245760.0  ,219.26013374328613,283.0       ,10.0               ,5.5                 ,0.0                ,1000.0         ,659.5             ,20.0
262144.0  ,233.675044298172  ,310.0       ,10.0               ,3.5                 ,0.0                ,1000.0         ,833.4             ,9.0
278528.0  ,248.1092975139618 ,333.0       ,10.0               ,3.5                 ,0.0                ,1000.0         ,826.85            ,25.0
294912.0  ,262.56795930862427,346.0       ,10.0               ,4.0                 ,0.0                ,1000.0         ,787.175           ,25.0
311296.0  ,277.00544571876526,360.0       ,10.0               ,3.5                 ,0.0                ,1000.0         ,810.8             ,59.0
327680.0  ,291.4016258716583 ,386.0       ,10.0               ,2.25                ,0.0                ,1000.0         ,842.225           ,59.0
344064.0  ,305.83242630958557,414.0       ,10.0               ,3.0                 ,0.0                ,1000.0         ,815.8             ,27.0
360448.0  ,320.2192451953888 ,426.0       ,10.0               ,3.25                ,0.0                ,1000.0         ,815.175           ,27.0
376832.0  ,334.61838388442993,442.0       ,10.0               ,4.25                ,0.0                ,1000.0         ,764.45            ,8.0
393216.0  ,348.991290807724  ,471.0       ,10.0               ,4.5                 ,0.0                ,1000.0         ,780.075           ,6.0
409600.0  ,363.41654753685   ,495.0       ,10.0               ,3.25                ,0.0                ,1000.0         ,799.925           ,4.0
425984.0  ,377.79399514198303,511.0       ,10.0               ,3.75                ,0.0                ,1000.0         ,740.275           ,4.0
442368.0  ,392.18745827674866,529.0       ,10.0               ,4.75                ,0.0                ,1000.0         ,682.225           ,11.0
458752.0  ,406.5666592121124 ,562.0       ,10.0               ,3.5                 ,0.0                ,1000.0         ,845.975           ,54.0
475136.0  ,420.9662187099457 ,579.0       ,10.0               ,3.75                ,0.0                ,1000.0         ,832.075           ,160.0
491520.0  ,435.3625545501709 ,591.0       ,10.0               ,4.25                ,0.0                ,1000.0         ,790.35            ,4.0
507904.0  ,449.732706785202  ,611.0       ,10.0               ,3.0                 ,0.0                ,1000.0         ,843.4             ,4.0
524288.0  ,464.1312606334686 ,637.0       ,10.0               ,2.5                 ,0.0                ,1000.0         ,843.425           ,24.0
540672.0  ,478.5212514400482 ,654.0       ,10.0               ,1.75                ,0.0                ,1000.0         ,855.225           ,24.0
557056.0  ,492.9013419151306 ,667.0       ,10.0               ,1.75                ,0.0                ,1000.0         ,882.325           ,91.0
573440.0  ,507.3218197822571 ,696.0       ,10.0               ,3.75                ,0.0                ,1000.0         ,780.825           ,1.0
589824.0  ,521.6726331710815 ,716.0       ,10.0               ,2.75                ,0.0                ,1000.0         ,825.7             ,1.0
606208.0  ,536.050057888031  ,738.0       ,10.0               ,3.25                ,0.0                ,1000.0         ,761.75            ,7.0
622592.0  ,550.4030961990356 ,754.0       ,10.0               ,4.0                 ,0.0                ,1000.0         ,708.125           ,7.0
638976.0  ,564.7627255916595 ,781.0       ,10.0               ,3.0                 ,0.0                ,1000.0         ,733.175           ,4.0
655360.0  ,579.1119441986084 ,801.0       ,10.0               ,2.75                ,0.0                ,1000.0         ,775.525           ,4.0
671744.0  ,593.4675326347351 ,831.0       ,10.0               ,3.25                ,0.0                ,1000.0         ,734.325           ,14.0
