timesteps ,wall_time         ,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len  ,min_episode_len
16384.0   ,11.255765676498413,10.0        ,10.0               ,10.0                ,10.0               ,189.0          ,89.9              ,3.0
32768.0   ,19.35391902923584 ,18.0        ,10.0               ,10.0                ,10.0               ,503.0          ,224.33333333333334,3.0
49152.0   ,27.404367208480835,26.0        ,10.0               ,10.0                ,10.0               ,760.0          ,366.7692307692308 ,3.0
65536.0   ,35.49156856536865 ,70.0        ,10.0               ,1.0                 ,0.0                ,1000.0         ,967.75            ,170.0
81920.0   ,43.55058813095093 ,92.0        ,10.0               ,4.5                 ,0.0                ,1000.0         ,672.075           ,7.0
98304.0   ,51.626213788986206,104.0       ,10.0               ,5.75                ,0.0                ,1000.0         ,536.25            ,7.0
114688.0  ,59.673672914505005,116.0       ,10.0               ,6.75                ,0.0                ,1000.0         ,514.15            ,7.0
131072.0  ,67.73480367660522 ,149.0       ,10.0               ,2.0                 ,0.0                ,1000.0         ,908.075           ,5.0
147456.0  ,75.76912951469421 ,167.0       ,10.0               ,1.75                ,0.0                ,1000.0         ,878.3             ,5.0
163840.0  ,83.82253789901733 ,180.0       ,10.0               ,2.75                ,0.0                ,1000.0         ,818.225           ,47.0
180224.0  ,91.8544671535492  ,196.0       ,10.0               ,3.75                ,0.0                ,1000.0         ,761.5             ,47.0
196608.0  ,99.90611863136292 ,231.0       ,10.0               ,2.5                 ,0.0                ,1000.0         ,819.975           ,6.0
212992.0  ,107.92879462242126,249.0       ,10.0               ,2.75                ,0.0                ,1000.0         ,850.725           ,40.0
229376.0  ,116.00963568687439,265.0       ,10.0               ,4.0                 ,0.0                ,1000.0         ,736.025           ,40.0
245760.0  ,124.03934049606323,281.0       ,10.0               ,3.5                 ,0.0                ,1000.0         ,751.1             ,42.0
262144.0  ,132.09811568260193,313.0       ,10.0               ,2.25                ,0.0                ,1000.0         ,856.25            ,2.0
