timesteps ,wall_time         ,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len  ,min_episode_len
16384.0   ,17.80159568786621 ,11.0        ,10.0               ,10.0                ,10.0               ,204.0          ,67.81818181818181 ,2.0
32768.0   ,32.34771680831909 ,18.0        ,10.0               ,10.0                ,10.0               ,446.0          ,164.38888888888889,2.0
49152.0   ,46.99456477165222 ,25.0        ,10.0               ,10.0                ,10.0               ,730.0          ,259.2             ,2.0
65536.0   ,61.68654465675354 ,76.0        ,10.0               ,0.5                 ,0.0                ,1000.0         ,952.9             ,10.0
81920.0   ,76.30762600898743 ,86.0        ,10.0               ,1.75                ,0.0                ,1000.0         ,849.575           ,10.0
98304.0   ,90.93508648872375 ,93.0        ,10.0               ,2.25                ,0.0                ,1000.0         ,811.525           ,10.0
114688.0  ,105.56363081932068,104.0       ,10.0               ,3.75                ,0.0                ,1000.0         ,740.925           ,16.0
131072.0  ,120.23829078674316,158.0       ,10.0               ,2.0                 ,0.0                ,1000.0         ,838.25            ,2.0
147456.0  ,134.8615849018097 ,171.0       ,10.0               ,2.5                 ,0.0                ,1000.0         ,792.875           ,3.0
163840.0  ,149.43816423416138,180.0       ,10.0               ,3.5                 ,0.0                ,1000.0         ,731.125           ,3.0
180224.0  ,164.0379946231842 ,190.0       ,10.0               ,4.5                 ,0.0                ,1000.0         ,691.325           ,3.0
196608.0  ,178.41855430603027,236.0       ,10.0               ,2.0                 ,0.0                ,1000.0         ,926.05            ,127.0
212992.0  ,193.03235507011414,246.0       ,10.0               ,3.0                 ,0.0                ,1000.0         ,828.15            ,106.0
229376.0  ,207.69631600379944,260.0       ,10.0               ,4.75                ,0.0                ,1000.0         ,739.275           ,106.0
245760.0  ,222.06003260612488,271.0       ,10.0               ,5.5                 ,0.0                ,1000.0         ,672.65            ,6.0
262144.0  ,236.39229822158813,309.0       ,10.0               ,2.0                 ,0.0                ,1000.0         ,881.425           ,6.0
278528.0  ,251.06377744674683,326.0       ,10.0               ,3.25                ,0.0                ,1000.0         ,795.675           ,9.0
294912.0  ,265.71030592918396,342.0       ,10.0               ,3.5                 ,0.0                ,1000.0         ,772.725           ,9.0
311296.0  ,280.4039795398712 ,357.0       ,10.0               ,4.25                ,0.0                ,1000.0         ,729.925           ,9.0
327680.0  ,295.0364787578583 ,393.0       ,10.0               ,2.25                ,0.0                ,1000.0         ,845.825           ,9.0
344064.0  ,309.6918592453003 ,405.0       ,10.0               ,2.25                ,0.0                ,1000.0         ,847.575           ,9.0
360448.0  ,324.30078196525574,422.0       ,10.0               ,3.0                 ,0.0                ,1000.0         ,800.825           ,3.0
376832.0  ,338.91522693634033,438.0       ,10.0               ,3.5                 ,0.0                ,1000.0         ,789.575           ,3.0
393216.0  ,353.4551610946655 ,477.0       ,10.0               ,3.25                ,0.0                ,1000.0         ,809.725           ,18.0
409600.0  ,368.118040561676  ,490.0       ,10.0               ,4.25                ,0.0                ,1000.0         ,755.05            ,18.0
425984.0  ,382.7500033378601 ,507.0       ,10.0               ,3.5                 ,0.0                ,1000.0         ,778.575           ,55.0
442368.0  ,397.3172776699066 ,528.0       ,10.0               ,3.5                 ,0.0                ,1000.0         ,736.9             ,26.0
458752.0  ,411.9614715576172 ,567.0       ,10.0               ,3.5                 ,0.0                ,1000.0         ,735.4             ,2.0
