timesteps ,wall_time         ,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
16384.0   ,11.0462064743042  ,184.0       ,8.0                ,1.4500000476837158  ,0.0                ,142.0          ,72.125          ,22.0
32768.0   ,18.946974992752075,392.0       ,5.0                ,1.4500000476837158  ,0.0                ,138.0          ,75.15           ,13.0
49152.0   ,26.812504053115845,596.0       ,11.0               ,1.5750000476837158  ,0.0                ,144.0          ,74.075          ,23.0
65536.0   ,34.695661783218384,785.0       ,10.0               ,1.8250000476837158  ,0.0                ,160.0          ,80.55           ,14.0
81920.0   ,42.5673143863678  ,973.0       ,6.0                ,1.9249999523162842  ,0.0                ,172.0          ,83.2            ,32.0
98304.0   ,50.49281191825867 ,1154.0      ,9.0                ,2.0250000953674316  ,0.0                ,174.0          ,84.275          ,33.0
114688.0  ,58.39942145347595 ,1333.0      ,10.0               ,2.6500000953674316  ,0.0                ,200.0          ,84.475          ,16.0
131072.0  ,66.35575270652771 ,1504.0      ,11.0               ,2.9000000953674316  ,0.0                ,192.0          ,95.65           ,38.0
147456.0  ,74.27422189712524 ,1681.0      ,13.0               ,2.549999952316284   ,0.0                ,184.0          ,92.3            ,37.0
163840.0  ,82.22713494300842 ,1841.0      ,8.0                ,2.174999952316284   ,0.0                ,141.0          ,83.575          ,36.0
180224.0  ,90.13078188896179 ,2012.0      ,10.0               ,3.325000047683716   ,0.0                ,201.0          ,101.5           ,52.0
196608.0  ,98.0627806186676  ,2180.0      ,12.0               ,3.200000047683716   ,0.0                ,188.0          ,94.975          ,57.0
212992.0  ,105.95893406867981,2347.0      ,9.0                ,3.5250000953674316  ,0.0                ,209.0          ,102.25          ,58.0
229376.0  ,113.89330101013184,2513.0      ,13.0               ,2.700000047683716   ,0.0                ,225.0          ,91.875          ,17.0
245760.0  ,121.80848145484924,2690.0      ,13.0               ,3.9000000953674316  ,0.0                ,182.0          ,98.4            ,49.0
262144.0  ,129.76712465286255,2849.0      ,14.0               ,4.849999904632568   ,0.0                ,245.0          ,110.4           ,49.0
278528.0  ,137.5747594833374 ,3004.0      ,13.0               ,4.300000190734863   ,0.0                ,199.0          ,103.5           ,27.0
294912.0  ,145.52854299545288,3164.0      ,15.0               ,3.674999952316284   ,0.0                ,237.0          ,101.725         ,40.0
311296.0  ,153.43973922729492,3326.0      ,12.0               ,3.5999999046325684  ,0.0                ,236.0          ,107.825         ,40.0
327680.0  ,161.39857816696167,3490.0      ,11.0               ,3.2249999046325684  ,0.0                ,145.0          ,90.675          ,53.0
344064.0  ,169.320867061615  ,3649.0      ,11.0               ,4.199999809265137   ,0.0                ,186.0          ,103.35          ,30.0
360448.0  ,177.261864900589  ,3811.0      ,15.0               ,3.700000047683716   ,0.0                ,181.0          ,100.125         ,36.0
376832.0  ,185.2403962612152 ,3963.0      ,16.0               ,4.074999809265137   ,0.0                ,222.0          ,104.4           ,52.0
393216.0  ,193.16729021072388,4119.0      ,19.0               ,4.650000095367432   ,0.0                ,204.0          ,116.375         ,57.0
409600.0  ,201.10266089439392,4276.0      ,8.0                ,3.125               ,0.0                ,172.0          ,102.575         ,33.0
425984.0  ,209.037504196167  ,4426.0      ,22.0               ,4.550000190734863   ,0.0                ,277.0          ,107.8           ,51.0
442368.0  ,217.00781774520874,4578.0      ,12.0               ,4.050000190734863   ,0.0                ,201.0          ,105.475         ,44.0
458752.0  ,224.9312686920166 ,4727.0      ,19.0               ,5.025000095367432   ,1.0                ,239.0          ,114.975         ,46.0
475136.0  ,232.88440322875977,4882.0      ,16.0               ,4.324999809265137   ,0.0                ,285.0          ,113.7           ,45.0
491520.0  ,240.82837009429932,5033.0      ,12.0               ,4.050000190734863   ,0.0                ,187.0          ,105.5           ,55.0
507904.0  ,248.79805541038513,5171.0      ,15.0               ,4.375               ,0.0                ,200.0          ,105.775         ,39.0
524288.0  ,256.7637116909027 ,5318.0      ,18.0               ,5.099999904632568   ,0.0                ,279.0          ,115.525         ,50.0
540672.0  ,264.7368583679199 ,5459.0      ,16.0               ,5.074999809265137   ,0.0                ,186.0          ,111.775         ,41.0
557056.0  ,272.68501806259155,5587.0      ,14.0               ,4.175000190734863   ,0.0                ,246.0          ,106.0           ,51.0
573440.0  ,280.6607463359833 ,5738.0      ,15.0               ,3.75                ,0.0                ,215.0          ,107.025         ,56.0
589824.0  ,288.6143214702606 ,5873.0      ,23.0               ,5.949999809265137   ,0.0                ,295.0          ,121.2           ,57.0
606208.0  ,296.5852837562561 ,6009.0      ,16.0               ,5.75                ,0.0                ,231.0          ,120.725         ,57.0
622592.0  ,304.5410749912262 ,6156.0      ,12.0               ,4.974999904632568   ,0.0                ,181.0          ,103.2           ,59.0
638976.0  ,312.50465416908264,6297.0      ,12.0               ,4.25                ,0.0                ,235.0          ,108.95          ,55.0
655360.0  ,320.4585485458374 ,6439.0      ,19.0               ,5.5                 ,0.0                ,279.0          ,121.625         ,45.0
671744.0  ,328.4312505722046 ,6581.0      ,15.0               ,5.525000095367432   ,0.0                ,222.0          ,122.0           ,66.0
688128.0  ,336.37902784347534,6714.0      ,23.0               ,5.824999809265137   ,0.0                ,260.0          ,114.425         ,44.0
704512.0  ,344.3464660644531 ,6854.0      ,17.0               ,5.675000190734863   ,0.0                ,227.0          ,112.325         ,55.0
720896.0  ,352.1455945968628 ,6997.0      ,16.0               ,4.949999809265137   ,0.0                ,247.0          ,115.25          ,18.0
737280.0  ,360.12371945381165,7142.0      ,18.0               ,5.525000095367432   ,0.0                ,204.0          ,107.525         ,49.0
753664.0  ,368.0728442668915 ,7270.0      ,18.0               ,6.675000190734863   ,0.0                ,337.0          ,128.725         ,53.0
770048.0  ,376.053991317749  ,7404.0      ,13.0               ,4.849999904632568   ,0.0                ,221.0          ,108.125         ,53.0
786432.0  ,384.0055208206177 ,7529.0      ,19.0               ,5.224999904632568   ,0.0                ,232.0          ,113.85          ,62.0
802816.0  ,391.9656193256378 ,7663.0      ,25.0               ,7.425000190734863   ,0.0                ,265.0          ,135.025         ,52.0
819200.0  ,399.92338156700134,7789.0      ,22.0               ,5.775000095367432   ,0.0                ,296.0          ,122.575         ,43.0
835584.0  ,407.88084292411804,7911.0      ,26.0               ,6.224999904632568   ,0.0                ,417.0          ,135.325         ,69.0
851968.0  ,415.8319697380066 ,8054.0      ,15.0               ,4.724999904632568   ,0.0                ,185.0          ,109.075         ,50.0
868352.0  ,423.66100668907166,8187.0      ,17.0               ,5.025000095367432   ,0.0                ,243.0          ,118.2           ,57.0
884736.0  ,431.34398078918457,8316.0      ,18.0               ,5.025000095367432   ,1.0                ,264.0          ,114.625         ,58.0
901120.0  ,439.2923686504364 ,8445.0      ,17.0               ,6.574999809265137   ,1.0                ,260.0          ,123.65          ,56.0
917504.0  ,447.2564616203308 ,8581.0      ,16.0               ,5.724999904632568   ,0.0                ,194.0          ,108.025         ,50.0
933888.0  ,455.04670333862305,8714.0      ,27.0               ,7.150000095367432   ,0.0                ,427.0          ,124.425         ,17.0
950272.0  ,462.77952432632446,8833.0      ,24.0               ,6.824999809265137   ,1.0                ,232.0          ,131.3           ,49.0
966656.0  ,470.59460067749023,8957.0      ,23.0               ,7.099999904632568   ,1.0                ,377.0          ,140.325         ,58.0
983040.0  ,478.5720055103302 ,9096.0      ,14.0               ,5.375               ,0.0                ,229.0          ,112.675         ,36.0
999424.0  ,486.5269424915314 ,9215.0      ,22.0               ,6.349999904632568   ,0.0                ,280.0          ,124.25          ,56.0
1015808.0 ,494.5168581008911 ,9331.0      ,26.0               ,8.925000190734863   ,0.0                ,308.0          ,155.925         ,74.0
1032192.0 ,502.47776556015015,9449.0      ,29.0               ,9.199999809265137   ,0.0                ,293.0          ,139.8           ,30.0
1048576.0 ,510.4460713863373 ,9569.0      ,56.0               ,9.850000381469727   ,1.0                ,577.0          ,164.275         ,39.0
1064960.0 ,518.3876507282257 ,9690.0      ,31.0               ,7.824999809265137   ,1.0                ,334.0          ,127.675         ,62.0
1081344.0 ,526.3488349914551 ,9820.0      ,17.0               ,6.275000095367432   ,0.0                ,242.0          ,119.275         ,26.0
1097728.0 ,534.2960162162781 ,9933.0      ,22.0               ,7.849999904632568   ,0.0                ,392.0          ,138.2           ,56.0
1114112.0 ,542.2558934688568 ,10060.0     ,49.0               ,8.375               ,0.0                ,512.0          ,138.4           ,47.0
1130496.0 ,550.1993372440338 ,10174.0     ,25.0               ,8.524999618530273   ,0.0                ,545.0          ,142.325         ,30.0
1146880.0 ,558.1717507839203 ,10289.0     ,27.0               ,9.399999618530273   ,1.0                ,385.0          ,153.2           ,49.0
1163264.0 ,566.1105780601501 ,10397.0     ,25.0               ,7.550000190734863   ,0.0                ,330.0          ,138.375         ,42.0
1179648.0 ,574.0945274829865 ,10512.0     ,24.0               ,7.525000095367432   ,0.0                ,306.0          ,134.525         ,37.0
1196032.0 ,582.0415580272675 ,10628.0     ,26.0               ,7.775000095367432   ,1.0                ,286.0          ,137.125         ,61.0
1212416.0 ,590.0077974796295 ,10745.0     ,30.0               ,8.324999809265137   ,0.0                ,419.0          ,145.775         ,50.0
1228800.0 ,597.98908162117   ,10853.0     ,34.0               ,9.725000381469727   ,0.0                ,413.0          ,158.35          ,36.0
1245184.0 ,605.9537847042084 ,10980.0     ,34.0               ,9.350000381469727   ,0.0                ,397.0          ,149.7           ,53.0
1261568.0 ,613.9409947395325 ,11092.0     ,35.0               ,8.975000381469727   ,0.0                ,392.0          ,144.35          ,49.0
1277952.0 ,621.9164087772369 ,11196.0     ,48.0               ,9.375               ,1.0                ,524.0          ,150.475         ,17.0
1294336.0 ,629.8886427879333 ,11314.0     ,29.0               ,8.225000381469727   ,0.0                ,335.0          ,132.775         ,60.0
1310720.0 ,637.8348376750946 ,11425.0     ,21.0               ,7.925000190734863   ,0.0                ,279.0          ,137.55          ,46.0
1327104.0 ,645.804417848587  ,11538.0     ,23.0               ,8.399999618530273   ,0.0                ,381.0          ,142.6           ,55.0
1343488.0 ,653.7636361122131 ,11654.0     ,33.0               ,8.300000190734863   ,0.0                ,407.0          ,139.825         ,40.0
1359872.0 ,661.7458455562592 ,11765.0     ,22.0               ,7.125               ,0.0                ,353.0          ,134.15          ,55.0
1376256.0 ,669.7062034606934 ,11884.0     ,36.0               ,9.074999809265137   ,0.0                ,332.0          ,141.8           ,41.0
1392640.0 ,677.6843495368958 ,12003.0     ,20.0               ,8.024999618530273   ,0.0                ,322.0          ,140.05          ,58.0
1409024.0 ,685.6416554450989 ,12112.0     ,28.0               ,7.599999904632568   ,0.0                ,295.0          ,128.275         ,55.0
1425408.0 ,693.6107714176178 ,12218.0     ,31.0               ,8.649999618530273   ,0.0                ,346.0          ,142.45          ,58.0
1441792.0 ,701.5845601558685 ,12326.0     ,21.0               ,9.225000381469727   ,1.0                ,335.0          ,146.75          ,53.0
1458176.0 ,709.5766088962555 ,12432.0     ,29.0               ,8.774999618530273   ,0.0                ,406.0          ,139.15          ,60.0
1474560.0 ,717.5727295875549 ,12537.0     ,31.0               ,7.800000190734863   ,0.0                ,388.0          ,138.5           ,54.0
1490944.0 ,725.5515439510345 ,12644.0     ,48.0               ,10.925000190734863  ,0.0                ,450.0          ,167.425         ,35.0
1507328.0 ,733.4984309673309 ,12761.0     ,40.0               ,10.949999809265137  ,0.0                ,462.0          ,159.525         ,51.0
1523712.0 ,741.4737527370453 ,12863.0     ,35.0               ,9.475000381469727   ,0.0                ,397.0          ,152.3           ,42.0
1540096.0 ,749.4312291145325 ,12963.0     ,36.0               ,12.100000381469727  ,0.0                ,486.0          ,173.4           ,21.0
1556480.0 ,757.3892378807068 ,13078.0     ,36.0               ,11.5                ,0.0                ,439.0          ,162.025         ,45.0
1572864.0 ,765.3634369373322 ,13182.0     ,29.0               ,10.324999809265137  ,0.0                ,417.0          ,156.425         ,53.0
1589248.0 ,773.3306331634521 ,13279.0     ,25.0               ,8.050000190734863   ,0.0                ,390.0          ,144.0           ,51.0
1605632.0 ,781.2786724567413 ,13379.0     ,34.0               ,11.475000381469727  ,0.0                ,370.0          ,162.625         ,50.0
1622016.0 ,789.2809453010559 ,13473.0     ,33.0               ,12.050000190734863  ,0.0                ,377.0          ,172.4           ,38.0
1638400.0 ,797.2589907646179 ,13572.0     ,32.0               ,10.225000381469727  ,1.0                ,300.0          ,155.325         ,61.0
1654784.0 ,805.2445216178894 ,13680.0     ,55.0               ,10.074999809265137  ,0.0                ,489.0          ,142.025         ,22.0
1671168.0 ,813.2483627796173 ,13779.0     ,37.0               ,11.899999618530273  ,1.0                ,456.0          ,168.875         ,53.0
1687552.0 ,821.2161867618561 ,13879.0     ,54.0               ,9.925000190734863   ,1.0                ,576.0          ,149.3           ,66.0
1703936.0 ,829.2016105651855 ,13983.0     ,54.0               ,10.324999809265137  ,1.0                ,540.0          ,149.8           ,55.0
1720320.0 ,837.1559913158417 ,14081.0     ,26.0               ,8.5                 ,0.0                ,386.0          ,143.9           ,21.0
1736704.0 ,845.1419861316681 ,14184.0     ,46.0               ,11.149999618530273  ,0.0                ,511.0          ,172.175         ,52.0
1753088.0 ,853.1007387638092 ,14280.0     ,29.0               ,9.675000190734863   ,0.0                ,383.0          ,149.3           ,57.0
1769472.0 ,861.103857755661  ,14382.0     ,29.0               ,11.699999809265137  ,1.0                ,411.0          ,176.2           ,52.0
1785856.0 ,869.0528330802917 ,14484.0     ,46.0               ,10.574999809265137  ,0.0                ,524.0          ,161.4           ,60.0
1802240.0 ,877.0358519554138 ,14579.0     ,34.0               ,10.199999809265137  ,0.0                ,512.0          ,167.025         ,66.0
1818624.0 ,884.975738286972  ,14670.0     ,34.0               ,10.850000381469727  ,0.0                ,361.0          ,162.775         ,60.0
1835008.0 ,892.9757158756256 ,14766.0     ,37.0               ,12.449999809265137  ,1.0                ,413.0          ,176.825         ,58.0
1851392.0 ,900.9005370140076 ,14869.0     ,45.0               ,10.024999618530273  ,0.0                ,577.0          ,152.275         ,65.0
1867776.0 ,908.878927230835  ,14969.0     ,37.0               ,12.300000190734863  ,2.0                ,423.0          ,178.325         ,44.0
