timesteps ,wall_time         ,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
16384.0   ,17.367667198181152,176.0       ,11.0               ,1.850000023841858   ,0.0                ,155.0          ,72.05           ,18.0
32768.0   ,31.700251579284668,385.0       ,12.0               ,1.75                ,0.0                ,172.0          ,87.4            ,44.0
49152.0   ,45.95992088317871 ,591.0       ,5.0                ,1.25                ,0.0                ,129.0          ,70.875          ,28.0
65536.0   ,60.29664421081543 ,790.0       ,5.0                ,1.524999976158142   ,0.0                ,151.0          ,77.75           ,35.0
81920.0   ,74.61849546432495 ,980.0       ,7.0                ,1.75                ,0.0                ,154.0          ,87.425          ,19.0
98304.0   ,88.98324179649353 ,1160.0      ,10.0               ,2.450000047683716   ,0.0                ,167.0          ,86.875          ,25.0
114688.0  ,103.34677243232727,1328.0      ,9.0                ,3.125               ,0.0                ,219.0          ,90.75           ,17.0
131072.0  ,117.70766234397888,1496.0      ,12.0               ,3.174999952316284   ,0.0                ,205.0          ,105.825         ,50.0
147456.0  ,131.99445295333862,1666.0      ,10.0               ,2.7750000953674316  ,0.0                ,175.0          ,90.15           ,48.0
163840.0  ,146.14873147010803,1835.0      ,15.0               ,3.924999952316284   ,0.0                ,189.0          ,99.05           ,23.0
180224.0  ,160.51690483093262,2027.0      ,22.0               ,3.549999952316284   ,0.0                ,234.0          ,91.95           ,53.0
196608.0  ,174.92010140419006,2201.0      ,11.0               ,2.625               ,0.0                ,219.0          ,90.65           ,45.0
212992.0  ,189.3056342601776 ,2363.0      ,10.0               ,3.075000047683716   ,0.0                ,171.0          ,97.425          ,39.0
229376.0  ,203.71148824691772,2532.0      ,10.0               ,3.325000047683716   ,0.0                ,230.0          ,100.05          ,55.0
245760.0  ,218.15580248832703,2701.0      ,13.0               ,2.924999952316284   ,0.0                ,191.0          ,92.9            ,44.0
262144.0  ,232.52652859687805,2873.0      ,13.0               ,3.7750000953674316  ,0.0                ,179.0          ,98.8            ,33.0
278528.0  ,246.90210056304932,3039.0      ,15.0               ,3.049999952316284   ,0.0                ,255.0          ,94.95           ,46.0
294912.0  ,261.2483100891113 ,3201.0      ,13.0               ,3.4749999046325684  ,0.0                ,182.0          ,96.575          ,59.0
311296.0  ,275.67842841148376,3368.0      ,13.0               ,3.4000000953674316  ,0.0                ,183.0          ,98.05           ,57.0
327680.0  ,290.06640219688416,3535.0      ,25.0               ,4.025000095367432   ,0.0                ,304.0          ,96.65           ,44.0
344064.0  ,304.4751522541046 ,3698.0      ,12.0               ,3.4749999046325684  ,0.0                ,241.0          ,104.275         ,27.0
360448.0  ,318.86481642723083,3855.0      ,14.0               ,3.4749999046325684  ,0.0                ,241.0          ,105.975         ,41.0
376832.0  ,333.28312945365906,4014.0      ,11.0               ,3.424999952316284   ,0.0                ,210.0          ,100.1           ,45.0
393216.0  ,347.67819929122925,4172.0      ,16.0               ,4.949999809265137   ,0.0                ,201.0          ,105.2           ,36.0
409600.0  ,362.10635781288147,4333.0      ,14.0               ,3.174999952316284   ,0.0                ,220.0          ,94.7            ,48.0
425984.0  ,376.4775002002716 ,4496.0      ,13.0               ,4.375               ,0.0                ,200.0          ,101.375         ,53.0
442368.0  ,390.91006875038147,4648.0      ,13.0               ,4.125               ,0.0                ,188.0          ,108.6           ,49.0
458752.0  ,405.31030201911926,4798.0      ,13.0               ,3.4749999046325684  ,0.0                ,211.0          ,105.425         ,62.0
