timesteps ,wall_time         ,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
16384.0   ,12.049476385116577,185.0       ,4.0                ,1.100000023841858   ,0.0                ,188.0          ,70.675          ,22.0
32768.0   ,20.481504917144775,392.0       ,6.0                ,1.149999976158142   ,0.0                ,130.0          ,76.025          ,20.0
49152.0   ,28.582435607910156,597.0       ,11.0               ,1.375               ,0.0                ,166.0          ,72.725          ,21.0
65536.0   ,36.85999822616577 ,789.0       ,9.0                ,2.2750000953674316  ,0.0                ,237.0          ,97.35           ,43.0
81920.0   ,45.4018440246582  ,979.0       ,7.0                ,1.75                ,0.0                ,189.0          ,84.425          ,39.0
98304.0   ,53.733952045440674,1167.0      ,6.0                ,1.524999976158142   ,0.0                ,165.0          ,84.275          ,27.0
114688.0  ,62.02933979034424 ,1342.0      ,9.0                ,2.674999952316284   ,0.0                ,185.0          ,92.15           ,25.0
131072.0  ,70.35349750518799 ,1527.0      ,8.0                ,2.450000047683716   ,0.0                ,162.0          ,91.525          ,38.0
147456.0  ,78.81181931495667 ,1699.0      ,10.0               ,3.0                 ,0.0                ,193.0          ,94.625          ,50.0
163840.0  ,87.58203077316284 ,1875.0      ,16.0               ,3.0                 ,0.0                ,213.0          ,99.25           ,53.0
180224.0  ,95.70152401924133 ,2061.0      ,7.0                ,2.299999952316284   ,0.0                ,140.0          ,83.3            ,46.0
196608.0  ,103.9442126750946 ,2233.0      ,7.0                ,2.575000047683716   ,0.0                ,158.0          ,92.025          ,39.0
212992.0  ,112.15735936164856,2407.0      ,15.0               ,3.075000047683716   ,0.0                ,192.0          ,94.45           ,52.0
229376.0  ,120.83015060424805,2580.0      ,13.0               ,3.1500000953674316  ,0.0                ,176.0          ,93.125          ,47.0
245760.0  ,129.49044919013977,2755.0      ,12.0               ,3.200000047683716   ,0.0                ,188.0          ,93.55           ,37.0
262144.0  ,138.1241147518158 ,2936.0      ,24.0               ,3.049999952316284   ,0.0                ,293.0          ,94.2            ,49.0
278528.0  ,146.72052240371704,3104.0      ,8.0                ,2.7249999046325684  ,0.0                ,164.0          ,88.625          ,39.0
294912.0  ,155.47351789474487,3273.0      ,11.0               ,2.700000047683716   ,0.0                ,168.0          ,91.25           ,30.0
311296.0  ,164.11149406433105,3445.0      ,18.0               ,3.875               ,0.0                ,226.0          ,99.45           ,35.0
327680.0  ,172.84453582763672,3605.0      ,9.0                ,2.875               ,0.0                ,157.0          ,91.625          ,34.0
344064.0  ,181.1294288635254 ,3766.0      ,8.0                ,2.575000047683716   ,0.0                ,185.0          ,98.525          ,35.0
360448.0  ,189.70412683486938,3923.0      ,13.0               ,3.6500000953674316  ,0.0                ,267.0          ,99.975          ,43.0
376832.0  ,197.67188048362732,4082.0      ,15.0               ,4.050000190734863   ,0.0                ,242.0          ,109.7           ,41.0
393216.0  ,206.30351185798645,4245.0      ,15.0               ,3.4000000953674316  ,0.0                ,252.0          ,98.625          ,49.0
409600.0  ,214.99773454666138,4411.0      ,16.0               ,4.324999809265137   ,0.0                ,245.0          ,105.15          ,43.0
425984.0  ,223.74495840072632,4565.0      ,10.0               ,2.950000047683716   ,0.0                ,212.0          ,103.325         ,48.0
442368.0  ,232.43697023391724,4735.0      ,9.0                ,2.4749999046325684  ,0.0                ,170.0          ,94.375          ,42.0
458752.0  ,241.1119647026062 ,4894.0      ,12.0               ,4.125               ,0.0                ,181.0          ,103.625         ,51.0
475136.0  ,249.49915766716003,5044.0      ,14.0               ,5.349999904632568   ,0.0                ,288.0          ,119.05          ,67.0
491520.0  ,258.1491870880127 ,5198.0      ,16.0               ,4.574999809265137   ,0.0                ,269.0          ,110.15          ,54.0
507904.0  ,266.84245133399963,5345.0      ,17.0               ,4.724999904632568   ,0.0                ,293.0          ,111.525         ,46.0
524288.0  ,275.2185742855072 ,5489.0      ,17.0               ,4.599999904632568   ,0.0                ,212.0          ,112.0           ,57.0
540672.0  ,284.0074381828308 ,5635.0      ,14.0               ,3.924999952316284   ,0.0                ,216.0          ,107.725         ,62.0
557056.0  ,292.71743607521057,5781.0      ,12.0               ,4.775000095367432   ,0.0                ,209.0          ,110.525         ,39.0
573440.0  ,301.43268394470215,5936.0      ,17.0               ,4.425000190734863   ,0.0                ,191.0          ,97.675          ,26.0
589824.0  ,309.77594923973083,6096.0      ,17.0               ,4.425000190734863   ,0.0                ,227.0          ,104.3           ,51.0
606208.0  ,318.1664459705353 ,6230.0      ,19.0               ,5.025000095367432   ,0.0                ,249.0          ,110.05          ,65.0
622592.0  ,326.62002515792847,6371.0      ,26.0               ,6.449999809265137   ,0.0                ,311.0          ,128.975         ,44.0
638976.0  ,335.06085896492004,6524.0      ,12.0               ,4.050000190734863   ,0.0                ,172.0          ,104.05          ,32.0
655360.0  ,343.48614287376404,6673.0      ,14.0               ,4.949999809265137   ,0.0                ,282.0          ,116.125         ,47.0
671744.0  ,352.1844255924225 ,6813.0      ,21.0               ,5.574999809265137   ,0.0                ,314.0          ,119.625         ,58.0
688128.0  ,360.49178552627563,6968.0      ,13.0               ,4.0                 ,0.0                ,234.0          ,96.25           ,24.0
704512.0  ,368.8966152667999 ,7125.0      ,10.0               ,4.150000095367432   ,0.0                ,159.0          ,99.825          ,49.0
720896.0  ,377.1924798488617 ,7269.0      ,17.0               ,6.175000190734863   ,0.0                ,362.0          ,125.675         ,50.0
737280.0  ,385.67814803123474,7413.0      ,16.0               ,4.974999904632568   ,0.0                ,241.0          ,110.65          ,32.0
753664.0  ,394.3598418235779 ,7561.0      ,12.0               ,3.9749999046325684  ,0.0                ,207.0          ,100.0           ,43.0
770048.0  ,402.7150328159332 ,7707.0      ,20.0               ,4.775000095367432   ,0.0                ,246.0          ,113.45          ,64.0
786432.0  ,411.43069434165955,7855.0      ,15.0               ,5.525000095367432   ,0.0                ,254.0          ,117.175         ,63.0
802816.0  ,420.13992381095886,7984.0      ,19.0               ,5.375               ,0.0                ,234.0          ,113.65          ,61.0
819200.0  ,428.35360074043274,8133.0      ,18.0               ,5.625               ,0.0                ,238.0          ,117.2           ,23.0
835584.0  ,437.0191307067871 ,8271.0      ,12.0               ,4.824999809265137   ,0.0                ,191.0          ,112.475         ,47.0
851968.0  ,445.7774214744568 ,8416.0      ,17.0               ,6.724999904632568   ,0.0                ,285.0          ,119.6           ,54.0
868352.0  ,454.07818484306335,8561.0      ,20.0               ,6.824999809265137   ,0.0                ,302.0          ,123.225         ,25.0
884736.0  ,462.4642825126648 ,8707.0      ,22.0               ,5.949999809265137   ,0.0                ,235.0          ,110.35          ,21.0
901120.0  ,470.69527220726013,8842.0      ,23.0               ,7.099999904632568   ,0.0                ,295.0          ,126.15          ,39.0
917504.0  ,479.16508960723877,8976.0      ,23.0               ,7.175000190734863   ,0.0                ,259.0          ,128.425         ,40.0
933888.0  ,487.4830446243286 ,9110.0      ,20.0               ,5.925000190734863   ,0.0                ,254.0          ,114.675         ,39.0
950272.0  ,495.8606815338135 ,9244.0      ,23.0               ,5.900000095367432   ,0.0                ,421.0          ,120.45          ,38.0
966656.0  ,504.5280296802521 ,9382.0      ,11.0               ,5.375               ,1.0                ,216.0          ,117.55          ,52.0
983040.0  ,513.1530401706696 ,9519.0      ,19.0               ,6.099999904632568   ,0.0                ,294.0          ,121.975         ,28.0
999424.0  ,521.6078364849091 ,9662.0      ,22.0               ,6.574999809265137   ,0.0                ,278.0          ,126.9           ,50.0
1015808.0 ,530.0112164020538 ,9787.0      ,18.0               ,6.800000190734863   ,0.0                ,194.0          ,113.725         ,25.0
1032192.0 ,538.4216203689575 ,9918.0      ,31.0               ,7.25                ,0.0                ,432.0          ,127.15          ,45.0
1048576.0 ,546.8473727703094 ,10057.0     ,33.0               ,5.75                ,0.0                ,325.0          ,116.475         ,24.0
1064960.0 ,555.1540315151215 ,10195.0     ,20.0               ,6.25                ,0.0                ,283.0          ,121.875         ,44.0
1081344.0 ,563.5271699428558 ,10326.0     ,24.0               ,6.300000190734863   ,0.0                ,246.0          ,116.775         ,30.0
1097728.0 ,571.9771239757538 ,10451.0     ,21.0               ,7.175000190734863   ,0.0                ,299.0          ,128.8           ,57.0
1114112.0 ,580.506754398346  ,10583.0     ,31.0               ,7.324999809265137   ,0.0                ,390.0          ,139.65          ,50.0
1130496.0 ,589.0822112560272 ,10712.0     ,19.0               ,5.425000190734863   ,0.0                ,294.0          ,114.25          ,26.0
1146880.0 ,597.5200583934784 ,10844.0     ,32.0               ,7.650000095367432   ,1.0                ,418.0          ,137.45          ,43.0
1163264.0 ,606.0882985591888 ,10979.0     ,24.0               ,6.625               ,0.0                ,341.0          ,123.55          ,53.0
1179648.0 ,614.3719320297241 ,11099.0     ,19.0               ,7.949999809265137   ,0.0                ,357.0          ,146.7           ,52.0
1196032.0 ,622.5936529636383 ,11230.0     ,23.0               ,7.300000190734863   ,0.0                ,279.0          ,126.375         ,54.0
1212416.0 ,630.8894007205963 ,11364.0     ,31.0               ,6.599999904632568   ,0.0                ,326.0          ,126.8           ,55.0
1228800.0 ,639.5916721820831 ,11496.0     ,24.0               ,7.224999904632568   ,0.0                ,337.0          ,130.95          ,49.0
1245184.0 ,647.8862965106964 ,11631.0     ,21.0               ,6.375               ,0.0                ,249.0          ,116.45          ,49.0
1261568.0 ,656.1785297393799 ,11757.0     ,15.0               ,6.875               ,0.0                ,301.0          ,129.6           ,40.0
1277952.0 ,664.4901146888733 ,11880.0     ,28.0               ,6.275000095367432   ,0.0                ,322.0          ,122.225         ,47.0
1294336.0 ,672.7849049568176 ,12000.0     ,34.0               ,9.300000190734863   ,0.0                ,316.0          ,147.825         ,59.0
1310720.0 ,680.9991984367371 ,12128.0     ,22.0               ,8.175000190734863   ,0.0                ,354.0          ,132.775         ,55.0
1327104.0 ,689.691517829895  ,12256.0     ,19.0               ,7.425000190734863   ,1.0                ,288.0          ,131.8           ,49.0
1343488.0 ,698.1065189838409 ,12382.0     ,39.0               ,8.699999809265137   ,0.0                ,419.0          ,141.025         ,50.0
1359872.0 ,706.1230812072754 ,12498.0     ,21.0               ,7.5                 ,0.0                ,329.0          ,131.775         ,50.0
1376256.0 ,714.294285774231  ,12630.0     ,26.0               ,6.900000095367432   ,0.0                ,310.0          ,118.8           ,42.0
1392640.0 ,722.6180424690247 ,12754.0     ,29.0               ,7.625               ,0.0                ,310.0          ,128.475         ,70.0
1409024.0 ,731.2079463005066 ,12873.0     ,27.0               ,8.100000381469727   ,0.0                ,332.0          ,148.625         ,34.0
1425408.0 ,739.5514416694641 ,12984.0     ,37.0               ,8.199999809265137   ,0.0                ,345.0          ,141.05          ,57.0
1441792.0 ,748.1777510643005 ,13109.0     ,31.0               ,9.300000190734863   ,1.0                ,403.0          ,144.55          ,58.0
1458176.0 ,756.8407394886017 ,13221.0     ,40.0               ,8.25                ,0.0                ,505.0          ,138.95          ,55.0
1474560.0 ,765.2003035545349 ,13352.0     ,27.0               ,9.375               ,0.0                ,459.0          ,153.975         ,31.0
1490944.0 ,773.796881198883  ,13476.0     ,20.0               ,7.675000190734863   ,0.0                ,247.0          ,128.025         ,49.0
1507328.0 ,782.478673696518  ,13603.0     ,30.0               ,7.099999904632568   ,0.0                ,411.0          ,126.575         ,44.0
1523712.0 ,790.7830235958099 ,13730.0     ,21.0               ,6.474999904632568   ,0.0                ,256.0          ,120.775         ,43.0
1540096.0 ,799.0422909259796 ,13857.0     ,26.0               ,6.824999809265137   ,0.0                ,256.0          ,119.575         ,48.0
1556480.0 ,807.5099055767059 ,13988.0     ,52.0               ,7.650000095367432   ,0.0                ,569.0          ,134.625         ,28.0
1572864.0 ,816.0741922855377 ,14125.0     ,17.0               ,6.125               ,0.0                ,219.0          ,114.4           ,45.0
1589248.0 ,824.3617744445801 ,14244.0     ,24.0               ,8.550000190734863   ,0.0                ,289.0          ,134.975         ,40.0
1605632.0 ,832.9023718833923 ,14368.0     ,31.0               ,7.125               ,1.0                ,340.0          ,123.95          ,52.0
1622016.0 ,841.2472422122955 ,14489.0     ,27.0               ,8.675000190734863   ,1.0                ,315.0          ,130.95          ,47.0
1638400.0 ,849.8400988578796 ,14617.0     ,28.0               ,7.099999904632568   ,0.0                ,396.0          ,127.15          ,26.0
1654784.0 ,858.0454964637756 ,14744.0     ,20.0               ,6.675000190734863   ,0.0                ,304.0          ,120.075         ,41.0
1671168.0 ,866.3349463939667 ,14873.0     ,26.0               ,7.050000190734863   ,0.0                ,424.0          ,131.75          ,54.0
1687552.0 ,874.6377689838409 ,14990.0     ,33.0               ,9.199999809265137   ,0.0                ,317.0          ,143.9           ,54.0
1703936.0 ,883.0055739879608 ,15103.0     ,22.0               ,6.974999904632568   ,0.0                ,343.0          ,134.425         ,37.0
1720320.0 ,891.4966247081757 ,15219.0     ,27.0               ,7.324999809265137   ,0.0                ,298.0          ,129.05          ,50.0
1736704.0 ,899.8689477443695 ,15338.0     ,22.0               ,8.199999809265137   ,0.0                ,277.0          ,122.6           ,31.0
1753088.0 ,908.4861776828766 ,15456.0     ,24.0               ,9.024999618530273   ,0.0                ,278.0          ,138.3           ,40.0
1769472.0 ,916.8529016971588 ,15574.0     ,31.0               ,6.775000095367432   ,0.0                ,440.0          ,120.075         ,42.0
