timesteps ,wall_time         ,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
16384.0   ,18.11272621154785 ,186.0       ,10.0               ,1.5499999523162842  ,0.0                ,205.0          ,74.775          ,19.0
32768.0   ,33.092005014419556,397.0       ,6.0                ,1.149999976158142   ,0.0                ,155.0          ,74.525          ,12.0
49152.0   ,47.68684244155884 ,601.0       ,11.0               ,2.450000047683716   ,0.0                ,190.0          ,84.5            ,34.0
65536.0   ,62.580700159072876,807.0       ,5.0                ,1.4500000476837158  ,0.0                ,148.0          ,78.4            ,17.0
81920.0   ,77.07425355911255 ,1000.0      ,8.0                ,1.9249999523162842  ,0.0                ,153.0          ,75.85           ,21.0
98304.0   ,92.20598816871643 ,1190.0      ,12.0               ,2.125               ,0.0                ,254.0          ,84.475          ,23.0
114688.0  ,107.07061457633972,1380.0      ,8.0                ,2.3499999046325684  ,0.0                ,209.0          ,92.725          ,35.0
131072.0  ,122.45485067367554,1548.0      ,18.0               ,3.5999999046325684  ,0.0                ,269.0          ,95.1            ,39.0
147456.0  ,136.76481914520264,1720.0      ,14.0               ,3.549999952316284   ,0.0                ,202.0          ,101.225         ,58.0
163840.0  ,151.30921721458435,1903.0      ,11.0               ,2.424999952316284   ,0.0                ,163.0          ,83.725          ,22.0
180224.0  ,166.1613473892212 ,2080.0      ,12.0               ,2.5                 ,0.0                ,202.0          ,93.525          ,35.0
196608.0  ,181.2706618309021 ,2256.0      ,8.0                ,2.575000047683716   ,0.0                ,187.0          ,96.875          ,50.0
212992.0  ,196.51021909713745,2422.0      ,18.0               ,3.2750000953674316  ,0.0                ,231.0          ,101.925         ,59.0
229376.0  ,210.8770477771759 ,2605.0      ,22.0               ,3.4749999046325684  ,0.0                ,226.0          ,96.425          ,38.0
245760.0  ,225.18726897239685,2780.0      ,8.0                ,2.549999952316284   ,0.0                ,193.0          ,88.15           ,35.0
262144.0  ,239.7301299571991 ,2956.0      ,11.0               ,2.924999952316284   ,0.0                ,179.0          ,93.4            ,13.0
278528.0  ,254.05177927017212,3135.0      ,12.0               ,3.924999952316284   ,0.0                ,233.0          ,100.275         ,28.0
294912.0  ,268.6534423828125 ,3311.0      ,10.0               ,2.9749999046325684  ,0.0                ,165.0          ,92.225          ,38.0
311296.0  ,283.395964384079  ,3476.0      ,10.0               ,2.450000047683716   ,0.0                ,160.0          ,90.45           ,37.0
327680.0  ,298.4040586948395 ,3650.0      ,14.0               ,3.4000000953674316  ,0.0                ,220.0          ,98.125          ,60.0
344064.0  ,313.51021671295166,3820.0      ,14.0               ,4.050000190734863   ,0.0                ,255.0          ,110.825         ,38.0
360448.0  ,328.5458526611328 ,3987.0      ,12.0               ,3.375               ,0.0                ,239.0          ,103.75          ,36.0
376832.0  ,343.180171251297  ,4162.0      ,13.0               ,2.549999952316284   ,0.0                ,185.0          ,90.875          ,52.0
393216.0  ,357.79643416404724,4324.0      ,15.0               ,3.299999952316284   ,0.0                ,232.0          ,98.725          ,23.0
409600.0  ,372.5454812049866 ,4485.0      ,20.0               ,3.549999952316284   ,0.0                ,180.0          ,96.55           ,59.0
425984.0  ,387.25918340682983,4645.0      ,17.0               ,3.7750000953674316  ,0.0                ,198.0          ,104.15          ,34.0
442368.0  ,401.96010971069336,4814.0      ,16.0               ,3.5250000953674316  ,0.0                ,231.0          ,93.05           ,29.0
458752.0  ,416.6265070438385 ,4983.0      ,14.0               ,4.324999809265137   ,0.0                ,257.0          ,101.15          ,27.0
475136.0  ,431.1521465778351 ,5144.0      ,29.0               ,3.8499999046325684  ,0.0                ,488.0          ,108.8           ,39.0
491520.0  ,446.500465631485  ,5307.0      ,16.0               ,4.449999809265137   ,0.0                ,221.0          ,100.5           ,45.0
507904.0  ,461.5479700565338 ,5471.0      ,10.0               ,4.349999904632568   ,0.0                ,214.0          ,107.55          ,54.0
524288.0  ,476.48568844795227,5637.0      ,15.0               ,4.0                 ,0.0                ,224.0          ,97.3            ,58.0
540672.0  ,491.33648705482483,5799.0      ,12.0               ,3.6500000953674316  ,0.0                ,165.0          ,101.0           ,34.0
557056.0  ,505.65183424949646,5966.0      ,12.0               ,3.8499999046325684  ,0.0                ,172.0          ,100.125         ,19.0
573440.0  ,520.0884313583374 ,6131.0      ,9.0                ,3.125               ,0.0                ,196.0          ,90.45           ,49.0
589824.0  ,534.6606025695801 ,6300.0      ,11.0               ,3.799999952316284   ,0.0                ,184.0          ,102.95          ,40.0
606208.0  ,549.8471875190735 ,6456.0      ,16.0               ,3.75                ,0.0                ,187.0          ,95.425          ,37.0
622592.0  ,564.6784219741821 ,6611.0      ,16.0               ,4.625               ,0.0                ,193.0          ,107.925         ,48.0
638976.0  ,579.2795433998108 ,6764.0      ,11.0               ,4.550000190734863   ,1.0                ,207.0          ,106.85          ,47.0
655360.0  ,594.2913165092468 ,6914.0      ,12.0               ,5.199999809265137   ,0.0                ,184.0          ,106.1           ,31.0
671744.0  ,609.4541177749634 ,7061.0      ,18.0               ,4.175000190734863   ,0.0                ,329.0          ,105.95          ,17.0
688128.0  ,624.014121055603  ,7208.0      ,19.0               ,4.5                 ,0.0                ,202.0          ,105.35          ,53.0
704512.0  ,639.3388884067535 ,7361.0      ,13.0               ,4.425000190734863   ,0.0                ,189.0          ,108.825         ,35.0
720896.0  ,654.389408826828  ,7505.0      ,11.0               ,4.300000190734863   ,0.0                ,236.0          ,110.525         ,31.0
737280.0  ,669.7758672237396 ,7662.0      ,16.0               ,5.599999904632568   ,0.0                ,231.0          ,110.65          ,33.0
