timesteps ,wall_time         ,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
16384.0   ,11.422874927520752,13.0        ,10.0               ,3.076923131942749   ,0.0                ,254.0          ,162.0           ,56.0
32768.0   ,19.633888006210327,36.0        ,10.0               ,4.44444465637207    ,0.0                ,479.0          ,258.0           ,56.0
49152.0   ,27.84179425239563 ,76.0        ,10.0               ,5.25                ,0.0                ,768.0          ,496.0           ,70.0
65536.0   ,35.94961166381836 ,152.0       ,10.0               ,5.25                ,0.0                ,1000.0         ,331.0           ,36.0
81920.0   ,44.247217655181885,218.0       ,10.0               ,4.75                ,0.0                ,790.0          ,223.5           ,31.0
98304.0   ,52.224186182022095,292.0       ,10.0               ,4.5                 ,0.0                ,985.0          ,220.075         ,50.0
114688.0  ,60.1108500957489  ,403.0       ,10.0               ,5.25                ,0.0                ,857.0          ,245.9           ,41.0
131072.0  ,68.33139038085938 ,534.0       ,10.0               ,4.25                ,0.0                ,298.0          ,136.325         ,52.0
147456.0  ,76.16508150100708 ,673.0       ,10.0               ,6.25                ,0.0                ,553.0          ,115.825         ,35.0
163840.0  ,84.2001121044159  ,825.0       ,10.0               ,4.0                 ,0.0                ,410.0          ,104.125         ,33.0
180224.0  ,92.18337559700012 ,1026.0      ,10.0               ,4.75                ,0.0                ,347.0          ,91.45           ,33.0
196608.0  ,100.11315107345581,1221.0      ,10.0               ,5.0                 ,0.0                ,219.0          ,78.175          ,31.0
212992.0  ,108.01791834831238,1432.0      ,10.0               ,4.5                 ,0.0                ,257.0          ,82.675          ,17.0
229376.0  ,115.95937705039978,1636.0      ,10.0               ,4.25                ,0.0                ,273.0          ,89.425          ,20.0
245760.0  ,123.88376832008362,1850.0      ,10.0               ,6.0                 ,0.0                ,270.0          ,75.975          ,33.0
262144.0  ,132.25939106941223,2080.0      ,10.0               ,5.5                 ,0.0                ,255.0          ,77.95           ,24.0
278528.0  ,140.5664005279541 ,2303.0      ,10.0               ,6.25                ,0.0                ,294.0          ,75.0            ,21.0
294912.0  ,148.6524999141693 ,2541.0      ,10.0               ,6.0                 ,0.0                ,167.0          ,67.25           ,22.0
311296.0  ,156.61737895011902,2776.0      ,10.0               ,5.75                ,0.0                ,185.0          ,67.325          ,21.0
327680.0  ,164.72576785087585,3020.0      ,10.0               ,7.25                ,0.0                ,209.0          ,65.7            ,19.0
344064.0  ,172.66910362243652,3261.0      ,10.0               ,6.0                 ,0.0                ,185.0          ,65.775          ,21.0
360448.0  ,180.61180472373962,3521.0      ,10.0               ,6.75                ,0.0                ,212.0          ,66.65           ,17.0
376832.0  ,188.54545068740845,3787.0      ,10.0               ,5.0                 ,0.0                ,190.0          ,56.8            ,22.0
393216.0  ,196.56738686561584,4045.0      ,10.0               ,7.5                 ,0.0                ,142.0          ,59.45           ,20.0
409600.0  ,204.72884273529053,4297.0      ,10.0               ,6.75                ,0.0                ,167.0          ,69.375          ,19.0
425984.0  ,212.69657611846924,4556.0      ,10.0               ,5.5                 ,0.0                ,142.0          ,63.65           ,20.0
442368.0  ,220.90947103500366,4820.0      ,10.0               ,7.0                 ,0.0                ,177.0          ,72.95           ,21.0
458752.0  ,229.08307194709778,5083.0      ,10.0               ,5.0                 ,0.0                ,227.0          ,62.325          ,17.0
475136.0  ,237.09525203704834,5317.0      ,10.0               ,6.75                ,0.0                ,212.0          ,70.2            ,17.0
491520.0  ,245.0062701702118 ,5578.0      ,10.0               ,6.75                ,0.0                ,163.0          ,69.325          ,25.0
507904.0  ,253.0250084400177 ,5860.0      ,10.0               ,6.5                 ,0.0                ,194.0          ,67.125          ,17.0
524288.0  ,261.0554597377777 ,6126.0      ,10.0               ,5.75                ,0.0                ,109.0          ,56.475          ,18.0
540672.0  ,269.4085636138916 ,6414.0      ,10.0               ,6.25                ,0.0                ,180.0          ,59.625          ,16.0
557056.0  ,277.44019627571106,6711.0      ,10.0               ,6.0                 ,0.0                ,234.0          ,55.8            ,20.0
573440.0  ,285.830304145813  ,6987.0      ,10.0               ,5.75                ,0.0                ,161.0          ,62.15           ,24.0
589824.0  ,293.837060213089  ,7251.0      ,10.0               ,7.5                 ,0.0                ,236.0          ,62.45           ,22.0
606208.0  ,301.80822134017944,7520.0      ,10.0               ,6.75                ,0.0                ,257.0          ,57.55           ,19.0
