timesteps ,wall_time         ,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len ,min_episode_len
16384.0   ,17.588805675506592,11.0        ,10.0               ,2.7272727489471436  ,0.0                ,241.0          ,156.8181818181818,24.0
32768.0   ,32.053916215896606,33.0        ,10.0               ,4.242424011230469   ,0.0                ,512.0          ,300.2121212121212,24.0
49152.0   ,46.457130908966064,60.0        ,10.0               ,4.5                 ,0.0                ,768.0          ,448.925          ,95.0
65536.0   ,60.929946184158325,123.0       ,10.0               ,4.75                ,0.0                ,1000.0         ,436.9            ,38.0
81920.0   ,75.2618134021759  ,182.0       ,10.0               ,4.75                ,0.0                ,848.0          ,240.05           ,57.0
98304.0   ,90.07833933830261 ,261.0       ,10.0               ,3.75                ,0.0                ,642.0          ,240.6            ,58.0
114688.0  ,104.77109599113464,362.0       ,10.0               ,5.0                 ,0.0                ,907.0          ,215.375          ,41.0
131072.0  ,119.34558463096619,484.0       ,10.0               ,3.75                ,0.0                ,307.0          ,125.85           ,28.0
147456.0  ,133.6145076751709 ,621.0       ,10.0               ,4.0                 ,0.0                ,456.0          ,122.675          ,33.0
163840.0  ,148.0009081363678 ,787.0       ,10.0               ,4.0                 ,0.0                ,477.0          ,100.85           ,34.0
180224.0  ,162.33967566490173,977.0       ,10.0               ,4.5                 ,0.0                ,263.0          ,100.975          ,31.0
196608.0  ,177.05021715164185,1176.0      ,10.0               ,4.25                ,0.0                ,316.0          ,93.0             ,17.0
212992.0  ,191.42537689208984,1378.0      ,10.0               ,5.75                ,0.0                ,444.0          ,90.675           ,28.0
229376.0  ,205.76788926124573,1609.0      ,10.0               ,5.75                ,0.0                ,215.0          ,65.0             ,19.0
245760.0  ,220.1397626399994 ,1841.0      ,10.0               ,5.0                 ,0.0                ,192.0          ,68.3             ,20.0
262144.0  ,234.51263284683228,2056.0      ,10.0               ,6.0                 ,0.0                ,177.0          ,71.275           ,18.0
278528.0  ,248.89580297470093,2282.0      ,10.0               ,4.0                 ,0.0                ,211.0          ,75.875           ,18.0
294912.0  ,263.6116478443146 ,2505.0      ,10.0               ,4.75                ,0.0                ,199.0          ,73.425           ,18.0
311296.0  ,278.3875308036804 ,2714.0      ,10.0               ,4.5                 ,0.0                ,259.0          ,82.2             ,21.0
327680.0  ,293.1654055118561 ,2949.0      ,10.0               ,7.0                 ,0.0                ,207.0          ,72.925           ,24.0
344064.0  ,307.63690996170044,3169.0      ,10.0               ,5.75                ,0.0                ,177.0          ,73.075           ,20.0
360448.0  ,321.95547580718994,3427.0      ,10.0               ,4.5                 ,0.0                ,143.0          ,61.0             ,20.0
376832.0  ,336.480975151062  ,3689.0      ,10.0               ,7.0                 ,0.0                ,168.0          ,71.1             ,20.0
393216.0  ,350.8770582675934 ,3943.0      ,10.0               ,4.5                 ,0.0                ,175.0          ,60.375           ,18.0
409600.0  ,365.29157161712646,4176.0      ,10.0               ,6.25                ,0.0                ,146.0          ,61.175           ,15.0
425984.0  ,379.9391577243805 ,4432.0      ,10.0               ,6.0                 ,0.0                ,187.0          ,68.4             ,21.0
442368.0  ,394.5517327785492 ,4691.0      ,10.0               ,6.0                 ,0.0                ,150.0          ,69.15            ,19.0
458752.0  ,409.2825701236725 ,4940.0      ,10.0               ,6.75                ,0.0                ,166.0          ,59.9             ,16.0
475136.0  ,424.0557339191437 ,5190.0      ,10.0               ,6.5                 ,0.0                ,125.0          ,53.7             ,19.0
491520.0  ,438.53897762298584,5438.0      ,10.0               ,6.75                ,0.0                ,125.0          ,62.375           ,17.0
507904.0  ,453.3001811504364 ,5675.0      ,10.0               ,7.5                 ,0.0                ,148.0          ,64.425           ,32.0
524288.0  ,468.1613576412201 ,5925.0      ,10.0               ,6.25                ,0.0                ,157.0          ,62.8             ,22.0
540672.0  ,482.89896178245544,6179.0      ,10.0               ,5.75                ,0.0                ,166.0          ,68.45            ,18.0
557056.0  ,497.6322705745697 ,6448.0      ,10.0               ,5.75                ,0.0                ,139.0          ,59.475           ,20.0
573440.0  ,511.97300362586975,6697.0      ,10.0               ,5.75                ,0.0                ,140.0          ,64.975           ,20.0
589824.0  ,526.6783390045166 ,6929.0      ,10.0               ,6.25                ,0.0                ,117.0          ,62.575           ,19.0
606208.0  ,541.4726543426514 ,7171.0      ,10.0               ,6.75                ,0.0                ,184.0          ,70.525           ,20.0
622592.0  ,555.8515930175781 ,7411.0      ,10.0               ,6.75                ,0.0                ,144.0          ,61.425           ,19.0
638976.0  ,570.2053730487823 ,7669.0      ,10.0               ,6.75                ,0.0                ,144.0          ,63.8             ,16.0
655360.0  ,584.5404217243195 ,7908.0      ,10.0               ,6.75                ,0.0                ,159.0          ,70.35            ,22.0
671744.0  ,598.9019331932068 ,8153.0      ,10.0               ,5.25                ,0.0                ,145.0          ,66.825           ,17.0
688128.0  ,613.2891697883606 ,8397.0      ,10.0               ,6.5                 ,0.0                ,134.0          ,59.725           ,20.0
704512.0  ,627.6500322818756 ,8629.0      ,10.0               ,7.0                 ,0.0                ,197.0          ,73.2             ,19.0
720896.0  ,642.1226115226746 ,8867.0      ,10.0               ,7.0                 ,0.0                ,240.0          ,83.65            ,23.0
737280.0  ,656.8513548374176 ,9107.0      ,10.0               ,5.75                ,0.0                ,160.0          ,71.85            ,24.0
753664.0  ,671.6607296466827 ,9358.0      ,10.0               ,5.25                ,0.0                ,187.0          ,68.325           ,23.0
770048.0  ,686.279114484787  ,9596.0      ,10.0               ,6.0                 ,0.0                ,154.0          ,66.95            ,20.0
786432.0  ,700.9879608154297 ,9837.0      ,10.0               ,5.25                ,0.0                ,146.0          ,59.125           ,19.0
802816.0  ,715.6959207057953 ,10081.0     ,10.0               ,8.0                 ,0.0                ,186.0          ,74.55            ,20.0
819200.0  ,730.2309441566467 ,10323.0     ,10.0               ,6.75                ,0.0                ,187.0          ,68.1             ,20.0
835584.0  ,744.7101435661316 ,10580.0     ,10.0               ,6.5                 ,0.0                ,185.0          ,62.9             ,17.0
851968.0  ,759.1256697177887 ,10828.0     ,10.0               ,6.25                ,0.0                ,140.0          ,59.075           ,20.0
868352.0  ,773.9801921844482 ,11091.0     ,10.0               ,6.5                 ,0.0                ,161.0          ,68.125           ,16.0
884736.0  ,788.4259600639343 ,11349.0     ,10.0               ,7.5                 ,0.0                ,190.0          ,67.325           ,16.0
901120.0  ,802.840190410614  ,11594.0     ,10.0               ,8.25                ,0.0                ,156.0          ,63.15            ,20.0
917504.0  ,817.3698740005493 ,11851.0     ,10.0               ,7.0                 ,0.0                ,132.0          ,62.9             ,17.0
933888.0  ,832.100515127182  ,12093.0     ,10.0               ,7.75                ,0.0                ,196.0          ,72.35            ,22.0
950272.0  ,846.893444776535  ,12323.0     ,10.0               ,6.5                 ,0.0                ,168.0          ,72.625           ,17.0
966656.0  ,861.2318608760834 ,12566.0     ,10.0               ,6.25                ,0.0                ,172.0          ,69.175           ,18.0
983040.0  ,875.5683927536011 ,12800.0     ,10.0               ,6.75                ,0.0                ,112.0          ,57.075           ,23.0
999424.0  ,889.8835639953613 ,13049.0     ,10.0               ,7.25                ,0.0                ,195.0          ,66.875           ,21.0
1015808.0 ,904.2789652347565 ,13290.0     ,10.0               ,6.25                ,0.0                ,201.0          ,75.625           ,19.0
1032192.0 ,919.0589556694031 ,13522.0     ,10.0               ,7.5                 ,0.0                ,161.0          ,68.9             ,24.0
1048576.0 ,933.4695959091187 ,13758.0     ,10.0               ,7.75                ,0.0                ,166.0          ,69.55            ,22.0
1064960.0 ,947.8376834392548 ,13981.0     ,10.0               ,8.25                ,0.0                ,173.0          ,65.675           ,23.0
1081344.0 ,962.2018640041351 ,14227.0     ,10.0               ,7.0                 ,0.0                ,158.0          ,65.975           ,19.0
1097728.0 ,976.5861930847168 ,14454.0     ,10.0               ,6.75                ,0.0                ,176.0          ,79.125           ,19.0
1114112.0 ,990.9686875343323 ,14688.0     ,10.0               ,6.25                ,0.0                ,151.0          ,70.85            ,19.0
1130496.0 ,1005.6638596057892,14918.0     ,10.0               ,6.75                ,0.0                ,169.0          ,63.85            ,19.0
1146880.0 ,1020.0606627464294,15141.0     ,10.0               ,7.75                ,0.0                ,226.0          ,79.325           ,19.0
1163264.0 ,1034.4319236278534,15347.0     ,10.0               ,7.5                 ,0.0                ,150.0          ,67.15            ,23.0
1179648.0 ,1048.8412981033325,15561.0     ,10.0               ,7.5                 ,0.0                ,189.0          ,73.65            ,24.0
1196032.0 ,1063.2615759372711,15790.0     ,10.0               ,8.5                 ,0.0                ,181.0          ,80.375           ,24.0
1212416.0 ,1078.0415148735046,16013.0     ,10.0               ,6.75                ,0.0                ,185.0          ,68.15            ,22.0
1228800.0 ,1092.5070159435272,16223.0     ,10.0               ,8.5                 ,0.0                ,203.0          ,90.75            ,29.0
1245184.0 ,1106.8667006492615,16459.0     ,10.0               ,7.25                ,0.0                ,308.0          ,84.625           ,28.0
1261568.0 ,1121.2661967277527,16662.0     ,10.0               ,6.25                ,0.0                ,171.0          ,80.775           ,18.0
1277952.0 ,1135.7334711551666,16870.0     ,10.0               ,7.25                ,0.0                ,259.0          ,73.925           ,15.0
1294336.0 ,1150.347710609436 ,17089.0     ,10.0               ,7.75                ,0.0                ,148.0          ,76.425           ,22.0
1310720.0 ,1164.674066066742 ,17304.0     ,10.0               ,7.75                ,0.0                ,190.0          ,62.35            ,19.0
1327104.0 ,1179.4218518733978,17528.0     ,10.0               ,9.0                 ,0.0                ,203.0          ,77.55            ,23.0
1343488.0 ,1194.210865020752 ,17754.0     ,10.0               ,6.5                 ,0.0                ,171.0          ,64.5             ,23.0
1359872.0 ,1208.9581620693207,17995.0     ,10.0               ,8.0                 ,0.0                ,175.0          ,76.825           ,21.0
1376256.0 ,1223.6687602996826,18209.0     ,10.0               ,8.5                 ,0.0                ,169.0          ,87.225           ,16.0
1392640.0 ,1238.448555469513 ,18436.0     ,10.0               ,8.5                 ,0.0                ,187.0          ,63.8             ,20.0
1409024.0 ,1253.1703219413757,18690.0     ,10.0               ,8.0                 ,0.0                ,160.0          ,63.525           ,22.0
1425408.0 ,1267.5043966770172,18934.0     ,10.0               ,6.75                ,0.0                ,175.0          ,68.225           ,18.0
1441792.0 ,1281.8731005191803,19178.0     ,10.0               ,6.5                 ,0.0                ,172.0          ,66.0             ,22.0
