timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
16384.0,17.730540990829468,12.0,10.0,6.666666507720947,0.0,242.0,168.41666666666666,61.0
32768.0,32.240700483322144,33.0,10.0,4.545454502105713,0.0,504.0,255.36363636363637,61.0
49152.0,46.715744733810425,70.0,10.0,3.5,0.0,740.0,494.75,89.0
65536.0,60.98010778427124,124.0,10.0,5.5,0.0,1000.0,464.625,31.0
81920.0,75.52426791191101,191.0,10.0,5.75,0.0,1000.0,346.35,50.0
98304.0,90.19406580924988,283.0,10.0,4.25,0.0,1000.0,198.925,23.0
114688.0,104.73186087608337,365.0,10.0,4.75,0.0,646.0,193.275,36.0
131072.0,119.30638384819031,483.0,10.0,6.25,0.0,555.0,144.1,36.0
147456.0,133.94468927383423,615.0,10.0,6.0,0.0,461.0,120.15,37.0
163840.0,148.5455961227417,770.0,10.0,5.5,0.0,305.0,110.55,20.0
180224.0,163.04680633544922,955.0,10.0,5.0,0.0,252.0,95.025,22.0
196608.0,177.30165147781372,1131.0,10.0,6.75,0.0,252.0,89.7,24.0
212992.0,191.72875022888184,1329.0,10.0,7.0,0.0,275.0,85.925,27.0
229376.0,205.99784398078918,1534.0,10.0,5.75,0.0,210.0,81.925,33.0
245760.0,220.2598135471344,1753.0,10.0,4.25,0.0,189.0,68.275,17.0
262144.0,234.43078446388245,1975.0,10.0,5.75,0.0,202.0,71.225,17.0
278528.0,248.6994755268097,2209.0,10.0,6.25,0.0,228.0,74.175,24.0
294912.0,262.8930916786194,2435.0,10.0,5.75,0.0,162.0,72.25,18.0
311296.0,277.2406711578369,2678.0,10.0,6.25,0.0,140.0,61.375,18.0
327680.0,291.5038514137268,2932.0,10.0,5.75,0.0,151.0,66.775,21.0
344064.0,306.03544306755066,3196.0,10.0,5.25,0.0,202.0,68.05,19.0
360448.0,320.3041093349457,3459.0,10.0,5.0,0.0,180.0,60.925,21.0
376832.0,334.880943775177,3735.0,10.0,6.25,0.0,199.0,61.35,19.0
393216.0,349.54970693588257,4010.0,10.0,6.75,0.0,175.0,61.85,18.0
409600.0,363.7776198387146,4253.0,10.0,6.25,0.0,141.0,63.625,19.0
425984.0,378.078378200531,4491.0,10.0,6.75,0.0,192.0,73.6,24.0
442368.0,392.5470986366272,4768.0,10.0,6.5,0.0,141.0,60.875,18.0
458752.0,406.7875039577484,5040.0,10.0,5.0,0.0,144.0,59.475,19.0
475136.0,421.05427742004395,5316.0,10.0,6.75,0.0,116.0,55.6,17.0
491520.0,435.5989353656769,5593.0,10.0,4.5,0.0,170.0,63.65,16.0
507904.0,449.8538715839386,5853.0,10.0,7.0,0.0,186.0,62.875,19.0
524288.0,464.43294954299927,6105.0,10.0,5.75,0.0,179.0,67.025,15.0
540672.0,478.94560146331787,6386.0,10.0,7.5,0.0,114.0,58.25,21.0
557056.0,493.22344398498535,6649.0,10.0,6.25,0.0,152.0,72.15,16.0
573440.0,507.8772563934326,6896.0,10.0,7.0,0.0,151.0,62.6,21.0
589824.0,522.0614304542542,7141.0,10.0,5.0,0.0,112.0,63.475,17.0
606208.0,536.3616523742676,7398.0,10.0,7.0,0.0,167.0,62.275,16.0
622592.0,550.5365517139435,7667.0,10.0,6.0,0.0,129.0,57.05,17.0
638976.0,564.8219678401947,7923.0,10.0,5.75,0.0,153.0,60.025,16.0
655360.0,579.4727771282196,8183.0,10.0,6.5,0.0,189.0,66.075,31.0
671744.0,594.1263959407806,8450.0,10.0,5.75,0.0,155.0,64.225,22.0
688128.0,608.7780537605286,8687.0,10.0,6.25,0.0,186.0,61.5,19.0
704512.0,623.1770052909851,8950.0,10.0,6.0,0.0,282.0,70.725,23.0
720896.0,637.3833980560303,9206.0,10.0,7.25,0.0,186.0,72.525,19.0
737280.0,651.6408169269562,9458.0,10.0,7.25,0.0,147.0,65.5,24.0
753664.0,666.1589839458466,9732.0,10.0,6.0,0.0,193.0,64.85,23.0
770048.0,680.6710321903229,10001.0,10.0,6.25,0.0,189.0,66.175,19.0
786432.0,695.3046391010284,10251.0,10.0,6.0,0.0,129.0,61.075,22.0
802816.0,709.646493434906,10534.0,10.0,5.75,0.0,168.0,55.1,21.0
819200.0,723.9960806369781,10787.0,10.0,5.0,0.0,182.0,69.85,19.0
835584.0,738.5422458648682,11064.0,10.0,5.75,0.0,156.0,65.85,16.0
851968.0,752.840339422226,11326.0,10.0,7.0,0.0,135.0,63.0,21.0
868352.0,767.1239922046661,11580.0,10.0,7.0,0.0,167.0,70.85,31.0
884736.0,781.34743309021,11868.0,10.0,6.75,0.0,167.0,62.2,17.0
901120.0,795.6284780502319,12141.0,10.0,7.25,0.0,139.0,62.45,18.0
917504.0,809.9138507843018,12422.0,10.0,8.0,0.0,142.0,56.85,19.0
