timesteps ,wall_time         ,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
16384.0   ,17.875181436538696,10.0        ,10.0               ,4.0                 ,0.0                ,256.0          ,133.3           ,45.0
32768.0   ,32.51060247421265 ,32.0        ,10.0               ,2.8125              ,0.0                ,509.0          ,254.09375       ,45.0
49152.0   ,47.09929966926575 ,50.0        ,10.0               ,3.0                 ,0.0                ,759.0          ,394.075         ,74.0
65536.0   ,61.66815948486328 ,102.0       ,10.0               ,2.0                 ,0.0                ,1000.0         ,712.975         ,92.0
81920.0   ,75.9335503578186  ,139.0       ,10.0               ,4.0                 ,0.0                ,1000.0         ,429.55          ,52.0
98304.0   ,90.60838723182678 ,189.0       ,10.0               ,5.75                ,0.0                ,1000.0         ,292.9           ,58.0
114688.0  ,105.26040983200073,258.0       ,10.0               ,4.5                 ,0.0                ,1000.0         ,266.95          ,25.0
131072.0  ,119.91798543930054,342.0       ,10.0               ,5.25                ,0.0                ,1000.0         ,240.975         ,31.0
147456.0  ,134.4291853904724 ,454.0       ,10.0               ,7.25                ,0.0                ,592.0          ,159.025         ,34.0
163840.0  ,149.13169145584106,613.0       ,10.0               ,5.75                ,0.0                ,408.0          ,136.3           ,35.0
180224.0  ,163.85701251029968,781.0       ,10.0               ,6.0                 ,0.0                ,273.0          ,92.2            ,33.0
196608.0  ,178.57633709907532,972.0       ,10.0               ,7.0                 ,0.0                ,294.0          ,97.725          ,17.0
212992.0  ,193.27010369300842,1190.0      ,10.0               ,7.0                 ,0.0                ,187.0          ,69.75           ,32.0
229376.0  ,208.00668144226074,1393.0      ,10.0               ,5.25                ,0.0                ,253.0          ,80.425          ,35.0
245760.0  ,222.71407961845398,1595.0      ,10.0               ,7.0                 ,0.0                ,180.0          ,77.125          ,31.0
262144.0  ,237.3525037765503 ,1823.0      ,10.0               ,5.75                ,0.0                ,162.0          ,68.65           ,16.0
278528.0  ,252.09634637832642,2066.0      ,10.0               ,4.25                ,0.0                ,156.0          ,62.95           ,19.0
294912.0  ,266.71565771102905,2305.0      ,10.0               ,6.25                ,0.0                ,212.0          ,74.625          ,17.0
311296.0  ,281.4521005153656 ,2549.0      ,10.0               ,6.0                 ,0.0                ,158.0          ,73.325          ,21.0
327680.0  ,296.0885319709778 ,2800.0      ,10.0               ,7.25                ,0.0                ,179.0          ,69.6            ,19.0
344064.0  ,310.8084774017334 ,3058.0      ,10.0               ,6.0                 ,0.0                ,181.0          ,76.0            ,20.0
360448.0  ,325.52314352989197,3326.0      ,10.0               ,8.25                ,0.0                ,133.0          ,58.875          ,20.0
376832.0  ,340.231077671051  ,3611.0      ,10.0               ,8.0                 ,0.0                ,188.0          ,54.025          ,16.0
393216.0  ,354.8928654193878 ,3885.0      ,10.0               ,5.25                ,0.0                ,158.0          ,56.55           ,18.0
409600.0  ,369.7818157672882 ,4170.0      ,10.0               ,5.5                 ,0.0                ,171.0          ,64.0            ,19.0
425984.0  ,384.4627742767334 ,4458.0      ,10.0               ,6.25                ,0.0                ,144.0          ,51.925          ,20.0
442368.0  ,399.18952083587646,4739.0      ,10.0               ,6.0                 ,0.0                ,125.0          ,57.675          ,20.0
458752.0  ,413.90489411354065,5024.0      ,10.0               ,6.5                 ,0.0                ,137.0          ,53.5            ,18.0
475136.0  ,428.60108160972595,5303.0      ,10.0               ,7.5                 ,0.0                ,180.0          ,63.025          ,18.0
491520.0  ,443.33805751800537,5565.0      ,10.0               ,6.5                 ,0.0                ,148.0          ,53.3            ,18.0
507904.0  ,458.1113052368164 ,5850.0      ,10.0               ,5.75                ,0.0                ,125.0          ,53.325          ,17.0
524288.0  ,472.80560517311096,6118.0      ,10.0               ,7.0                 ,0.0                ,180.0          ,65.325          ,17.0
540672.0  ,487.5493235588074 ,6412.0      ,10.0               ,7.25                ,0.0                ,127.0          ,50.775          ,22.0
557056.0  ,502.2345414161682 ,6698.0      ,10.0               ,6.25                ,0.0                ,209.0          ,69.925          ,17.0
573440.0  ,516.603565454483  ,6988.0      ,10.0               ,7.0                 ,0.0                ,159.0          ,59.95           ,18.0
589824.0  ,531.249064207077  ,7264.0      ,10.0               ,5.75                ,0.0                ,126.0          ,57.175          ,16.0
606208.0  ,546.0132246017456 ,7533.0      ,10.0               ,5.75                ,0.0                ,157.0          ,54.4            ,17.0
622592.0  ,560.7451655864716 ,7818.0      ,10.0               ,7.25                ,0.0                ,166.0          ,56.75           ,20.0
638976.0  ,575.447172164917  ,8103.0      ,10.0               ,7.5                 ,0.0                ,201.0          ,54.925          ,18.0
655360.0  ,590.1793472766876 ,8393.0      ,10.0               ,6.5                 ,0.0                ,136.0          ,59.25           ,17.0
671744.0  ,604.963702917099  ,8673.0      ,10.0               ,6.5                 ,0.0                ,97.0           ,59.625          ,19.0
688128.0  ,619.3310849666595 ,8940.0      ,10.0               ,6.75                ,0.0                ,134.0          ,60.8            ,20.0
704512.0  ,633.8665935993195 ,9205.0      ,10.0               ,7.5                 ,0.0                ,135.0          ,64.175          ,18.0
720896.0  ,648.5032606124878 ,9474.0      ,10.0               ,7.25                ,0.0                ,171.0          ,71.875          ,21.0
737280.0  ,663.1437919139862 ,9749.0      ,10.0               ,7.5                 ,0.0                ,197.0          ,60.95           ,18.0
753664.0  ,677.9017870426178 ,10033.0     ,10.0               ,5.25                ,0.0                ,154.0          ,58.55           ,18.0
770048.0  ,692.6282703876495 ,10311.0     ,10.0               ,6.25                ,0.0                ,148.0          ,54.55           ,17.0
786432.0  ,707.3317940235138 ,10594.0     ,10.0               ,7.5                 ,0.0                ,182.0          ,61.425          ,17.0
802816.0  ,721.6806221008301 ,10887.0     ,10.0               ,7.25                ,0.0                ,152.0          ,62.1            ,20.0
819200.0  ,736.3515503406525 ,11135.0     ,10.0               ,7.0                 ,0.0                ,217.0          ,66.55           ,21.0
835584.0  ,750.648332118988  ,11426.0     ,10.0               ,7.25                ,0.0                ,183.0          ,60.65           ,21.0
851968.0  ,765.378532409668  ,11714.0     ,10.0               ,7.5                 ,0.0                ,167.0          ,55.2            ,19.0
868352.0  ,779.9496333599091 ,12003.0     ,10.0               ,7.0                 ,0.0                ,109.0          ,57.225          ,19.0
