timesteps ,wall_time         ,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len  ,min_episode_len
16384.0   ,17.4959557056427  ,15.0        ,10.0               ,3.3333332538604736  ,0.0                ,252.0          ,153.53333333333333,58.0
32768.0   ,31.852766036987305,32.0        ,10.0               ,4.375               ,0.0                ,505.0          ,262.0625          ,58.0
49152.0   ,46.47024488449097 ,59.0        ,10.0               ,4.5                 ,0.0                ,767.0          ,426.85            ,50.0
65536.0   ,61.10309600830078 ,109.0       ,10.0               ,4.5                 ,0.0                ,1000.0         ,581.4             ,52.0
81920.0   ,75.43653702735901 ,172.0       ,10.0               ,5.0                 ,0.0                ,1000.0         ,265.475           ,38.0
98304.0   ,90.10240697860718 ,279.0       ,10.0               ,6.25                ,0.0                ,1000.0         ,183.2             ,23.0
114688.0  ,104.53447341918945,406.0       ,10.0               ,5.0                 ,0.0                ,633.0          ,152.65            ,33.0
131072.0  ,118.96482920646667,518.0       ,10.0               ,4.5                 ,0.0                ,845.0          ,133.275           ,19.0
147456.0  ,133.3636496067047 ,656.0       ,10.0               ,4.25                ,0.0                ,436.0          ,136.75            ,37.0
163840.0  ,147.72631883621216,807.0       ,10.0               ,5.25                ,0.0                ,454.0          ,108.55            ,27.0
180224.0  ,162.19210243225098,986.0       ,10.0               ,4.5                 ,0.0                ,323.0          ,89.5              ,24.0
196608.0  ,176.68418717384338,1189.0      ,10.0               ,6.75                ,0.0                ,227.0          ,89.325            ,26.0
212992.0  ,191.098867893219  ,1388.0      ,10.0               ,5.25                ,0.0                ,209.0          ,85.75             ,34.0
229376.0  ,205.54169416427612,1580.0      ,10.0               ,5.25                ,0.0                ,190.0          ,80.05             ,32.0
245760.0  ,220.35339665412903,1777.0      ,10.0               ,5.5                 ,0.0                ,239.0          ,82.475            ,24.0
262144.0  ,235.127375125885  ,2014.0      ,10.0               ,6.5                 ,0.0                ,217.0          ,71.0              ,21.0
278528.0  ,249.93597841262817,2250.0      ,10.0               ,5.25                ,0.0                ,179.0          ,79.05             ,23.0
294912.0  ,264.81374955177307,2486.0      ,10.0               ,6.25                ,0.0                ,167.0          ,70.95             ,19.0
311296.0  ,279.62476420402527,2717.0      ,10.0               ,4.5                 ,0.0                ,145.0          ,69.675            ,17.0
327680.0  ,294.39927101135254,2961.0      ,10.0               ,5.75                ,0.0                ,216.0          ,79.175            ,20.0
344064.0  ,309.2065997123718 ,3200.0      ,10.0               ,6.5                 ,0.0                ,148.0          ,61.05             ,32.0
360448.0  ,323.9106683731079 ,3458.0      ,10.0               ,5.5                 ,0.0                ,206.0          ,78.225            ,20.0
376832.0  ,338.57650423049927,3705.0      ,10.0               ,6.75                ,0.0                ,174.0          ,75.45             ,31.0
393216.0  ,352.91138768196106,3956.0      ,10.0               ,5.75                ,0.0                ,127.0          ,62.9              ,34.0
409600.0  ,367.7545163631439 ,4216.0      ,10.0               ,5.0                 ,0.0                ,145.0          ,60.95             ,20.0
425984.0  ,382.2111961841583 ,4464.0      ,10.0               ,6.25                ,0.0                ,145.0          ,59.925            ,20.0
442368.0  ,396.9698417186737 ,4730.0      ,10.0               ,6.75                ,0.0                ,185.0          ,67.475            ,18.0
458752.0  ,411.6935324668884 ,4972.0      ,10.0               ,6.0                 ,0.0                ,152.0          ,68.3              ,17.0
475136.0  ,426.42281103134155,5235.0      ,10.0               ,6.5                 ,0.0                ,186.0          ,59.575            ,15.0
491520.0  ,440.81557989120483,5487.0      ,10.0               ,6.75                ,0.0                ,119.0          ,60.225            ,19.0
507904.0  ,455.2949366569519 ,5735.0      ,10.0               ,6.5                 ,0.0                ,205.0          ,62.1              ,18.0
524288.0  ,470.14177560806274,5991.0      ,10.0               ,7.75                ,0.0                ,160.0          ,63.725            ,18.0
540672.0  ,484.7391531467438 ,6247.0      ,10.0               ,6.75                ,0.0                ,186.0          ,73.45             ,22.0
557056.0  ,499.2099549770355 ,6506.0      ,10.0               ,6.0                 ,0.0                ,173.0          ,65.825            ,19.0
573440.0  ,513.5920672416687 ,6757.0      ,10.0               ,5.75                ,0.0                ,164.0          ,64.175            ,20.0
589824.0  ,527.991598367691  ,7008.0      ,10.0               ,7.0                 ,0.0                ,147.0          ,60.3              ,20.0
606208.0  ,542.835303068161  ,7246.0      ,10.0               ,6.75                ,0.0                ,156.0          ,61.625            ,21.0
622592.0  ,557.4377243518829 ,7497.0      ,10.0               ,5.5                 ,0.0                ,143.0          ,64.525            ,20.0
638976.0  ,572.2816247940063 ,7763.0      ,10.0               ,7.5                 ,0.0                ,152.0          ,67.275            ,19.0
655360.0  ,587.0245850086212 ,8050.0      ,10.0               ,5.75                ,0.0                ,149.0          ,52.15             ,17.0
671744.0  ,601.8664197921753 ,8314.0      ,10.0               ,6.0                 ,0.0                ,169.0          ,52.5              ,17.0
688128.0  ,616.6829240322113 ,8607.0      ,10.0               ,7.25                ,0.0                ,112.0          ,56.45             ,21.0
704512.0  ,631.4241845607758 ,8877.0      ,10.0               ,8.0                 ,0.0                ,169.0          ,57.525            ,19.0
720896.0  ,646.2403407096863 ,9128.0      ,10.0               ,6.75                ,0.0                ,136.0          ,61.175            ,18.0
737280.0  ,660.5871396064758 ,9408.0      ,10.0               ,5.5                 ,0.0                ,158.0          ,63.775            ,25.0
