timesteps ,wall_time         ,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len ,min_episode_len
16384.0   ,11.273934364318848,13.0        ,10.0               ,4.615384578704834   ,0.0                ,233.0          ,166.3846153846154,73.0
32768.0   ,19.38633131980896 ,32.0        ,10.0               ,3.75                ,0.0                ,505.0          ,261.875          ,73.0
49152.0   ,27.368009567260742,47.0        ,10.0               ,4.0                 ,0.0                ,708.0          ,330.325          ,78.0
65536.0   ,35.5569224357605  ,92.0        ,10.0               ,2.25                ,0.0                ,1000.0         ,819.525          ,93.0
81920.0   ,43.88060712814331 ,150.0       ,10.0               ,4.25                ,0.0                ,1000.0         ,346.625          ,37.0
98304.0   ,52.21524667739868 ,214.0       ,10.0               ,5.0                 ,0.0                ,507.0          ,211.675          ,40.0
114688.0  ,60.45287823677063 ,284.0       ,10.0               ,5.25                ,0.0                ,624.0          ,210.325          ,48.0
131072.0  ,68.52563309669495 ,388.0       ,10.0               ,5.5                 ,0.0                ,532.0          ,196.475          ,54.0
147456.0  ,76.48301005363464 ,496.0       ,10.0               ,5.25                ,0.0                ,815.0          ,162.525          ,33.0
163840.0  ,84.63291430473328 ,625.0       ,10.0               ,5.25                ,0.0                ,301.0          ,131.825          ,30.0
180224.0  ,93.00606870651245 ,780.0       ,10.0               ,5.5                 ,0.0                ,396.0          ,115.825          ,36.0
196608.0  ,101.26708340644836,950.0       ,10.0               ,4.75                ,0.0                ,280.0          ,107.825          ,23.0
212992.0  ,109.2919909954071 ,1137.0      ,10.0               ,5.5                 ,0.0                ,264.0          ,93.2             ,24.0
229376.0  ,117.77878165245056,1335.0      ,10.0               ,3.75                ,0.0                ,260.0          ,81.95            ,19.0
245760.0  ,125.83333420753479,1532.0      ,10.0               ,5.0                 ,0.0                ,330.0          ,93.375           ,20.0
262144.0  ,133.8640115261078 ,1732.0      ,10.0               ,4.75                ,0.0                ,245.0          ,78.775           ,21.0
278528.0  ,141.91244077682495,1946.0      ,10.0               ,5.0                 ,0.0                ,289.0          ,82.925           ,26.0
294912.0  ,150.10077810287476,2164.0      ,10.0               ,4.75                ,0.0                ,356.0          ,75.175           ,17.0
311296.0  ,158.3585329055786 ,2380.0      ,10.0               ,6.75                ,0.0                ,188.0          ,72.4             ,22.0
327680.0  ,166.36036348342896,2592.0      ,10.0               ,5.25                ,0.0                ,233.0          ,76.225           ,20.0
344064.0  ,174.3930265903473 ,2798.0      ,10.0               ,4.75                ,0.0                ,337.0          ,78.25            ,30.0
360448.0  ,182.8043613433838 ,3013.0      ,10.0               ,6.25                ,0.0                ,213.0          ,72.75            ,25.0
376832.0  ,191.04646944999695,3218.0      ,10.0               ,4.5                 ,0.0                ,204.0          ,78.275           ,32.0
393216.0  ,199.18143486976624,3422.0      ,10.0               ,7.25                ,0.0                ,192.0          ,68.0             ,31.0
409600.0  ,207.2168231010437 ,3636.0      ,10.0               ,5.5                 ,0.0                ,220.0          ,70.05            ,22.0
425984.0  ,215.68228220939636,3850.0      ,10.0               ,4.5                 ,0.0                ,383.0          ,103.05           ,18.0
442368.0  ,224.1473958492279 ,4060.0      ,10.0               ,5.5                 ,0.0                ,251.0          ,79.525           ,22.0
458752.0  ,232.5116946697235 ,4261.0      ,10.0               ,6.75                ,0.0                ,314.0          ,77.225           ,22.0
475136.0  ,240.95577359199524,4470.0      ,10.0               ,5.25                ,0.0                ,208.0          ,73.775           ,28.0
491520.0  ,249.45498895645142,4672.0      ,10.0               ,7.5                 ,0.0                ,307.0          ,86.875           ,20.0
507904.0  ,257.5558006763458 ,4876.0      ,10.0               ,6.25                ,0.0                ,189.0          ,76.55            ,21.0
524288.0  ,266.00331592559814,5110.0      ,10.0               ,5.5                 ,0.0                ,259.0          ,75.3             ,23.0
540672.0  ,274.5554025173187 ,5328.0      ,10.0               ,6.5                 ,0.0                ,185.0          ,74.9             ,25.0
557056.0  ,283.05328130722046,5536.0      ,10.0               ,5.5                 ,0.0                ,213.0          ,67.7             ,22.0
573440.0  ,291.20109128952026,5741.0      ,10.0               ,5.25                ,0.0                ,209.0          ,84.95            ,23.0
589824.0  ,299.34126257896423,5964.0      ,10.0               ,4.75                ,0.0                ,148.0          ,73.45            ,18.0
606208.0  ,307.4376096725464 ,6180.0      ,10.0               ,6.75                ,0.0                ,158.0          ,67.0             ,19.0
622592.0  ,315.4543354511261 ,6403.0      ,10.0               ,6.5                 ,0.0                ,256.0          ,69.6             ,20.0
638976.0  ,323.5289132595062 ,6616.0      ,10.0               ,6.25                ,0.0                ,275.0          ,69.55            ,21.0
655360.0  ,331.61757349967957,6846.0      ,10.0               ,6.5                 ,0.0                ,190.0          ,71.7             ,20.0
