timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
16384.0,11.346963882446289,15.0,10.0,6.0,0.0,251.0,173.6,23.0
32768.0,19.713893175125122,38.0,10.0,6.052631378173828,0.0,471.0,262.86842105263156,23.0
49152.0,28.009544610977173,58.0,10.0,6.5,0.0,704.0,361.575,33.0
65536.0,36.31217050552368,105.0,10.0,3.75,0.0,1000.0,639.825,65.0
81920.0,44.58844065666199,154.0,10.0,5.0,0.0,1000.0,359.0,39.0
98304.0,52.85455632209778,206.0,10.0,5.5,0.0,1000.0,289.75,50.0
114688.0,61.11939358711243,276.0,10.0,4.75,0.0,1000.0,291.825,55.0
131072.0,69.47273063659668,355.0,10.0,5.25,0.0,965.0,234.475,34.0
147456.0,77.87497329711914,461.0,10.0,5.5,0.0,836.0,167.425,35.0
163840.0,86.41965985298157,589.0,10.0,5.0,0.0,495.0,136.825,28.0
180224.0,94.97964811325073,742.0,10.0,3.75,0.0,438.0,149.1,34.0
196608.0,103.34625959396362,921.0,10.0,5.5,0.0,399.0,113.625,32.0
212992.0,111.69708251953125,1102.0,10.0,5.75,0.0,232.0,87.7,22.0
229376.0,120.06539988517761,1289.0,10.0,6.25,0.0,254.0,83.1,24.0
245760.0,128.42871713638306,1504.0,10.0,5.25,0.0,320.0,86.45,34.0
262144.0,136.75634264945984,1710.0,10.0,6.75,0.0,164.0,75.775,29.0
278528.0,145.1672923564911,1931.0,10.0,6.25,0.0,282.0,81.15,29.0
294912.0,153.5311243534088,2160.0,10.0,5.75,0.0,206.0,68.6,19.0
311296.0,161.90551137924194,2388.0,10.0,6.0,0.0,221.0,72.5,19.0
327680.0,170.20750093460083,2622.0,10.0,7.5,0.0,189.0,73.125,31.0
344064.0,178.53940415382385,2857.0,10.0,7.25,0.0,170.0,74.2,32.0
360448.0,186.9308569431305,3079.0,10.0,6.5,0.0,181.0,70.325,21.0
376832.0,195.19813990592957,3321.0,10.0,6.5,0.0,193.0,73.775,31.0
393216.0,203.59279036521912,3554.0,10.0,5.0,0.0,179.0,74.125,20.0
409600.0,211.9465835094452,3786.0,10.0,5.75,0.0,153.0,59.875,20.0
425984.0,220.42958807945251,4007.0,10.0,7.0,0.0,191.0,66.6,18.0
442368.0,228.83582162857056,4245.0,10.0,5.5,0.0,233.0,70.975,23.0
458752.0,237.10651469230652,4472.0,10.0,7.0,0.0,258.0,81.0,23.0
475136.0,245.55463647842407,4681.0,10.0,4.75,0.0,152.0,73.7,32.0
491520.0,254.0269935131073,4901.0,10.0,5.75,0.0,196.0,83.225,22.0
507904.0,262.3615458011627,5153.0,10.0,6.5,0.0,205.0,72.8,22.0
524288.0,270.68817114830017,5387.0,10.0,6.5,0.0,155.0,59.15,21.0
540672.0,279.0355050563812,5611.0,10.0,6.25,0.0,263.0,71.05,21.0
557056.0,287.4917254447937,5821.0,10.0,5.0,0.0,187.0,75.875,26.0
573440.0,295.96761679649353,6032.0,10.0,6.5,0.0,233.0,75.35,20.0
589824.0,304.3618748188019,6266.0,10.0,6.75,0.0,217.0,76.3,21.0
606208.0,312.79595923423767,6501.0,10.0,6.25,0.0,198.0,71.6,20.0
622592.0,321.2073972225189,6732.0,10.0,5.5,0.0,147.0,62.725,21.0
638976.0,329.5791952610016,6956.0,10.0,7.75,0.0,149.0,66.325,21.0
655360.0,337.86927461624146,7188.0,10.0,8.25,0.0,212.0,74.9,22.0
671744.0,346.0129656791687,7449.0,10.0,7.75,0.0,257.0,57.175,21.0
688128.0,354.29488468170166,7695.0,10.0,6.0,0.0,223.0,72.475,33.0
704512.0,362.637081861496,7944.0,10.0,6.0,0.0,159.0,62.075,22.0
720896.0,370.9671838283539,8185.0,10.0,7.25,0.0,172.0,71.275,22.0
737280.0,379.30678820610046,8421.0,10.0,6.0,0.0,209.0,70.95,19.0
753664.0,387.78359508514404,8667.0,10.0,7.0,0.0,234.0,65.1,20.0
770048.0,396.1985731124878,8915.0,10.0,7.0,0.0,180.0,61.775,17.0
786432.0,404.6004662513733,9149.0,10.0,5.25,0.0,246.0,84.25,19.0
802816.0,412.962189912796,9410.0,10.0,7.25,0.0,188.0,71.425,19.0
819200.0,421.41354632377625,9691.0,10.0,6.75,0.0,173.0,57.325,16.0
835584.0,429.7767415046692,9983.0,10.0,7.0,0.0,155.0,53.1,20.0
851968.0,438.1752665042877,10256.0,10.0,6.0,0.0,243.0,62.15,19.0
868352.0,446.43011140823364,10528.0,10.0,6.5,0.0,277.0,74.775,20.0
884736.0,454.7415146827698,10830.0,10.0,7.0,0.0,232.0,59.55,19.0
901120.0,463.13034772872925,11098.0,10.0,7.0,0.0,221.0,60.675,19.0
917504.0,471.34371733665466,11367.0,10.0,6.75,0.0,162.0,59.175,20.0
933888.0,479.60504126548767,11648.0,10.0,7.75,0.0,165.0,63.175,21.0
950272.0,487.765198469162,11918.0,10.0,7.5,0.0,226.0,76.6,20.0
966656.0,495.80767941474915,12184.0,10.0,7.25,0.0,197.0,56.4,20.0
983040.0,504.0936870574951,12464.0,10.0,7.0,0.0,110.0,48.15,19.0
999424.0,512.2709431648254,12730.0,10.0,8.75,0.0,156.0,55.5,19.0
1015808.0,520.6163785457611,13005.0,10.0,5.5,0.0,159.0,62.425,21.0
1032192.0,528.9714879989624,13305.0,10.0,7.25,0.0,234.0,56.125,19.0
1048576.0,537.4308400154114,13556.0,10.0,8.25,0.0,250.0,56.325,20.0
1064960.0,545.7013857364655,13839.0,10.0,8.25,0.0,223.0,51.075,18.0
1081344.0,554.1247158050537,14091.0,10.0,7.75,0.0,110.0,49.375,18.0
1097728.0,562.4876594543457,14357.0,10.0,7.0,0.0,221.0,68.75,18.0
1114112.0,570.8799076080322,14619.0,10.0,8.25,0.0,188.0,57.775,21.0
1130496.0,579.3402428627014,14887.0,10.0,7.25,0.0,206.0,64.375,20.0
1146880.0,587.6666247844696,15179.0,10.0,8.5,0.0,186.0,49.85,19.0
1163264.0,595.9652540683746,15455.0,10.0,8.0,0.0,162.0,52.9,19.0
1179648.0,604.2504143714905,15754.0,10.0,8.5,0.0,139.0,53.975,18.0
1196032.0,612.5853450298309,16029.0,10.0,7.0,0.0,208.0,62.75,20.0
1212416.0,620.9695534706116,16318.0,10.0,8.75,0.0,132.0,56.425,20.0
1228800.0,629.3625438213348,16598.0,10.0,7.5,0.0,136.0,52.825,19.0
1245184.0,637.7396373748779,16887.0,10.0,8.0,0.0,202.0,56.625,21.0
1261568.0,646.1239769458771,17159.0,10.0,7.5,0.0,206.0,61.625,18.0
1277952.0,654.0774385929108,17435.0,10.0,7.0,0.0,156.0,60.425,21.0
1294336.0,662.5475842952728,17684.0,10.0,8.25,0.0,183.0,54.3,20.0
1310720.0,670.8923180103302,17945.0,10.0,8.5,0.0,172.0,58.575,22.0
1327104.0,679.2259876728058,18225.0,10.0,8.75,0.0,174.0,56.3,20.0
1343488.0,687.5729365348816,18480.0,10.0,7.75,0.0,217.0,64.25,20.0
1359872.0,696.0360670089722,18756.0,10.0,8.25,0.0,173.0,56.575,19.0
1376256.0,704.4483706951141,18983.0,10.0,8.25,0.0,256.0,77.35,19.0
1392640.0,712.866970539093,19233.0,10.0,8.25,0.0,143.0,61.475,19.0
1409024.0,721.3394753932953,19487.0,10.0,7.25,0.0,326.0,76.075,19.0
1425408.0,729.7123498916626,19717.0,10.0,7.5,0.0,175.0,73.5,19.0
1441792.0,738.1961379051208,19941.0,10.0,8.0,0.0,299.0,85.175,21.0
1458176.0,746.5916063785553,20210.0,10.0,8.75,0.0,223.0,58.4,20.0
1474560.0,754.9097924232483,20455.0,10.0,8.75,0.0,228.0,66.925,21.0
1490944.0,763.2713911533356,20693.0,10.0,7.5,0.0,341.0,71.7,17.0
1507328.0,771.6889190673828,20927.0,10.0,8.25,0.0,250.0,77.3,19.0
1523712.0,780.0332221984863,21163.0,10.0,8.75,0.0,206.0,59.8,20.0
1540096.0,788.5267844200134,21388.0,10.0,9.0,0.0,168.0,77.1,19.0
