timesteps ,wall_time         ,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len  ,min_episode_len
16384.0   ,11.389548301696777,18.0        ,10.0               ,5.0                 ,0.0                ,247.0          ,167.72222222222223,87.0
32768.0   ,19.549113035202026,43.0        ,10.0               ,5.25                ,0.0                ,495.0          ,269.85            ,33.0
49152.0   ,27.979366302490234,80.0        ,10.0               ,5.0                 ,0.0                ,719.0          ,412.75            ,82.0
65536.0   ,36.367271184921265,137.0       ,10.0               ,4.25                ,0.0                ,1000.0         ,503.925           ,43.0
81920.0   ,44.67548203468323 ,221.0       ,10.0               ,5.0                 ,0.0                ,899.0          ,241.6             ,31.0
98304.0   ,53.196234941482544,331.0       ,10.0               ,5.75                ,0.0                ,775.0          ,167.475           ,27.0
114688.0  ,61.61152958869934 ,467.0       ,10.0               ,6.0                 ,0.0                ,467.0          ,141.75            ,31.0
131072.0  ,70.06525588035583 ,617.0       ,10.0               ,5.5                 ,0.0                ,354.0          ,116.475           ,32.0
147456.0  ,78.44541478157043 ,793.0       ,10.0               ,5.75                ,0.0                ,191.0          ,86.65             ,34.0
163840.0  ,86.88646149635315 ,984.0       ,10.0               ,6.0                 ,0.0                ,308.0          ,81.225            ,28.0
180224.0  ,95.31493735313416 ,1190.0      ,10.0               ,6.0                 ,0.0                ,272.0          ,86.775            ,32.0
196608.0  ,103.71447610855103,1426.0      ,10.0               ,6.0                 ,0.0                ,229.0          ,73.8              ,22.0
212992.0  ,112.13179564476013,1660.0      ,10.0               ,4.25                ,0.0                ,261.0          ,79.35             ,18.0
229376.0  ,120.39054155349731,1888.0      ,10.0               ,5.25                ,0.0                ,161.0          ,70.7              ,20.0
245760.0  ,128.79023623466492,2130.0      ,10.0               ,5.75                ,0.0                ,198.0          ,65.35             ,19.0
262144.0  ,137.20380330085754,2366.0      ,10.0               ,7.75                ,0.0                ,201.0          ,71.425            ,31.0
278528.0  ,145.6184413433075 ,2611.0      ,10.0               ,7.75                ,0.0                ,150.0          ,63.55             ,25.0
294912.0  ,154.08622670173645,2873.0      ,10.0               ,5.25                ,0.0                ,164.0          ,79.375            ,23.0
311296.0  ,162.52503514289856,3117.0      ,10.0               ,6.5                 ,0.0                ,120.0          ,59.1              ,22.0
327680.0  ,171.06013345718384,3373.0      ,10.0               ,7.0                 ,0.0                ,180.0          ,62.6              ,20.0
344064.0  ,179.55750584602356,3651.0      ,10.0               ,6.75                ,0.0                ,211.0          ,66.1              ,19.0
360448.0  ,188.10943174362183,3900.0      ,10.0               ,8.0                 ,0.0                ,213.0          ,69.55             ,19.0
376832.0  ,196.59964847564697,4169.0      ,10.0               ,7.5                 ,0.0                ,225.0          ,63.125            ,21.0
393216.0  ,205.02682304382324,4414.0      ,10.0               ,6.75                ,0.0                ,253.0          ,77.725            ,23.0
409600.0  ,213.48765921592712,4682.0      ,10.0               ,5.25                ,0.0                ,173.0          ,70.775            ,20.0
425984.0  ,221.94964218139648,4957.0      ,10.0               ,7.75                ,0.0                ,119.0          ,52.925            ,20.0
442368.0  ,230.38404178619385,5229.0      ,10.0               ,6.0                 ,0.0                ,231.0          ,62.625            ,22.0
458752.0  ,238.8311641216278 ,5483.0      ,10.0               ,8.5                 ,0.0                ,193.0          ,60.1              ,21.0
475136.0  ,247.23975348472595,5738.0      ,10.0               ,6.75                ,0.0                ,152.0          ,55.325            ,17.0
491520.0  ,255.74897980690002,5993.0      ,10.0               ,6.25                ,0.0                ,188.0          ,72.875            ,22.0
507904.0  ,264.27390599250793,6266.0      ,10.0               ,7.5                 ,0.0                ,168.0          ,59.925            ,20.0
524288.0  ,272.7903196811676 ,6520.0      ,10.0               ,7.5                 ,0.0                ,277.0          ,69.225            ,20.0
540672.0  ,281.2401247024536 ,6795.0      ,10.0               ,7.5                 ,0.0                ,253.0          ,62.65             ,21.0
557056.0  ,289.6273214817047 ,7060.0      ,10.0               ,6.5                 ,0.0                ,144.0          ,55.65             ,19.0
573440.0  ,298.10191106796265,7328.0      ,10.0               ,8.0                 ,0.0                ,154.0          ,58.55             ,19.0
589824.0  ,306.51848888397217,7602.0      ,10.0               ,5.75                ,0.0                ,172.0          ,58.05             ,22.0
606208.0  ,315.04230523109436,7870.0      ,10.0               ,6.0                 ,0.0                ,172.0          ,63.325            ,23.0
622592.0  ,323.56499576568604,8140.0      ,10.0               ,8.25                ,0.0                ,151.0          ,53.2              ,20.0
638976.0  ,332.07141280174255,8400.0      ,10.0               ,7.25                ,0.0                ,160.0          ,74.325            ,21.0
655360.0  ,340.1680791378021 ,8655.0      ,10.0               ,7.25                ,0.0                ,230.0          ,74.15             ,21.0
671744.0  ,348.61851835250854,8905.0      ,10.0               ,6.5                 ,0.0                ,179.0          ,60.2              ,19.0
688128.0  ,357.0335431098938 ,9168.0      ,10.0               ,7.75                ,0.0                ,131.0          ,50.8              ,18.0
704512.0  ,365.5907287597656 ,9385.0      ,10.0               ,7.0                 ,0.0                ,213.0          ,76.525            ,22.0
720896.0  ,374.0443286895752 ,9621.0      ,10.0               ,7.75                ,0.0                ,164.0          ,56.2              ,19.0
737280.0  ,382.16581106185913,9875.0      ,10.0               ,6.5                 ,0.0                ,215.0          ,65.775            ,20.0
753664.0  ,390.3150427341461 ,10106.0     ,10.0               ,7.5                 ,0.0                ,278.0          ,64.7              ,21.0
770048.0  ,398.4045686721802 ,10366.0     ,10.0               ,7.0                 ,0.0                ,225.0          ,69.975            ,21.0
786432.0  ,406.53006982803345,10620.0     ,10.0               ,6.75                ,0.0                ,205.0          ,62.7              ,21.0
802816.0  ,414.9017150402069 ,10861.0     ,10.0               ,7.5                 ,0.0                ,215.0          ,83.525            ,19.0
819200.0  ,422.97851610183716,11127.0     ,10.0               ,8.5                 ,0.0                ,222.0          ,62.25             ,21.0
835584.0  ,430.99306559562683,11392.0     ,10.0               ,7.75                ,0.0                ,171.0          ,57.075            ,20.0
851968.0  ,439.08254170417786,11646.0     ,10.0               ,7.0                 ,0.0                ,259.0          ,75.7              ,22.0
868352.0  ,447.5024354457855 ,11897.0     ,10.0               ,6.75                ,0.0                ,181.0          ,76.1              ,21.0
884736.0  ,455.93927121162415,12146.0     ,10.0               ,7.0                 ,0.0                ,217.0          ,63.025            ,18.0
901120.0  ,464.3684856891632 ,12410.0     ,10.0               ,7.75                ,0.0                ,178.0          ,64.35             ,23.0
917504.0  ,472.9241347312927 ,12658.0     ,10.0               ,6.5                 ,0.0                ,232.0          ,59.95             ,21.0
933888.0  ,481.47513484954834,12917.0     ,10.0               ,7.0                 ,0.0                ,182.0          ,67.775            ,20.0
950272.0  ,489.89432168006897,13204.0     ,10.0               ,7.75                ,0.0                ,203.0          ,56.725            ,21.0
966656.0  ,498.40176916122437,13451.0     ,10.0               ,8.5                 ,0.0                ,114.0          ,51.625            ,20.0
983040.0  ,506.9519407749176 ,13692.0     ,10.0               ,8.0                 ,0.0                ,263.0          ,79.525            ,22.0
999424.0  ,515.4062271118164 ,13971.0     ,10.0               ,7.25                ,0.0                ,351.0          ,68.175            ,21.0
1015808.0 ,523.9129240512848 ,14216.0     ,10.0               ,8.0                 ,0.0                ,262.0          ,65.3              ,17.0
1032192.0 ,532.4075219631195 ,14457.0     ,10.0               ,8.5                 ,0.0                ,239.0          ,68.2              ,20.0
1048576.0 ,540.8859224319458 ,14665.0     ,10.0               ,7.25                ,0.0                ,254.0          ,76.875            ,22.0
1064960.0 ,549.3994188308716 ,14911.0     ,10.0               ,7.75                ,0.0                ,220.0          ,65.1              ,21.0
1081344.0 ,557.8902082443237 ,15166.0     ,10.0               ,8.5                 ,0.0                ,315.0          ,65.4              ,17.0
1097728.0 ,566.3124506473541 ,15436.0     ,10.0               ,8.0                 ,0.0                ,166.0          ,58.4              ,22.0
1114112.0 ,574.7393953800201 ,15691.0     ,10.0               ,7.75                ,0.0                ,375.0          ,60.675            ,20.0
1130496.0 ,583.2789649963379 ,15930.0     ,10.0               ,8.25                ,0.0                ,232.0          ,76.4              ,21.0
1146880.0 ,591.822110414505  ,16145.0     ,10.0               ,8.75                ,0.0                ,165.0          ,61.55             ,20.0
1163264.0 ,600.3338463306427 ,16391.0     ,10.0               ,7.75                ,0.0                ,236.0          ,65.575            ,19.0
1179648.0 ,608.8739173412323 ,16646.0     ,10.0               ,7.75                ,0.0                ,175.0          ,66.525            ,17.0
1196032.0 ,617.3745710849762 ,16899.0     ,10.0               ,8.0                 ,0.0                ,179.0          ,64.975            ,21.0
1212416.0 ,625.8583710193634 ,17182.0     ,10.0               ,8.0                 ,0.0                ,204.0          ,59.55             ,20.0
1228800.0 ,634.3662769794464 ,17436.0     ,10.0               ,7.75                ,0.0                ,186.0          ,65.05             ,15.0
1245184.0 ,642.8205211162567 ,17693.0     ,10.0               ,8.75                ,0.0                ,184.0          ,62.4              ,22.0
1261568.0 ,651.2746593952179 ,17956.0     ,10.0               ,8.75                ,0.0                ,152.0          ,57.825            ,22.0
1277952.0 ,659.8145649433136 ,18200.0     ,10.0               ,8.5                 ,0.0                ,205.0          ,56.375            ,17.0
1294336.0 ,668.3022966384888 ,18462.0     ,10.0               ,8.5                 ,0.0                ,222.0          ,61.9              ,21.0
1310720.0 ,676.7133798599243 ,18695.0     ,10.0               ,9.0                 ,0.0                ,148.0          ,69.125            ,23.0
1327104.0 ,685.1395833492279 ,18959.0     ,10.0               ,7.25                ,0.0                ,163.0          ,57.625            ,21.0
1343488.0 ,693.5643646717072 ,19215.0     ,10.0               ,8.5                 ,0.0                ,415.0          ,74.9              ,20.0
1359872.0 ,702.1518669128418 ,19465.0     ,10.0               ,7.5                 ,0.0                ,215.0          ,68.15             ,18.0
1376256.0 ,710.5218963623047 ,19713.0     ,10.0               ,8.25                ,0.0                ,349.0          ,73.925            ,21.0
1392640.0 ,719.038416147232  ,19985.0     ,10.0               ,8.5                 ,0.0                ,159.0          ,55.375            ,19.0
1409024.0 ,727.4688696861267 ,20255.0     ,10.0               ,8.75                ,0.0                ,129.0          ,48.5              ,21.0
1425408.0 ,735.9614591598511 ,20508.0     ,10.0               ,7.5                 ,0.0                ,297.0          ,72.9              ,20.0
1441792.0 ,743.9504547119141 ,20752.0     ,10.0               ,8.5                 ,0.0                ,172.0          ,55.55             ,21.0
1458176.0 ,752.5109157562256 ,20978.0     ,10.0               ,8.5                 ,0.0                ,227.0          ,59.375            ,21.0
1474560.0 ,760.9079902172089 ,21168.0     ,10.0               ,7.75                ,0.0                ,428.0          ,86.1              ,21.0
1490944.0 ,769.362387418747  ,21392.0     ,10.0               ,9.0                 ,0.0                ,506.0          ,91.125            ,20.0
1507328.0 ,777.7663469314575 ,21625.0     ,10.0               ,8.25                ,0.0                ,252.0          ,62.275            ,22.0
1523712.0 ,786.1248209476471 ,21875.0     ,10.0               ,8.75                ,0.0                ,217.0          ,63.675            ,21.0
1540096.0 ,794.1349494457245 ,22145.0     ,10.0               ,8.25                ,0.0                ,187.0          ,68.95             ,20.0
1556480.0 ,802.5846953392029 ,22392.0     ,10.0               ,9.25                ,0.0                ,214.0          ,51.825            ,19.0
1572864.0 ,810.9712634086609 ,22633.0     ,10.0               ,8.75                ,0.0                ,447.0          ,90.75             ,22.0
1589248.0 ,819.4532332420349 ,22900.0     ,10.0               ,7.5                 ,0.0                ,167.0          ,51.5              ,21.0
1605632.0 ,827.8517470359802 ,23153.0     ,10.0               ,7.25                ,0.0                ,144.0          ,56.525            ,19.0
1622016.0 ,835.8559591770172 ,23369.0     ,10.0               ,8.0                 ,0.0                ,532.0          ,77.15             ,20.0
1638400.0 ,844.3158366680145 ,23585.0     ,10.0               ,7.25                ,0.0                ,273.0          ,66.25             ,21.0
1654784.0 ,852.7843930721283 ,23830.0     ,10.0               ,8.0                 ,0.0                ,610.0          ,83.8              ,17.0
1671168.0 ,861.3340091705322 ,24062.0     ,10.0               ,8.25                ,0.0                ,233.0          ,64.7              ,22.0
1687552.0 ,869.8317804336548 ,24310.0     ,10.0               ,9.0                 ,0.0                ,209.0          ,65.225            ,20.0
1703936.0 ,878.3492617607117 ,24549.0     ,10.0               ,7.75                ,0.0                ,187.0          ,67.05             ,21.0
1720320.0 ,886.8316452503204 ,24773.0     ,10.0               ,9.25                ,0.0                ,294.0          ,81.7              ,20.0
1736704.0 ,895.2221131324768 ,25012.0     ,10.0               ,8.75                ,0.0                ,383.0          ,73.65             ,22.0
1753088.0 ,903.2764778137207 ,25244.0     ,10.0               ,9.25                ,0.0                ,258.0          ,69.775            ,21.0
1769472.0 ,911.5511779785156 ,25506.0     ,10.0               ,9.0                 ,0.0                ,158.0          ,54.425            ,19.0
1785856.0 ,919.5333869457245 ,25756.0     ,10.0               ,8.25                ,0.0                ,212.0          ,69.0              ,20.0
1802240.0 ,927.7584385871887 ,25985.0     ,10.0               ,8.75                ,0.0                ,206.0          ,57.875            ,21.0
1818624.0 ,936.0143845081329 ,26229.0     ,10.0               ,8.5                 ,0.0                ,203.0          ,69.525            ,22.0
1835008.0 ,944.5254220962524 ,26475.0     ,10.0               ,9.0                 ,0.0                ,219.0          ,58.6              ,17.0
1851392.0 ,952.7240800857544 ,26718.0     ,10.0               ,8.5                 ,0.0                ,166.0          ,53.05             ,22.0
