timesteps ,wall_time         ,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
16384.0   ,18.051748275756836,2.0         ,10.0               ,5.0                 ,0.0                ,106.0          ,99.5            ,93.0
32768.0   ,32.97068166732788 ,19.0        ,10.0               ,4.736842155456543   ,0.0                ,493.0          ,341.0           ,93.0
49152.0   ,47.86117482185364 ,50.0        ,10.0               ,4.5                 ,0.0                ,742.0          ,436.0           ,35.0
65536.0   ,62.89044737815857 ,104.0       ,10.0               ,2.25                ,0.0                ,1000.0         ,609.475         ,39.0
81920.0   ,77.7624101638794  ,180.0       ,10.0               ,5.5                 ,0.0                ,752.0          ,208.5           ,35.0
98304.0   ,92.54435515403748 ,267.0       ,10.0               ,5.0                 ,0.0                ,604.0          ,175.975         ,38.0
114688.0  ,107.20815801620483,364.0       ,10.0               ,5.75                ,0.0                ,1000.0         ,236.0           ,41.0
131072.0  ,122.35526466369629,478.0       ,10.0               ,4.0                 ,0.0                ,973.0          ,158.5           ,37.0
147456.0  ,137.33091521263123,620.0       ,10.0               ,4.5                 ,0.0                ,435.0          ,117.575         ,34.0
163840.0  ,152.10619044303894,768.0       ,10.0               ,4.5                 ,0.0                ,353.0          ,108.95          ,27.0
180224.0  ,166.82204961776733,933.0       ,10.0               ,6.0                 ,0.0                ,294.0          ,110.85          ,37.0
196608.0  ,181.48879766464233,1116.0      ,10.0               ,6.0                 ,0.0                ,271.0          ,93.9            ,25.0
212992.0  ,196.4689462184906 ,1322.0      ,10.0               ,5.5                 ,0.0                ,259.0          ,74.15           ,19.0
229376.0  ,211.51941967010498,1526.0      ,10.0               ,5.75                ,0.0                ,187.0          ,74.375          ,34.0
245760.0  ,226.34164571762085,1733.0      ,10.0               ,5.0                 ,0.0                ,245.0          ,82.25           ,28.0
262144.0  ,240.99940490722656,1957.0      ,10.0               ,6.25                ,0.0                ,230.0          ,79.175          ,19.0
278528.0  ,255.72288727760315,2184.0      ,10.0               ,5.0                 ,0.0                ,250.0          ,77.775          ,30.0
294912.0  ,270.58919882774353,2401.0      ,10.0               ,6.0                 ,0.0                ,244.0          ,76.0            ,33.0
311296.0  ,285.35175466537476,2635.0      ,10.0               ,6.0                 ,0.0                ,193.0          ,73.9            ,18.0
327680.0  ,300.4017572402954 ,2888.0      ,10.0               ,5.0                 ,0.0                ,204.0          ,71.225          ,21.0
344064.0  ,315.2809250354767 ,3129.0      ,10.0               ,6.0                 ,0.0                ,180.0          ,68.375          ,19.0
360448.0  ,330.2499086856842 ,3384.0      ,10.0               ,5.0                 ,0.0                ,110.0          ,63.125          ,27.0
376832.0  ,345.04863119125366,3647.0      ,10.0               ,4.75                ,0.0                ,214.0          ,60.775          ,16.0
393216.0  ,359.7725055217743 ,3891.0      ,10.0               ,5.5                 ,0.0                ,209.0          ,70.5            ,31.0
409600.0  ,374.5560097694397 ,4155.0      ,10.0               ,4.75                ,0.0                ,167.0          ,65.225          ,16.0
425984.0  ,389.2520580291748 ,4421.0      ,10.0               ,6.25                ,0.0                ,186.0          ,64.275          ,19.0
442368.0  ,404.3539469242096 ,4684.0      ,10.0               ,6.75                ,0.0                ,185.0          ,74.125          ,23.0
458752.0  ,419.44638562202454,4964.0      ,10.0               ,6.25                ,0.0                ,149.0          ,66.55           ,17.0
475136.0  ,434.541442155838  ,5208.0      ,10.0               ,6.5                 ,0.0                ,162.0          ,61.95           ,16.0
491520.0  ,449.7122690677643 ,5465.0      ,10.0               ,5.75                ,0.0                ,155.0          ,65.15           ,24.0
507904.0  ,464.7450876235962 ,5732.0      ,10.0               ,6.75                ,0.0                ,137.0          ,62.425          ,17.0
524288.0  ,479.77573895454407,5982.0      ,10.0               ,6.5                 ,0.0                ,133.0          ,62.35           ,20.0
540672.0  ,494.8473677635193 ,6239.0      ,10.0               ,6.75                ,0.0                ,133.0          ,61.85           ,17.0
557056.0  ,509.8639678955078 ,6482.0      ,10.0               ,6.5                 ,0.0                ,178.0          ,78.65           ,27.0
573440.0  ,524.9338712692261 ,6726.0      ,10.0               ,5.25                ,0.0                ,169.0          ,64.725          ,23.0
589824.0  ,539.631952047348  ,6957.0      ,10.0               ,5.0                 ,0.0                ,198.0          ,66.25           ,18.0
606208.0  ,554.6208019256592 ,7220.0      ,10.0               ,6.25                ,0.0                ,172.0          ,68.475          ,24.0
622592.0  ,569.4565079212189 ,7468.0      ,10.0               ,5.5                 ,0.0                ,120.0          ,63.65           ,20.0
638976.0  ,584.174792766571  ,7694.0      ,10.0               ,6.75                ,0.0                ,138.0          ,61.65           ,29.0
655360.0  ,598.8759081363678 ,7941.0      ,10.0               ,5.25                ,0.0                ,163.0          ,74.225          ,17.0
671744.0  ,613.8072557449341 ,8165.0      ,10.0               ,6.5                 ,0.0                ,217.0          ,74.875          ,22.0
688128.0  ,628.4766101837158 ,8397.0      ,10.0               ,7.5                 ,0.0                ,164.0          ,68.5            ,17.0
704512.0  ,643.1634168624878 ,8623.0      ,10.0               ,5.25                ,0.0                ,157.0          ,72.2            ,22.0
720896.0  ,658.1783721446991 ,8853.0      ,10.0               ,6.25                ,0.0                ,197.0          ,66.95           ,22.0
737280.0  ,672.9240906238556 ,9100.0      ,10.0               ,6.25                ,0.0                ,140.0          ,63.95           ,22.0
753664.0  ,687.7838916778564 ,9334.0      ,10.0               ,6.25                ,0.0                ,181.0          ,73.475          ,26.0
770048.0  ,702.5347316265106 ,9570.0      ,10.0               ,5.5                 ,0.0                ,157.0          ,68.2            ,16.0
786432.0  ,717.2685577869415 ,9816.0      ,10.0               ,6.5                 ,0.0                ,214.0          ,71.2            ,25.0
802816.0  ,732.3619236946106 ,10045.0     ,10.0               ,6.75                ,0.0                ,133.0          ,70.8            ,26.0
819200.0  ,747.4768438339233 ,10289.0     ,10.0               ,6.75                ,0.0                ,146.0          ,64.5            ,25.0
835584.0  ,762.5981557369232 ,10537.0     ,10.0               ,6.75                ,0.0                ,196.0          ,70.025          ,18.0
851968.0  ,777.587842464447  ,10766.0     ,10.0               ,6.0                 ,0.0                ,173.0          ,63.45           ,19.0
868352.0  ,792.3253562450409 ,11002.0     ,10.0               ,8.0                 ,0.0                ,217.0          ,70.35           ,26.0
884736.0  ,807.2327001094818 ,11228.0     ,10.0               ,5.75                ,0.0                ,179.0          ,69.15           ,16.0
901120.0  ,822.3073282241821 ,11454.0     ,10.0               ,7.0                 ,0.0                ,181.0          ,73.65           ,16.0
917504.0  ,837.4697043895721 ,11687.0     ,10.0               ,6.75                ,0.0                ,184.0          ,67.275          ,17.0
933888.0  ,852.5358190536499 ,11926.0     ,10.0               ,6.25                ,0.0                ,153.0          ,69.45           ,19.0
950272.0  ,867.642546415329  ,12139.0     ,10.0               ,7.0                 ,0.0                ,210.0          ,72.525          ,22.0
