timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
16384.0,11.126834154129028,14.0,10.0,10.0,10.0,242.0,70.14285714285714,5.0
32768.0,19.149401426315308,20.0,10.0,10.0,10.0,491.0,157.75,5.0
49152.0,27.126482009887695,28.0,10.0,10.0,10.0,768.0,280.5,5.0
65536.0,35.13627624511719,75.0,10.0,1.0,0.0,1000.0,970.925,268.0
81920.0,43.117936849594116,94.0,10.0,3.5,0.0,1000.0,751.525,5.0
98304.0,51.13447380065918,102.0,10.0,5.0,0.0,1000.0,664.675,5.0
114688.0,59.13288903236389,113.0,10.0,6.75,0.0,1000.0,565.625,5.0
131072.0,67.14306306838989,166.0,10.0,3.5,0.0,1000.0,761.225,4.0
147456.0,75.11535859107971,185.0,10.0,5.25,0.0,1000.0,651.875,4.0
163840.0,83.11205172538757,201.0,10.0,6.75,0.0,1000.0,532.325,3.0
180224.0,91.08986973762512,217.0,10.0,6.25,0.0,1000.0,630.725,3.0
196608.0,99.07761454582214,252.0,10.0,3.25,0.0,1000.0,738.525,2.0
212992.0,107.04038858413696,275.0,10.0,3.5,0.0,1000.0,718.025,2.0
229376.0,115.05853509902954,294.0,10.0,5.0,0.0,1000.0,676.05,18.0
245760.0,123.0265474319458,312.0,10.0,5.5,0.0,1000.0,701.125,3.0
262144.0,131.0127410888672,335.0,10.0,4.25,0.0,1000.0,761.675,3.0
278528.0,138.96788430213928,359.0,10.0,3.25,0.0,1000.0,787.775,40.0
294912.0,146.96043133735657,383.0,10.0,3.75,0.0,1000.0,715.15,10.0
311296.0,154.92923378944397,406.0,10.0,4.75,0.0,1000.0,661.65,9.0
327680.0,162.9234869480133,431.0,10.0,4.25,0.0,1000.0,711.225,21.0
344064.0,170.8750388622284,450.0,10.0,4.25,0.0,1000.0,710.95,4.0
360448.0,178.8624587059021,474.0,10.0,3.75,0.0,1000.0,740.925,4.0
376832.0,186.85869002342224,490.0,10.0,3.25,0.0,1000.0,761.55,4.0
393216.0,194.8301239013672,514.0,10.0,3.0,0.0,1000.0,813.925,2.0
409600.0,202.81979489326477,533.0,10.0,2.5,0.0,1000.0,820.425,2.0
425984.0,210.78827333450317,554.0,10.0,3.0,0.0,1000.0,766.825,5.0
442368.0,218.76674246788025,569.0,10.0,2.25,0.0,1000.0,824.125,56.0
458752.0,226.72936129570007,594.0,10.0,1.5,0.0,1000.0,895.5,25.0
475136.0,234.7263698577881,613.0,10.0,3.0,0.0,1000.0,772.875,7.0
491520.0,242.6791672706604,636.0,10.0,3.5,0.0,1000.0,751.95,7.0
507904.0,250.66881227493286,658.0,10.0,3.75,0.0,1000.0,723.95,1.0
524288.0,258.64319825172424,682.0,10.0,4.0,0.0,1000.0,706.25,1.0
540672.0,266.62722992897034,701.0,10.0,2.75,0.0,1000.0,808.175,23.0
557056.0,274.6189601421356,722.0,10.0,3.25,0.0,1000.0,761.0,4.0
573440.0,282.6094665527344,742.0,10.0,3.75,0.0,1000.0,722.125,4.0
589824.0,290.57316613197327,771.0,10.0,3.5,0.0,1000.0,727.6,8.0
606208.0,298.56313157081604,792.0,10.0,4.0,0.0,1000.0,710.05,8.0
622592.0,306.5204985141754,811.0,10.0,3.5,0.0,1000.0,719.4,9.0
638976.0,314.482684135437,829.0,10.0,2.5,0.0,1000.0,791.45,46.0
655360.0,322.4364860057831,856.0,10.0,2.25,0.0,1000.0,845.625,5.0
671744.0,330.4305226802826,874.0,10.0,3.25,0.0,1000.0,802.25,2.0
688128.0,338.393755197525,890.0,10.0,3.25,0.0,1000.0,834.125,2.0
704512.0,346.38072633743286,909.0,10.0,3.25,0.0,1000.0,832.125,41.0
720896.0,354.3620402812958,934.0,10.0,2.75,0.0,1000.0,788.775,41.0
737280.0,362.3613314628601,954.0,10.0,2.75,0.0,1000.0,773.65,5.0
753664.0,370.28201031684875,975.0,10.0,3.25,0.0,1000.0,745.925,5.0
770048.0,378.25761795043945,994.0,10.0,2.75,0.0,1000.0,804.2,9.0
786432.0,386.21085929870605,1013.0,10.0,2.25,0.0,1000.0,848.775,10.0
802816.0,394.1978380680084,1034.0,10.0,2.75,0.0,1000.0,791.925,10.0
819200.0,402.1928539276123,1052.0,10.0,2.75,0.0,1000.0,800.025,12.0
835584.0,410.1576552391052,1075.0,10.0,2.5,0.0,1000.0,842.275,7.0
851968.0,418.1443612575531,1094.0,10.0,2.25,0.0,1000.0,850.275,7.0
868352.0,426.0842008590698,1111.0,10.0,2.75,0.0,1000.0,810.575,7.0
884736.0,434.0565071105957,1132.0,10.0,3.25,0.0,1000.0,771.15,6.0
901120.0,442.0184519290924,1151.0,10.0,2.5,0.0,1000.0,820.275,6.0
917504.0,450.02491426467896,1174.0,10.0,2.0,0.0,1000.0,858.175,9.0
933888.0,458.00100660324097,1196.0,10.0,3.0,0.0,1000.0,788.65,35.0
950272.0,466.01308250427246,1222.0,10.0,4.5,0.0,1000.0,725.825,7.0
