timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
16384.0,17.31985092163086,16.0,10.0,10.0,10.0,218.0,97.8125,3.0
32768.0,31.806057691574097,23.0,10.0,10.0,10.0,460.0,165.91304347826087,3.0
49152.0,45.99202489852905,31.0,10.0,10.0,10.0,679.0,273.16129032258067,3.0
65536.0,60.50998663902283,75.0,10.0,1.5,0.0,1000.0,926.275,12.0
81920.0,74.97621703147888,95.0,10.0,3.25,0.0,1000.0,763.075,19.0
98304.0,89.51780462265015,109.0,10.0,4.5,0.0,1000.0,659.325,1.0
114688.0,103.83909630775452,120.0,10.0,5.25,0.0,1000.0,639.925,1.0
131072.0,118.321941614151,151.0,10.0,3.0,0.0,1000.0,870.4,30.0
147456.0,132.79028034210205,169.0,10.0,2.5,0.0,1000.0,889.05,27.0
163840.0,147.3187711238861,191.0,10.0,4.0,0.0,1000.0,746.45,15.0
180224.0,161.79133009910583,207.0,10.0,5.0,0.0,1000.0,686.675,15.0
196608.0,176.26942992210388,237.0,10.0,3.25,0.0,1000.0,784.7,1.0
212992.0,190.69749116897583,252.0,10.0,3.75,0.0,1000.0,756.05,6.0
229376.0,205.19988346099854,273.0,10.0,3.0,0.0,1000.0,805.25,1.0
245760.0,219.70372819900513,288.0,10.0,3.0,0.0,1000.0,801.4,1.0
262144.0,234.17301869392395,315.0,10.0,2.5,0.0,1000.0,820.2,2.0
278528.0,248.54443669319153,337.0,10.0,3.75,0.0,1000.0,779.15,3.0
294912.0,263.0299174785614,359.0,10.0,4.5,0.0,1000.0,717.425,129.0
311296.0,277.53797721862793,382.0,10.0,5.0,0.0,1000.0,661.625,9.0
327680.0,292.0008511543274,403.0,10.0,3.75,0.0,1000.0,760.35,3.0
344064.0,306.46955132484436,419.0,10.0,2.5,0.0,1000.0,843.575,3.0
360448.0,320.9581367969513,445.0,10.0,3.25,0.0,1000.0,765.975,2.0
376832.0,335.45466923713684,464.0,10.0,3.25,0.0,1000.0,768.05,2.0
393216.0,349.9129626750946,484.0,10.0,3.25,0.0,1000.0,828.025,18.0
409600.0,364.41145062446594,510.0,10.0,4.75,0.0,1000.0,679.05,4.0
425984.0,378.8892261981964,535.0,10.0,5.0,0.0,1000.0,698.225,4.0
442368.0,393.3761785030365,553.0,10.0,4.75,0.0,1000.0,762.125,7.0
458752.0,407.83607625961304,570.0,10.0,4.25,0.0,1000.0,743.475,7.0
475136.0,422.3535349369049,594.0,10.0,3.5,0.0,1000.0,751.45,47.0
491520.0,436.8238425254822,623.0,10.0,3.5,0.0,1000.0,749.3,17.0
507904.0,451.31290578842163,640.0,10.0,3.75,0.0,1000.0,773.25,17.0
524288.0,465.76896357536316,662.0,10.0,4.75,0.0,1000.0,697.875,4.0
540672.0,480.2237832546234,687.0,10.0,4.75,0.0,1000.0,694.225,4.0
557056.0,494.6533913612366,711.0,10.0,3.75,0.0,1000.0,763.175,20.0
573440.0,509.0949902534485,724.0,10.0,3.5,0.0,1000.0,776.175,44.0
589824.0,523.5109622478485,746.0,10.0,2.5,0.0,1000.0,821.025,39.0
606208.0,537.9596676826477,771.0,10.0,3.0,0.0,1000.0,819.35,14.0
622592.0,552.4107437133789,797.0,10.0,3.75,0.0,1000.0,771.75,9.0
638976.0,566.8574471473694,807.0,10.0,4.25,0.0,1000.0,755.1,9.0
655360.0,581.2788529396057,833.0,10.0,3.75,0.0,1000.0,766.55,11.0
671744.0,595.7260644435883,856.0,10.0,3.25,0.0,1000.0,797.025,11.0
688128.0,610.1934132575989,875.0,10.0,2.75,0.0,1000.0,810.25,11.0
704512.0,624.6043128967285,889.0,10.0,3.75,0.0,1000.0,744.1,14.0
720896.0,639.0375781059265,919.0,10.0,4.25,0.0,1000.0,684.95,14.0
737280.0,653.4209229946136,946.0,10.0,4.25,0.0,1000.0,618.4,4.0
753664.0,667.8509426116943,970.0,10.0,4.0,0.0,1000.0,723.525,22.0
770048.0,682.2165412902832,993.0,10.0,4.75,0.0,1000.0,691.075,1.0
786432.0,696.4116067886353,1018.0,10.0,4.25,0.0,1000.0,720.625,1.0
