timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
16384.0,11.288949489593506,11.0,10.0,10.0,10.0,241.0,62.18181818181818,3.0
32768.0,19.393810510635376,16.0,10.0,10.0,10.0,465.0,158.8125,3.0
49152.0,27.460010290145874,20.0,10.0,10.0,10.0,753.0,219.05,3.0
65536.0,35.5774827003479,75.0,10.0,0.75,0.0,1000.0,993.175,816.0
81920.0,43.65288329124451,92.0,10.0,3.25,0.0,1000.0,741.475,4.0
98304.0,51.77709245681763,98.0,10.0,4.0,0.0,1000.0,682.5,4.0
114688.0,59.87942600250244,111.0,10.0,6.5,0.0,1000.0,583.075,4.0
131072.0,68.03182625770569,147.0,10.0,1.5,0.0,1000.0,970.825,532.0
147456.0,76.14022159576416,163.0,10.0,2.5,0.0,1000.0,880.6,76.0
163840.0,84.26186156272888,174.0,10.0,3.5,0.0,1000.0,794.675,19.0
180224.0,92.36586999893188,194.0,10.0,4.75,0.0,1000.0,725.425,19.0
196608.0,100.48099064826965,222.0,10.0,2.75,0.0,1000.0,895.7,95.0
212992.0,108.5824236869812,244.0,10.0,3.5,0.0,1000.0,782.125,39.0
229376.0,116.71662735939026,256.0,10.0,3.5,0.0,1000.0,764.625,39.0
245760.0,124.79957008361816,277.0,10.0,3.25,0.0,1000.0,800.7,8.0
262144.0,132.92708206176758,304.0,10.0,2.25,0.0,1000.0,866.25,8.0
278528.0,141.0206651687622,320.0,10.0,3.0,0.0,1000.0,824.4,8.0
294912.0,149.13511037826538,340.0,10.0,3.5,0.0,1000.0,759.025,4.0
311296.0,157.21055817604065,363.0,10.0,4.0,0.0,1000.0,709.1,4.0
327680.0,165.33543944358826,386.0,10.0,2.5,0.0,1000.0,821.775,6.0
344064.0,173.42746019363403,405.0,10.0,3.0,0.0,1000.0,776.35,5.0
360448.0,181.45289659500122,424.0,10.0,4.0,0.0,1000.0,744.05,5.0
376832.0,189.56677770614624,443.0,10.0,2.75,0.0,1000.0,845.25,6.0
393216.0,197.65191769599915,465.0,10.0,2.0,0.0,1000.0,840.1,6.0
409600.0,205.74308395385742,483.0,10.0,2.5,0.0,1000.0,848.375,2.0
425984.0,213.83163285255432,499.0,10.0,2.5,0.0,1000.0,880.25,2.0
442368.0,221.93312215805054,515.0,10.0,1.75,0.0,1000.0,911.65,2.0
458752.0,230.01958012580872,540.0,10.0,2.5,0.0,1000.0,802.4,7.0
475136.0,238.12195444107056,564.0,10.0,2.0,0.0,1000.0,860.95,69.0
491520.0,246.20398092269897,581.0,10.0,2.5,0.0,1000.0,834.225,69.0
507904.0,254.32022643089294,604.0,10.0,4.25,0.0,1000.0,714.725,21.0
524288.0,262.4336574077606,632.0,10.0,4.25,0.0,1000.0,736.2,20.0
540672.0,270.55502557754517,649.0,10.0,3.75,0.0,1000.0,721.2,20.0
557056.0,278.65772223472595,665.0,10.0,3.25,0.0,1000.0,777.55,44.0
573440.0,286.7667775154114,687.0,10.0,3.25,0.0,1000.0,824.575,51.0
589824.0,294.8561885356903,709.0,10.0,3.25,0.0,1000.0,782.45,22.0
606208.0,302.95261311531067,729.0,10.0,2.75,0.0,1000.0,775.7,6.0
622592.0,311.06878113746643,748.0,10.0,3.0,0.0,1000.0,800.35,6.0
638976.0,319.1844344139099,769.0,10.0,2.75,0.0,1000.0,825.65,10.0
655360.0,327.28662729263306,796.0,10.0,4.0,0.0,1000.0,719.075,1.0
671744.0,335.41286849975586,820.0,10.0,5.25,0.0,1000.0,615.85,1.0
688128.0,343.48440384864807,841.0,10.0,3.25,0.0,1000.0,731.35,5.0
704512.0,351.58801531791687,856.0,10.0,2.75,0.0,1000.0,778.05,15.0
720896.0,359.6846854686737,879.0,10.0,2.25,0.0,1000.0,838.3,1.0
737280.0,367.78216791152954,902.0,10.0,2.5,0.0,1000.0,819.575,1.0
753664.0,375.8701241016388,920.0,10.0,3.25,0.0,1000.0,817.35,27.0
770048.0,383.973552942276,936.0,10.0,2.5,0.0,1000.0,854.25,27.0
786432.0,392.0715503692627,957.0,10.0,2.75,0.0,1000.0,795.075,7.0
802816.0,400.14180541038513,982.0,10.0,3.5,0.0,1000.0,727.475,7.0
819200.0,408.2378556728363,1008.0,10.0,3.0,0.0,1000.0,778.175,42.0
835584.0,416.2923514842987,1023.0,10.0,2.75,0.0,1000.0,796.85,24.0
851968.0,424.3690576553345,1043.0,10.0,2.75,0.0,1000.0,794.5,24.0
868352.0,432.44452261924744,1065.0,10.0,3.0,0.0,1000.0,785.35,9.0
884736.0,440.5583128929138,1091.0,10.0,3.5,0.0,1000.0,717.55,3.0
901120.0,448.6234128475189,1115.0,10.0,4.25,0.0,1000.0,666.55,3.0
917504.0,456.723117351532,1138.0,10.0,4.5,0.0,1000.0,635.425,4.0
933888.0,464.7865505218506,1162.0,10.0,3.75,0.0,1000.0,717.475,12.0
950272.0,472.8837261199951,1183.0,10.0,3.0,0.0,1000.0,775.475,12.0
966656.0,480.96085810661316,1207.0,10.0,2.75,0.0,1000.0,808.55,6.0
983040.0,489.07297539711,1223.0,10.0,3.25,0.0,1000.0,762.125,6.0
999424.0,497.1494209766388,1241.0,10.0,2.75,0.0,1000.0,855.65,38.0
1015808.0,505.2677552700043,1266.0,10.0,3.75,0.0,1000.0,804.275,3.0
1032192.0,513.3269619941711,1285.0,10.0,3.5,0.0,1000.0,757.55,3.0
1048576.0,521.4149131774902,1303.0,10.0,2.75,0.0,1000.0,811.5,7.0
1064960.0,529.4781630039215,1319.0,10.0,1.75,0.0,1000.0,899.475,17.0
1081344.0,537.5626609325409,1347.0,10.0,2.75,0.0,1000.0,808.375,33.0
1097728.0,545.4480633735657,1370.0,10.0,4.25,0.0,1000.0,736.55,13.0
1114112.0,553.5532531738281,1390.0,10.0,3.75,0.0,1000.0,763.675,13.0
1130496.0,561.6240525245667,1410.0,10.0,4.0,0.0,1000.0,723.425,1.0
1146880.0,569.7155423164368,1437.0,10.0,4.0,0.0,1000.0,718.275,1.0
1163264.0,577.7885944843292,1461.0,10.0,3.5,0.0,1000.0,742.05,2.0
1179648.0,585.8583748340607,1477.0,10.0,2.75,0.0,1000.0,826.85,15.0
1196032.0,593.9320132732391,1495.0,10.0,3.5,0.0,1000.0,761.075,10.0
1212416.0,602.0431685447693,1516.0,10.0,3.5,0.0,1000.0,742.675,10.0
1228800.0,610.1249284744263,1548.0,10.0,2.75,0.0,1000.0,789.9,2.0
1245184.0,618.1830849647522,1559.0,10.0,3.25,0.0,1000.0,738.425,2.0
1261568.0,626.274998664856,1578.0,10.0,2.5,0.0,1000.0,790.725,5.0
1277952.0,634.3347623348236,1602.0,10.0,3.25,0.0,1000.0,783.1,5.0
1294336.0,642.4284915924072,1631.0,10.0,2.75,0.0,1000.0,822.15,2.0
1310720.0,650.5163450241089,1644.0,10.0,2.75,0.0,1000.0,791.125,2.0
1327104.0,658.6246314048767,1660.0,10.0,3.0,0.0,1000.0,788.5,2.0
1343488.0,666.7183692455292,1684.0,10.0,2.75,0.0,1000.0,807.0,11.0
1359872.0,674.819128036499,1711.0,10.0,2.75,0.0,1000.0,774.075,7.0
1376256.0,682.8957235813141,1736.0,10.0,4.25,0.0,1000.0,670.675,6.0
1392640.0,691.000351190567,1751.0,10.0,4.75,0.0,1000.0,624.425,6.0
1409024.0,699.073921918869,1780.0,10.0,3.75,0.0,1000.0,724.8,12.0
1425408.0,707.1627724170685,1804.0,10.0,4.0,0.0,1000.0,678.45,6.0
1441792.0,715.2178573608398,1827.0,10.0,3.75,0.0,1000.0,712.35,6.0
1458176.0,723.3017740249634,1847.0,10.0,4.75,0.0,1000.0,641.3,21.0
1474560.0,731.339599609375,1866.0,10.0,4.0,0.0,1000.0,679.95,21.0
1490944.0,739.4252316951752,1895.0,10.0,3.25,0.0,1000.0,756.125,4.0
1507328.0,747.5281503200531,1919.0,10.0,3.75,0.0,1000.0,702.675,4.0
1523712.0,755.6111500263214,1942.0,10.0,4.5,0.0,1000.0,651.35,11.0
1540096.0,763.6667795181274,1962.0,10.0,3.25,0.0,1000.0,758.75,2.0
1556480.0,771.7643439769745,1989.0,10.0,3.25,0.0,1000.0,769.375,2.0
1572864.0,779.8530015945435,2003.0,10.0,3.25,0.0,1000.0,757.775,4.0
1589248.0,787.9577822685242,2029.0,10.0,3.75,0.0,1000.0,714.4,1.0
1605632.0,796.035115480423,2056.0,10.0,3.75,0.0,1000.0,754.325,4.0
1622016.0,804.1218655109406,2075.0,10.0,3.25,0.0,1000.0,786.425,4.0
1638400.0,812.180196762085,2090.0,10.0,3.25,0.0,1000.0,732.875,7.0
1654784.0,820.292721748352,2113.0,10.0,3.5,0.0,1000.0,741.475,7.0
1671168.0,828.1064524650574,2147.0,10.0,3.75,0.0,1000.0,738.025,19.0
1687552.0,836.1836020946503,2170.0,10.0,4.75,0.0,1000.0,710.975,36.0
1703936.0,844.3011512756348,2190.0,10.0,6.25,0.0,1000.0,564.475,5.0
1720320.0,852.3727827072144,2213.0,10.0,5.75,0.0,1000.0,582.575,5.0
1736704.0,860.469030380249,2238.0,10.0,3.5,0.0,1000.0,789.825,2.0
1753088.0,868.5457875728607,2255.0,10.0,2.5,0.0,1000.0,819.4,2.0
1769472.0,876.6369156837463,2275.0,10.0,3.25,0.0,1000.0,770.175,2.0
1785856.0,884.7148058414459,2298.0,10.0,3.25,0.0,1000.0,753.4,3.0
1802240.0,892.8275859355927,2323.0,10.0,3.25,0.0,1000.0,769.1,3.0
1818624.0,900.6111326217651,2339.0,10.0,3.0,0.0,1000.0,828.625,19.0
1835008.0,908.6936314105988,2367.0,10.0,4.25,0.0,1000.0,660.2,6.0
1851392.0,916.7638428211212,2392.0,10.0,5.0,0.0,1000.0,564.875,1.0
1867776.0,924.8734545707703,2421.0,10.0,3.5,0.0,1000.0,694.525,1.0
1884160.0,932.947812795639,2435.0,10.0,3.25,0.0,1000.0,721.9,9.0
1900544.0,941.0788969993591,2455.0,10.0,2.5,0.0,1000.0,781.275,10.0
1916928.0,949.1412570476532,2481.0,10.0,3.0,0.0,1000.0,756.85,4.0
1933312.0,957.0689401626587,2510.0,10.0,3.0,0.0,1000.0,742.375,14.0
1949696.0,965.1530368328094,2530.0,10.0,5.0,0.0,1000.0,590.15,7.0
1966080.0,973.2564053535461,2553.0,10.0,5.0,0.0,1000.0,617.475,3.0
1982464.0,981.3284778594971,2575.0,10.0,4.0,0.0,1000.0,737.675,3.0
1998848.0,989.4483571052551,2601.0,10.0,4.5,0.0,1000.0,690.225,2.0
2015232.0,997.5236189365387,2625.0,10.0,4.75,0.0,1000.0,675.425,10.0
2031616.0,1005.6161575317383,2652.0,10.0,4.25,0.0,1000.0,662.6,1.0
2048000.0,1013.6814494132996,2676.0,10.0,4.75,0.0,1000.0,628.55,1.0
2064384.0,1021.7616019248962,2700.0,10.0,4.25,0.0,1000.0,641.65,2.0
2080768.0,1029.8381423950195,2727.0,10.0,4.25,0.0,1000.0,679.6,15.0
2097152.0,1037.9470014572144,2747.0,10.0,4.25,0.0,1000.0,706.525,15.0
2113536.0,1046.0465383529663,2769.0,10.0,4.0,0.0,1000.0,700.6,7.0
2129920.0,1054.1299359798431,2794.0,10.0,4.25,0.0,1000.0,643.925,2.0
2146304.0,1062.2331602573395,2820.0,10.0,3.25,0.0,1000.0,703.15,2.0
2162688.0,1070.3178927898407,2851.0,10.0,5.75,0.0,1000.0,547.6,7.0
2179072.0,1078.4341690540314,2880.0,10.0,5.25,0.0,1000.0,598.675,1.0
2195456.0,1086.5266075134277,2897.0,10.0,4.0,0.0,1000.0,710.125,1.0
2211840.0,1094.6407854557037,2916.0,10.0,4.5,0.0,1000.0,666.3,3.0
2228224.0,1102.7270991802216,2941.0,10.0,3.25,0.0,1000.0,754.325,3.0
2244608.0,1110.8490788936615,2964.0,10.0,2.5,0.0,1000.0,819.85,4.0
2260992.0,1118.9336087703705,2985.0,10.0,3.25,0.0,1000.0,755.3,24.0
2277376.0,1127.0312314033508,3003.0,10.0,3.75,0.0,1000.0,703.85,8.0
2293760.0,1135.0540583133698,3034.0,10.0,4.0,0.0,1000.0,663.9,6.0
2310144.0,1142.9028542041779,3062.0,10.0,3.75,0.0,1000.0,700.575,36.0
2326528.0,1150.969664812088,3083.0,10.0,4.0,0.0,1000.0,727.15,24.0
2342912.0,1158.9164593219757,3106.0,10.0,4.75,0.0,1000.0,640.5,8.0
2359296.0,1166.9925229549408,3132.0,10.0,4.75,0.0,1000.0,602.55,4.0
2375680.0,1175.080515384674,3163.0,10.0,4.5,0.0,1000.0,625.775,4.0
2392064.0,1183.14728307724,3180.0,10.0,3.25,0.0,1000.0,732.4,4.0
2408448.0,1191.2480425834656,3203.0,10.0,4.0,0.0,1000.0,701.975,3.0
2424832.0,1199.3232700824738,3228.0,10.0,3.75,0.0,1000.0,738.05,1.0
2441216.0,1207.4188652038574,3257.0,10.0,4.0,0.0,1000.0,717.875,9.0
2457600.0,1215.474380493164,3270.0,10.0,4.0,0.0,1000.0,755.275,4.0
2473984.0,1223.552226305008,3293.0,10.0,4.75,0.0,1000.0,699.85,3.0
2490368.0,1231.6184992790222,3312.0,10.0,3.5,0.0,1000.0,727.075,3.0
2506752.0,1239.7040719985962,3342.0,10.0,3.0,0.0,1000.0,753.6,3.0
2523136.0,1247.782117843628,3372.0,10.0,5.25,0.0,1000.0,582.25,34.0
2539520.0,1255.864585161209,3392.0,10.0,4.0,0.0,1000.0,691.825,35.0
2555904.0,1263.9357528686523,3410.0,10.0,3.75,0.0,1000.0,695.525,4.0
2572288.0,1272.0047585964203,3436.0,10.0,3.75,0.0,1000.0,674.75,2.0
2588672.0,1280.096750497818,3461.0,10.0,3.75,0.0,1000.0,721.5,1.0
2605056.0,1288.165233373642,3480.0,10.0,3.0,0.0,1000.0,828.65,21.0
2621440.0,1296.2701618671417,3500.0,10.0,3.25,0.0,1000.0,789.825,2.0
2637824.0,1304.329246044159,3528.0,10.0,4.25,0.0,1000.0,717.525,2.0
2654208.0,1312.4300220012665,3562.0,10.0,5.25,0.0,1000.0,602.125,5.0
2670592.0,1320.4912853240967,3585.0,10.0,4.25,0.0,1000.0,664.55,10.0
2686976.0,1328.5774393081665,3607.0,10.0,4.5,0.0,1000.0,635.8,5.0
2703360.0,1336.6440207958221,3625.0,10.0,4.75,0.0,1000.0,615.275,5.0
2719744.0,1344.753315448761,3662.0,10.0,4.25,0.0,1000.0,641.5,3.0
2736128.0,1352.819928407669,3692.0,10.0,4.0,0.0,1000.0,718.0,4.0
2752512.0,1360.9176080226898,3706.0,10.0,4.75,0.0,1000.0,650.25,4.0
2768896.0,1368.9738175868988,3726.0,10.0,4.0,0.0,1000.0,667.075,3.0
2785280.0,1377.074809551239,3755.0,10.0,4.25,0.0,1000.0,615.775,3.0
2801664.0,1385.134562253952,3794.0,10.0,4.75,0.0,1000.0,629.85,5.0
2818048.0,1393.2547421455383,3814.0,10.0,6.0,0.0,1000.0,519.675,2.0
2834432.0,1401.3250546455383,3835.0,10.0,5.75,0.0,1000.0,546.425,1.0
2850816.0,1409.4260425567627,3863.0,10.0,4.75,0.0,1000.0,616.05,1.0
2867200.0,1417.493203163147,3899.0,10.0,5.25,0.0,1000.0,586.125,1.0
2883584.0,1425.5818221569061,3916.0,10.0,4.5,0.0,1000.0,638.2,1.0
