timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
16384.0,11.011591911315918,169.0,5.0,1.100000023841858,0.0,164.0,78.25,26.0
32768.0,18.90857982635498,378.0,9.0,1.649999976158142,0.0,157.0,82.7,30.0
49152.0,26.792386770248413,582.0,12.0,2.3499999046325684,0.0,300.0,90.925,30.0
65536.0,34.71006941795349,792.0,8.0,1.7999999523162842,0.0,139.0,75.2,20.0
81920.0,42.61051893234253,983.0,6.0,2.0250000953674316,0.0,163.0,83.425,21.0
98304.0,50.55936551094055,1168.0,9.0,2.325000047683716,0.0,238.0,96.875,22.0
114688.0,58.50295448303223,1342.0,8.0,2.7750000953674316,0.0,155.0,90.2,29.0
131072.0,66.44340443611145,1521.0,12.0,2.5250000953674316,0.0,186.0,90.075,34.0
147456.0,74.35132789611816,1700.0,11.0,2.799999952316284,0.0,208.0,91.025,41.0
163840.0,82.3277645111084,1867.0,11.0,3.2750000953674316,0.0,240.0,95.925,44.0
180224.0,90.25083255767822,2030.0,15.0,3.674999952316284,0.0,252.0,106.725,44.0
196608.0,98.21514701843262,2206.0,13.0,2.7750000953674316,0.0,203.0,95.125,39.0
212992.0,106.15062642097473,2370.0,16.0,3.25,0.0,250.0,101.3,43.0
229376.0,114.13537311553955,2537.0,17.0,3.0250000953674316,0.0,237.0,96.05,55.0
245760.0,122.01333999633789,2701.0,7.0,2.4000000953674316,0.0,129.0,86.925,38.0
262144.0,129.99537086486816,2875.0,20.0,3.450000047683716,0.0,274.0,94.1,49.0
278528.0,137.9380340576172,3042.0,10.0,3.0999999046325684,0.0,178.0,90.75,16.0
294912.0,145.922283411026,3221.0,11.0,2.549999952316284,0.0,202.0,89.1,20.0
311296.0,153.88846731185913,3388.0,14.0,3.9000000953674316,0.0,163.0,96.125,55.0
327680.0,161.80123710632324,3554.0,13.0,3.7249999046325684,0.0,262.0,103.775,62.0
344064.0,169.78363275527954,3722.0,12.0,3.299999952316284,0.0,182.0,97.95,55.0
360448.0,177.77670288085938,3889.0,11.0,3.7750000953674316,0.0,165.0,95.375,42.0
376832.0,185.75384974479675,4050.0,13.0,3.049999952316284,0.0,153.0,94.1,53.0
393216.0,193.716411113739,4210.0,14.0,4.074999809265137,0.0,236.0,104.325,43.0
409600.0,201.72325325012207,4367.0,12.0,3.924999952316284,0.0,184.0,98.825,57.0
425984.0,209.68875885009766,4530.0,22.0,4.400000095367432,0.0,208.0,107.25,24.0
442368.0,217.69417309761047,4683.0,8.0,3.200000047683716,0.0,239.0,101.3,18.0
458752.0,225.66928911209106,4833.0,13.0,4.275000095367432,0.0,202.0,109.475,53.0
475136.0,233.67540740966797,4991.0,18.0,4.199999809265137,0.0,217.0,101.175,53.0
491520.0,241.63365817070007,5147.0,10.0,3.4000000953674316,0.0,189.0,95.15,42.0
507904.0,249.51069140434265,5298.0,20.0,4.425000190734863,0.0,194.0,104.2,53.0
524288.0,257.47251653671265,5455.0,19.0,4.400000095367432,0.0,227.0,107.8,53.0
540672.0,265.46626830101013,5607.0,16.0,4.849999904632568,0.0,236.0,108.25,37.0
557056.0,273.43379759788513,5762.0,16.0,4.699999809265137,0.0,201.0,107.925,54.0
573440.0,281.4297869205475,5913.0,20.0,5.099999904632568,0.0,228.0,106.775,57.0
589824.0,289.34153270721436,6055.0,21.0,5.425000190734863,0.0,226.0,116.3,53.0
606208.0,297.3452184200287,6195.0,14.0,5.224999904632568,0.0,279.0,120.25,37.0
622592.0,305.3140881061554,6334.0,17.0,5.324999809265137,0.0,320.0,126.125,14.0
638976.0,313.30728363990784,6486.0,13.0,4.550000190734863,0.0,235.0,110.775,14.0
655360.0,321.26562213897705,6619.0,19.0,4.875,0.0,289.0,111.1,43.0
671744.0,329.28176712989807,6753.0,17.0,6.400000095367432,0.0,228.0,124.55,60.0
688128.0,337.268771648407,6893.0,16.0,4.724999904632568,0.0,245.0,111.975,15.0
704512.0,345.12427520751953,7033.0,19.0,6.675000190734863,0.0,263.0,132.425,47.0
720896.0,353.0710895061493,7172.0,16.0,4.224999904632568,0.0,267.0,99.3,15.0
737280.0,361.06834602355957,7308.0,19.0,5.800000190734863,0.0,324.0,118.875,57.0
753664.0,369.0343997478485,7442.0,23.0,5.324999809265137,0.0,315.0,126.2,47.0
770048.0,377.03059434890747,7572.0,17.0,7.050000190734863,0.0,313.0,129.175,66.0
786432.0,385.0072877407074,7711.0,17.0,5.25,0.0,251.0,123.55,54.0
802816.0,393.009174823761,7852.0,19.0,5.275000095367432,0.0,260.0,116.625,45.0
819200.0,401.01610827445984,7974.0,17.0,7.050000190734863,0.0,250.0,129.05,45.0
835584.0,409.00040650367737,8120.0,26.0,6.349999904632568,0.0,417.0,121.975,25.0
851968.0,416.9974811077118,8236.0,18.0,6.650000095367432,0.0,277.0,124.7,46.0
868352.0,424.80320143699646,8364.0,21.0,6.775000095367432,0.0,286.0,134.4,31.0
884736.0,432.64708495140076,8483.0,20.0,6.425000190734863,0.0,263.0,119.075,38.0
901120.0,440.54314517974854,8621.0,21.0,5.025000095367432,0.0,252.0,114.85,37.0
917504.0,448.5580563545227,8757.0,16.0,6.275000095367432,0.0,350.0,120.35,18.0
933888.0,456.5135633945465,8891.0,18.0,5.150000095367432,0.0,293.0,122.8,50.0
950272.0,464.5052025318146,9018.0,21.0,6.099999904632568,0.0,335.0,128.7,49.0
966656.0,472.4546175003052,9155.0,24.0,6.199999809265137,0.0,352.0,125.325,35.0
983040.0,480.3354868888855,9270.0,39.0,6.900000095367432,0.0,527.0,127.175,24.0
999424.0,488.1116454601288,9397.0,27.0,6.324999809265137,0.0,374.0,126.575,38.0
1015808.0,496.1000461578369,9520.0,25.0,7.550000190734863,0.0,382.0,140.225,40.0
1032192.0,504.08212447166443,9633.0,19.0,6.775000095367432,0.0,252.0,121.65,39.0
1048576.0,511.91539335250854,9757.0,18.0,7.449999809265137,0.0,461.0,141.825,52.0
1064960.0,519.8886244297028,9877.0,32.0,8.449999809265137,0.0,401.0,150.4,65.0
1081344.0,527.8919568061829,9997.0,23.0,7.525000095367432,0.0,318.0,136.525,59.0
1097728.0,535.867467880249,10112.0,20.0,8.0,0.0,342.0,135.75,56.0
1114112.0,543.8806059360504,10226.0,25.0,8.600000381469727,0.0,339.0,141.3,52.0
1130496.0,551.7195091247559,10345.0,20.0,7.599999904632568,0.0,292.0,140.675,56.0
1146880.0,559.7285044193268,10461.0,21.0,7.75,0.0,338.0,140.175,59.0
1163264.0,567.6926155090332,10581.0,31.0,7.0,0.0,352.0,131.825,43.0
1179648.0,575.6786897182465,10690.0,21.0,8.0,0.0,365.0,142.25,53.0
1196032.0,583.6556191444397,10801.0,17.0,5.824999809265137,0.0,279.0,121.475,43.0
1212416.0,591.3508062362671,10921.0,22.0,8.574999809265137,1.0,398.0,138.1,64.0
1228800.0,599.3410747051239,11036.0,16.0,7.324999809265137,1.0,271.0,136.15,58.0
1245184.0,607.1152021884918,11142.0,33.0,9.100000381469727,0.0,388.0,139.6,38.0
1261568.0,614.9568417072296,11256.0,50.0,9.625,1.0,572.0,150.95,50.0
1277952.0,622.6992211341858,11373.0,27.0,6.474999904632568,0.0,354.0,130.95,50.0
1294336.0,630.6898362636566,11482.0,27.0,9.949999809265137,0.0,334.0,161.35,70.0
1310720.0,638.6614863872528,11596.0,27.0,8.875,1.0,317.0,144.075,55.0
1327104.0,646.6667830944061,11700.0,27.0,9.574999809265137,0.0,357.0,167.625,59.0
1343488.0,654.6548306941986,11812.0,34.0,8.425000190734863,0.0,379.0,146.275,51.0
1359872.0,662.6841344833374,11910.0,24.0,9.75,0.0,325.0,157.675,66.0
1376256.0,670.5714218616486,12025.0,32.0,8.675000190734863,1.0,497.0,139.95,42.0
1392640.0,678.4249880313873,12146.0,32.0,8.475000381469727,0.0,291.0,141.25,56.0
1409024.0,686.4306073188782,12249.0,27.0,9.850000381469727,1.0,441.0,155.925,49.0
1425408.0,694.2643797397614,12353.0,27.0,9.300000190734863,0.0,383.0,147.05,54.0
1441792.0,702.2422969341278,12464.0,33.0,10.300000190734863,0.0,376.0,158.35,49.0
1458176.0,710.2460358142853,12566.0,27.0,10.225000381469727,1.0,328.0,154.925,56.0
1474560.0,718.2400431632996,12676.0,37.0,10.25,2.0,309.0,158.425,58.0
1490944.0,726.2583844661713,12771.0,38.0,11.75,0.0,413.0,165.825,66.0
1507328.0,734.2589123249054,12875.0,54.0,10.399999618530273,0.0,569.0,169.475,42.0
1523712.0,742.2783558368683,12970.0,27.0,9.925000190734863,0.0,312.0,156.175,46.0
1540096.0,750.2807393074036,13080.0,37.0,10.800000190734863,0.0,401.0,156.125,60.0
1556480.0,758.2722849845886,13183.0,25.0,9.199999809265137,0.0,275.0,152.575,54.0
1572864.0,766.2530519962311,13283.0,27.0,9.574999809265137,0.0,431.0,162.35,43.0
1589248.0,774.2297604084015,13398.0,38.0,10.125,0.0,566.0,157.275,47.0
1605632.0,782.0306069850922,13508.0,23.0,8.199999809265137,1.0,312.0,135.775,49.0
1622016.0,790.0362808704376,13620.0,34.0,9.100000381469727,0.0,514.0,153.825,51.0
1638400.0,797.9711759090424,13725.0,32.0,10.074999809265137,0.0,408.0,160.425,60.0
1654784.0,805.9555144309998,13826.0,22.0,8.074999809265137,1.0,310.0,136.45,56.0
1671168.0,813.9389650821686,13927.0,62.0,11.824999809265137,1.0,570.0,167.975,49.0
1687552.0,821.7234480381012,14029.0,31.0,10.324999809265137,1.0,334.0,163.4,52.0
1703936.0,829.7309727668762,14126.0,51.0,10.824999809265137,0.0,563.0,169.4,57.0
1720320.0,837.5844974517822,14232.0,27.0,9.074999809265137,0.0,322.0,136.575,29.0
1736704.0,845.5683579444885,14326.0,53.0,11.399999618530273,0.0,547.0,169.775,52.0
1753088.0,853.3132522106171,14433.0,56.0,12.824999809265137,2.0,573.0,177.925,57.0
1769472.0,861.2550690174103,14530.0,52.0,10.5,0.0,514.0,160.725,58.0
1785856.0,869.2030317783356,14635.0,33.0,10.875,0.0,360.0,162.15,60.0
1802240.0,877.190039396286,14733.0,38.0,12.175000190734863,0.0,333.0,169.65,44.0
1818624.0,885.173248052597,14824.0,45.0,12.0,0.0,576.0,179.9,43.0
1835008.0,893.1932888031006,14920.0,43.0,11.175000190734863,0.0,436.0,171.55,51.0
1851392.0,901.1765251159668,14999.0,62.0,11.524999618530273,0.0,573.0,178.9,52.0
1867776.0,909.1585094928741,15106.0,33.0,10.925000190734863,1.0,376.0,161.5,44.0
1884160.0,917.144006729126,15192.0,59.0,13.324999809265137,3.0,572.0,179.5,62.0
1900544.0,925.1478934288025,15286.0,49.0,13.675000190734863,3.0,434.0,187.775,65.0
1916928.0,933.1076214313507,15372.0,38.0,10.274999618530273,0.0,479.0,146.775,28.0
1933312.0,941.1349313259125,15463.0,49.0,12.550000190734863,0.0,446.0,182.5,67.0
1949696.0,949.1179172992706,15558.0,60.0,13.074999809265137,0.0,572.0,179.625,60.0
1966080.0,957.1001455783844,15659.0,42.0,11.675000190734863,0.0,404.0,163.575,53.0
1982464.0,965.0569128990173,15760.0,35.0,8.75,1.0,367.0,141.675,55.0
1998848.0,972.8368844985962,15853.0,28.0,10.574999809265137,0.0,318.0,154.425,29.0
2015232.0,980.8141660690308,15964.0,46.0,12.074999809265137,0.0,528.0,171.5,52.0
2031616.0,988.8289713859558,16058.0,62.0,12.5,1.0,566.0,177.325,56.0
2048000.0,996.513073682785,16158.0,49.0,11.199999809265137,0.0,468.0,167.025,54.0
2064384.0,1004.5211753845215,16244.0,38.0,12.975000381469727,1.0,507.0,178.95,72.0
2080768.0,1012.3881754875183,16352.0,34.0,13.925000190734863,0.0,401.0,178.25,53.0
2097152.0,1020.3958358764648,16436.0,44.0,11.074999809265137,0.0,376.0,161.8,24.0
2113536.0,1028.4107885360718,16534.0,39.0,13.850000381469727,2.0,534.0,195.15,67.0
2129920.0,1036.368014574051,16631.0,27.0,11.350000381469727,1.0,380.0,164.4,58.0
2146304.0,1044.3600809574127,16732.0,37.0,11.524999618530273,1.0,435.0,175.075,38.0
2162688.0,1052.3412823677063,16831.0,31.0,9.300000190734863,0.0,499.0,155.325,55.0
2179072.0,1060.335326910019,16928.0,60.0,12.475000381469727,0.0,559.0,162.95,55.0
2195456.0,1068.3081171512604,17017.0,30.0,10.324999809265137,0.0,360.0,160.625,35.0
2211840.0,1076.0014781951904,17119.0,39.0,13.25,1.0,375.0,182.625,58.0
