timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
16384.0,17.274637937545776,113.0,3.0,0.5249999761581421,0.0,219.0,87.975,11.0
32768.0,31.43534255027771,241.0,4.0,0.699999988079071,0.0,380.0,118.2,16.0
49152.0,45.55042219161987,392.0,2.0,0.675000011920929,0.0,270.0,109.125,20.0
65536.0,59.69400382041931,530.0,5.0,0.824999988079071,0.0,299.0,113.225,14.0
81920.0,73.80549216270447,683.0,5.0,0.699999988079071,0.0,222.0,95.875,14.0
98304.0,87.9726152420044,812.0,3.0,0.875,0.0,377.0,127.5,28.0
114688.0,102.099045753479,941.0,5.0,0.925000011920929,0.0,262.0,107.525,14.0
131072.0,116.26111698150635,1087.0,5.0,0.8999999761581421,0.0,490.0,110.175,24.0
147456.0,130.40919542312622,1221.0,5.0,1.2999999523162842,0.0,293.0,108.8,20.0
163840.0,144.5768461227417,1353.0,4.0,0.6000000238418579,0.0,299.0,121.05,26.0
180224.0,158.72129082679749,1482.0,5.0,0.7749999761581421,0.0,354.0,118.65,28.0
196608.0,172.89217400550842,1625.0,11.0,0.675000011920929,0.0,373.0,103.025,10.0
212992.0,186.89333772659302,1741.0,5.0,1.0,0.0,288.0,140.15,24.0
229376.0,201.0486195087433,1870.0,8.0,1.0750000476837158,0.0,457.0,119.575,35.0
245760.0,215.222909450531,1991.0,4.0,0.925000011920929,0.0,325.0,121.6,22.0
262144.0,229.20555901527405,2127.0,4.0,0.824999988079071,0.0,278.0,108.7,13.0
278528.0,243.36809706687927,2252.0,4.0,1.100000023841858,0.0,356.0,124.075,22.0
294912.0,257.5065927505493,2392.0,5.0,1.0750000476837158,0.0,552.0,121.925,5.0
311296.0,271.6577775478363,2521.0,5.0,1.399999976158142,0.0,283.0,148.425,24.0
327680.0,285.7907133102417,2637.0,6.0,0.875,0.0,433.0,140.925,17.0
344064.0,299.93287444114685,2762.0,9.0,1.475000023841858,0.0,534.0,149.15,44.0
360448.0,314.05513215065,2886.0,5.0,1.100000023841858,0.0,359.0,132.05,19.0
376832.0,328.2116770744324,2993.0,8.0,1.2999999523162842,0.0,911.0,144.675,28.0
393216.0,342.3331890106201,3123.0,11.0,1.2000000476837158,0.0,476.0,118.675,8.0
409600.0,356.48573756217957,3255.0,4.0,1.0750000476837158,0.0,644.0,126.65,16.0
425984.0,370.615375995636,3378.0,4.0,0.7749999761581421,0.0,903.0,146.925,8.0
442368.0,384.79135274887085,3500.0,6.0,1.2999999523162842,0.0,324.0,122.575,25.0
