timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
16384.0,11.4835786819458,9.0,10.0,2.222222328186035,0.0,203.0,148.66666666666666,74.0
32768.0,19.420426845550537,40.0,10.0,4.0,0.0,499.0,275.675,39.0
49152.0,27.446688890457153,76.0,10.0,3.75,0.0,718.0,362.425,99.0
65536.0,35.79045009613037,141.0,10.0,4.75,0.0,1000.0,456.375,97.0
81920.0,43.80588626861572,200.0,10.0,4.0,0.0,971.0,259.45,33.0
98304.0,51.64283537864685,276.0,10.0,5.0,0.0,895.0,259.725,53.0
114688.0,59.672945499420166,364.0,10.0,6.0,0.0,692.0,210.425,36.0
131072.0,67.80263376235962,488.0,10.0,5.0,0.0,399.0,134.675,32.0
147456.0,75.88092017173767,637.0,10.0,5.75,0.0,381.0,112.775,35.0
163840.0,83.86374831199646,786.0,10.0,5.0,0.0,382.0,108.475,29.0
180224.0,92.09909272193909,956.0,10.0,6.5,0.0,311.0,97.225,19.0
196608.0,100.3734085559845,1140.0,10.0,5.5,0.0,248.0,94.725,30.0
212992.0,108.34265279769897,1340.0,10.0,6.0,0.0,249.0,89.4,20.0
229376.0,116.32146859169006,1549.0,10.0,6.25,0.0,206.0,76.225,34.0
245760.0,124.78311944007874,1759.0,10.0,5.75,0.0,240.0,97.025,34.0
262144.0,132.88894033432007,1987.0,10.0,5.75,0.0,153.0,61.9,22.0
278528.0,141.1481156349182,2219.0,10.0,5.25,0.0,202.0,68.7,23.0
294912.0,149.4010500907898,2453.0,10.0,5.5,0.0,126.0,63.45,22.0
311296.0,157.51349592208862,2674.0,10.0,6.0,0.0,172.0,77.25,32.0
327680.0,165.7874596118927,2918.0,10.0,6.25,0.0,295.0,72.775,19.0
344064.0,173.9236080646515,3160.0,10.0,7.0,0.0,259.0,60.725,19.0
360448.0,182.33592915534973,3417.0,10.0,5.5,0.0,179.0,66.25,20.0
376832.0,190.61036705970764,3639.0,10.0,5.5,0.0,141.0,63.0,18.0
393216.0,198.74207425117493,3881.0,10.0,6.75,0.0,252.0,70.95,21.0
