timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
16384.0,17.94231939315796,11.0,10.0,5.454545497894287,0.0,254.0,163.0,109.0
32768.0,32.35633587837219,35.0,10.0,5.4285712242126465,0.0,509.0,299.7142857142857,86.0
49152.0,47.10722875595093,80.0,10.0,3.75,0.0,745.0,396.05,40.0
65536.0,61.65464687347412,166.0,10.0,3.75,0.0,1000.0,282.275,21.0
81920.0,76.41102719306946,256.0,10.0,5.75,0.0,1000.0,214.3,53.0
98304.0,90.99159169197083,356.0,10.0,4.5,0.0,540.0,186.7,36.0
114688.0,105.34565711021423,501.0,10.0,7.0,0.0,353.0,109.75,21.0
131072.0,120.0518856048584,654.0,10.0,4.25,0.0,344.0,110.5,33.0
147456.0,134.77938628196716,827.0,10.0,6.25,0.0,243.0,109.5,22.0
163840.0,149.5413887500763,1018.0,10.0,6.25,0.0,195.0,85.675,33.0
180224.0,164.2528269290924,1226.0,10.0,4.75,0.0,173.0,73.475,18.0
196608.0,179.00315475463867,1464.0,10.0,5.0,0.0,176.0,72.525,18.0
212992.0,193.7367045879364,1700.0,10.0,5.5,0.0,176.0,64.0,17.0
229376.0,208.62509322166443,1926.0,10.0,6.0,0.0,159.0,73.65,26.0
245760.0,223.4076976776123,2180.0,10.0,5.0,0.0,187.0,71.825,21.0
262144.0,238.13785552978516,2455.0,10.0,4.5,0.0,168.0,61.4,19.0
278528.0,252.9307198524475,2704.0,10.0,6.75,0.0,155.0,62.875,19.0
294912.0,267.8340995311737,2959.0,10.0,5.5,0.0,197.0,62.6,17.0
311296.0,282.60853934288025,3238.0,10.0,7.25,0.0,141.0,60.5,22.0
327680.0,297.29450130462646,3483.0,10.0,7.0,0.0,195.0,69.225,18.0
344064.0,311.6975784301758,3754.0,10.0,6.0,0.0,143.0,61.375,19.0
360448.0,326.07867097854614,4028.0,10.0,5.75,0.0,206.0,66.0,20.0
376832.0,340.82955718040466,4288.0,10.0,6.5,0.0,157.0,61.775,18.0
393216.0,355.54999136924744,4564.0,10.0,6.0,0.0,205.0,63.075,19.0
409600.0,370.33990359306335,4823.0,10.0,6.5,0.0,179.0,64.675,27.0
425984.0,385.07599902153015,5069.0,10.0,8.0,0.0,163.0,57.775,21.0
442368.0,399.80769300460815,5335.0,10.0,7.25,0.0,135.0,59.625,21.0
458752.0,414.5388445854187,5600.0,10.0,7.25,0.0,185.0,68.175,21.0
475136.0,429.4212369918823,5864.0,10.0,6.75,0.0,143.0,58.75,19.0
491520.0,444.1254668235779,6118.0,10.0,6.75,0.0,178.0,61.675,19.0
507904.0,458.8581163883209,6392.0,10.0,4.75,0.0,130.0,59.775,23.0
524288.0,473.5972077846527,6643.0,10.0,6.25,0.0,159.0,58.425,18.0
540672.0,488.13690209388733,6909.0,10.0,7.5,0.0,173.0,65.025,20.0
557056.0,502.909560918808,7181.0,10.0,7.5,0.0,130.0,60.975,18.0
573440.0,517.4799859523773,7435.0,10.0,6.75,0.0,180.0,65.45,17.0
589824.0,532.2028148174286,7699.0,10.0,6.0,0.0,173.0,63.95,16.0
606208.0,547.0693161487579,7971.0,10.0,7.5,0.0,189.0,69.35,20.0
622592.0,561.8650796413422,8224.0,10.0,6.75,0.0,214.0,66.85,17.0
638976.0,576.5881435871124,8479.0,10.0,7.75,0.0,139.0,61.45,22.0
655360.0,591.319121837616,8752.0,10.0,7.0,0.0,155.0,58.55,16.0
671744.0,606.0592710971832,9035.0,10.0,7.25,0.0,129.0,56.675,23.0
688128.0,620.9140710830688,9307.0,10.0,7.0,0.0,148.0,61.025,20.0
704512.0,635.7346272468567,9551.0,10.0,6.0,0.0,126.0,55.975,18.0
720896.0,650.5215175151825,9816.0,10.0,8.5,0.0,150.0,62.5,21.0
737280.0,665.2878243923187,10076.0,10.0,6.75,0.0,170.0,53.5,21.0
