timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
16384.0,11.294161558151245,12.0,10.0,2.5,0.0,245.0,156.66666666666666,73.0
32768.0,19.465043306350708,32.0,10.0,2.8125,0.0,492.0,255.625,73.0
49152.0,27.48272943496704,51.0,10.0,3.5,0.0,716.0,384.1,82.0
65536.0,35.63852524757385,94.0,10.0,3.0,0.0,1000.0,729.175,49.0
81920.0,43.59480619430542,127.0,10.0,4.25,0.0,1000.0,420.125,73.0
98304.0,51.580151081085205,203.0,10.0,4.5,0.0,1000.0,226.0,35.0
114688.0,59.619192123413086,269.0,10.0,5.0,0.0,730.0,210.875,43.0
131072.0,67.68435502052307,344.0,10.0,6.75,0.0,1000.0,262.725,35.0
147456.0,75.8163709640503,428.0,10.0,6.0,0.0,561.0,201.15,46.0
163840.0,83.78830480575562,540.0,10.0,4.75,0.0,890.0,170.325,33.0
180224.0,91.73546528816223,689.0,10.0,5.0,0.0,337.0,139.0,39.0
196608.0,100.0337164402008,832.0,10.0,6.5,0.0,226.0,90.35,31.0
212992.0,108.05284023284912,1011.0,10.0,4.5,0.0,412.0,97.9,20.0
229376.0,116.06049609184265,1201.0,10.0,3.5,0.0,207.0,80.75,18.0
245760.0,123.92753720283508,1396.0,10.0,5.5,0.0,227.0,95.85,24.0
262144.0,132.00508999824524,1609.0,10.0,5.5,0.0,287.0,84.175,20.0
278528.0,140.1942069530487,1836.0,10.0,5.5,0.0,263.0,73.425,20.0
294912.0,148.47211956977844,2080.0,10.0,4.75,0.0,197.0,72.175,21.0
311296.0,156.4532766342163,2292.0,10.0,6.0,0.0,238.0,85.525,21.0
327680.0,164.78425645828247,2519.0,10.0,4.5,0.0,294.0,64.15,17.0
344064.0,172.86191773414612,2722.0,10.0,5.0,0.0,228.0,74.1,21.0
360448.0,180.91225624084473,2940.0,10.0,6.5,0.0,235.0,79.6,20.0
376832.0,188.8461582660675,3159.0,10.0,6.0,0.0,339.0,80.25,22.0
393216.0,196.88144659996033,3382.0,10.0,6.25,0.0,307.0,67.325,20.0
409600.0,205.10339403152466,3622.0,10.0,6.5,0.0,251.0,73.725,18.0
425984.0,213.16218757629395,3844.0,10.0,3.75,0.0,172.0,81.475,18.0
442368.0,221.29479479789734,4092.0,10.0,6.5,0.0,227.0,74.025,20.0
458752.0,229.37437677383423,4320.0,10.0,5.25,0.0,264.0,67.075,19.0
475136.0,237.45853972434998,4537.0,10.0,5.5,0.0,314.0,79.775,16.0
491520.0,245.55626845359802,4735.0,10.0,7.25,0.0,267.0,93.525,20.0
507904.0,253.55643796920776,4923.0,10.0,6.75,0.0,191.0,80.225,17.0
524288.0,261.5365731716156,5134.0,10.0,7.25,0.0,276.0,71.55,21.0
540672.0,269.5577483177185,5347.0,10.0,4.75,0.0,365.0,94.525,20.0
557056.0,277.4527575969696,5580.0,10.0,6.5,0.0,248.0,78.375,21.0
573440.0,285.5313537120819,5818.0,10.0,6.5,0.0,307.0,72.875,18.0
589824.0,293.64844131469727,6060.0,10.0,5.0,0.0,200.0,65.75,19.0
606208.0,301.9424932003021,6281.0,10.0,7.25,0.0,195.0,72.575,18.0
622592.0,309.97083568573,6519.0,10.0,5.5,0.0,184.0,65.925,20.0
638976.0,317.9868597984314,6734.0,10.0,6.75,0.0,459.0,95.275,19.0
655360.0,326.02642154693604,6969.0,10.0,6.75,0.0,238.0,67.725,19.0
671744.0,334.03777837753296,7192.0,10.0,7.5,0.0,220.0,63.125,19.0
688128.0,342.0163531303406,7408.0,10.0,7.5,0.0,247.0,67.725,18.0
704512.0,350.01456022262573,7638.0,10.0,8.25,0.0,213.0,64.075,20.0
720896.0,358.17629313468933,7867.0,10.0,7.5,0.0,586.0,80.875,21.0
737280.0,366.27677369117737,8094.0,10.0,8.25,0.0,309.0,88.25,19.0
753664.0,374.26180696487427,8327.0,10.0,7.75,0.0,479.0,86.25,21.0
770048.0,382.5580630302429,8530.0,10.0,6.75,0.0,334.0,78.45,19.0
786432.0,390.4881098270416,8783.0,10.0,7.25,0.0,578.0,84.8,19.0
802816.0,398.4632339477539,9023.0,10.0,7.25,0.0,193.0,71.75,20.0
819200.0,406.60500836372375,9242.0,10.0,6.25,0.0,225.0,76.875,19.0
835584.0,414.97882652282715,9461.0,10.0,6.75,0.0,204.0,70.025,19.0
851968.0,423.05541467666626,9688.0,10.0,6.5,0.0,339.0,77.65,19.0
868352.0,431.23091435432434,9915.0,10.0,6.75,0.0,240.0,63.5,20.0
884736.0,439.5265951156616,10158.0,10.0,7.25,0.0,227.0,70.825,19.0
901120.0,447.69501519203186,10400.0,10.0,8.0,0.0,262.0,63.925,19.0
917504.0,455.634238243103,10624.0,10.0,8.0,0.0,232.0,68.8,15.0
933888.0,463.9498014450073,10868.0,10.0,8.25,0.0,222.0,66.2,19.0
950272.0,472.0406334400177,11102.0,10.0,6.0,0.0,215.0,68.825,20.0
966656.0,480.038959980011,11358.0,10.0,8.5,0.0,237.0,64.7,19.0
983040.0,488.056209564209,11608.0,10.0,7.0,0.0,259.0,63.55,16.0
999424.0,496.0689311027527,11863.0,10.0,6.0,0.0,255.0,71.05,20.0
1015808.0,504.1875820159912,12106.0,10.0,6.75,0.0,177.0,71.475,18.0
1032192.0,512.1268289089203,12361.0,10.0,8.25,0.0,190.0,74.2,19.0
1048576.0,520.1323685646057,12602.0,10.0,7.0,0.0,188.0,65.525,18.0
1064960.0,528.0523681640625,12849.0,10.0,8.0,0.0,211.0,67.7,19.0
1081344.0,536.1747672557831,13097.0,10.0,6.25,0.0,204.0,63.1,20.0
1097728.0,544.0719707012177,13348.0,10.0,8.5,0.0,286.0,66.75,20.0
1114112.0,551.9941620826721,13594.0,10.0,8.5,0.0,261.0,60.575,20.0
1130496.0,560.3461780548096,13830.0,10.0,7.5,0.0,211.0,71.0,19.0
1146880.0,568.3822152614594,14083.0,10.0,8.0,0.0,212.0,67.15,20.0
1163264.0,576.426295042038,14334.0,10.0,7.75,0.0,197.0,65.75,17.0
1179648.0,584.4198307991028,14573.0,10.0,8.0,0.0,195.0,62.5,17.0
1196032.0,592.504857301712,14829.0,10.0,6.5,0.0,164.0,75.225,21.0
1212416.0,600.6053547859192,15062.0,10.0,7.25,0.0,142.0,56.25,17.0
1228800.0,608.7369360923767,15296.0,10.0,7.5,0.0,252.0,69.425,19.0
1245184.0,616.7731363773346,15540.0,10.0,8.75,0.0,482.0,74.525,19.0
1261568.0,624.817866563797,15797.0,10.0,7.25,0.0,250.0,64.275,20.0
1277952.0,632.7745571136475,16070.0,10.0,8.5,0.0,216.0,62.35,19.0
1294336.0,640.8905868530273,16305.0,10.0,7.25,0.0,237.0,78.15,20.0
1310720.0,648.8348395824432,16563.0,10.0,8.5,0.0,195.0,67.575,20.0
1327104.0,656.8867609500885,16792.0,10.0,7.75,0.0,197.0,57.9,19.0
1343488.0,664.9724941253662,17027.0,10.0,8.0,0.0,202.0,72.275,20.0
1359872.0,672.8866963386536,17249.0,10.0,9.0,0.0,211.0,72.675,19.0
1376256.0,680.8062620162964,17503.0,10.0,8.75,0.0,161.0,58.8,19.0
1392640.0,689.1091239452362,17746.0,10.0,7.75,0.0,214.0,82.625,19.0
1409024.0,697.047219991684,18016.0,10.0,8.0,0.0,250.0,70.6,19.0
1425408.0,705.0131840705872,18248.0,10.0,8.0,0.0,214.0,61.2,18.0
1441792.0,712.9298408031464,18480.0,10.0,8.0,0.0,153.0,63.0,20.0
1458176.0,720.9967978000641,18729.0,10.0,6.75,0.0,179.0,66.025,20.0
1474560.0,728.9268264770508,18966.0,10.0,8.75,0.0,173.0,70.0,21.0
1490944.0,736.967521905899,19216.0,10.0,7.25,0.0,181.0,59.325,20.0
1507328.0,745.0246686935425,19456.0,10.0,8.0,0.0,205.0,63.8,20.0
1523712.0,753.4118988513947,19708.0,10.0,9.25,0.0,268.0,80.15,19.0
1540096.0,761.3402202129364,19946.0,10.0,6.75,0.0,180.0,72.3,19.0
1556480.0,769.3477032184601,20158.0,10.0,9.0,0.0,242.0,69.625,19.0
1572864.0,777.3529787063599,20402.0,10.0,8.0,0.0,154.0,58.075,19.0
1589248.0,785.4151329994202,20639.0,10.0,8.75,0.0,218.0,69.55,20.0
1605632.0,793.2803182601929,20861.0,10.0,8.5,0.0,214.0,70.775,19.0
1622016.0,801.6316230297089,21095.0,10.0,8.5,0.0,202.0,72.725,20.0
1638400.0,809.589985370636,21349.0,10.0,8.0,0.0,192.0,60.9,19.0
1654784.0,817.6494464874268,21581.0,10.0,8.75,0.0,185.0,72.45,19.0
1671168.0,826.0516889095306,21795.0,10.0,8.75,0.0,206.0,79.475,20.0
1687552.0,834.0457739830017,22026.0,10.0,7.0,0.0,224.0,69.1,20.0
1703936.0,842.2161922454834,22280.0,10.0,8.0,0.0,210.0,65.35,21.0
1720320.0,850.1342988014221,22528.0,10.0,7.5,0.0,309.0,63.575,18.0
1736704.0,858.0912706851959,22763.0,10.0,7.75,0.0,260.0,61.1,19.0
1753088.0,866.0517799854279,23008.0,10.0,7.75,0.0,225.0,68.3,21.0
1769472.0,873.9866962432861,23264.0,10.0,9.0,0.0,144.0,62.95,20.0
1785856.0,882.0284967422485,23478.0,10.0,8.0,0.0,313.0,75.35,20.0
1802240.0,890.0938258171082,23687.0,10.0,8.25,0.0,301.0,78.7,20.0
1818624.0,898.1226561069489,23887.0,10.0,9.75,0.0,253.0,67.325,21.0
1835008.0,906.2779369354248,24126.0,10.0,7.5,0.0,376.0,85.15,22.0
1851392.0,914.2740836143494,24355.0,10.0,8.75,0.0,189.0,64.4,19.0
1867776.0,922.2781383991241,24578.0,10.0,8.0,0.0,195.0,64.775,20.0
1884160.0,930.2055158615112,24821.0,10.0,7.5,0.0,242.0,65.0,19.0
1900544.0,938.2905457019806,25064.0,10.0,8.75,0.0,143.0,56.775,21.0
1916928.0,946.2386040687561,25304.0,10.0,9.0,0.0,203.0,69.925,22.0
1933312.0,954.5876116752625,25569.0,10.0,7.5,0.0,131.0,53.3,20.0
1949696.0,962.9113686084747,25810.0,10.0,8.0,0.0,183.0,65.6,21.0
1966080.0,970.9046041965485,26048.0,10.0,8.0,0.0,208.0,71.125,20.0
1982464.0,978.979606628418,26292.0,10.0,8.0,0.0,137.0,65.225,21.0
1998848.0,987.1408116817474,26509.0,10.0,8.5,0.0,198.0,70.5,22.0
2015232.0,995.0706036090851,26760.0,10.0,8.75,0.0,274.0,67.625,21.0
2031616.0,1003.2467591762543,27022.0,10.0,8.75,0.0,225.0,55.9,20.0
2048000.0,1011.2151350975037,27276.0,10.0,8.75,0.0,171.0,66.95,21.0
2064384.0,1019.3921720981598,27522.0,10.0,7.0,0.0,210.0,65.55,20.0
2080768.0,1027.6362516880035,27776.0,10.0,8.5,0.0,170.0,64.05,22.0
2097152.0,1035.840102672577,28018.0,10.0,8.5,0.0,308.0,81.2,20.0
2113536.0,1043.8685755729675,28251.0,10.0,9.25,0.0,248.0,56.05,20.0
2129920.0,1051.8806195259094,28490.0,10.0,8.25,0.0,289.0,67.55,20.0
2146304.0,1060.1905748844147,28732.0,10.0,8.75,0.0,201.0,62.925,20.0
2162688.0,1068.2441737651825,28984.0,10.0,9.0,0.0,401.0,72.75,21.0
2179072.0,1076.300987482071,29205.0,10.0,8.75,0.0,375.0,88.325,20.0
2195456.0,1084.3353826999664,29447.0,10.0,8.75,0.0,227.0,66.0,20.0
2211840.0,1092.2327642440796,29694.0,10.0,8.5,0.0,221.0,66.725,20.0
2228224.0,1100.337485551834,29932.0,10.0,8.75,0.0,182.0,64.625,20.0
2244608.0,1108.4606592655182,30177.0,10.0,9.0,0.0,177.0,58.025,20.0
2260992.0,1116.3762855529785,30407.0,10.0,8.25,0.0,232.0,69.525,19.0
2277376.0,1124.510938167572,30614.0,10.0,8.5,0.0,264.0,84.65,21.0
2293760.0,1132.4149355888367,30844.0,10.0,9.0,0.0,155.0,70.3,21.0
2310144.0,1140.5034775733948,31067.0,10.0,8.25,0.0,184.0,65.35,19.0
2326528.0,1148.7519872188568,31328.0,10.0,8.75,0.0,234.0,60.65,20.0
2342912.0,1156.8200905323029,31566.0,10.0,9.75,0.0,194.0,65.325,20.0
2359296.0,1164.7034549713135,31811.0,10.0,8.75,0.0,157.0,75.4,20.0
2375680.0,1172.9771134853363,32035.0,10.0,7.75,0.0,405.0,73.1,21.0
2392064.0,1180.9845101833344,32289.0,10.0,8.75,0.0,148.0,61.95,20.0
2408448.0,1189.0585708618164,32513.0,10.0,8.75,0.0,300.0,83.0,21.0
2424832.0,1196.936401605606,32765.0,10.0,9.0,0.0,167.0,64.5,21.0
2441216.0,1204.8656570911407,33002.0,10.0,8.75,0.0,142.0,67.325,22.0
2457600.0,1212.745195865631,33246.0,10.0,8.0,0.0,183.0,70.475,22.0
2473984.0,1220.9846568107605,33484.0,10.0,8.25,0.0,157.0,65.1,20.0
2490368.0,1229.1467123031616,33711.0,10.0,8.0,0.0,226.0,88.15,21.0
2506752.0,1237.1999998092651,33949.0,10.0,8.75,0.0,153.0,70.675,22.0
2523136.0,1245.2186353206635,34203.0,10.0,8.0,0.0,233.0,71.975,20.0
2539520.0,1253.1572029590607,34446.0,10.0,8.25,0.0,350.0,62.675,18.0
2555904.0,1261.297402381897,34678.0,10.0,8.25,0.0,159.0,64.225,21.0
2572288.0,1269.4742696285248,34913.0,10.0,8.5,0.0,366.0,81.55,19.0
2588672.0,1277.5054948329926,35157.0,10.0,9.25,0.0,151.0,56.2,20.0
2605056.0,1285.616863489151,35383.0,10.0,9.0,0.0,256.0,69.65,21.0
2621440.0,1293.5971171855927,35616.0,10.0,8.0,0.0,178.0,72.325,16.0
2637824.0,1301.5961048603058,35842.0,10.0,9.75,0.0,513.0,67.625,21.0
2654208.0,1309.727344751358,36048.0,10.0,7.5,0.0,303.0,77.45,23.0
2670592.0,1317.7964763641357,36282.0,10.0,8.5,0.0,350.0,80.2,20.0
2686976.0,1325.7361948490143,36511.0,10.0,8.25,0.0,251.0,64.9,19.0
2703360.0,1333.816787481308,36734.0,10.0,8.75,0.0,220.0,74.475,23.0
2719744.0,1342.0393843650818,36959.0,10.0,8.5,0.0,321.0,88.025,22.0
2736128.0,1350.1202640533447,37214.0,10.0,9.0,0.0,195.0,56.7,21.0
2752512.0,1358.206868648529,37446.0,10.0,8.0,0.0,266.0,90.65,23.0
2768896.0,1366.4226698875427,37660.0,10.0,8.5,0.0,251.0,87.575,22.0
2785280.0,1374.778014421463,37888.0,10.0,8.0,0.0,194.0,71.975,20.0
2801664.0,1382.826103925705,38116.0,10.0,9.5,0.0,217.0,84.8,21.0
2818048.0,1390.7849531173706,38337.0,10.0,8.75,0.0,175.0,73.55,20.0
2834432.0,1398.7829484939575,38582.0,10.0,9.25,0.0,312.0,69.625,20.0
2850816.0,1406.798266172409,38808.0,10.0,7.75,0.0,238.0,74.6,20.0
2867200.0,1414.755039215088,39052.0,10.0,8.5,0.0,251.0,69.1,19.0
2883584.0,1423.0520391464233,39284.0,10.0,9.0,0.0,263.0,72.8,19.0
2899968.0,1431.1534106731415,39521.0,10.0,8.0,0.0,391.0,80.9,20.0
2916352.0,1439.3088331222534,39753.0,10.0,8.75,0.0,184.0,68.925,19.0
2932736.0,1447.3520638942719,39985.0,10.0,8.75,0.0,165.0,56.0,21.0
2949120.0,1455.2687449455261,40212.0,10.0,8.5,0.0,157.0,67.225,20.0
2965504.0,1463.4877619743347,40414.0,10.0,9.25,0.0,248.0,72.825,21.0
2981888.0,1471.4377253055573,40644.0,10.0,8.75,0.0,233.0,80.65,21.0
