timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
16384.0,17.833630323410034,10.0,10.0,4.0,0.0,229.0,167.5,74.0
32768.0,32.916831493377686,30.0,10.0,3.3333332538604736,0.0,501.0,286.93333333333334,42.0
49152.0,47.94939732551575,49.0,10.0,4.0,0.0,719.0,407.0,42.0
65536.0,62.65161895751953,90.0,10.0,3.5,0.0,1000.0,742.5,77.0
81920.0,77.74110412597656,128.0,10.0,5.5,0.0,1000.0,446.875,50.0
98304.0,92.50972819328308,189.0,10.0,4.75,0.0,956.0,291.025,37.0
114688.0,107.17794418334961,265.0,10.0,5.5,0.0,776.0,252.225,57.0
131072.0,122.03035044670105,368.0,10.0,5.25,0.0,947.0,236.4,38.0
147456.0,136.62575602531433,486.0,10.0,5.25,0.0,872.0,175.275,30.0
163840.0,151.30683279037476,624.0,10.0,3.75,0.0,668.0,132.1,33.0
180224.0,166.29247403144836,786.0,10.0,5.5,0.0,490.0,118.8,34.0
196608.0,181.24414253234863,939.0,10.0,4.75,0.0,358.0,117.275,34.0
212992.0,196.22838187217712,1099.0,10.0,5.25,0.0,300.0,97.025,42.0
229376.0,211.3759047985077,1285.0,10.0,6.25,0.0,329.0,97.05,29.0
245760.0,226.32587361335754,1470.0,10.0,4.5,0.0,335.0,94.975,18.0
262144.0,240.99851083755493,1619.0,10.0,5.5,0.0,253.0,90.9,34.0
278528.0,255.77514481544495,1810.0,10.0,4.75,0.0,207.0,90.05,23.0
294912.0,270.6211519241333,2008.0,10.0,4.75,0.0,256.0,92.125,25.0
311296.0,285.4262065887451,2216.0,10.0,4.25,0.0,193.0,90.55,30.0
327680.0,300.5591285228729,2400.0,10.0,4.75,0.0,246.0,81.275,25.0
344064.0,315.59751749038696,2612.0,10.0,5.75,0.0,208.0,80.85,35.0
360448.0,330.4269976615906,2856.0,10.0,5.5,0.0,198.0,65.3,16.0
376832.0,345.2220869064331,3089.0,10.0,5.25,0.0,202.0,76.15,23.0
393216.0,359.9620156288147,3322.0,10.0,5.5,0.0,195.0,69.75,17.0
409600.0,375.101763010025,3554.0,10.0,5.25,0.0,232.0,72.825,22.0
425984.0,390.26342487335205,3807.0,10.0,5.0,0.0,205.0,60.3,21.0
442368.0,405.4314823150635,4065.0,10.0,5.5,0.0,187.0,63.85,22.0
458752.0,420.61907958984375,4327.0,10.0,4.5,0.0,117.0,57.175,27.0
475136.0,435.39001178741455,4600.0,10.0,4.75,0.0,138.0,54.25,17.0
