timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
16384.0,11.147431135177612,10.0,10.0,10.0,10.0,227.0,124.1,13.0
32768.0,19.13627052307129,14.0,10.0,10.0,10.0,505.0,204.85714285714286,13.0
49152.0,27.075047492980957,16.0,10.0,10.0,10.0,531.0,216.4375,13.0
65536.0,35.07216501235962,71.0,10.0,1.0,0.0,1000.0,964.6,16.0
81920.0,43.037926197052,88.0,10.0,3.0,0.0,1000.0,772.775,5.0
98304.0,51.033212661743164,95.0,10.0,4.0,0.0,1000.0,718.7,5.0
114688.0,59.00903344154358,104.0,10.0,5.25,0.0,1000.0,620.025,3.0
131072.0,67.0037088394165,149.0,10.0,1.5,0.0,1000.0,875.475,6.0
147456.0,74.97803020477295,170.0,10.0,3.0,0.0,1000.0,728.4,4.0
163840.0,82.97162365913391,181.0,10.0,4.5,0.0,1000.0,639.1,4.0
180224.0,90.94564723968506,192.0,10.0,5.0,0.0,1000.0,641.475,12.0
196608.0,98.95264172554016,226.0,10.0,2.0,0.0,1000.0,870.975,10.0
212992.0,106.9202241897583,251.0,10.0,2.5,0.0,1000.0,805.2,44.0
229376.0,114.94582986831665,264.0,10.0,3.75,0.0,1000.0,715.35,1.0
245760.0,122.94206929206848,278.0,10.0,4.0,0.0,1000.0,736.7,1.0
262144.0,130.9695417881012,304.0,10.0,2.5,0.0,1000.0,868.5,5.0
278528.0,138.96115374565125,324.0,10.0,1.5,0.0,1000.0,889.95,4.0
294912.0,146.97537183761597,345.0,10.0,3.0,0.0,1000.0,778.375,4.0
311296.0,154.94470691680908,356.0,10.0,2.75,0.0,1000.0,782.45,14.0
327680.0,162.95159482955933,385.0,10.0,2.25,0.0,1000.0,871.95,23.0
344064.0,170.96116971969604,407.0,10.0,3.0,0.0,1000.0,801.375,24.0
360448.0,178.9775857925415,424.0,10.0,2.75,0.0,1000.0,785.025,24.0
376832.0,186.99352717399597,440.0,10.0,3.0,0.0,1000.0,773.275,2.0
393216.0,194.98262858390808,466.0,10.0,2.75,0.0,1000.0,801.55,2.0
409600.0,202.98977637290955,486.0,10.0,1.5,0.0,1000.0,877.45,24.0
425984.0,210.97177028656006,505.0,10.0,2.0,0.0,1000.0,859.275,14.0
442368.0,218.9797239303589,518.0,10.0,2.5,0.0,1000.0,838.55,14.0
458752.0,226.93796682357788,542.0,10.0,2.5,0.0,1000.0,814.1,12.0
475136.0,234.957417011261,563.0,10.0,2.5,0.0,1000.0,794.125,12.0
491520.0,242.69749474525452,583.0,10.0,2.25,0.0,1000.0,819.825,9.0
507904.0,250.71827006340027,596.0,10.0,2.0,0.0,1000.0,848.15,9.0
