timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
16384.0,12.190911293029785,175.0,8.0,1.774999976158142,0.0,171.0,83.125,30.0
32768.0,20.527342796325684,391.0,9.0,1.9500000476837158,0.0,133.0,77.375,19.0
49152.0,28.845287561416626,598.0,11.0,1.5,0.0,188.0,79.775,29.0
65536.0,37.153631925582886,794.0,8.0,1.5,0.0,143.0,78.875,31.0
81920.0,45.44397592544556,1002.0,13.0,2.924999952316284,0.0,191.0,88.85,45.0
98304.0,53.75528001785278,1196.0,9.0,1.600000023841858,0.0,156.0,75.825,20.0
114688.0,62.05464482307434,1393.0,9.0,1.9249999523162842,0.0,145.0,80.6,33.0
131072.0,70.38463068008423,1568.0,16.0,2.9000000953674316,0.0,175.0,96.8,46.0
147456.0,78.81942391395569,1740.0,15.0,2.4000000953674316,0.0,202.0,93.275,40.0
163840.0,87.20549440383911,1917.0,12.0,2.6500000953674316,0.0,249.0,87.725,20.0
180224.0,95.54587435722351,2115.0,8.0,1.725000023841858,0.0,169.0,79.425,23.0
196608.0,103.86541795730591,2286.0,14.0,2.7750000953674316,0.0,218.0,95.125,53.0
212992.0,112.41155409812927,2471.0,16.0,3.0250000953674316,0.0,182.0,94.5,37.0
229376.0,120.94498610496521,2637.0,10.0,2.9000000953674316,0.0,207.0,96.425,54.0
245760.0,129.25768518447876,2813.0,14.0,3.2750000953674316,0.0,275.0,97.275,33.0
262144.0,137.71742725372314,2989.0,12.0,3.075000047683716,0.0,238.0,94.95,49.0
278528.0,146.08424520492554,3175.0,15.0,2.7750000953674316,0.0,234.0,92.0,20.0
294912.0,154.53197717666626,3351.0,18.0,2.825000047683716,0.0,222.0,95.275,19.0
311296.0,162.85974884033203,3528.0,14.0,3.4749999046325684,0.0,237.0,95.025,45.0
327680.0,171.2561399936676,3701.0,9.0,2.25,0.0,190.0,90.95,39.0
344064.0,179.54654812812805,3873.0,13.0,3.575000047683716,0.0,182.0,93.975,31.0
360448.0,187.8593351840973,4042.0,14.0,3.5999999046325684,0.0,197.0,97.675,49.0
376832.0,196.1425063610077,4211.0,12.0,2.7249999046325684,0.0,206.0,94.2,56.0
393216.0,204.4603009223938,4385.0,15.0,4.375,0.0,194.0,107.2,59.0
409600.0,212.82523488998413,4547.0,15.0,4.0,0.0,247.0,114.1,46.0
425984.0,221.4561846256256,4725.0,11.0,2.549999952316284,0.0,183.0,92.025,15.0
442368.0,229.9831187725067,4892.0,10.0,3.25,0.0,160.0,90.075,45.0
458752.0,238.6029360294342,5061.0,12.0,4.0,0.0,194.0,104.65,46.0
475136.0,247.27248978614807,5229.0,12.0,3.549999952316284,0.0,219.0,97.375,13.0
491520.0,255.6644628047943,5393.0,13.0,4.375,0.0,230.0,102.25,19.0
507904.0,264.2956783771515,5542.0,14.0,4.025000095367432,0.0,251.0,109.9,48.0
524288.0,272.90856981277466,5703.0,15.0,3.299999952316284,0.0,212.0,98.775,52.0
540672.0,281.7136387825012,5855.0,12.0,4.175000190734863,0.0,214.0,109.625,23.0
557056.0,290.0410268306732,6017.0,13.0,4.375,0.0,200.0,105.0,50.0
573440.0,298.30784368515015,6165.0,11.0,4.900000095367432,0.0,186.0,105.05,30.0
589824.0,306.5181438922882,6320.0,15.0,4.650000095367432,0.0,298.0,107.7,47.0
606208.0,314.6376323699951,6458.0,28.0,5.699999809265137,1.0,368.0,122.5,69.0
622592.0,323.16681694984436,6602.0,15.0,5.074999809265137,0.0,237.0,114.05,50.0
638976.0,331.49599957466125,6758.0,12.0,4.275000095367432,0.0,215.0,104.6,50.0
655360.0,339.84204053878784,6903.0,23.0,5.974999904632568,0.0,308.0,118.525,49.0
671744.0,348.3308959007263,7053.0,15.0,4.949999809265137,0.0,231.0,113.75,41.0
688128.0,356.68344259262085,7207.0,12.0,3.875,0.0,175.0,98.625,44.0
704512.0,365.23362016677856,7339.0,25.0,5.275000095367432,0.0,235.0,111.6,46.0
720896.0,373.57773184776306,7478.0,16.0,5.400000095367432,0.0,258.0,116.975,51.0
737280.0,382.00696420669556,7618.0,15.0,4.849999904632568,0.0,250.0,110.1,30.0
753664.0,390.39630579948425,7771.0,27.0,5.675000190734863,0.0,291.0,112.575,20.0
770048.0,399.0785427093506,7900.0,27.0,5.25,0.0,401.0,121.025,44.0
786432.0,407.729088306427,8038.0,15.0,5.324999809265137,0.0,242.0,109.8,56.0
802816.0,416.11242604255676,8170.0,18.0,4.625,0.0,208.0,107.45,37.0
819200.0,424.4442446231842,8307.0,22.0,5.925000190734863,0.0,273.0,114.225,34.0
835584.0,433.1122431755066,8452.0,19.0,6.925000190734863,0.0,253.0,124.1,49.0
851968.0,441.74876642227173,8585.0,18.0,5.949999809265137,0.0,213.0,113.975,47.0
868352.0,450.1439092159271,8725.0,13.0,5.25,0.0,257.0,109.6,43.0
884736.0,458.8688714504242,8859.0,23.0,6.625,0.0,301.0,123.925,47.0
901120.0,466.8194658756256,8997.0,28.0,6.5,0.0,512.0,125.275,39.0
917504.0,475.1611499786377,9130.0,19.0,6.5,1.0,215.0,119.3,65.0
933888.0,483.6883418560028,9273.0,52.0,7.775000095367432,0.0,576.0,133.15,47.0
950272.0,492.17224979400635,9402.0,21.0,6.400000095367432,1.0,294.0,122.125,59.0
966656.0,500.30337738990784,9538.0,23.0,7.349999904632568,1.0,368.0,133.0,68.0
983040.0,508.6841468811035,9659.0,19.0,6.449999809265137,0.0,311.0,131.525,60.0
999424.0,517.0612823963165,9794.0,27.0,7.324999809265137,0.0,402.0,131.925,59.0
1015808.0,525.493061542511,9943.0,19.0,5.574999809265137,0.0,330.0,119.275,49.0
1032192.0,533.8499488830566,10075.0,24.0,6.199999809265137,0.0,247.0,121.325,46.0
1048576.0,542.5402753353119,10216.0,24.0,5.724999904632568,0.0,302.0,116.675,36.0
