timesteps ,wall_time         ,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
16384.0   ,10.928844213485718,120.0       ,4.0                ,0.574999988079071   ,0.0                ,250.0          ,113.175         ,25.0
32768.0   ,18.714335441589355,241.0       ,3.0                ,0.949999988079071   ,0.0                ,305.0          ,133.7           ,9.0
49152.0   ,26.504119157791138,369.0       ,3.0                ,0.925000011920929   ,0.0                ,422.0          ,120.55          ,21.0
65536.0   ,34.30557441711426 ,508.0       ,5.0                ,1.024999976158142   ,0.0                ,644.0          ,116.825         ,28.0
81920.0   ,42.04778552055359 ,653.0       ,6.0                ,0.875               ,0.0                ,352.0          ,113.675         ,9.0
98304.0   ,49.79451322555542 ,790.0       ,5.0                ,0.875               ,0.0                ,320.0          ,112.875         ,24.0
114688.0  ,57.47976279258728 ,924.0       ,4.0                ,0.574999988079071   ,0.0                ,260.0          ,98.05           ,12.0
131072.0  ,65.26835131645203 ,1041.0      ,3.0                ,0.7749999761581421  ,0.0                ,336.0          ,110.175         ,32.0
147456.0  ,73.0264241695404  ,1184.0      ,5.0                ,0.75                ,0.0                ,465.0          ,104.475         ,23.0
163840.0  ,80.81550765037537 ,1314.0      ,3.0                ,0.7250000238418579  ,0.0                ,353.0          ,122.8           ,18.0
180224.0  ,88.59760308265686 ,1453.0      ,4.0                ,0.949999988079071   ,0.0                ,318.0          ,126.475         ,31.0
196608.0  ,96.41202235221863 ,1569.0      ,5.0                ,1.2000000476837158  ,0.0                ,456.0          ,134.0           ,17.0
212992.0  ,104.19010996818542,1692.0      ,6.0                ,0.925000011920929   ,0.0                ,419.0          ,112.575         ,20.0
229376.0  ,112.00166702270508,1815.0      ,7.0                ,0.949999988079071   ,0.0                ,561.0          ,134.1           ,28.0
245760.0  ,119.78124737739563,1940.0      ,15.0               ,1.7999999523162842  ,0.0                ,1083.0         ,191.5           ,28.0
262144.0  ,127.59669351577759,2066.0      ,5.0                ,1.125               ,0.0                ,479.0          ,111.55          ,33.0
278528.0  ,135.20760297775269,2196.0      ,8.0                ,0.800000011920929   ,0.0                ,977.0          ,134.475         ,22.0
294912.0  ,143.00446891784668,2335.0      ,8.0                ,0.8999999761581421  ,0.0                ,905.0          ,141.8           ,18.0
311296.0  ,150.78261065483093,2479.0      ,5.0                ,1.024999976158142   ,0.0                ,315.0          ,113.375         ,23.0
327680.0  ,158.5652346611023 ,2593.0      ,4.0                ,0.7250000238418579  ,0.0                ,256.0          ,108.95          ,28.0
344064.0  ,166.34405899047852,2711.0      ,8.0                ,1.0                 ,0.0                ,469.0          ,114.3           ,20.0
