timesteps ,wall_time         ,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
16384.0   ,11.053687810897827,119.0       ,4.0                ,0.675000011920929   ,0.0                ,221.0          ,89.4            ,17.0
32768.0   ,18.9198055267334  ,252.0       ,5.0                ,0.8500000238418579  ,0.0                ,270.0          ,108.5           ,5.0
49152.0   ,26.815274715423584,385.0       ,5.0                ,1.0750000476837158  ,0.0                ,312.0          ,121.125         ,15.0
65536.0   ,34.69326376914978 ,514.0       ,5.0                ,1.149999976158142   ,0.0                ,645.0          ,143.675         ,25.0
81920.0   ,42.3566153049469  ,637.0       ,5.0                ,1.0                 ,0.0                ,326.0          ,117.075         ,32.0
98304.0   ,50.25606036186218 ,764.0       ,3.0                ,0.7749999761581421  ,0.0                ,255.0          ,111.1           ,12.0
114688.0  ,58.12862586975098 ,883.0       ,5.0                ,1.100000023841858   ,0.0                ,645.0          ,158.625         ,9.0
131072.0  ,66.00638628005981 ,1007.0      ,4.0                ,0.625               ,0.0                ,422.0          ,118.925         ,7.0
147456.0  ,73.85872554779053 ,1119.0      ,5.0                ,1.149999976158142   ,0.0                ,302.0          ,124.975         ,6.0
163840.0  ,81.75386166572571 ,1230.0      ,5.0                ,1.4500000476837158  ,0.0                ,645.0          ,178.475         ,37.0
180224.0  ,89.62633919715881 ,1347.0      ,10.0               ,1.0750000476837158  ,0.0                ,343.0          ,133.325         ,22.0
196608.0  ,97.51653218269348 ,1476.0      ,8.0                ,0.9750000238418579  ,0.0                ,618.0          ,127.325         ,10.0
212992.0  ,105.39035940170288,1584.0      ,5.0                ,0.824999988079071   ,0.0                ,645.0          ,127.475         ,11.0
229376.0  ,113.27959775924683,1724.0      ,5.0                ,0.9750000238418579  ,0.0                ,333.0          ,119.75          ,25.0
245760.0  ,121.14198851585388,1872.0      ,5.0                ,1.0499999523162842  ,0.0                ,325.0          ,140.05          ,32.0
262144.0  ,129.01284646987915,2006.0      ,5.0                ,0.800000011920929   ,0.0                ,361.0          ,111.05          ,28.0
278528.0  ,136.8453905582428 ,2146.0      ,6.0                ,1.1749999523162842  ,0.0                ,343.0          ,135.725         ,35.0
294912.0  ,144.74081802368164,2274.0      ,5.0                ,1.225000023841858   ,0.0                ,300.0          ,129.7           ,30.0
311296.0  ,152.58953762054443,2401.0      ,4.0                ,0.925000011920929   ,0.0                ,644.0          ,138.625         ,32.0
327680.0  ,160.47897911071777,2520.0      ,10.0               ,1.0750000476837158  ,0.0                ,347.0          ,121.95          ,19.0
344064.0  ,168.36733436584473,2645.0      ,5.0                ,1.2999999523162842  ,0.0                ,340.0          ,137.15          ,24.0
360448.0  ,176.23539400100708,2778.0      ,9.0                ,1.1749999523162842  ,0.0                ,329.0          ,113.975         ,10.0
376832.0  ,184.11926174163818,2897.0      ,5.0                ,1.149999976158142   ,0.0                ,354.0          ,142.25          ,17.0
393216.0  ,191.99506545066833,3019.0      ,10.0               ,1.6749999523162842  ,0.0                ,684.0          ,156.3           ,31.0
409600.0  ,199.86126351356506,3136.0      ,5.0                ,1.100000023841858   ,0.0                ,372.0          ,126.35          ,17.0
425984.0  ,207.74008870124817,3252.0      ,8.0                ,1.524999976158142   ,0.0                ,781.0          ,148.475         ,30.0
442368.0  ,215.61808371543884,3362.0      ,6.0                ,1.3250000476837158  ,0.0                ,513.0          ,147.45          ,26.0
458752.0  ,223.49182224273682,3475.0      ,7.0                ,0.949999988079071   ,0.0                ,302.0          ,119.375         ,28.0
475136.0  ,231.37778687477112,3586.0      ,7.0                ,1.024999976158142   ,0.0                ,781.0          ,132.975         ,24.0
491520.0  ,239.22399306297302,3706.0      ,4.0                ,0.75                ,0.0                ,330.0          ,112.825         ,31.0
507904.0  ,247.1164629459381 ,3810.0      ,5.0                ,1.725000023841858   ,0.0                ,360.0          ,148.4           ,24.0
524288.0  ,254.98593521118164,3923.0      ,8.0                ,1.4500000476837158  ,0.0                ,340.0          ,147.475         ,31.0
540672.0  ,262.8637709617615 ,4049.0      ,40.0               ,2.25                ,0.0                ,1480.0         ,175.475         ,32.0
557056.0  ,270.7251522541046 ,4144.0      ,8.0                ,1.600000023841858   ,0.0                ,373.0          ,162.45          ,24.0
573440.0  ,278.59256386756897,4272.0      ,3.0                ,0.75                ,0.0                ,353.0          ,112.95          ,28.0
589824.0  ,286.4639160633087 ,4382.0      ,8.0                ,1.725000023841858   ,0.0                ,691.0          ,164.825         ,28.0
606208.0  ,294.3445510864258 ,4516.0      ,5.0                ,1.125               ,0.0                ,298.0          ,118.8           ,11.0
622592.0  ,302.19615840911865,4635.0      ,8.0                ,1.6749999523162842  ,0.0                ,459.0          ,149.225         ,37.0
638976.0  ,310.0694992542267 ,4762.0      ,3.0                ,0.8500000238418579  ,0.0                ,319.0          ,115.475         ,12.0
