timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
16384.0,11.316159963607788,13.0,10.0,3.846153736114502,0.0,253.0,172.30769230769232,72.0
32768.0,19.566022157669067,36.0,10.0,4.722222328186035,0.0,494.0,273.1111111111111,32.0
49152.0,27.484910249710083,51.0,10.0,5.5,0.0,655.0,352.725,32.0
65536.0,35.78961944580078,100.0,10.0,3.75,0.0,1000.0,669.775,55.0
81920.0,44.0532386302948,153.0,10.0,4.5,0.0,1000.0,350.575,67.0
98304.0,52.08070755004883,209.0,10.0,5.25,0.0,1000.0,266.025,23.0
114688.0,59.93552041053772,283.0,10.0,4.5,0.0,1000.0,223.875,34.0
131072.0,68.15473985671997,376.0,10.0,4.5,0.0,646.0,166.8,42.0
147456.0,76.48042678833008,491.0,10.0,6.0,0.0,683.0,146.825,29.0
163840.0,84.74348449707031,618.0,10.0,5.75,0.0,889.0,165.25,35.0
180224.0,92.94980096817017,746.0,10.0,6.0,0.0,354.0,115.175,20.0
196608.0,101.24772357940674,924.0,10.0,5.0,0.0,274.0,87.0,25.0
212992.0,109.43992877006531,1123.0,10.0,5.25,0.0,299.0,88.175,28.0
229376.0,117.6973488330841,1317.0,10.0,5.25,0.0,214.0,77.6,25.0
245760.0,125.94957399368286,1532.0,10.0,6.0,0.0,313.0,92.075,30.0
262144.0,134.1860692501068,1769.0,10.0,5.0,0.0,148.0,64.925,27.0
278528.0,142.3578109741211,2002.0,10.0,5.25,0.0,217.0,75.8,32.0
294912.0,150.53825974464417,2239.0,10.0,6.0,0.0,163.0,63.25,18.0
311296.0,158.76338863372803,2508.0,10.0,6.5,0.0,139.0,56.025,23.0
327680.0,167.10759472846985,2760.0,10.0,5.75,0.0,133.0,57.425,21.0
344064.0,175.31871581077576,3007.0,10.0,6.75,0.0,194.0,70.65,19.0
360448.0,183.5499370098114,3251.0,10.0,4.5,0.0,173.0,74.35,22.0
376832.0,191.78305792808533,3517.0,10.0,6.25,0.0,256.0,75.725,16.0
393216.0,200.11159300804138,3800.0,10.0,7.0,0.0,172.0,55.85,20.0
409600.0,208.4654040336609,4056.0,10.0,6.75,0.0,181.0,65.45,19.0
425984.0,216.74044704437256,4326.0,10.0,6.5,0.0,187.0,58.8,21.0
442368.0,224.93862342834473,4578.0,10.0,6.75,0.0,284.0,72.4,19.0
458752.0,233.0147786140442,4840.0,10.0,6.5,0.0,170.0,72.725,20.0
475136.0,241.25294375419617,5137.0,10.0,8.25,0.0,160.0,59.25,19.0
491520.0,249.44712114334106,5412.0,10.0,6.5,0.0,198.0,64.7,19.0
507904.0,257.7345561981201,5712.0,10.0,6.25,0.0,150.0,53.175,19.0
524288.0,266.09718465805054,5998.0,10.0,7.5,0.0,173.0,56.375,20.0
540672.0,274.47465991973877,6279.0,10.0,5.5,0.0,209.0,49.775,19.0
557056.0,282.67031955718994,6579.0,10.0,5.75,0.0,196.0,50.15,20.0
573440.0,290.9559645652771,6870.0,10.0,7.5,0.0,147.0,48.725,19.0
589824.0,299.22981095314026,7163.0,10.0,7.25,0.0,170.0,57.85,20.0
606208.0,307.4872000217438,7445.0,10.0,6.25,0.0,144.0,51.425,17.0
622592.0,315.6965539455414,7754.0,10.0,7.25,0.0,152.0,49.35,19.0
638976.0,323.9454438686371,8057.0,10.0,5.75,0.0,165.0,55.15,19.0
655360.0,332.13671684265137,8338.0,10.0,6.5,0.0,137.0,64.125,20.0
671744.0,340.37622570991516,8645.0,10.0,8.5,0.0,183.0,53.7,21.0
688128.0,348.4961607456207,8939.0,10.0,7.25,0.0,174.0,45.425,18.0
704512.0,356.65128898620605,9223.0,10.0,6.5,0.0,193.0,52.625,19.0
720896.0,364.91499423980713,9526.0,10.0,7.25,0.0,148.0,54.475,20.0
737280.0,373.1861939430237,9801.0,10.0,7.75,0.0,152.0,60.2,21.0
753664.0,381.47748351097107,10069.0,10.0,6.75,0.0,156.0,61.425,20.0
770048.0,389.6946804523468,10342.0,10.0,8.0,0.0,127.0,50.4,20.0
786432.0,397.9458405971527,10607.0,10.0,7.25,0.0,113.0,58.35,18.0
802816.0,406.3331995010376,10894.0,10.0,7.5,0.0,182.0,46.45,18.0
819200.0,414.70029377937317,11157.0,10.0,7.25,0.0,175.0,60.1,17.0
835584.0,422.9581210613251,11418.0,10.0,7.75,0.0,160.0,60.0,21.0
