timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
16384.0,23.00033688545227,10.0,0.0,0.0,0.0,249.0,162.0,21.0
32768.0,37.87147259712219,26.0,10.0,2.307692289352417,0.0,495.0,279.34615384615387,21.0
49152.0,53.1085524559021,46.0,10.0,4.0,0.0,746.0,402.65,95.0
65536.0,67.92736077308655,94.0,10.0,1.75,0.0,1000.0,705.025,109.0
81920.0,83.07688426971436,133.0,10.0,4.75,0.0,1000.0,381.1,72.0
98304.0,98.36267447471619,181.0,10.0,4.5,0.0,1000.0,324.75,45.0
114688.0,113.23749089241028,211.0,10.0,5.25,0.0,1000.0,347.375,82.0
131072.0,128.09166979789734,267.0,10.0,3.0,0.0,1000.0,433.425,58.0
147456.0,143.14437818527222,337.0,10.0,5.25,0.0,1000.0,213.475,38.0
163840.0,158.32608795166016,437.0,10.0,4.25,0.0,763.0,207.175,20.0
180224.0,173.63236689567566,544.0,10.0,5.5,0.0,712.0,156.075,41.0
196608.0,188.87613010406494,680.0,10.0,5.25,0.0,735.0,153.975,34.0
212992.0,203.67145657539368,838.0,10.0,6.25,0.0,368.0,110.15,34.0
229376.0,218.89506435394287,1011.0,10.0,4.0,0.0,257.0,93.55,20.0
245760.0,234.07744336128235,1183.0,10.0,6.0,0.0,254.0,91.55,21.0
262144.0,249.3714737892151,1389.0,10.0,5.75,0.0,242.0,79.7,28.0
278528.0,264.6486654281616,1605.0,10.0,5.75,0.0,231.0,80.725,19.0
294912.0,279.9992461204529,1817.0,10.0,4.5,0.0,211.0,73.0,19.0
311296.0,295.34615659713745,2034.0,10.0,5.75,0.0,188.0,73.025,20.0
327680.0,310.6530063152313,2240.0,10.0,6.0,0.0,226.0,83.6,25.0
344064.0,325.89772033691406,2460.0,10.0,5.25,0.0,184.0,78.85,19.0
360448.0,341.2903687953949,2707.0,10.0,5.5,0.0,181.0,69.925,24.0
376832.0,356.54699993133545,2950.0,10.0,5.0,0.0,180.0,63.75,24.0
393216.0,371.8304069042206,3214.0,10.0,5.75,0.0,158.0,67.85,18.0
409600.0,387.19426822662354,3454.0,10.0,7.0,0.0,164.0,66.3,23.0
425984.0,402.4837462902069,3707.0,10.0,5.75,0.0,149.0,63.6,17.0
