timesteps ,wall_time         ,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len ,min_episode_len
16384.0   ,11.566778421401978,11.0        ,10.0               ,1.8181818723678589  ,0.0                ,211.0          ,135.9090909090909,45.0
32768.0   ,19.698275804519653,38.0        ,10.0               ,4.473684310913086   ,0.0                ,508.0          ,283.6842105263158,37.0
49152.0   ,27.826944589614868,56.0        ,10.0               ,4.25                ,0.0                ,766.0          ,400.4            ,37.0
65536.0   ,36.04339098930359 ,103.0       ,10.0               ,3.75                ,0.0                ,1000.0         ,651.775          ,76.0
81920.0   ,44.39072918891907 ,166.0       ,10.0               ,5.0                 ,0.0                ,1000.0         ,288.9            ,47.0
98304.0   ,52.756556272506714,238.0       ,10.0               ,6.25                ,0.0                ,1000.0         ,239.85           ,44.0
114688.0  ,61.139678716659546,329.0       ,10.0               ,5.5                 ,0.0                ,702.0          ,237.0            ,26.0
131072.0  ,69.39662075042725 ,439.0       ,10.0               ,5.25                ,0.0                ,463.0          ,149.925          ,23.0
147456.0  ,77.65629649162292 ,572.0       ,10.0               ,5.75                ,0.0                ,358.0          ,132.375          ,37.0
163840.0  ,85.71335935592651 ,731.0       ,10.0               ,5.0                 ,0.0                ,709.0          ,139.275          ,34.0
180224.0  ,94.0387670993805  ,878.0       ,10.0               ,3.75                ,0.0                ,503.0          ,118.775          ,15.0
196608.0  ,102.39120149612427,1062.0      ,10.0               ,5.25                ,0.0                ,268.0          ,86.225           ,24.0
212992.0  ,110.61382222175598,1252.0      ,10.0               ,7.0                 ,0.0                ,419.0          ,102.825          ,31.0
229376.0  ,118.93613147735596,1457.0      ,10.0               ,6.5                 ,0.0                ,225.0          ,74.95            ,23.0
245760.0  ,126.96420574188232,1652.0      ,10.0               ,6.25                ,0.0                ,184.0          ,81.0             ,24.0
262144.0  ,135.27360653877258,1866.0      ,10.0               ,5.25                ,0.0                ,148.0          ,73.25            ,19.0
278528.0  ,143.55673336982727,2057.0      ,10.0               ,6.25                ,0.0                ,262.0          ,90.95            ,38.0
294912.0  ,151.92409086227417,2278.0      ,10.0               ,5.25                ,0.0                ,313.0          ,77.1             ,22.0
311296.0  ,160.44084763526917,2508.0      ,10.0               ,5.5                 ,0.0                ,243.0          ,75.5             ,21.0
327680.0  ,168.89783096313477,2727.0      ,10.0               ,6.5                 ,0.0                ,203.0          ,73.625           ,21.0
344064.0  ,177.26959943771362,2940.0      ,10.0               ,6.25                ,0.0                ,174.0          ,64.025           ,18.0
360448.0  ,185.62258672714233,3152.0      ,10.0               ,7.5                 ,0.0                ,258.0          ,77.125           ,20.0
376832.0  ,193.9216866493225 ,3379.0      ,10.0               ,6.5                 ,0.0                ,206.0          ,70.125           ,21.0
393216.0  ,202.28857922554016,3620.0      ,10.0               ,6.5                 ,0.0                ,144.0          ,59.825           ,17.0
409600.0  ,210.70495200157166,3841.0      ,10.0               ,5.75                ,0.0                ,219.0          ,68.725           ,20.0
425984.0  ,218.9891974925995 ,4070.0      ,10.0               ,6.0                 ,0.0                ,258.0          ,76.025           ,19.0
442368.0  ,227.38081860542297,4320.0      ,10.0               ,6.75                ,0.0                ,293.0          ,69.55            ,20.0
458752.0  ,235.89082169532776,4562.0      ,10.0               ,7.5                 ,0.0                ,172.0          ,56.925           ,21.0
475136.0  ,244.2318902015686 ,4844.0      ,10.0               ,5.5                 ,0.0                ,177.0          ,64.4             ,19.0
491520.0  ,252.5596685409546 ,5124.0      ,10.0               ,7.0                 ,0.0                ,135.0          ,62.55            ,19.0
507904.0  ,260.9545214176178 ,5382.0      ,10.0               ,6.5                 ,0.0                ,185.0          ,65.9             ,18.0
524288.0  ,269.3464012145996 ,5687.0      ,10.0               ,7.5                 ,0.0                ,108.0          ,46.35            ,20.0
540672.0  ,277.70702362060547,5975.0      ,10.0               ,6.75                ,0.0                ,155.0          ,56.35            ,18.0
557056.0  ,286.1343033313751 ,6249.0      ,10.0               ,6.25                ,0.0                ,233.0          ,67.075           ,19.0
573440.0  ,294.49913358688354,6566.0      ,10.0               ,8.0                 ,0.0                ,169.0          ,61.625           ,20.0
589824.0  ,302.9639503955841 ,6868.0      ,10.0               ,7.5                 ,0.0                ,149.0          ,59.425           ,18.0
606208.0  ,311.3095986843109 ,7148.0      ,10.0               ,6.0                 ,0.0                ,129.0          ,64.125           ,20.0
622592.0  ,319.76279973983765,7432.0      ,10.0               ,7.0                 ,0.0                ,150.0          ,65.35            ,19.0
638976.0  ,328.2093667984009 ,7749.0      ,10.0               ,8.0                 ,0.0                ,203.0          ,53.7             ,20.0
