timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
16384.0,11.229889631271362,13.0,10.0,5.384615421295166,0.0,238.0,144.30769230769232,84.0
32768.0,19.284817457199097,35.0,10.0,5.714285850524902,0.0,497.0,270.2,84.0
49152.0,27.32498073577881,68.0,10.0,4.5,0.0,765.0,423.425,54.0
65536.0,35.476266384124756,130.0,10.0,4.25,0.0,1000.0,460.5,49.0
81920.0,43.976523637771606,201.0,10.0,5.5,0.0,1000.0,217.75,42.0
98304.0,52.36650824546814,292.0,10.0,6.0,0.0,533.0,191.325,30.0
114688.0,60.739099979400635,395.0,10.0,5.25,0.0,631.0,180.925,36.0
131072.0,69.22342896461487,519.0,10.0,5.25,0.0,494.0,161.025,37.0
147456.0,77.63613033294678,671.0,10.0,5.75,0.0,455.0,128.3,21.0
163840.0,86.11704683303833,829.0,10.0,5.25,0.0,344.0,104.15,26.0
180224.0,94.65484046936035,986.0,10.0,5.25,0.0,292.0,103.4,32.0
196608.0,103.22488307952881,1176.0,10.0,5.25,0.0,385.0,98.325,20.0
212992.0,111.56336760520935,1371.0,10.0,6.0,0.0,464.0,101.475,18.0
229376.0,119.59822607040405,1557.0,10.0,5.25,0.0,323.0,107.5,33.0
245760.0,127.66086030006409,1761.0,10.0,4.25,0.0,178.0,79.125,34.0
262144.0,135.79674363136292,1973.0,10.0,6.25,0.0,290.0,74.025,19.0
278528.0,144.145409822464,2180.0,10.0,6.0,0.0,290.0,79.475,31.0
294912.0,152.33658242225647,2404.0,10.0,4.25,0.0,195.0,74.65,18.0
311296.0,160.78094124794006,2642.0,10.0,5.75,0.0,169.0,72.175,21.0
327680.0,169.23189115524292,2869.0,10.0,6.0,0.0,214.0,62.65,17.0
344064.0,177.37363648414612,3094.0,10.0,5.75,0.0,164.0,65.8,18.0
360448.0,185.86121201515198,3336.0,10.0,6.0,0.0,161.0,65.425,21.0
376832.0,194.27478790283203,3581.0,10.0,6.0,0.0,146.0,64.275,18.0
393216.0,202.6580445766449,3844.0,10.0,6.0,0.0,203.0,75.4,19.0
409600.0,210.7802300453186,4086.0,10.0,5.75,0.0,193.0,69.425,23.0
425984.0,218.83276414871216,4326.0,10.0,6.75,0.0,148.0,72.3,20.0
442368.0,226.85779881477356,4591.0,10.0,7.0,0.0,216.0,63.625,21.0
458752.0,235.24838781356812,4837.0,10.0,4.5,0.0,145.0,67.45,18.0
475136.0,243.73722743988037,5101.0,10.0,7.25,0.0,147.0,54.225,23.0
491520.0,252.36584091186523,5356.0,10.0,6.25,0.0,180.0,60.775,20.0
507904.0,260.95865964889526,5593.0,10.0,5.75,0.0,195.0,60.075,19.0
524288.0,269.4249827861786,5836.0,10.0,7.75,0.0,172.0,72.375,22.0
540672.0,277.90125012397766,6087.0,10.0,5.75,0.0,177.0,66.5,20.0
557056.0,286.5315411090851,6306.0,10.0,6.5,0.0,220.0,77.65,16.0
573440.0,295.0102515220642,6528.0,10.0,6.0,0.0,198.0,66.7,22.0
589824.0,303.3878891468048,6754.0,10.0,4.75,0.0,203.0,71.0,21.0
606208.0,311.89908814430237,6985.0,10.0,6.5,0.0,245.0,74.325,21.0
622592.0,320.5104296207428,7188.0,10.0,5.75,0.0,180.0,73.4,22.0
638976.0,329.0152060985565,7425.0,10.0,6.5,0.0,249.0,68.025,21.0
655360.0,337.09046626091003,7675.0,10.0,5.5,0.0,239.0,74.0,20.0
671744.0,345.1879494190216,7943.0,10.0,6.0,0.0,181.0,62.375,20.0
688128.0,353.32679772377014,8195.0,10.0,6.25,0.0,126.0,63.4,19.0
704512.0,361.49441409111023,8446.0,10.0,6.25,0.0,220.0,74.225,20.0
720896.0,369.5420939922333,8700.0,10.0,7.5,0.0,146.0,55.925,21.0
737280.0,377.6705095767975,8954.0,10.0,5.75,0.0,153.0,56.175,17.0
753664.0,385.8579399585724,9206.0,10.0,6.5,0.0,259.0,73.8,19.0
770048.0,394.0627980232239,9450.0,10.0,6.25,0.0,221.0,66.925,21.0
786432.0,402.56985306739807,9678.0,10.0,7.25,0.0,211.0,69.075,23.0
802816.0,410.77016043663025,9923.0,10.0,6.5,0.0,169.0,73.975,19.0
819200.0,418.84176754951477,10166.0,10.0,6.75,0.0,226.0,80.7,21.0
835584.0,426.98911476135254,10385.0,10.0,6.75,0.0,255.0,68.85,22.0
851968.0,435.10074257850647,10627.0,10.0,6.75,0.0,223.0,79.425,20.0
868352.0,443.2094728946686,10873.0,10.0,7.75,0.0,179.0,66.125,19.0
884736.0,451.43356561660767,11099.0,10.0,6.5,0.0,205.0,67.85,20.0
901120.0,459.5113215446472,11343.0,10.0,7.0,0.0,251.0,74.875,20.0
917504.0,467.6258864402771,11592.0,10.0,7.25,0.0,147.0,57.575,21.0
933888.0,475.6723654270172,11831.0,10.0,6.5,0.0,164.0,59.9,20.0
950272.0,483.8234040737152,12058.0,10.0,7.75,0.0,258.0,65.5,19.0
966656.0,491.87634468078613,12300.0,10.0,6.0,0.0,216.0,74.4,18.0
983040.0,500.0594050884247,12561.0,10.0,7.75,0.0,165.0,73.675,19.0
999424.0,508.22503447532654,12825.0,10.0,9.25,0.0,120.0,56.775,19.0
1015808.0,516.3715343475342,13066.0,10.0,7.25,0.0,183.0,62.75,20.0
1032192.0,524.4928886890411,13317.0,10.0,7.75,0.0,248.0,62.55,20.0
1048576.0,533.0122103691101,13581.0,10.0,8.5,0.0,177.0,72.4,20.0
1064960.0,541.507294178009,13808.0,10.0,7.0,0.0,186.0,74.225,19.0
1081344.0,550.1413810253143,14040.0,10.0,7.25,0.0,264.0,76.675,20.0
1097728.0,558.3626353740692,14285.0,10.0,7.75,0.0,356.0,76.4,21.0
1114112.0,566.6369194984436,14541.0,10.0,8.5,0.0,163.0,64.225,20.0
1130496.0,575.2015125751495,14777.0,10.0,7.0,0.0,175.0,73.4,20.0
1146880.0,583.706298828125,15020.0,10.0,9.0,0.0,202.0,59.7,19.0
1163264.0,592.2477307319641,15252.0,10.0,7.75,0.0,189.0,65.7,21.0
1179648.0,600.9079692363739,15472.0,10.0,7.0,0.0,235.0,77.15,21.0
1196032.0,609.121945142746,15697.0,10.0,7.0,0.0,243.0,76.55,19.0
1212416.0,617.3998873233795,15945.0,10.0,8.75,0.0,196.0,62.225,20.0
1228800.0,625.5278656482697,16180.0,10.0,8.0,0.0,164.0,59.725,20.0
1245184.0,633.990603685379,16415.0,10.0,6.5,0.0,183.0,66.3,20.0
1261568.0,642.4729118347168,16638.0,10.0,8.0,0.0,220.0,65.9,21.0
1277952.0,650.9858467578888,16874.0,10.0,8.5,0.0,151.0,62.8,21.0
1294336.0,659.4363663196564,17089.0,10.0,7.25,0.0,417.0,89.25,20.0
1310720.0,667.9100387096405,17318.0,10.0,7.75,0.0,222.0,77.875,20.0
1327104.0,676.4948942661285,17545.0,10.0,7.75,0.0,166.0,68.725,21.0
1343488.0,684.9878535270691,17748.0,10.0,7.5,0.0,247.0,80.75,19.0
1359872.0,693.2277629375458,17961.0,10.0,8.0,0.0,209.0,84.325,20.0
1376256.0,701.7318148612976,18190.0,10.0,9.0,0.0,216.0,69.15,18.0
1392640.0,710.2531552314758,18411.0,10.0,8.25,0.0,189.0,71.55,22.0
1409024.0,718.8039886951447,18645.0,10.0,6.75,0.0,191.0,60.075,23.0
1425408.0,727.2953870296478,18851.0,10.0,7.0,0.0,252.0,83.275,28.0
1441792.0,735.6989419460297,19073.0,10.0,6.75,0.0,196.0,65.5,19.0
1458176.0,744.1698157787323,19313.0,10.0,7.5,0.0,200.0,74.975,26.0
1474560.0,752.7643551826477,19528.0,10.0,6.5,0.0,221.0,69.9,18.0
1490944.0,761.2423555850983,19751.0,10.0,8.0,0.0,329.0,78.125,21.0
1507328.0,769.4597284793854,19972.0,10.0,7.75,0.0,206.0,75.05,21.0
1523712.0,777.5422332286835,20203.0,10.0,7.25,0.0,213.0,66.325,19.0
1540096.0,785.6019299030304,20413.0,10.0,8.0,0.0,251.0,74.875,21.0
1556480.0,793.7246136665344,20620.0,10.0,8.0,0.0,258.0,78.025,20.0
1572864.0,802.0439450740814,20836.0,10.0,7.5,0.0,195.0,68.025,22.0
1589248.0,810.2233986854553,21039.0,10.0,8.0,0.0,216.0,68.125,17.0
1605632.0,818.3142664432526,21235.0,10.0,7.75,0.0,300.0,76.45,21.0
1622016.0,826.5030145645142,21449.0,10.0,8.0,0.0,222.0,78.4,19.0
1638400.0,834.9278404712677,21666.0,10.0,8.5,0.0,202.0,60.95,20.0
1654784.0,843.4559528827667,21873.0,10.0,7.25,0.0,249.0,74.925,23.0
1671168.0,851.7584455013275,22098.0,10.0,8.0,0.0,286.0,78.475,20.0
1687552.0,859.8818743228912,22299.0,10.0,8.75,0.0,245.0,84.775,21.0
1703936.0,868.3127572536469,22514.0,10.0,6.75,0.0,193.0,83.175,19.0
1720320.0,876.7489702701569,22728.0,10.0,7.75,0.0,254.0,78.5,22.0
1736704.0,884.9859504699707,22922.0,10.0,7.75,0.0,318.0,75.25,21.0
1753088.0,893.1176896095276,23135.0,10.0,8.25,0.0,252.0,86.55,22.0
1769472.0,901.4662299156189,23336.0,10.0,7.75,0.0,238.0,82.95,23.0
1785856.0,909.7753469944,23557.0,10.0,8.5,0.0,203.0,79.275,24.0
1802240.0,918.263418674469,23779.0,10.0,8.5,0.0,184.0,67.0,20.0
1818624.0,926.530220746994,23993.0,10.0,7.25,0.0,180.0,71.525,19.0
1835008.0,934.6007800102234,24210.0,10.0,7.5,0.0,250.0,79.05,20.0
1851392.0,942.7667624950409,24423.0,10.0,7.75,0.0,236.0,76.5,25.0
1867776.0,950.9619102478027,24651.0,10.0,8.0,0.0,182.0,61.075,21.0
1884160.0,959.277116060257,24886.0,10.0,6.75,0.0,237.0,89.725,20.0
1900544.0,967.3619892597198,25124.0,10.0,8.5,0.0,215.0,69.575,18.0
1916928.0,975.8656165599823,25344.0,10.0,8.25,0.0,162.0,59.625,21.0
1933312.0,984.1704368591309,25563.0,10.0,8.0,0.0,216.0,70.325,20.0
1949696.0,992.4278638362885,25789.0,10.0,8.75,0.0,203.0,77.55,19.0
1966080.0,1000.6266553401947,26026.0,10.0,7.0,0.0,203.0,64.65,19.0
1982464.0,1008.7715175151825,26283.0,10.0,7.5,0.0,186.0,74.875,20.0
1998848.0,1017.0680553913116,26538.0,10.0,8.5,0.0,147.0,59.05,20.0
2015232.0,1025.6510167121887,26762.0,10.0,8.5,0.0,282.0,70.3,19.0
2031616.0,1034.024971485138,26987.0,10.0,9.5,0.0,235.0,68.25,20.0
2048000.0,1042.2447872161865,27200.0,10.0,8.0,0.0,236.0,68.35,19.0
2064384.0,1050.4080185890198,27434.0,10.0,8.0,0.0,207.0,80.0,19.0
2080768.0,1059.0269606113434,27658.0,10.0,7.5,0.0,198.0,79.0,19.0
2097152.0,1067.2547645568848,27900.0,10.0,8.75,0.0,222.0,64.275,20.0
2113536.0,1075.7620420455933,28120.0,10.0,8.25,0.0,228.0,69.35,19.0
2129920.0,1083.9029126167297,28328.0,10.0,9.25,0.0,242.0,81.35,19.0
2146304.0,1091.9806361198425,28539.0,10.0,8.0,0.0,210.0,74.925,21.0
2162688.0,1100.2315912246704,28749.0,10.0,8.25,0.0,227.0,90.075,19.0
2179072.0,1108.6464364528656,28959.0,10.0,8.0,0.0,237.0,81.3,21.0
2195456.0,1117.2405824661255,29176.0,10.0,8.0,0.0,285.0,78.375,18.0
2211840.0,1125.7528686523438,29417.0,10.0,7.5,0.0,239.0,68.15,20.0
2228224.0,1133.8352994918823,29644.0,10.0,9.0,0.0,116.0,54.475,19.0
2244608.0,1142.0315537452698,29864.0,10.0,9.0,0.0,236.0,80.2,19.0
2260992.0,1150.3596255779266,30067.0,10.0,7.25,0.0,277.0,83.725,20.0
2277376.0,1158.6274983882904,30299.0,10.0,7.75,0.0,168.0,62.3,18.0
2293760.0,1166.6993050575256,30530.0,10.0,8.75,0.0,263.0,63.7,17.0
2310144.0,1174.8614315986633,30780.0,10.0,8.75,0.0,272.0,67.675,18.0
2326528.0,1182.920536518097,31014.0,10.0,8.0,0.0,177.0,75.2,21.0
2342912.0,1190.991259098053,31262.0,10.0,8.25,0.0,253.0,58.8,18.0
2359296.0,1199.0857186317444,31509.0,10.0,8.75,0.0,180.0,66.725,19.0
2375680.0,1207.2488195896149,31736.0,10.0,8.75,0.0,207.0,69.85,18.0
2392064.0,1215.40407538414,31958.0,10.0,9.0,0.0,283.0,68.0,19.0
2408448.0,1223.5224967002869,32201.0,10.0,8.25,0.0,297.0,87.8,24.0
2424832.0,1231.907306432724,32446.0,10.0,7.5,0.0,141.0,55.95,20.0
2441216.0,1240.0013480186462,32689.0,10.0,8.5,0.0,210.0,72.975,15.0
2457600.0,1248.1244609355927,32899.0,10.0,7.25,0.0,246.0,74.425,21.0
2473984.0,1256.3067455291748,33122.0,10.0,8.0,0.0,192.0,84.8,21.0
2490368.0,1264.5827040672302,33372.0,10.0,9.5,0.0,143.0,48.15,19.0
2506752.0,1273.0613088607788,33598.0,10.0,8.75,0.0,158.0,65.775,22.0
2523136.0,1281.4320199489594,33834.0,10.0,8.75,0.0,302.0,77.425,20.0
2539520.0,1289.9042129516602,34063.0,10.0,9.25,0.0,178.0,69.8,21.0
2555904.0,1298.4359855651855,34287.0,10.0,8.25,0.0,204.0,79.175,21.0
2572288.0,1306.9233992099762,34514.0,10.0,8.75,0.0,167.0,61.95,20.0
2588672.0,1315.4815793037415,34730.0,10.0,8.75,0.0,216.0,78.0,21.0
2605056.0,1323.966878414154,34969.0,10.0,7.75,0.0,203.0,72.125,19.0
2621440.0,1332.6148586273193,35189.0,10.0,8.5,0.0,193.0,69.225,21.0
2637824.0,1341.0927646160126,35417.0,10.0,9.25,0.0,197.0,75.8,19.0
