timesteps ,wall_time         ,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len  ,min_episode_len
16384.0   ,18.29740858078003 ,7.0         ,10.0               ,7.142857074737549   ,0.0                ,244.0          ,198.28571428571428,67.0
32768.0   ,33.50325155258179 ,31.0        ,10.0               ,3.225806474685669   ,0.0                ,493.0          ,309.0967741935484 ,67.0
49152.0   ,48.49467897415161 ,55.0        ,10.0               ,4.0                 ,0.0                ,736.0          ,397.0             ,60.0
65536.0   ,63.555269956588745,113.0       ,10.0               ,4.25                ,0.0                ,1000.0         ,626.525           ,59.0
81920.0   ,78.45214056968689 ,164.0       ,10.0               ,4.25                ,0.0                ,1000.0         ,299.325           ,38.0
98304.0   ,93.35071039199829 ,244.0       ,10.0               ,5.75                ,0.0                ,830.0          ,274.95            ,53.0
114688.0  ,108.32245588302612,337.0       ,10.0               ,5.75                ,0.0                ,664.0          ,212.75            ,48.0
131072.0  ,123.26687598228455,469.0       ,10.0               ,5.5                 ,0.0                ,615.0          ,150.25            ,31.0
147456.0  ,138.17063164710999,617.0       ,10.0               ,5.5                 ,0.0                ,292.0          ,113.55            ,29.0
163840.0  ,153.16009259223938,764.0       ,10.0               ,5.5                 ,0.0                ,291.0          ,116.85            ,42.0
180224.0  ,168.1343309879303 ,927.0       ,10.0               ,6.25                ,0.0                ,226.0          ,91.65             ,35.0
196608.0  ,183.14417839050293,1120.0      ,10.0               ,5.5                 ,0.0                ,287.0          ,101.025           ,31.0
212992.0  ,198.17147064208984,1310.0      ,10.0               ,5.5                 ,0.0                ,231.0          ,91.5              ,31.0
229376.0  ,213.1773624420166 ,1507.0      ,10.0               ,6.25                ,0.0                ,176.0          ,78.225            ,21.0
245760.0  ,228.27915263175964,1726.0      ,10.0               ,4.75                ,0.0                ,259.0          ,88.075            ,17.0
262144.0  ,243.29320549964905,1948.0      ,10.0               ,6.0                 ,0.0                ,193.0          ,77.075            ,20.0
278528.0  ,258.2616744041443 ,2162.0      ,10.0               ,6.5                 ,0.0                ,165.0          ,67.05             ,33.0
294912.0  ,273.27355694770813,2378.0      ,10.0               ,5.25                ,0.0                ,198.0          ,85.325            ,24.0
311296.0  ,288.32454323768616,2588.0      ,10.0               ,8.0                 ,0.0                ,146.0          ,67.925            ,31.0
327680.0  ,303.2768759727478 ,2835.0      ,10.0               ,6.25                ,0.0                ,256.0          ,74.6              ,25.0
344064.0  ,318.39349937438965,3056.0      ,10.0               ,5.5                 ,0.0                ,267.0          ,70.625            ,20.0
360448.0  ,333.4238851070404 ,3299.0      ,10.0               ,5.0                 ,0.0                ,144.0          ,63.075            ,20.0
376832.0  ,348.4200699329376 ,3538.0      ,10.0               ,6.75                ,0.0                ,142.0          ,64.15             ,20.0
393216.0  ,363.4047031402588 ,3790.0      ,10.0               ,6.0                 ,0.0                ,193.0          ,67.775            ,18.0
409600.0  ,378.40464520454407,4040.0      ,10.0               ,6.5                 ,0.0                ,208.0          ,65.775            ,23.0
425984.0  ,393.4883577823639 ,4292.0      ,10.0               ,6.0                 ,0.0                ,138.0          ,63.475            ,20.0
442368.0  ,408.5677936077118 ,4557.0      ,10.0               ,6.5                 ,0.0                ,133.0          ,54.5              ,17.0
458752.0  ,423.68352794647217,4800.0      ,10.0               ,8.25                ,0.0                ,220.0          ,66.8              ,17.0
475136.0  ,438.6531503200531 ,5073.0      ,10.0               ,6.0                 ,0.0                ,175.0          ,69.95             ,19.0
491520.0  ,453.76187086105347,5329.0      ,10.0               ,6.5                 ,0.0                ,166.0          ,55.0              ,17.0
507904.0  ,468.8241174221039 ,5587.0      ,10.0               ,6.5                 ,0.0                ,163.0          ,69.2              ,19.0
524288.0  ,483.59543895721436,5845.0      ,10.0               ,7.0                 ,0.0                ,181.0          ,62.325            ,15.0
540672.0  ,498.26058530807495,6106.0      ,10.0               ,6.75                ,0.0                ,174.0          ,69.525            ,15.0
557056.0  ,513.290289402008  ,6370.0      ,10.0               ,7.0                 ,0.0                ,193.0          ,57.85             ,19.0
573440.0  ,528.3483779430389 ,6637.0      ,10.0               ,7.0                 ,0.0                ,128.0          ,58.525            ,21.0
589824.0  ,543.1753470897675 ,6905.0      ,10.0               ,7.0                 ,0.0                ,153.0          ,60.725            ,21.0
606208.0  ,558.2919554710388 ,7179.0      ,10.0               ,6.25                ,0.0                ,150.0          ,52.9              ,19.0
622592.0  ,573.3373126983643 ,7462.0      ,10.0               ,7.0                 ,0.0                ,187.0          ,53.6              ,18.0
638976.0  ,588.3282852172852 ,7733.0      ,10.0               ,7.25                ,0.0                ,144.0          ,53.9              ,17.0
655360.0  ,603.3488178253174 ,8014.0      ,10.0               ,7.25                ,0.0                ,197.0          ,58.75             ,20.0
671744.0  ,618.4549224376678 ,8293.0      ,10.0               ,6.75                ,0.0                ,166.0          ,56.475            ,19.0
688128.0  ,633.5380859375    ,8557.0      ,10.0               ,6.25                ,0.0                ,183.0          ,58.275            ,23.0
704512.0  ,648.6282114982605 ,8831.0      ,10.0               ,6.0                 ,0.0                ,132.0          ,56.125            ,20.0
720896.0  ,663.6937403678894 ,9089.0      ,10.0               ,7.5                 ,0.0                ,195.0          ,72.65             ,18.0
737280.0  ,678.6753087043762 ,9330.0      ,10.0               ,6.0                 ,0.0                ,146.0          ,63.925            ,19.0
753664.0  ,693.6613864898682 ,9610.0      ,10.0               ,7.75                ,0.0                ,217.0          ,68.025            ,21.0
770048.0  ,708.7130317687988 ,9862.0      ,10.0               ,5.75                ,0.0                ,118.0          ,60.35             ,21.0
786432.0  ,723.7801339626312 ,10129.0     ,10.0               ,7.75                ,0.0                ,153.0          ,54.0              ,20.0
