timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
16384.0,17.84095025062561,9.0,10.0,4.44444465637207,0.0,229.0,135.55555555555554,48.0
32768.0,32.761794090270996,30.0,10.0,4.333333492279053,0.0,487.0,270.8,48.0
49152.0,47.538021087646484,64.0,10.0,4.75,0.0,755.0,428.325,97.0
65536.0,62.02686953544617,116.0,10.0,4.75,0.0,1000.0,574.15,51.0
81920.0,76.81996417045593,190.0,10.0,4.0,0.0,1000.0,279.8,43.0
98304.0,91.66187620162964,268.0,10.0,6.25,0.0,954.0,209.875,43.0
114688.0,106.4858546257019,378.0,10.0,5.75,0.0,628.0,176.65,28.0
131072.0,121.37053799629211,494.0,10.0,6.0,0.0,469.0,125.35,23.0
147456.0,136.2049958705902,639.0,10.0,5.5,0.0,485.0,124.725,32.0
163840.0,151.18265771865845,804.0,10.0,4.75,0.0,233.0,83.525,30.0
180224.0,166.1863660812378,988.0,10.0,5.5,0.0,226.0,86.8,18.0
196608.0,181.23737215995789,1182.0,10.0,5.75,0.0,209.0,79.225,25.0
212992.0,196.20121264457703,1390.0,10.0,3.5,0.0,252.0,87.225,28.0
229376.0,211.21095418930054,1579.0,10.0,5.75,0.0,195.0,86.925,32.0
245760.0,226.27147340774536,1786.0,10.0,5.25,0.0,186.0,75.825,16.0
262144.0,241.3303291797638,1982.0,10.0,7.25,0.0,302.0,84.95,20.0
278528.0,256.2065968513489,2183.0,10.0,5.25,0.0,207.0,89.675,22.0
294912.0,271.2078812122345,2376.0,10.0,4.25,0.0,217.0,85.625,23.0
311296.0,286.2577362060547,2557.0,10.0,5.0,0.0,242.0,95.35,34.0
327680.0,301.18274211883545,2765.0,10.0,5.75,0.0,222.0,75.375,27.0
344064.0,316.05347514152527,3003.0,10.0,5.5,0.0,228.0,82.75,21.0
360448.0,330.86718010902405,3214.0,10.0,6.0,0.0,186.0,73.4,31.0
376832.0,345.88966131210327,3463.0,10.0,7.0,0.0,195.0,61.1,28.0
393216.0,360.79689621925354,3707.0,10.0,5.5,0.0,322.0,67.85,32.0
409600.0,375.8021900653839,3967.0,10.0,6.0,0.0,221.0,72.825,29.0
425984.0,390.6868510246277,4200.0,10.0,5.75,0.0,223.0,67.55,32.0
442368.0,405.6575243473053,4469.0,10.0,7.0,0.0,212.0,58.725,21.0
458752.0,420.5038344860077,4705.0,10.0,3.75,0.0,171.0,77.025,19.0
475136.0,435.4656503200531,4971.0,10.0,5.75,0.0,193.0,64.075,17.0
491520.0,450.10369396209717,5215.0,10.0,6.5,0.0,166.0,73.625,16.0
507904.0,465.0497148036957,5464.0,10.0,6.5,0.0,138.0,63.625,17.0
524288.0,479.93336749076843,5721.0,10.0,5.5,0.0,315.0,68.325,18.0
540672.0,494.8833382129669,5970.0,10.0,4.5,0.0,181.0,62.7,16.0
557056.0,509.83512115478516,6228.0,10.0,7.5,0.0,171.0,61.825,19.0
573440.0,524.7438201904297,6483.0,10.0,7.0,0.0,228.0,70.425,19.0
589824.0,539.6150934696198,6750.0,10.0,7.5,0.0,84.0,46.35,20.0
606208.0,554.5526008605957,7019.0,10.0,5.5,0.0,161.0,59.6,19.0
622592.0,569.4601166248322,7265.0,10.0,6.25,0.0,234.0,71.75,19.0
638976.0,584.3909714221954,7512.0,10.0,6.75,0.0,146.0,69.1,25.0
655360.0,599.3455171585083,7760.0,10.0,7.5,0.0,208.0,66.925,19.0
671744.0,614.2303509712219,8008.0,10.0,7.25,0.0,225.0,80.775,26.0
688128.0,629.1748707294464,8269.0,10.0,6.5,0.0,188.0,66.75,21.0
704512.0,644.1462490558624,8504.0,10.0,7.25,0.0,126.0,63.6,20.0
720896.0,659.066189289093,8759.0,10.0,6.75,0.0,137.0,65.6,21.0
737280.0,673.9476926326752,9007.0,10.0,7.25,0.0,176.0,61.9,19.0
753664.0,688.8486948013306,9229.0,10.0,6.25,0.0,169.0,77.6,22.0
770048.0,703.7902300357819,9470.0,10.0,7.0,0.0,161.0,62.925,19.0
786432.0,718.7121477127075,9699.0,10.0,7.25,0.0,151.0,63.55,17.0
802816.0,733.6567938327789,9925.0,10.0,5.25,0.0,171.0,71.775,19.0
819200.0,748.6129024028778,10149.0,10.0,6.75,0.0,169.0,72.075,22.0
835584.0,763.5878582000732,10365.0,10.0,5.75,0.0,224.0,74.125,18.0
851968.0,778.476731300354,10609.0,10.0,6.75,0.0,151.0,60.3,17.0
868352.0,793.4159119129181,10857.0,10.0,7.25,0.0,163.0,67.1,19.0
884736.0,808.3660008907318,11074.0,10.0,6.25,0.0,186.0,65.45,20.0
901120.0,823.3058345317841,11307.0,10.0,8.0,0.0,259.0,74.0,20.0
917504.0,838.2268934249878,11536.0,10.0,8.25,0.0,224.0,68.775,23.0
933888.0,853.2194023132324,11779.0,10.0,7.5,0.0,183.0,62.825,20.0
950272.0,868.2514679431915,12015.0,10.0,7.25,0.0,197.0,62.925,20.0
966656.0,883.2461271286011,12252.0,10.0,6.5,0.0,174.0,69.95,16.0
983040.0,898.1897869110107,12504.0,10.0,7.5,0.0,171.0,60.725,20.0
999424.0,913.0908839702606,12769.0,10.0,6.75,0.0,170.0,60.925,20.0
1015808.0,928.0308134555817,13045.0,10.0,6.5,0.0,213.0,66.2,19.0
1032192.0,942.9620795249939,13305.0,10.0,8.0,0.0,206.0,56.875,17.0
1048576.0,957.9058313369751,13573.0,10.0,7.25,0.0,143.0,67.9,21.0
1064960.0,972.8714144229889,13833.0,10.0,7.5,0.0,147.0,64.2,15.0
1081344.0,987.793261051178,14093.0,10.0,7.25,0.0,187.0,61.25,21.0
1097728.0,1002.7072651386261,14341.0,10.0,7.5,0.0,190.0,76.5,21.0
1114112.0,1017.6644153594971,14599.0,10.0,7.0,0.0,132.0,59.85,20.0
1130496.0,1032.7341964244843,14868.0,10.0,7.75,0.0,240.0,73.525,19.0
1146880.0,1047.694804430008,15112.0,10.0,7.5,0.0,189.0,67.875,21.0
1163264.0,1062.6101913452148,15368.0,10.0,7.75,0.0,149.0,62.725,20.0
1179648.0,1077.6285429000854,15611.0,10.0,7.5,0.0,178.0,57.475,19.0
1196032.0,1092.6354677677155,15855.0,10.0,8.5,0.0,174.0,72.55,19.0
1212416.0,1107.567828655243,16101.0,10.0,7.25,0.0,175.0,69.5,21.0
1228800.0,1122.5041365623474,16370.0,10.0,7.75,0.0,147.0,60.225,19.0
1245184.0,1137.3845782279968,16630.0,10.0,8.5,0.0,164.0,56.325,20.0
1261568.0,1152.317974805832,16882.0,10.0,8.0,0.0,180.0,64.725,21.0
1277952.0,1167.1941046714783,17151.0,10.0,7.25,0.0,156.0,70.05,20.0
1294336.0,1182.1712183952332,17400.0,10.0,7.75,0.0,147.0,62.775,20.0
1310720.0,1197.1718652248383,17641.0,10.0,8.5,0.0,187.0,73.525,26.0
1327104.0,1212.1097133159637,17893.0,10.0,7.5,0.0,172.0,61.15,20.0
1343488.0,1227.034879207611,18151.0,10.0,8.0,0.0,200.0,55.85,16.0
1359872.0,1241.8338162899017,18411.0,10.0,8.75,0.0,212.0,62.5,20.0
1376256.0,1256.679450750351,18708.0,10.0,8.25,0.0,136.0,47.475,18.0
1392640.0,1271.556168794632,18987.0,10.0,7.75,0.0,164.0,58.875,18.0
1409024.0,1286.4211795330048,19255.0,10.0,9.0,0.0,161.0,50.25,20.0
1425408.0,1301.4121809005737,19525.0,10.0,8.25,0.0,165.0,58.175,21.0
1441792.0,1316.3573789596558,19780.0,10.0,8.25,0.0,172.0,68.05,20.0
1458176.0,1331.324158191681,20045.0,10.0,8.5,0.0,207.0,70.7,17.0
1474560.0,1346.2491719722748,20308.0,10.0,8.0,0.0,170.0,54.925,20.0
1490944.0,1361.2656664848328,20568.0,10.0,8.25,0.0,159.0,59.6,20.0
1507328.0,1376.2121484279633,20844.0,10.0,8.75,0.0,203.0,59.875,21.0
1523712.0,1391.1620936393738,21105.0,10.0,8.25,0.0,201.0,77.175,21.0
1540096.0,1406.0363504886627,21378.0,10.0,7.5,0.0,155.0,55.25,21.0
1556480.0,1420.9596810340881,21653.0,10.0,8.25,0.0,142.0,51.925,20.0
