timesteps ,wall_time         ,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len ,min_episode_len
16384.0   ,10.881849527359009,9.0         ,10.0               ,10.0                ,10.0               ,148.0          ,58.22222222222222,2.0
32768.0   ,18.890063047409058,16.0        ,10.0               ,10.0                ,10.0               ,486.0          ,203.4375         ,2.0
49152.0   ,26.83465027809143 ,19.0        ,10.0               ,10.0                ,10.0               ,624.0          ,261.5263157894737,2.0
65536.0   ,34.74940347671509 ,71.0        ,10.0               ,1.25                ,0.0                ,1000.0         ,958.15           ,15.0
81920.0   ,42.703304052352905,81.0        ,10.0               ,2.25                ,0.0                ,1000.0         ,874.375          ,15.0
98304.0   ,50.68618822097778 ,90.0        ,10.0               ,3.0                 ,0.0                ,1000.0         ,791.975          ,6.0
114688.0  ,58.64232110977173 ,95.0        ,10.0               ,3.25                ,0.0                ,1000.0         ,773.3            ,6.0
131072.0  ,66.63511157035828 ,144.0       ,10.0               ,1.75                ,0.0                ,1000.0         ,934.05           ,17.0
147456.0  ,74.617928981781   ,162.0       ,10.0               ,3.5                 ,0.0                ,1000.0         ,777.575          ,1.0
163840.0  ,82.60837292671204 ,174.0       ,10.0               ,4.75                ,0.0                ,1000.0         ,665.625          ,1.0
180224.0  ,90.56149339675903 ,184.0       ,10.0               ,6.25                ,0.0                ,1000.0         ,583.375          ,1.0
196608.0  ,98.54190111160278 ,219.0       ,10.0               ,1.5                 ,0.0                ,1000.0         ,890.0            ,3.0
212992.0  ,106.4862413406372 ,240.0       ,10.0               ,2.75                ,0.0                ,1000.0         ,843.35           ,3.0
229376.0  ,114.48738217353821,257.0       ,10.0               ,5.0                 ,0.0                ,1000.0         ,692.65           ,3.0
245760.0  ,122.45438647270203,268.0       ,10.0               ,4.0                 ,0.0                ,1000.0         ,770.0            ,98.0
262144.0  ,130.44714283943176,303.0       ,10.0               ,2.75                ,0.0                ,1000.0         ,814.35           ,40.0
278528.0  ,138.4040446281433 ,319.0       ,10.0               ,3.25                ,0.0                ,1000.0         ,784.5            ,40.0
294912.0  ,146.37242698669434,339.0       ,10.0               ,3.25                ,0.0                ,1000.0         ,767.025          ,42.0
311296.0  ,154.33238911628723,350.0       ,10.0               ,3.0                 ,0.0                ,1000.0         ,779.475          ,12.0
327680.0  ,162.36525797843933,382.0       ,10.0               ,2.5                 ,0.0                ,1000.0         ,840.3            ,7.0
344064.0  ,170.34361290931702,402.0       ,10.0               ,3.75                ,0.0                ,1000.0         ,702.725          ,5.0
360448.0  ,178.34601068496704,423.0       ,10.0               ,3.25                ,0.0                ,1000.0         ,711.15           ,5.0
376832.0  ,186.33498525619507,435.0       ,10.0               ,2.75                ,0.0                ,1000.0         ,773.825          ,5.0
393216.0  ,194.3116796016693 ,466.0       ,10.0               ,2.75                ,0.0                ,1000.0         ,819.6            ,7.0
409600.0  ,202.31372165679932,485.0       ,10.0               ,2.0                 ,0.0                ,1000.0         ,855.35           ,14.0
425984.0  ,210.29394054412842,503.0       ,10.0               ,2.75                ,0.0                ,1000.0         ,824.95           ,46.0
442368.0  ,218.28053426742554,518.0       ,10.0               ,3.0                 ,0.0                ,1000.0         ,805.6            ,46.0
458752.0  ,226.23659133911133,545.0       ,10.0               ,3.25                ,0.0                ,1000.0         ,801.075          ,46.0
475136.0  ,234.2252950668335 ,564.0       ,10.0               ,3.75                ,0.0                ,1000.0         ,762.7            ,51.0
491520.0  ,242.02469539642334,590.0       ,10.0               ,3.25                ,0.0                ,1000.0         ,765.95           ,3.0
507904.0  ,249.85350251197815,605.0       ,10.0               ,3.25                ,0.0                ,1000.0         ,737.3            ,3.0
524288.0  ,257.5455803871155 ,628.0       ,10.0               ,2.75                ,0.0                ,1000.0         ,784.575          ,20.0
540672.0  ,265.27306509017944,648.0       ,10.0               ,3.0                 ,0.0                ,1000.0         ,802.425          ,25.0
557056.0  ,273.1749129295349 ,673.0       ,10.0               ,3.0                 ,0.0                ,1000.0         ,774.5            ,4.0
573440.0  ,281.1802272796631 ,690.0       ,10.0               ,3.0                 ,0.0                ,1000.0         ,755.825          ,4.0
589824.0  ,289.0795817375183 ,713.0       ,10.0               ,3.25                ,0.0                ,1000.0         ,745.65           ,7.0
606208.0  ,297.0678126811981 ,737.0       ,10.0               ,3.25                ,0.0                ,1000.0         ,774.25           ,2.0
622592.0  ,305.0227880477905 ,763.0       ,10.0               ,3.25                ,0.0                ,1000.0         ,808.0            ,8.0
638976.0  ,312.97747564315796,775.0       ,10.0               ,3.75                ,0.0                ,1000.0         ,746.675          ,8.0
655360.0  ,320.8287751674652 ,799.0       ,10.0               ,2.75                ,0.0                ,1000.0         ,802.15           ,37.0
671744.0  ,328.70174407958984,817.0       ,10.0               ,2.25                ,0.0                ,1000.0         ,814.65           ,2.0
688128.0  ,336.6411292552948 ,841.0       ,10.0               ,2.75                ,0.0                ,1000.0         ,766.975          ,2.0
704512.0  ,344.6369888782501 ,858.0       ,10.0               ,3.0                 ,0.0                ,1000.0         ,755.1            ,4.0
720896.0  ,352.58140754699707,882.0       ,10.0               ,3.25                ,0.0                ,1000.0         ,743.2            ,4.0
737280.0  ,360.5549945831299 ,906.0       ,10.0               ,3.25                ,0.0                ,1000.0         ,775.25           ,2.0
753664.0  ,368.52131724357605,931.0       ,10.0               ,3.75                ,0.0                ,1000.0         ,686.6            ,2.0
770048.0  ,376.5055742263794 ,951.0       ,10.0               ,4.25                ,0.0                ,1000.0         ,681.7            ,3.0
