timesteps ,wall_time         ,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len  ,min_episode_len
16384.0   ,17.40235924720764 ,12.0        ,10.0               ,10.0                ,10.0               ,254.0          ,77.91666666666667 ,3.0
32768.0   ,31.79978036880493 ,17.0        ,10.0               ,10.0                ,10.0               ,394.0          ,143.11764705882354,3.0
49152.0   ,46.15579032897949 ,21.0        ,10.0               ,10.0                ,10.0               ,613.0          ,229.42857142857142,3.0
65536.0   ,60.53422951698303 ,74.0        ,10.0               ,1.0                 ,0.0                ,1000.0         ,956.0             ,7.0
81920.0   ,74.87207865715027 ,84.0        ,10.0               ,2.25                ,0.0                ,1000.0         ,832.8             ,7.0
98304.0   ,89.24930667877197 ,95.0        ,10.0               ,3.75                ,0.0                ,1000.0         ,705.125           ,7.0
114688.0  ,103.60707449913025,100.0       ,10.0               ,4.25                ,0.0                ,1000.0         ,682.15            ,7.0
131072.0  ,117.99606943130493,149.0       ,10.0               ,0.75                ,0.0                ,1000.0         ,938.625           ,22.0
147456.0  ,132.37608814239502,163.0       ,10.0               ,2.5                 ,0.0                ,1000.0         ,785.925           ,22.0
163840.0  ,146.79563403129578,176.0       ,10.0               ,3.5                 ,0.0                ,1000.0         ,728.825           ,22.0
180224.0  ,161.1553511619568 ,185.0       ,10.0               ,4.75                ,0.0                ,1000.0         ,657.875           ,22.0
196608.0  ,175.5775625705719 ,226.0       ,10.0               ,2.0                 ,0.0                ,1000.0         ,886.15            ,4.0
212992.0  ,189.96674418449402,247.0       ,10.0               ,3.25                ,0.0                ,1000.0         ,772.15            ,63.0
229376.0  ,204.32228446006775,266.0       ,10.0               ,5.25                ,0.0                ,1000.0         ,590.225           ,63.0
245760.0  ,218.73972511291504,287.0       ,10.0               ,5.75                ,0.0                ,1000.0         ,655.475           ,3.0
262144.0  ,232.9826900959015 ,313.0       ,10.0               ,3.25                ,0.0                ,1000.0         ,795.325           ,3.0
278528.0  ,247.40527319908142,333.0       ,10.0               ,3.0                 ,0.0                ,1000.0         ,738.4             ,5.0
294912.0  ,261.4881443977356 ,351.0       ,10.0               ,3.5                 ,0.0                ,1000.0         ,723.525           ,5.0
311296.0  ,275.9183557033539 ,372.0       ,10.0               ,3.0                 ,0.0                ,1000.0         ,802.425           ,25.0
327680.0  ,290.14172172546387,398.0       ,10.0               ,2.5                 ,0.0                ,1000.0         ,840.95            ,30.0
344064.0  ,304.54038739204407,412.0       ,10.0               ,2.75                ,0.0                ,1000.0         ,831.925           ,21.0
360448.0  ,318.70594573020935,430.0       ,10.0               ,3.0                 ,0.0                ,1000.0         ,806.9             ,2.0
376832.0  ,333.13502955436707,457.0       ,10.0               ,3.5                 ,0.0                ,1000.0         ,793.625           ,2.0
393216.0  ,347.4977717399597 ,480.0       ,10.0               ,3.5                 ,0.0                ,1000.0         ,795.175           ,59.0
409600.0  ,361.8945834636688 ,493.0       ,10.0               ,2.75                ,0.0                ,1000.0         ,833.275           ,84.0
425984.0  ,376.24701976776123,511.0       ,10.0               ,3.0                 ,0.0                ,1000.0         ,839.675           ,26.0
