timesteps ,wall_time         ,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len  ,min_episode_len
16384.0   ,11.016348600387573,10.0        ,10.0               ,10.0                ,10.0               ,226.0          ,107.2             ,59.0
32768.0   ,19.165173053741455,19.0        ,10.0               ,10.0                ,10.0               ,489.0          ,205.89473684210526,1.0
49152.0   ,27.27375364303589 ,21.0        ,10.0               ,10.0                ,10.0               ,751.0          ,253.42857142857142,1.0
65536.0   ,35.42212772369385 ,73.0        ,10.0               ,1.75                ,0.0                ,1000.0         ,935.8             ,5.0
81920.0   ,43.52199935913086 ,81.0        ,10.0               ,2.25                ,0.0                ,1000.0         ,891.95            ,5.0
98304.0   ,51.58366942405701 ,102.0       ,10.0               ,4.5                 ,0.0                ,1000.0         ,690.55            ,1.0
114688.0  ,59.68307828903198 ,108.0       ,10.0               ,5.25                ,0.0                ,1000.0         ,657.275           ,1.0
131072.0  ,67.82324004173279 ,153.0       ,10.0               ,2.25                ,0.0                ,1000.0         ,864.2             ,1.0
147456.0  ,75.88747787475586 ,167.0       ,10.0               ,2.25                ,0.0                ,1000.0         ,825.15            ,1.0
163840.0  ,83.97528457641602 ,184.0       ,10.0               ,3.75                ,0.0                ,1000.0         ,736.7             ,6.0
180224.0  ,92.03933453559875 ,194.0       ,10.0               ,4.75                ,0.0                ,1000.0         ,684.975           ,6.0
196608.0  ,100.13309645652771,232.0       ,10.0               ,2.25                ,0.0                ,1000.0         ,891.275           ,4.0
212992.0  ,108.19305872917175,248.0       ,10.0               ,3.25                ,0.0                ,1000.0         ,784.05            ,4.0
229376.0  ,116.28551197052002,261.0       ,10.0               ,3.5                 ,0.0                ,1000.0         ,775.575           ,50.0
245760.0  ,124.33831691741943,273.0       ,10.0               ,3.25                ,0.0                ,1000.0         ,762.075           ,50.0
262144.0  ,132.44211292266846,307.0       ,10.0               ,1.0                 ,0.0                ,1000.0         ,926.35            ,2.0
278528.0  ,140.52370762825012,326.0       ,10.0               ,2.75                ,0.0                ,1000.0         ,787.65            ,2.0
294912.0  ,148.6361050605774 ,346.0       ,10.0               ,4.75                ,0.0                ,1000.0         ,650.8             ,7.0
311296.0  ,156.70580983161926,366.0       ,10.0               ,5.0                 ,0.0                ,1000.0         ,638.35            ,7.0
327680.0  ,164.82022523880005,394.0       ,10.0               ,3.25                ,0.0                ,1000.0         ,800.2             ,11.0
344064.0  ,172.88512706756592,415.0       ,10.0               ,3.25                ,0.0                ,1000.0         ,784.575           ,11.0
360448.0  ,180.96888756752014,428.0       ,10.0               ,3.75                ,0.0                ,1000.0         ,739.875           ,11.0
376832.0  ,189.06187844276428,446.0       ,10.0               ,3.0                 ,0.0                ,1000.0         ,818.6             ,127.0
393216.0  ,197.12949991226196,468.0       ,10.0               ,2.25                ,0.0                ,1000.0         ,899.375           ,97.0
409600.0  ,205.2305977344513 ,492.0       ,10.0               ,3.0                 ,0.0                ,1000.0         ,800.525           ,47.0
425984.0  ,213.31502151489258,510.0       ,10.0               ,4.0                 ,0.0                ,1000.0         ,736.425           ,3.0
442368.0  ,221.42103672027588,528.0       ,10.0               ,3.5                 ,0.0                ,1000.0         ,764.975           ,3.0
458752.0  ,229.48835492134094,550.0       ,10.0               ,2.25                ,0.0                ,1000.0         ,827.475           ,34.0
475136.0  ,237.59651827812195,577.0       ,10.0               ,2.75                ,0.0                ,1000.0         ,807.075           ,11.0
491520.0  ,245.6444194316864 ,591.0       ,10.0               ,3.5                 ,0.0                ,1000.0         ,795.75            ,11.0
507904.0  ,253.7494945526123 ,605.0       ,10.0               ,3.25                ,0.0                ,1000.0         ,828.85            ,11.0
524288.0  ,261.8313183784485 ,625.0       ,10.0               ,2.0                 ,0.0                ,1000.0         ,920.275           ,256.0
540672.0  ,269.9388155937195 ,650.0       ,10.0               ,2.0                 ,0.0                ,1000.0         ,853.4             ,16.0
557056.0  ,278.01290249824524,669.0       ,10.0               ,3.5                 ,0.0                ,1000.0         ,737.5             ,16.0
573440.0  ,286.1076354980469 ,687.0       ,10.0               ,4.25                ,0.0                ,1000.0         ,681.4             ,7.0
589824.0  ,294.1775279045105 ,710.0       ,10.0               ,3.0                 ,0.0                ,1000.0         ,802.3             ,7.0
606208.0  ,302.28540325164795,733.0       ,10.0               ,2.5                 ,0.0                ,1000.0         ,847.9             ,22.0
622592.0  ,310.37363171577454,754.0       ,10.0               ,4.0                 ,0.0                ,1000.0         ,738.7             ,60.0
638976.0  ,318.46086859703064,768.0       ,10.0               ,3.5                 ,0.0                ,1000.0         ,787.925           ,60.0
655360.0  ,326.5238502025604 ,790.0       ,10.0               ,3.0                 ,0.0                ,1000.0         ,810.0             ,6.0
671744.0  ,334.6299123764038 ,816.0       ,10.0               ,3.25                ,0.0                ,1000.0         ,805.875           ,6.0
688128.0  ,342.6992177963257 ,841.0       ,10.0               ,4.25                ,0.0                ,1000.0         ,675.925           ,23.0
704512.0  ,350.7835867404938 ,861.0       ,10.0               ,4.5                 ,0.0                ,1000.0         ,659.75            ,13.0
720896.0  ,358.86901664733887,879.0       ,10.0               ,3.5                 ,0.0                ,1000.0         ,753.55            ,13.0
737280.0  ,366.9386451244354 ,901.0       ,10.0               ,2.75                ,0.0                ,1000.0         ,804.4             ,6.0
753664.0  ,375.00229811668396,928.0       ,10.0               ,4.5                 ,0.0                ,1000.0         ,678.275           ,6.0
770048.0  ,383.10191655158997,945.0       ,10.0               ,3.75                ,0.0                ,1000.0         ,723.05            ,27.0
786432.0  ,391.21185636520386,973.0       ,10.0               ,3.25                ,0.0                ,1000.0         ,770.55            ,21.0
802816.0  ,399.27444672584534,1000.0      ,10.0               ,5.25                ,0.0                ,1000.0         ,612.25            ,4.0
819200.0  ,407.3833804130554 ,1018.0      ,10.0               ,3.5                 ,0.0                ,1000.0         ,725.65            ,17.0
835584.0  ,415.46104073524475,1034.0      ,10.0               ,2.75                ,0.0                ,1000.0         ,793.85            ,17.0
851968.0  ,423.57876777648926,1060.0      ,10.0               ,4.25                ,0.0                ,1000.0         ,787.175           ,6.0
868352.0  ,431.66561627388   ,1085.0      ,10.0               ,4.5                 ,0.0                ,1000.0         ,725.675           ,22.0
884736.0  ,439.7726311683655 ,1105.0      ,10.0               ,3.5                 ,0.0                ,1000.0         ,729.175           ,22.0
901120.0  ,447.83848333358765,1122.0      ,10.0               ,3.25                ,0.0                ,1000.0         ,764.275           ,17.0
917504.0  ,455.9349181652069 ,1145.0      ,10.0               ,3.0                 ,0.0                ,1000.0         ,795.1             ,17.0
933888.0  ,463.99768352508545,1165.0      ,10.0               ,2.0                 ,0.0                ,1000.0         ,838.45            ,9.0
950272.0  ,472.1045112609863 ,1189.0      ,10.0               ,3.25                ,0.0                ,1000.0         ,778.25            ,9.0
966656.0  ,480.19221568107605,1207.0      ,10.0               ,4.25                ,0.0                ,1000.0         ,735.05            ,3.0
983040.0  ,488.28511095046997,1237.0      ,10.0               ,3.25                ,0.0                ,1000.0         ,758.55            ,1.0
999424.0  ,496.36571288108826,1252.0      ,10.0               ,3.75                ,0.0                ,1000.0         ,721.125           ,1.0
1015808.0 ,504.4761712551117 ,1283.0      ,10.0               ,4.25                ,0.0                ,1000.0         ,711.875           ,1.0
1032192.0 ,512.5471057891846 ,1306.0      ,10.0               ,4.75                ,0.0                ,1000.0         ,661.25            ,4.0
1048576.0 ,520.6447944641113 ,1329.0      ,10.0               ,4.0                 ,0.0                ,1000.0         ,747.225           ,14.0
1064960.0 ,528.709707736969  ,1340.0      ,10.0               ,3.75                ,0.0                ,1000.0         ,812.95            ,1.0
1081344.0 ,536.8007891178131 ,1361.0      ,10.0               ,2.75                ,0.0                ,1000.0         ,838.7             ,1.0
1097728.0 ,544.8541078567505 ,1386.0      ,10.0               ,2.5                 ,0.0                ,1000.0         ,820.775           ,5.0
1114112.0 ,552.9699614048004 ,1409.0      ,10.0               ,2.75                ,0.0                ,1000.0         ,806.35            ,5.0
1130496.0 ,561.0469539165497 ,1425.0      ,10.0               ,2.75                ,0.0                ,1000.0         ,813.325           ,8.0
1146880.0 ,569.1380422115326 ,1446.0      ,10.0               ,2.75                ,0.0                ,1000.0         ,793.325           ,5.0
1163264.0 ,577.2125940322876 ,1470.0      ,10.0               ,3.25                ,0.0                ,1000.0         ,766.9             ,5.0
1179648.0 ,585.3134951591492 ,1496.0      ,10.0               ,3.5                 ,0.0                ,1000.0         ,750.625           ,23.0
1196032.0 ,593.3924698829651 ,1515.0      ,10.0               ,4.25                ,0.0                ,1000.0         ,700.8             ,2.0
1212416.0 ,601.5248680114746 ,1532.0      ,10.0               ,3.75                ,0.0                ,1000.0         ,719.05            ,2.0
1228800.0 ,609.6460371017456 ,1556.0      ,10.0               ,3.0                 ,0.0                ,1000.0         ,766.125           ,6.0
1245184.0 ,617.7241370677948 ,1585.0      ,10.0               ,3.75                ,0.0                ,1000.0         ,747.0             ,17.0
1261568.0 ,625.8178849220276 ,1607.0      ,10.0               ,4.0                 ,0.0                ,1000.0         ,725.875           ,4.0
1277952.0 ,633.8886957168579 ,1623.0      ,10.0               ,5.0                 ,0.0                ,1000.0         ,649.725           ,4.0
1294336.0 ,641.9909269809723 ,1643.0      ,10.0               ,3.75                ,0.0                ,1000.0         ,752.95            ,5.0
1310720.0 ,650.0876498222351 ,1670.0      ,10.0               ,2.25                ,0.0                ,1000.0         ,835.825           ,9.0
1327104.0 ,658.1880042552948 ,1686.0      ,10.0               ,2.25                ,0.0                ,1000.0         ,843.65            ,9.0
1343488.0 ,666.2666122913361 ,1708.0      ,10.0               ,3.5                 ,0.0                ,1000.0         ,727.4             ,11.0
1359872.0 ,674.3570213317871 ,1731.0      ,10.0               ,3.25                ,0.0                ,1000.0         ,716.35            ,11.0
1376256.0 ,682.4162859916687 ,1756.0      ,10.0               ,2.25                ,0.0                ,1000.0         ,823.0             ,41.0
1392640.0 ,690.5088975429535 ,1775.0      ,10.0               ,3.25                ,0.0                ,1000.0         ,744.1             ,36.0
1409024.0 ,698.5809469223022 ,1792.0      ,10.0               ,3.75                ,0.0                ,1000.0         ,698.575           ,16.0
1425408.0 ,706.6646139621735 ,1815.0      ,10.0               ,2.5                 ,0.0                ,1000.0         ,800.425           ,16.0
1441792.0 ,714.7324373722076 ,1850.0      ,10.0               ,4.0                 ,0.0                ,1000.0         ,689.025           ,12.0
1458176.0 ,722.8279364109039 ,1862.0      ,10.0               ,4.0                 ,0.0                ,1000.0         ,661.35            ,12.0
1474560.0 ,730.889758348465  ,1878.0      ,10.0               ,3.25                ,0.0                ,1000.0         ,757.15            ,12.0
1490944.0 ,738.9903523921967 ,1903.0      ,10.0               ,3.25                ,0.0                ,1000.0         ,806.1             ,5.0
1507328.0 ,747.080447435379  ,1936.0      ,10.0               ,4.25                ,0.0                ,1000.0         ,709.45            ,11.0
1523712.0 ,755.1799504756927 ,1952.0      ,10.0               ,4.25                ,0.0                ,1000.0         ,671.3             ,5.0
1540096.0 ,763.2598588466644 ,1972.0      ,10.0               ,4.75                ,0.0                ,1000.0         ,656.625           ,2.0
1556480.0 ,771.3604373931885 ,1996.0      ,10.0               ,4.25                ,0.0                ,1000.0         ,725.275           ,2.0
1572864.0 ,779.4363884925842 ,2025.0      ,10.0               ,3.0                 ,0.0                ,1000.0         ,768.525           ,30.0
1589248.0 ,787.5286550521851 ,2035.0      ,10.0               ,2.25                ,0.0                ,1000.0         ,828.3             ,5.0
1605632.0 ,795.5990824699402 ,2054.0      ,10.0               ,2.5                 ,0.0                ,1000.0         ,849.65            ,5.0
1622016.0 ,803.6910707950592 ,2079.0      ,10.0               ,3.0                 ,0.0                ,1000.0         ,807.4             ,1.0
1638400.0 ,811.7694432735443 ,2103.0      ,10.0               ,2.25                ,0.0                ,1000.0         ,812.175           ,1.0
1654784.0 ,819.8966438770294 ,2118.0      ,10.0               ,2.25                ,0.0                ,1000.0         ,808.4             ,12.0
1671168.0 ,827.9421830177307 ,2140.0      ,10.0               ,3.25                ,0.0                ,1000.0         ,781.725           ,26.0
1687552.0 ,836.0279760360718 ,2160.0      ,10.0               ,3.25                ,0.0                ,1000.0         ,796.475           ,23.0
1703936.0 ,843.9422078132629 ,2190.0      ,10.0               ,4.25                ,0.0                ,1000.0         ,662.4             ,8.0
1720320.0 ,852.0287101268768 ,2213.0      ,10.0               ,4.75                ,0.0                ,1000.0         ,620.175           ,11.0
1736704.0 ,860.1211762428284 ,2238.0      ,10.0               ,4.25                ,0.0                ,1000.0         ,697.325           ,4.0
1753088.0 ,868.164046049118  ,2260.0      ,10.0               ,4.25                ,0.0                ,1000.0         ,678.625           ,1.0
1769472.0 ,876.2774119377136 ,2288.0      ,10.0               ,4.0                 ,0.0                ,1000.0         ,721.625           ,1.0
1785856.0 ,884.3624973297119 ,2308.0      ,10.0               ,4.5                 ,0.0                ,1000.0         ,724.475           ,3.0
1802240.0 ,892.4720032215118 ,2330.0      ,10.0               ,4.5                 ,0.0                ,1000.0         ,735.525           ,3.0
1818624.0 ,900.5730454921722 ,2350.0      ,10.0               ,3.75                ,0.0                ,1000.0         ,753.5             ,16.0
1835008.0 ,908.6808109283447 ,2377.0      ,10.0               ,3.75                ,0.0                ,1000.0         ,716.9             ,4.0
1851392.0 ,916.7608714103699 ,2399.0      ,10.0               ,4.5                 ,0.0                ,1000.0         ,673.8             ,4.0
1867776.0 ,924.8575508594513 ,2421.0      ,10.0               ,4.0                 ,0.0                ,1000.0         ,670.25            ,4.0
1884160.0 ,932.9635045528412 ,2442.0      ,10.0               ,3.5                 ,0.0                ,1000.0         ,744.825           ,4.0
1900544.0 ,941.0494501590729 ,2468.0      ,10.0               ,3.5                 ,0.0                ,1000.0         ,734.425           ,20.0
1916928.0 ,949.1365489959717 ,2491.0      ,10.0               ,3.5                 ,0.0                ,1000.0         ,708.625           ,4.0
1933312.0 ,957.1845045089722 ,2512.0      ,10.0               ,3.0                 ,0.0                ,1000.0         ,773.625           ,5.0
1949696.0 ,965.2424547672272 ,2531.0      ,10.0               ,2.75                ,0.0                ,1000.0         ,809.7             ,5.0
1966080.0 ,973.3312113285065 ,2551.0      ,10.0               ,2.5                 ,0.0                ,1000.0         ,819.6             ,2.0
1982464.0 ,981.3867583274841 ,2581.0      ,10.0               ,3.75                ,0.0                ,1000.0         ,679.275           ,1.0
1998848.0 ,989.3376173973083 ,2603.0      ,10.0               ,4.25                ,0.0                ,1000.0         ,641.425           ,1.0
2015232.0 ,997.4048094749451 ,2626.0      ,10.0               ,4.75                ,0.0                ,1000.0         ,617.95            ,1.0
2031616.0 ,1005.4966118335724,2648.0      ,10.0               ,4.0                 ,0.0                ,1000.0         ,655.425           ,1.0
2048000.0 ,1013.5581052303314,2679.0      ,10.0               ,3.75                ,0.0                ,1000.0         ,734.8             ,6.0
2064384.0 ,1021.3913447856903,2700.0      ,10.0               ,4.0                 ,0.0                ,1000.0         ,717.25            ,3.0
2080768.0 ,1029.4575383663177,2722.0      ,10.0               ,5.0                 ,0.0                ,1000.0         ,659.85            ,3.0
2097152.0 ,1037.5465331077576,2742.0      ,10.0               ,5.25                ,0.0                ,1000.0         ,644.825           ,17.0
2113536.0 ,1045.6656823158264,2772.0      ,10.0               ,4.0                 ,0.0                ,1000.0         ,707.55            ,20.0
2129920.0 ,1053.7452864646912,2797.0      ,10.0               ,4.75                ,0.0                ,1000.0         ,626.8             ,18.0
2146304.0 ,1061.8328702449799,2813.0      ,10.0               ,4.0                 ,0.0                ,1000.0         ,694.475           ,18.0
2162688.0 ,1069.8891961574554,2839.0      ,10.0               ,4.0                 ,0.0                ,1000.0         ,682.775           ,9.0
2179072.0 ,1077.9812078475952,2866.0      ,10.0               ,4.25                ,0.0                ,1000.0         ,613.15            ,13.0
2195456.0 ,1086.0123434066772,2889.0      ,10.0               ,2.5                 ,0.0                ,1000.0         ,760.275           ,12.0
2211840.0 ,1093.9696021080017,2907.0      ,10.0               ,2.75                ,0.0                ,1000.0         ,770.475           ,7.0
2228224.0 ,1102.0695927143097,2933.0      ,10.0               ,4.5                 ,0.0                ,1000.0         ,670.0             ,11.0
2244608.0 ,1110.2124075889587,2967.0      ,10.0               ,4.5                 ,0.0                ,1000.0         ,672.725           ,3.0
2260992.0 ,1118.1857616901398,2986.0      ,10.0               ,4.25                ,0.0                ,1000.0         ,687.7             ,3.0
2277376.0 ,1126.2813942432404,3005.0      ,10.0               ,4.5                 ,0.0                ,1000.0         ,683.875           ,23.0
