timesteps ,wall_time         ,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len  ,min_episode_len
16384.0   ,17.689941883087158,10.0        ,10.0               ,10.0                ,10.0               ,223.0          ,62.9              ,3.0
32768.0   ,32.41713833808899 ,22.0        ,10.0               ,10.0                ,10.0               ,486.0          ,157.54545454545453,3.0
49152.0   ,47.13995933532715 ,28.0        ,10.0               ,10.0                ,10.0               ,677.0          ,257.17857142857144,3.0
65536.0   ,61.89214825630188 ,79.0        ,10.0               ,2.25                ,0.0                ,1000.0         ,908.85            ,2.0
81920.0   ,76.59601211547852 ,91.0        ,10.0               ,3.75                ,0.0                ,1000.0         ,804.575           ,87.0
98304.0   ,91.32350754737854 ,108.0       ,10.0               ,6.0                 ,0.0                ,1000.0         ,601.4             ,1.0
114688.0  ,106.024973154068  ,114.0       ,10.0               ,6.25                ,0.0                ,1000.0         ,627.725           ,1.0
131072.0  ,120.74603486061096,157.0       ,10.0               ,1.75                ,0.0                ,1000.0         ,856.5             ,3.0
147456.0  ,135.45924353599548,173.0       ,10.0               ,2.25                ,0.0                ,1000.0         ,814.975           ,14.0
163840.0  ,150.1925745010376 ,192.0       ,10.0               ,4.0                 ,0.0                ,1000.0         ,704.2             ,13.0
180224.0  ,164.8882932662964 ,200.0       ,10.0               ,4.0                 ,0.0                ,1000.0         ,711.65            ,13.0
196608.0  ,179.6156735420227 ,233.0       ,10.0               ,1.75                ,0.0                ,1000.0         ,932.65            ,119.0
212992.0  ,194.33646440505981,249.0       ,10.0               ,1.75                ,0.0                ,1000.0         ,910.625           ,98.0
229376.0  ,209.04708576202393,269.0       ,10.0               ,3.75                ,0.0                ,1000.0         ,760.05            ,1.0
245760.0  ,223.6911702156067 ,284.0       ,10.0               ,3.75                ,0.0                ,1000.0         ,749.375           ,1.0
262144.0  ,238.38038730621338,313.0       ,10.0               ,3.25                ,0.0                ,1000.0         ,803.45            ,10.0
278528.0  ,253.13896465301514,332.0       ,10.0               ,3.25                ,0.0                ,1000.0         ,778.275           ,5.0
294912.0  ,267.8643550872803 ,358.0       ,10.0               ,4.75                ,0.0                ,1000.0         ,695.3             ,5.0
311296.0  ,282.5835597515106 ,375.0       ,10.0               ,5.0                 ,0.0                ,1000.0         ,692.05            ,22.0
327680.0  ,297.2892065048218 ,399.0       ,10.0               ,3.75                ,0.0                ,1000.0         ,767.35            ,35.0
344064.0  ,311.9992654323578 ,414.0       ,10.0               ,2.5                 ,0.0                ,1000.0         ,828.875           ,35.0
360448.0  ,326.6798539161682 ,433.0       ,10.0               ,1.75                ,0.0                ,1000.0         ,848.325           ,18.0
376832.0  ,341.3907594680786 ,454.0       ,10.0               ,3.25                ,0.0                ,1000.0         ,793.9             ,13.0
393216.0  ,356.07189774513245,477.0       ,10.0               ,3.0                 ,0.0                ,1000.0         ,803.725           ,13.0
409600.0  ,370.76765298843384,494.0       ,10.0               ,2.5                 ,0.0                ,1000.0         ,819.8             ,2.0
425984.0  ,385.4329068660736 ,513.0       ,10.0               ,2.75                ,0.0                ,1000.0         ,822.425           ,2.0
442368.0  ,400.14980816841125,531.0       ,10.0               ,2.25                ,0.0                ,1000.0         ,872.575           ,27.0
458752.0  ,414.8428153991699 ,559.0       ,10.0               ,2.25                ,0.0                ,1000.0         ,835.575           ,106.0
475136.0  ,429.5732755661011 ,580.0       ,10.0               ,3.75                ,0.0                ,1000.0         ,747.125           ,10.0
491520.0  ,444.3164029121399 ,601.0       ,10.0               ,4.5                 ,0.0                ,1000.0         ,754.975           ,6.0
507904.0  ,459.0088996887207 ,615.0       ,10.0               ,4.25                ,0.0                ,1000.0         ,769.85            ,6.0
524288.0  ,473.72593116760254,643.0       ,10.0               ,3.5                 ,0.0                ,1000.0         ,791.65            ,26.0
540672.0  ,488.53384375572205,664.0       ,10.0               ,4.5                 ,0.0                ,1000.0         ,697.225           ,26.0
557056.0  ,503.2150764465332 ,687.0       ,10.0               ,4.25                ,0.0                ,1000.0         ,688.375           ,37.0
573440.0  ,517.9541659355164 ,706.0       ,10.0               ,4.0                 ,0.0                ,1000.0         ,724.275           ,40.0
589824.0  ,532.657383441925  ,727.0       ,10.0               ,2.75                ,0.0                ,1000.0         ,829.375           ,41.0
606208.0  ,547.1262075901031 ,750.0       ,10.0               ,3.75                ,0.0                ,1000.0         ,740.1             ,14.0
622592.0  ,561.6722424030304 ,776.0       ,10.0               ,4.5                 ,0.0                ,1000.0         ,660.325           ,3.0
638976.0  ,576.414642572403  ,799.0       ,10.0               ,4.25                ,0.0                ,1000.0         ,661.9             ,3.0
655360.0  ,591.1270668506622 ,826.0       ,10.0               ,5.0                 ,0.0                ,1000.0         ,620.175           ,3.0
671744.0  ,605.863753080368  ,847.0       ,10.0               ,4.0                 ,0.0                ,1000.0         ,713.325           ,10.0
688128.0  ,620.5652432441711 ,863.0       ,10.0               ,3.25                ,0.0                ,1000.0         ,769.15            ,10.0
704512.0  ,635.2662508487701 ,883.0       ,10.0               ,2.5                 ,0.0                ,1000.0         ,804.35            ,11.0
720896.0  ,649.9799528121948 ,910.0       ,10.0               ,2.5                 ,0.0                ,1000.0         ,828.55            ,4.0
737280.0  ,664.6583187580109 ,932.0       ,10.0               ,4.0                 ,0.0                ,1000.0         ,699.975           ,4.0
753664.0  ,679.3545784950256 ,953.0       ,10.0               ,4.5                 ,0.0                ,1000.0         ,672.15            ,1.0
770048.0  ,694.0305075645447 ,979.0       ,10.0               ,4.25                ,0.0                ,1000.0         ,769.375           ,150.0
786432.0  ,708.7287788391113 ,1002.0      ,10.0               ,4.5                 ,0.0                ,1000.0         ,672.475           ,32.0
