timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
16384.0,11.012038946151733,175.0,6.0,1.375,0.0,146.0,77.875,31.0
32768.0,18.803443670272827,385.0,6.0,1.8250000476837158,0.0,182.0,83.775,26.0
49152.0,26.69085955619812,588.0,11.0,1.8250000476837158,0.0,192.0,77.25,22.0
65536.0,34.5795955657959,778.0,15.0,1.9249999523162842,0.0,258.0,86.975,30.0
81920.0,42.46022605895996,960.0,18.0,2.924999952316284,0.0,301.0,95.025,35.0
98304.0,50.39879608154297,1141.0,12.0,2.8499999046325684,0.0,162.0,91.85,39.0
114688.0,58.31529951095581,1311.0,8.0,2.549999952316284,0.0,202.0,93.1,57.0
131072.0,66.25333547592163,1493.0,8.0,1.899999976158142,0.0,145.0,86.625,43.0
147456.0,74.20017862319946,1668.0,12.0,1.975000023841858,0.0,240.0,92.875,46.0
163840.0,82.21240019798279,1827.0,14.0,3.700000047683716,0.0,194.0,105.525,57.0
180224.0,90.15063977241516,1991.0,11.0,2.424999952316284,0.0,210.0,100.475,56.0
196608.0,98.11178135871887,2159.0,16.0,3.1500000953674316,0.0,221.0,100.8,51.0
212992.0,106.0685305595398,2319.0,20.0,3.625,0.0,189.0,102.65,48.0
229376.0,114.04012846946716,2488.0,11.0,2.700000047683716,0.0,177.0,92.675,33.0
245760.0,122.0201485157013,2649.0,9.0,3.575000047683716,0.0,217.0,99.95,48.0
262144.0,130.03034329414368,2812.0,14.0,2.9749999046325684,0.0,211.0,101.725,36.0
278528.0,137.97359037399292,2984.0,11.0,3.7750000953674316,0.0,221.0,103.75,43.0
294912.0,145.9596426486969,3153.0,12.0,2.9000000953674316,0.0,295.0,94.675,25.0
311296.0,153.90399074554443,3320.0,9.0,2.625,0.0,192.0,95.9,54.0
327680.0,161.89213037490845,3486.0,19.0,4.375,0.0,261.0,104.2,44.0
344064.0,169.8768663406372,3650.0,14.0,3.7750000953674316,0.0,260.0,106.175,50.0
360448.0,177.85459303855896,3821.0,9.0,2.9000000953674316,0.0,232.0,93.85,46.0
376832.0,185.81573462486267,3980.0,12.0,3.4000000953674316,0.0,253.0,101.35,36.0
393216.0,193.7711534500122,4155.0,17.0,3.25,0.0,186.0,94.25,29.0
409600.0,201.79973125457764,4303.0,15.0,4.074999809265137,0.0,261.0,112.625,32.0
425984.0,209.7695300579071,4464.0,13.0,4.0,0.0,240.0,109.8,35.0
442368.0,217.75982975959778,4615.0,17.0,4.25,0.0,236.0,109.025,52.0
458752.0,225.72709727287292,4762.0,13.0,3.8499999046325684,0.0,246.0,100.525,57.0
475136.0,233.73012971878052,4905.0,19.0,4.474999904632568,0.0,248.0,109.375,17.0
491520.0,241.65728282928467,5057.0,16.0,4.900000095367432,0.0,372.0,120.025,58.0
507904.0,249.64482259750366,5209.0,12.0,4.449999809265137,0.0,219.0,111.225,19.0
524288.0,257.5843961238861,5364.0,16.0,4.074999809265137,0.0,221.0,105.25,30.0
540672.0,265.58053374290466,5505.0,21.0,5.099999904632568,0.0,295.0,119.525,27.0
557056.0,273.5457866191864,5642.0,13.0,5.125,0.0,243.0,107.55,38.0
573440.0,281.52881717681885,5780.0,20.0,5.099999904632568,0.0,234.0,105.075,43.0
589824.0,289.47930455207825,5923.0,25.0,6.574999809265137,0.0,403.0,126.375,27.0
606208.0,297.46647095680237,6065.0,24.0,6.125,0.0,454.0,122.75,35.0
