timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
16384.0,18.7049400806427,174.0,9.0,1.100000023841858,0.0,146.0,71.475,19.0
32768.0,33.769721031188965,387.0,5.0,1.4249999523162842,0.0,153.0,81.125,41.0
49152.0,48.776312828063965,597.0,10.0,1.774999976158142,0.0,132.0,77.45,35.0
65536.0,63.50581216812134,794.0,8.0,1.600000023841858,0.0,152.0,80.425,42.0
81920.0,78.33319044113159,993.0,6.0,1.5,0.0,169.0,78.3,24.0
98304.0,93.31694173812866,1173.0,10.0,1.6749999523162842,0.0,174.0,77.45,24.0
114688.0,108.30108714103699,1364.0,10.0,1.975000023841858,0.0,183.0,84.8,23.0
131072.0,123.16806221008301,1552.0,11.0,2.450000047683716,0.0,182.0,86.45,31.0
147456.0,137.90529537200928,1728.0,8.0,3.0250000953674316,0.0,166.0,92.8,45.0
163840.0,152.3377070426941,1908.0,10.0,2.9749999046325684,0.0,167.0,93.7,50.0
180224.0,166.94034695625305,2069.0,11.0,3.075000047683716,0.0,222.0,94.575,48.0
196608.0,181.93435263633728,2241.0,14.0,3.7249999046325684,0.0,215.0,102.35,34.0
212992.0,196.8344554901123,2420.0,13.0,3.2249999046325684,0.0,195.0,99.325,40.0
229376.0,211.86764764785767,2588.0,10.0,3.4000000953674316,0.0,164.0,95.175,53.0
245760.0,226.90954780578613,2764.0,10.0,2.9749999046325684,0.0,171.0,89.675,54.0
262144.0,241.67440915107727,2931.0,14.0,3.174999952316284,0.0,221.0,93.45,43.0
278528.0,256.6583983898163,3090.0,15.0,3.549999952316284,0.0,209.0,108.75,49.0
294912.0,271.1266579627991,3259.0,14.0,3.924999952316284,0.0,262.0,107.25,50.0
311296.0,285.79899859428406,3412.0,10.0,3.875,0.0,181.0,101.875,54.0
327680.0,301.04570508003235,3573.0,10.0,3.424999952316284,0.0,244.0,106.075,29.0
344064.0,315.7169244289398,3737.0,12.0,3.1500000953674316,0.0,156.0,97.325,52.0
360448.0,330.54810070991516,3899.0,12.0,3.4000000953674316,0.0,147.0,95.45,44.0
376832.0,345.4341220855713,4065.0,15.0,3.75,0.0,280.0,99.875,45.0
393216.0,360.5217299461365,4226.0,11.0,3.674999952316284,0.0,201.0,106.375,62.0
409600.0,375.7917664051056,4392.0,15.0,4.074999809265137,0.0,171.0,103.475,58.0
425984.0,390.91291642189026,4548.0,15.0,4.300000190734863,0.0,171.0,102.7,57.0
442368.0,406.2263853549957,4711.0,16.0,3.75,0.0,164.0,98.75,40.0
458752.0,421.4647126197815,4877.0,16.0,4.875,0.0,202.0,108.525,27.0
475136.0,436.596116065979,5025.0,11.0,4.324999809265137,0.0,190.0,109.725,52.0
491520.0,451.62173533439636,5176.0,13.0,4.525000095367432,0.0,195.0,106.975,61.0
507904.0,466.8849127292633,5336.0,15.0,3.9749999046325684,0.0,149.0,100.225,59.0
524288.0,481.9473147392273,5489.0,14.0,4.525000095367432,0.0,194.0,103.1,61.0
540672.0,496.9676594734192,5635.0,16.0,4.75,0.0,224.0,106.95,41.0
557056.0,512.0321569442749,5786.0,20.0,5.625,0.0,204.0,117.675,63.0
573440.0,527.3513970375061,5932.0,17.0,5.699999809265137,0.0,262.0,110.45,57.0
589824.0,542.5128617286682,6079.0,13.0,4.199999809265137,0.0,204.0,99.35,50.0
606208.0,557.5215809345245,6232.0,19.0,5.425000190734863,0.0,238.0,109.8,66.0
622592.0,572.4649708271027,6381.0,18.0,6.349999904632568,0.0,269.0,119.9,49.0
638976.0,587.3097033500671,6530.0,14.0,5.449999809265137,0.0,250.0,111.875,48.0
655360.0,601.4778206348419,6671.0,21.0,6.275000095367432,0.0,311.0,124.1,37.0
671744.0,616.4787082672119,6813.0,18.0,5.675000190734863,0.0,278.0,114.75,50.0
688128.0,631.6876170635223,6961.0,16.0,5.474999904632568,0.0,229.0,109.05,46.0
704512.0,646.6192824840546,7100.0,25.0,5.275000095367432,0.0,310.0,110.625,44.0
720896.0,661.4206259250641,7249.0,30.0,6.550000190734863,0.0,318.0,125.525,36.0
737280.0,676.1748659610748,7391.0,15.0,4.550000190734863,0.0,194.0,102.45,33.0
753664.0,691.1505510807037,7539.0,27.0,6.125,0.0,287.0,110.375,50.0
770048.0,706.3036959171295,7686.0,15.0,6.099999904632568,0.0,224.0,113.625,37.0
786432.0,720.9065301418304,7818.0,30.0,6.275000095367432,0.0,355.0,118.0,59.0
802816.0,735.8865084648132,7954.0,21.0,7.625,0.0,236.0,120.2,51.0
819200.0,751.1650168895721,8084.0,20.0,7.150000095367432,0.0,277.0,127.2,68.0
835584.0,766.3901028633118,8207.0,18.0,5.474999904632568,0.0,230.0,115.2,25.0
851968.0,781.2114615440369,8335.0,24.0,7.974999904632568,0.0,395.0,144.525,60.0
868352.0,796.2058281898499,8472.0,20.0,7.099999904632568,0.0,239.0,120.825,39.0
884736.0,810.9346330165863,8589.0,39.0,8.675000190734863,0.0,442.0,151.475,63.0
901120.0,825.6567029953003,8720.0,25.0,7.099999904632568,0.0,263.0,127.625,43.0
917504.0,840.4943647384644,8844.0,23.0,7.474999904632568,0.0,264.0,124.225,55.0
933888.0,855.605320930481,8972.0,23.0,7.849999904632568,0.0,254.0,131.2,26.0
950272.0,870.5035648345947,9100.0,21.0,6.425000190734863,1.0,348.0,133.325,66.0
966656.0,885.1798515319824,9218.0,21.0,6.75,0.0,316.0,127.4,47.0
983040.0,900.2542369365692,9348.0,22.0,6.974999904632568,0.0,254.0,116.875,56.0
999424.0,915.0854523181915,9467.0,17.0,5.550000190734863,0.0,209.0,114.775,54.0
1015808.0,930.2058362960815,9586.0,32.0,9.199999809265137,0.0,349.0,151.175,55.0
1032192.0,945.4699726104736,9713.0,23.0,7.849999904632568,1.0,295.0,121.05,53.0
1048576.0,960.1921527385712,9832.0,28.0,8.774999618530273,0.0,404.0,147.825,60.0
1064960.0,975.0670032501221,9956.0,24.0,7.025000095367432,0.0,325.0,126.25,56.0
1081344.0,989.9793047904968,10067.0,25.0,8.175000190734863,1.0,264.0,138.8,44.0
1097728.0,1004.8460032939911,10180.0,26.0,8.149999618530273,0.0,241.0,141.5,70.0
1114112.0,1019.7695741653442,10289.0,31.0,10.175000190734863,1.0,367.0,152.175,56.0
1130496.0,1034.546258687973,10408.0,23.0,8.899999618530273,0.0,260.0,136.25,49.0
1146880.0,1049.5908448696136,10515.0,30.0,11.25,1.0,311.0,168.575,59.0
1163264.0,1064.7309877872467,10625.0,28.0,9.949999809265137,1.0,363.0,162.1,66.0
1179648.0,1079.4890773296356,10751.0,20.0,7.25,0.0,300.0,128.05,37.0
1196032.0,1094.1781978607178,10867.0,26.0,8.350000381469727,0.0,325.0,144.125,65.0
1212416.0,1108.9072682857513,10976.0,37.0,8.199999809265137,0.0,375.0,142.125,61.0
1228800.0,1123.7826404571533,11096.0,25.0,8.024999618530273,1.0,303.0,137.975,55.0
1245184.0,1138.3961753845215,11206.0,33.0,11.975000381469727,0.0,405.0,171.25,69.0
1261568.0,1152.6806147098541,11306.0,28.0,9.324999809265137,2.0,337.0,148.65,70.0
1277952.0,1167.5689373016357,11429.0,59.0,10.300000190734863,0.0,577.0,165.9,57.0
1294336.0,1182.903207540512,11528.0,31.0,8.574999809265137,0.0,343.0,140.25,61.0
1310720.0,1197.6414921283722,11653.0,31.0,10.375,0.0,361.0,156.775,51.0
1327104.0,1212.488473892212,11748.0,31.0,10.5,0.0,420.0,157.35,62.0
1343488.0,1227.6562893390656,11851.0,39.0,9.5,0.0,415.0,142.575,60.0
1359872.0,1242.461497783661,11936.0,35.0,12.75,0.0,356.0,180.175,46.0
1376256.0,1257.6583161354065,12041.0,62.0,13.175000190734863,1.0,577.0,178.3,71.0
1392640.0,1272.9259097576141,12149.0,72.0,13.0,0.0,577.0,173.6,38.0
1409024.0,1287.7026557922363,12257.0,30.0,9.300000190734863,0.0,385.0,146.575,17.0
1425408.0,1302.5168237686157,12354.0,38.0,12.100000381469727,0.0,411.0,163.125,42.0
1441792.0,1317.3411736488342,12452.0,42.0,12.050000190734863,1.0,416.0,165.6,48.0
1458176.0,1332.6056082248688,12563.0,61.0,11.050000190734863,2.0,576.0,162.475,67.0
1474560.0,1347.8122565746307,12658.0,30.0,10.524999618530273,1.0,359.0,152.6,68.0
1490944.0,1363.061778306961,12754.0,35.0,10.074999809265137,0.0,364.0,155.6,78.0
1507328.0,1378.245271205902,12856.0,44.0,12.350000381469727,1.0,467.0,172.65,65.0
1523712.0,1393.5291628837585,12950.0,38.0,11.175000190734863,1.0,442.0,152.0,48.0
1540096.0,1408.7752537727356,13047.0,38.0,10.5,0.0,366.0,161.45,24.0
1556480.0,1423.8635160923004,13142.0,36.0,14.050000190734863,1.0,433.0,192.425,62.0
1572864.0,1438.8125231266022,13233.0,48.0,14.699999809265137,2.0,513.0,191.8,58.0
1589248.0,1454.0873374938965,13326.0,44.0,14.300000190734863,1.0,472.0,191.825,61.0
1605632.0,1469.3304879665375,13430.0,47.0,13.050000190734863,0.0,577.0,176.65,56.0
1622016.0,1484.386512517929,13535.0,39.0,11.199999809265137,0.0,370.0,153.325,57.0
1638400.0,1499.3274188041687,13624.0,49.0,12.425000190734863,0.0,555.0,172.675,64.0
1654784.0,1514.614776134491,13723.0,40.0,12.149999618530273,0.0,440.0,173.95,67.0
1671168.0,1529.9137313365936,13818.0,50.0,12.675000190734863,1.0,577.0,171.775,58.0
1687552.0,1544.7853076457977,13912.0,53.0,12.875,0.0,487.0,180.1,60.0
1703936.0,1559.1761853694916,14016.0,50.0,11.850000381469727,2.0,452.0,156.725,48.0
1720320.0,1574.1028656959534,14117.0,44.0,10.600000381469727,1.0,465.0,157.975,58.0
1736704.0,1588.999633550644,14212.0,57.0,14.425000190734863,0.0,577.0,201.05,61.0
1753088.0,1603.9049854278564,14308.0,40.0,11.324999809265137,1.0,442.0,160.7,62.0
1769472.0,1618.6278400421143,14399.0,34.0,12.875,3.0,365.0,181.4,64.0
1785856.0,1633.3117434978485,14493.0,32.0,10.574999809265137,0.0,416.0,155.85,53.0
1802240.0,1648.242659330368,14581.0,34.0,13.675000190734863,0.0,437.0,199.25,73.0
1818624.0,1662.936364889145,14669.0,44.0,13.824999809265137,0.0,517.0,195.05,70.0
1835008.0,1678.2556023597717,14751.0,74.0,16.524999618530273,1.0,577.0,201.7,52.0
1851392.0,1693.5217876434326,14840.0,45.0,13.375,1.0,438.0,188.575,60.0
1867776.0,1708.5955791473389,14923.0,60.0,13.475000381469727,2.0,483.0,181.075,52.0
1884160.0,1723.8038499355316,14998.0,48.0,14.300000190734863,1.0,471.0,187.975,45.0
1900544.0,1739.0273172855377,15091.0,68.0,15.024999618530273,1.0,577.0,196.8,52.0
1916928.0,1754.1408953666687,15163.0,59.0,14.425000190734863,0.0,577.0,193.45,64.0
1933312.0,1769.1848149299622,15243.0,64.0,18.100000381469727,0.0,577.0,242.075,83.0
1949696.0,1784.2342865467072,15324.0,50.0,12.75,0.0,446.0,170.425,69.0
1966080.0,1799.5334932804108,15412.0,43.0,14.949999809265137,0.0,577.0,201.075,57.0
1982464.0,1814.6815211772919,15501.0,48.0,12.574999809265137,0.0,475.0,177.1,46.0
1998848.0,1829.6203010082245,15586.0,75.0,19.75,2.0,577.0,239.4,60.0
2015232.0,1844.260596036911,15668.0,54.0,16.049999237060547,0.0,577.0,208.05,60.0
2031616.0,1859.073659658432,15746.0,50.0,17.174999237060547,1.0,577.0,220.675,45.0
2048000.0,1874.1573460102081,15828.0,65.0,15.375,2.0,577.0,207.925,57.0
2064384.0,1889.3961505889893,15923.0,49.0,15.800000190734863,1.0,576.0,202.6,58.0
2080768.0,1904.2874701023102,16002.0,44.0,11.800000190734863,1.0,459.0,175.1,35.0
2097152.0,1919.2686264514923,16095.0,46.0,17.600000381469727,2.0,454.0,215.325,61.0
2113536.0,1934.1435494422913,16187.0,44.0,13.0,0.0,467.0,176.65,37.0
2129920.0,1949.037085056305,16255.0,48.0,16.274999618530273,1.0,576.0,206.175,89.0
2146304.0,1964.3489158153534,16345.0,74.0,18.100000381469727,2.0,577.0,216.5,56.0
2162688.0,1979.6509177684784,16431.0,46.0,14.449999809265137,0.0,428.0,182.1,68.0
