timesteps ,wall_time         ,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len
16384.0   ,12.198516845703125,188.0       ,7.0                ,1.600000023841858   ,0.0                ,131.0          ,70.25           ,21.0
32768.0   ,20.884546041488647,401.0       ,5.0                ,1.5750000476837158  ,0.0                ,234.0          ,80.1            ,33.0
49152.0   ,29.457337617874146,608.0       ,9.0                ,1.774999976158142   ,0.0                ,178.0          ,79.825          ,17.0
65536.0   ,38.15348529815674 ,812.0       ,15.0               ,2.4000000953674316  ,0.0                ,200.0          ,86.15           ,21.0
81920.0   ,46.434102296829224,1016.0      ,8.0                ,1.774999976158142   ,0.0                ,153.0          ,81.05           ,17.0
98304.0   ,54.64558815956116 ,1198.0      ,8.0                ,2.625               ,0.0                ,176.0          ,87.75           ,33.0
114688.0  ,63.2451057434082  ,1402.0      ,9.0                ,1.7000000476837158  ,0.0                ,161.0          ,76.6            ,38.0
131072.0  ,71.61698150634766 ,1601.0      ,14.0               ,2.2750000953674316  ,0.0                ,148.0          ,81.525          ,19.0
147456.0  ,79.95311951637268 ,1789.0      ,8.0                ,2.075000047683716   ,0.0                ,194.0          ,83.25           ,33.0
163840.0  ,88.18174839019775 ,1971.0      ,10.0               ,1.725000023841858   ,0.0                ,218.0          ,84.225          ,33.0
180224.0  ,95.78086757659912 ,2154.0      ,12.0               ,2.0999999046325684  ,0.0                ,220.0          ,88.875          ,19.0
196608.0  ,104.34769248962402,2336.0      ,17.0               ,2.5999999046325684  ,0.0                ,231.0          ,87.625          ,31.0
212992.0  ,112.7347993850708 ,2511.0      ,12.0               ,3.6500000953674316  ,0.0                ,180.0          ,95.6            ,39.0
229376.0  ,121.2458267211914 ,2688.0      ,7.0                ,2.375               ,0.0                ,170.0          ,87.05           ,23.0
245760.0  ,129.56184029579163,2868.0      ,7.0                ,1.899999976158142   ,0.0                ,137.0          ,77.25           ,17.0
262144.0  ,137.89830374717712,3048.0      ,10.0               ,3.325000047683716   ,0.0                ,222.0          ,98.425          ,31.0
278528.0  ,146.24210286140442,3216.0      ,12.0               ,3.2750000953674316  ,0.0                ,217.0          ,106.275         ,30.0
294912.0  ,154.99180126190186,3382.0      ,10.0               ,3.3499999046325684  ,0.0                ,180.0          ,95.7            ,38.0
311296.0  ,163.26501989364624,3553.0      ,18.0               ,3.7750000953674316  ,0.0                ,164.0          ,94.925          ,29.0
327680.0  ,171.68670177459717,3712.0      ,18.0               ,4.25                ,0.0                ,265.0          ,101.55          ,30.0
344064.0  ,180.095219373703  ,3867.0      ,13.0               ,3.700000047683716   ,0.0                ,195.0          ,102.525         ,49.0
360448.0  ,188.55586433410645,4024.0      ,14.0               ,3.549999952316284   ,0.0                ,221.0          ,99.35           ,58.0
376832.0  ,196.92717599868774,4179.0      ,24.0               ,3.875               ,0.0                ,339.0          ,99.825          ,38.0
393216.0  ,205.32607054710388,4348.0      ,14.0               ,4.175000190734863   ,0.0                ,187.0          ,98.4            ,25.0
409600.0  ,213.71502327919006,4505.0      ,12.0               ,3.299999952316284   ,0.0                ,198.0          ,97.7            ,20.0
425984.0  ,222.0592110157013 ,4652.0      ,17.0               ,4.525000095367432   ,0.0                ,194.0          ,104.975         ,53.0
442368.0  ,230.4953351020813 ,4810.0      ,11.0               ,3.4000000953674316  ,0.0                ,242.0          ,102.725         ,54.0
458752.0  ,238.84489464759827,4975.0      ,10.0               ,3.6500000953674316  ,0.0                ,244.0          ,99.275          ,44.0
475136.0  ,247.1546483039856 ,5129.0      ,14.0               ,4.900000095367432   ,0.0                ,183.0          ,102.75          ,42.0
491520.0  ,255.75300073623657,5281.0      ,10.0               ,3.7249999046325684  ,0.0                ,236.0          ,98.925          ,21.0
507904.0  ,264.31303119659424,5441.0      ,13.0               ,3.0                 ,0.0                ,180.0          ,101.125         ,50.0
524288.0  ,272.64405703544617,5582.0      ,11.0               ,4.675000190734863   ,0.0                ,240.0          ,111.425         ,42.0
540672.0  ,281.31022477149963,5733.0      ,15.0               ,5.25                ,0.0                ,283.0          ,111.45          ,67.0
557056.0  ,290.0529637336731 ,5884.0      ,18.0               ,4.099999904632568   ,0.0                ,235.0          ,114.15          ,21.0
573440.0  ,298.3899748325348 ,6031.0      ,20.0               ,5.400000095367432   ,0.0                ,241.0          ,112.95          ,54.0
589824.0  ,306.7318036556244 ,6173.0      ,17.0               ,5.800000190734863   ,0.0                ,231.0          ,118.65          ,57.0
606208.0  ,315.1065101623535 ,6325.0      ,13.0               ,5.599999904632568   ,0.0                ,234.0          ,112.5           ,41.0
622592.0  ,323.43517231941223,6474.0      ,18.0               ,3.9000000953674316  ,0.0                ,231.0          ,112.575         ,48.0
638976.0  ,332.1529288291931 ,6612.0      ,16.0               ,5.099999904632568   ,0.0                ,269.0          ,110.575         ,55.0
655360.0  ,340.7396671772003 ,6755.0      ,18.0               ,5.300000190734863   ,0.0                ,245.0          ,111.1           ,51.0
671744.0  ,349.0949327945709 ,6890.0      ,25.0               ,5.375               ,0.0                ,303.0          ,122.225         ,55.0
688128.0  ,357.38564705848694,7036.0      ,13.0               ,5.099999904632568   ,0.0                ,182.0          ,105.25          ,44.0
704512.0  ,365.926958322525  ,7176.0      ,18.0               ,5.949999809265137   ,0.0                ,213.0          ,120.75          ,56.0
720896.0  ,374.295530796051  ,7331.0      ,25.0               ,4.375               ,0.0                ,258.0          ,103.625         ,46.0
737280.0  ,382.87614274024963,7456.0      ,18.0               ,6.275000095367432   ,0.0                ,361.0          ,124.1           ,59.0
753664.0  ,391.3814551830292 ,7596.0      ,22.0               ,6.400000095367432   ,0.0                ,262.0          ,120.075         ,63.0
770048.0  ,399.7144629955292 ,7728.0      ,21.0               ,6.025000095367432   ,0.0                ,360.0          ,130.375         ,53.0
786432.0  ,408.5369484424591 ,7860.0      ,17.0               ,6.0                 ,0.0                ,261.0          ,115.5           ,32.0
802816.0  ,417.2474744319916 ,7993.0      ,20.0               ,5.625               ,0.0                ,249.0          ,120.725         ,49.0
819200.0  ,426.1062250137329 ,8128.0      ,23.0               ,6.849999904632568   ,0.0                ,265.0          ,124.2           ,38.0
835584.0  ,434.86614632606506,8263.0      ,25.0               ,6.474999904632568   ,0.0                ,345.0          ,125.1           ,57.0
851968.0  ,443.1364049911499 ,8399.0      ,22.0               ,7.25                ,0.0                ,245.0          ,130.25          ,37.0
868352.0  ,451.5241153240204 ,8526.0      ,22.0               ,6.474999904632568   ,0.0                ,326.0          ,128.1           ,67.0
884736.0  ,459.8278820514679 ,8656.0      ,24.0               ,6.449999809265137   ,0.0                ,349.0          ,122.8           ,53.0
901120.0  ,468.17993903160095,8791.0      ,18.0               ,5.925000190734863   ,1.0                ,274.0          ,124.75          ,55.0
917504.0  ,476.5832529067993 ,8930.0      ,23.0               ,6.900000095367432   ,0.0                ,214.0          ,116.7           ,50.0
933888.0  ,485.1270275115967 ,9061.0      ,28.0               ,6.525000095367432   ,0.0                ,315.0          ,119.675         ,49.0
950272.0  ,493.5301282405853 ,9196.0      ,17.0               ,5.449999809265137   ,0.0                ,266.0          ,117.3           ,50.0
966656.0  ,502.02234745025635,9326.0      ,29.0               ,7.574999809265137   ,0.0                ,244.0          ,135.375         ,47.0
983040.0  ,510.71321415901184,9462.0      ,20.0               ,6.75                ,0.0                ,299.0          ,123.375         ,41.0
999424.0  ,519.3620324134827 ,9582.0      ,28.0               ,9.449999809265137   ,0.0                ,314.0          ,141.35          ,49.0
1015808.0 ,527.6349341869354 ,9711.0      ,20.0               ,7.25                ,0.0                ,273.0          ,130.75          ,65.0
1032192.0 ,535.9044091701508 ,9843.0      ,22.0               ,8.149999618530273   ,2.0                ,296.0          ,127.7           ,59.0
1048576.0 ,544.2656621932983 ,9970.0      ,37.0               ,7.324999809265137   ,1.0                ,361.0          ,121.4           ,51.0
1064960.0 ,552.6419892311096 ,10081.0     ,28.0               ,8.024999618530273   ,0.0                ,320.0          ,136.975         ,56.0
1081344.0 ,561.021381855011  ,10210.0     ,43.0               ,8.75                ,0.0                ,472.0          ,139.6           ,50.0
1097728.0 ,569.4339230060577 ,10331.0     ,23.0               ,9.75                ,2.0                ,328.0          ,140.35          ,51.0
1114112.0 ,577.8728346824646 ,10462.0     ,37.0               ,8.274999618530273   ,0.0                ,483.0          ,141.125         ,61.0
1130496.0 ,586.2740333080292 ,10581.0     ,25.0               ,8.024999618530273   ,0.0                ,260.0          ,128.25          ,15.0
1146880.0 ,594.6893553733826 ,10700.0     ,38.0               ,8.949999809265137   ,1.0                ,421.0          ,133.425         ,50.0
1163264.0 ,603.3906750679016 ,10816.0     ,34.0               ,8.149999618530273   ,0.0                ,369.0          ,137.825         ,56.0
1179648.0 ,612.1477692127228 ,10937.0     ,26.0               ,10.975000381469727  ,0.0                ,307.0          ,157.075         ,48.0
1196032.0 ,620.7647507190704 ,11063.0     ,34.0               ,8.024999618530273   ,0.0                ,436.0          ,129.3           ,57.0
1212416.0 ,629.488893032074  ,11184.0     ,33.0               ,8.550000190734863   ,0.0                ,332.0          ,140.075         ,59.0
1228800.0 ,638.2759809494019 ,11304.0     ,28.0               ,7.800000190734863   ,0.0                ,335.0          ,129.1           ,19.0
1245184.0 ,646.9820942878723 ,11433.0     ,18.0               ,6.449999809265137   ,0.0                ,244.0          ,121.35          ,18.0
1261568.0 ,655.7090857028961 ,11547.0     ,33.0               ,8.899999618530273   ,0.0                ,367.0          ,141.5           ,13.0
1277952.0 ,664.1132423877716 ,11656.0     ,41.0               ,8.625               ,0.0                ,372.0          ,146.825         ,57.0
